timestamp[s]	latency_value[ms]
1464774793	23.930
1464774863	23.620
1464774936	23.500
1464775009	23.810
1464775086	26.870
1464775156	24.260
1464775231	24.060
1464775306	26.750
1464775382	26.680
1464775454	26.890
1464775525	23.800
1464775595	26.820
1464775669	23.680
1464775741	26.660
1464775811	26.830
1464775884	26.710
1464775956	23.780
1464776027	23.630
1464776100	24.160
1464776170	23.950
1464776244	24.040
1464776320	26.630
1464776391	26.980
1464776462	23.980
1464776538	23.890
1464776614	23.970
1464776686	27.160
1464776758	26.850
1464776829	26.860
1464776899	23.770
1464776973	23.780
1464777048	24.040
1464777123	23.940
1464777197	23.800
1464777266	23.930
1464777341	24.030
1464777412	26.830
1464777486	26.130
1464777556	24.070
1464777628	26.830
1464777698	26.680
1464777768	26.630
1464777841	26.670
1464777915	23.850
1464777986	23.850
1464778060	24.370
1464778131	26.850
1464778205	24.220
1464778276	24.050
1464778348	23.810
1464778420	26.830
1464778496	23.800
1464778566	26.750
1464778636	23.940
1464778712	24.050
1464778786	23.950
1464778858	24.060
1464778929	24.080
1464779000	27.270
1464779075	23.930
1464779146	26.900
1464779219	26.770
1464779290	23.590
1464779362	24.250
1464779435	26.590
1464779507	24.230
1464779578	23.550
1464779651	23.820
1464779730	24.710
1464779802	24.020
1464779873	24.020
1464779944	24.000
1464780022	23.940
1464780094	27.200
1464780167	26.840
1464780241	26.800
1464780318	26.630
1464780395	23.990
1464780468	23.970
1464780540	26.750
1464780612	23.920
1464780684	26.830
1464780759	26.760
1464780830	24.050
1464780904	26.800
1464780974	26.830
1464781046	26.770
1464781120	26.900
1464781191	23.960
1464781262	26.890
1464781332	24.000
1464781405	26.960
1464781477	24.420
1464781548	29.340
1464781621	26.560
1464781697	23.810
1464781767	24.000
1464781842	26.810
1464781915	23.910
1464781989	26.980
1464782060	26.880
1464782134	24.180
1464782206	26.770
1464782281	24.090
1464782354	26.710
1464782423	24.830
1464782498	24.430
1464782572	26.900
1464782642	24.090
1464782712	24.070
1464782785	23.970
1464782856	31.950
1464782931	24.060
1464783001	27.500
1464783071	24.180
1464783140	24.090
1464783215	27.200
1464783285	27.350
1464783356	26.770
1464783428	24.320
1464783503	28.160
1464783574	26.700
1464783648	26.850
1464783720	28.140
1464783791	24.300
1464783862	26.960
1464783933	26.940
1464784007	25.440
1464784078	24.250
1464784148	26.870
1464784219	27.380
1464784293	27.030
1464784363	24.060
1464784436	26.720
1464784507	24.210
1464784582	27.010
1464784657	24.190
1464784730	27.030
1464784803	27.100
1464784878	29.450
1464784954	27.520
1464785027	27.430
1464785098	24.450
1464785168	24.020
1464785245	31.390
1464785315	29.530
1464785393	27.010
1464785465	26.940
1464785535	24.600
1464785605	26.620
1464785679	26.790
1464785751	24.280
1464785824	26.970
1464785893	27.050
1464785963	26.840
1464786038	24.440
1464786110	24.010
1464786180	24.860
1464786254	23.780
1464786327	26.930
1464786398	27.450
1464786472	24.110
1464786542	23.780
1464786614	26.930
1464786687	24.190
1464786759	24.010
1464786831	23.990
1464786904	56.000
1464786974	29.380
1464787048	24.560
1464787122	34.200
1464787194	30.250
1464787276	44.490
1464787352	45.270
1464787427	65.510
1464787499	27.090
1464787570	41.220
1464787645	51.720
1464787720	27.120
1464787790	34.810
1464787866	36.190
1464787937	46.400
1464788013	44.830
1464788085	27.160
1464788160	38.180
1464788232	43.870
1464788304	81.420
1464788375	26.860
1464788445	25.470
1464788519	26.770
1464788589	26.830
1464788663	26.770
1464788734	26.890
1464788804	26.770
1464788873	26.860
1464788944	26.790
1464789016	23.870
1464789087	26.890
1464789161	23.910
1464789236	24.040
1464789309	23.930
1464789382	24.010
1464789453	24.200
1464789527	26.920
1464789596	25.590
1464789669	26.830
1464789739	24.370
1464789811	24.190
1464789881	26.900
1464789955	23.890
1464790025	23.850
1464790097	24.030
1464790172	26.710
1464790241	24.100
1464790318	26.880
1464790393	27.050
1464790465	24.000
1464790538	26.790
1464790608	23.960
1464790680	25.680
1464790751	26.600
1464790821	24.080
1464790896	26.830
1464790972	24.200
1464791044	27.320
1464791114	23.880
1464791187	26.760
1464791260	23.910
1464791336	23.870
1464791408	27.020
1464791478	23.910
1464791550	24.090
1464791621	24.200
1464791691	24.010
1464791765	26.920
1464791836	27.170
1464791909	23.880
1464791980	26.540
1464792050	24.130
1464792120	23.790
1464792195	27.020
1464792266	26.930
1464792340	23.990
1464792411	23.900
1464792484	24.190
1464792555	23.930
1464792624	26.820
1464792703	26.720
1464792773	23.910
1464792845	26.690
1464792919	27.210
1464792989	23.860
1464793064	26.730
1464793135	26.010
1464793208	23.850
1464793280	24.080
1464793351	26.900
1464793422	24.140
1464793498	23.940
1464793574	26.950
1464793648	23.840
1464793718	23.820
1464793790	26.600
1464793863	26.740
1464793933	26.700
1464794004	24.070
1464794074	24.130
1464794145	26.670
1464794216	26.790
1464794290	24.250
1464794360	24.090
1464794433	27.000
1464794512	23.800
1464794585	26.980
1464794655	26.920
1464794729	26.690
1464794804	26.720
1464794877	26.910
1464794950	23.900
1464795023	23.980
1464795100	23.930
1464795175	24.200
1464795252	26.910
1464795327	26.620
1464795401	23.970
1464795473	28.020
1464795544	23.790
1464795616	26.740
1464795690	26.720
1464795761	23.780
1464795833	24.060
1464795904	24.110
1464795977	26.820
1464796053	26.870
1464796125	24.060
1464796198	27.090
1464796270	23.930
1464796342	26.750
1464796414	26.680
1464796485	23.950
1464796556	23.880
1464796628	26.870
1464796702	26.680
1464796772	23.950
1464796846	26.740
1464796916	26.810
1464796986	26.920
1464797060	24.110
1464797133	26.910
1464797204	26.790
1464797278	26.660
1464797348	26.800
1464797420	23.970
1464797492	41.890
1464797562	24.310
1464797636	27.310
1464797708	38.780
1464797782	29.750
1464797854	32.840
1464797925	24.230
1464798000	27.350
1464798071	30.670
1464798141	27.020
1464798213	26.950
1464798289	41.560
1464798364	37.910
1464798435	42.740
1464798505	39.400
1464798579	32.220
1464798649	60.120
1464798724	57.190
1464798796	64.190
1464798866	85.690
1464798937	108.990
1464799008	109.400
1464799085	64.840
1464799155	85.490
1464799230	105.930
1464799305	54.880
1464799377	82.660
1464799451	86.950
1464799525	106.260
1464799599	68.970
1464799672	95.740
1464799743	101.670
1464799814	105.360
1464799885	84.300
1464799959	96.590
1464800031	77.920
1464800103	84.430
1464800173	138.870
1464800243	120.130
1464800314	136.400
1464800387	130.870
1464800459	115.220
1464800534	130.250
1464800607	123.470
1464800682	135.610
1464800756	140.240
1464800826	124.060
1464800897	142.530
1464800968	138.890
1464801038	141.990
1464801113	127.480
1464801189	140.400
1464801264	125.650
1464801340	136.080
1464801411	138.260
1464801483	126.790
1464801553	122.300
1464801629	134.700
1464801704	132.050
1464801780	127.050
1464801854	134.770
1464801929	110.680
1464802004	131.330
1464802076	134.670
1464802149	125.120
1464802222	140.670
1464802297	127.620
1464802372	130.840
1464802446	141.760
1464802517	138.390
1464802591	131.320
1464802665	140.410
1464802739	126.520
1464802815	129.700
1464802890	134.000
1464802965	120.440
1464803035	134.690
1464803108	140.810
1464803180	139.550
1464803253	130.000
1464803325	134.340
1464803398	145.370
1464803469	133.200
1464803540	137.900
1464803611	143.310
1464803682	133.520
1464803756	140.260
1464803827	141.090
1464803898	138.380
1464803971	136.550
1464804042	128.020
1464804118	125.810
1464804195	137.150
1464804270	137.610
1464804341	123.610
1464804413	126.770
1464804485	123.820
1464804563	127.990
1464804639	123.090
1464804709	132.310
1464804780	121.990
1464804850	130.220
1464804926	127.020
1464805000	135.710
1464805072	132.470
1464805145	129.310
1464805219	135.060
1464805297	132.590
1464805371	136.310
1464805449	124.060
1464805525	141.580
1464805601	136.910
1464805676	132.160
1464805747	144.440
1464805818	134.080
1464805892	123.760
1464805963	140.610
1464806037	144.210
1464806109	122.300
1464806182	115.050
1464806254	128.670
1464806327	128.440
1464806400	143.190
1464806479	129.740
1464806554	131.700
1464806628	133.450
1464806698	139.970
1464806769	129.110
1464806842	135.180
1464806916	140.380
1464806987	138.800
1464807058	139.780
1464807130	115.600
1464807202	132.350
1464807276	117.900
1464807351	131.990
1464807427	142.720
1464807501	126.360
1464807574	133.470
1464807646	115.680
1464807717	122.510
1464807788	126.500
1464807861	86.980
1464807935	91.060
1464808008	96.140
1464808080	90.440
1464808150	137.130
1464808222	112.600
1464808294	140.940
1464808365	137.150
1464808437	137.390
1464808511	132.940
1464808586	135.920
1464808660	115.280
1464808734	134.990
1464808811	123.370
1464808886	129.160
1464808958	140.090
1464809030	140.030
1464809101	140.060
1464809172	114.070
1464809245	136.810
1464809320	118.560
1464809396	143.080
1464809471	117.770
1464809544	112.710
1464809618	124.880
1464809690	119.790
1464809765	108.170
1464809837	140.040
1464809910	104.500
1464809986	133.500
1464810061	141.790
1464810133	141.670
1464810204	141.100
1464810275	144.000
1464810347	139.700
1464810418	143.120
1464810490	144.020
1464810563	144.450
1464810641	140.390
1464810715	144.980
1464810788	141.940
1464810859	141.920
1464810933	137.070
1464811005	146.660
1464811077	143.390
1464811152	143.730
1464811227	144.690
1464811299	144.340
1464811370	143.000
1464811440	135.060
1464811518	143.490
1464811593	139.100
1464811664	132.320
1464811736	144.300
1464811812	142.520
1464811885	141.630
1464811956	135.960
1464812029	131.750
1464812101	143.420
1464812174	136.540
1464812244	141.080
1464812314	123.110
1464812385	128.920
1464812455	128.760
1464812529	132.950
1464812601	129.430
1464812671	129.120
1464812742	140.230
1464812813	127.270
1464812885	142.660
1464812956	108.650
1464813026	120.610
1464813100	117.210
1464813172	53.510
1464813245	75.900
1464813317	72.720
1464813387	33.970
1464813456	65.330
1464813527	33.480
1464813600	49.340
1464813670	25.930
1464813740	23.800
1464813810	24.020
1464813885	24.200
1464813962	24.190
1464814033	24.000
1464814102	26.790
1464814172	23.860
1464814246	26.930
1464814321	27.110
1464814391	26.700
1464814470	28.380
1464814539	24.090
1464814614	26.790
1464814689	26.910
1464814759	24.110
1464814828	26.830
1464814899	26.820
1464814974	26.860
1464815045	27.010
1464815122	23.930
1464815193	24.090
1464815269	24.050
1464815341	23.680
1464815410	26.800
1464815481	23.810
1464815554	26.780
1464815625	25.800
1464815694	23.800
1464815765	26.990
1464815836	23.810
1464815910	27.020
1464815982	24.030
1464816056	23.980
1464816126	26.720
1464816200	26.880
1464816271	24.140
1464816343	24.150
1464816415	24.150
1464816485	23.870
1464816556	24.020
1464816627	24.330
1464816697	23.920
1464816768	24.050
1464816841	23.910
1464816911	23.980
1464816983	26.710
1464817055	24.020
1464817126	26.850
1464817196	23.960
1464817266	29.650
1464817337	26.750
1464817408	27.070
1464817478	23.940
1464817549	23.820
1464817620	26.330
1464817698	26.760
1464817771	24.010
1464817842	24.000
1464817918	26.730
1464817989	26.880
1464818061	24.700
1464818135	27.050
1464818209	23.830
1464818283	26.770
1464818354	26.810
1464818424	24.060
1464818500	24.090
1464818573	23.900
1464818648	23.850
1464818725	26.600
1464818797	26.940
1464818870	23.970
1464818940	26.850
1464819016	23.930
1464819087	26.180
1464819158	27.080
1464819232	26.860
1464819310	26.740
1464819381	27.050
1464819456	24.210
1464819529	29.340
1464819600	24.260
1464819670	24.040
1464819744	23.990
1464819814	23.760
1464819885	26.950
1464819955	27.210
1464820025	24.010
1464820096	24.120
1464820170	26.980
1464820240	24.040
1464820316	26.930
1464820387	24.160
1464820457	23.960
1464820532	27.290
1464820602	23.970
1464820673	23.970
1464820747	23.890
1464820821	26.810
1464820895	24.230
1464820968	27.070
1464821041	23.890
1464821113	26.850
1464821184	26.940
1464821257	26.750
1464821331	23.930
1464821402	23.670
1464821473	26.830
1464821548	29.150
1464821621	23.890
1464821691	24.090
1464821763	26.920
1464821838	26.970
1464821910	26.670
1464821984	24.010
1464822061	23.920
1464822135	26.910
1464822208	24.310
1464822278	26.930
1464822354	24.040
1464822427	24.000
1464822502	26.690
1464822573	26.780
1464822646	23.910
1464822723	26.690
1464822797	26.890
1464822867	26.880
1464822937	26.810
1464823010	24.050
1464823081	23.940
1464823153	23.870
1464823226	26.690
1464823297	23.960
1464823367	27.020
1464823439	26.720
1464823514	26.810
1464823587	23.930
1464823662	24.260
1464823734	23.980
1464823806	24.270
1464823879	26.730
1464823952	26.850
1464824023	26.710
