timestamp[s]	latency_value[ms]
1464774794	828.200
1464774871	769.160
1464774950	820.000
1464775025	824.980
1464775100	777.830
1464775175	836.430
1464775252	811.970
1464775326	852.450
1464775404	827.160
1464775478	833.660
1464775556	798.740
1464775630	819.300
1464775708	823.680
1464775784	812.480
1464775860	787.050
1464775937	802.630
1464776011	807.250
1464776086	872.950
1464776162	831.200
1464776235	827.700
1464776315	821.690
1464776391	807.230
1464776469	763.170
1464776543	770.180
1464776621	807.280
1464776696	788.490
1464776771	750.720
1464776847	796.970
1464776923	824.480
1464776999	828.870
1464777073	814.640
1464777148	814.940
1464777226	833.490
1464777301	770.590
1464777379	745.220
1464777456	800.120
1464777529	721.210
1464777606	789.360
1464777684	764.760
1464777757	771.620
1464777833	761.730
1464777909	820.490
1464777985	750.160
1464778060	804.320
1464778136	807.770
1464778212	812.760
1464778289	818.440
1464778370	821.410
1464778443	872.460
1464778524	760.990
1464778599	818.640
1464778673	818.160
1464778747	829.650
1464778823	806.870
1464778900	785.910
1464778980	745.990
1464779056	814.260
1464779133	793.170
1464779207	814.130
1464779284	826.800
1464779360	810.250
1464779436	804.770
1464779510	819.050
1464779588	829.700
1464779665	814.970
1464779741	823.500
1464779820	825.280
1464779897	763.340
1464779973	784.240
1464780051	754.330
1464780125	756.940
1464780201	813.190
1464780276	766.540
1464780352	814.540
1464780426	866.450
1464780501	737.610
1464780577	816.050
1464780654	778.460
1464780731	775.720
1464780810	833.990
1464780887	869.850
1464780961	843.320
1464781036	762.860
1464781112	809.900
1464781190	782.980
1464781263	790.330
1464781338	767.860
1464781418	798.620
1464781497	846.640
1464781573	837.370
1464781647	827.010
1464781726	806.920
1464781803	738.270
1464781882	765.360
1464781956	793.560
1464782034	772.100
1464782109	788.930
1464782188	817.380
1464782263	805.370
1464782340	817.010
1464782417	838.190
1464782493	849.920
1464782571	836.700
1464782645	817.550
1464782723	805.400
1464782798	752.480
1464782872	844.400
1464782949	762.570
1464783024	811.660
1464783104	824.880
1464783181	836.660
1464783258	823.560
1464783332	770.820
1464783410	804.290
1464783489	826.490
1464783564	832.040
1464783644	780.440
1464783718	796.040
1464783792	798.110
1464783869	766.650
1464783944	809.860
1464784022	837.590
1464784096	757.830
1464784172	797.380
1464784251	829.600
1464784325	766.380
1464784398	852.550
1464784474	755.120
1464784548	742.100
1464784627	834.210
1464784700	746.840
1464784780	822.020
1464784858	744.560
1464784934	813.120
1464785010	810.810
1464785089	803.450
1464785162	799.100
1464785237	812.270
1464785315	825.430
1464785397	856.430
1464785472	816.120
1464785548	821.640
