timestamp[s]	latency_value[ms]
1464774795	320.240
1464774871	319.990
1464774949	326.330
1464775023	322.180
1464775099	319.090
1464775172	322.130
1464775246	382.740
1464775320	376.540
1464775394	334.640
1464775466	378.760
1464775538	332.910
1464775612	273.010
1464775688	376.820
1464775761	381.550
1464775838	275.330
1464775916	326.420
1464775990	332.000
1464776062	331.740
1464776136	378.330
1464776207	275.350
1464776278	328.630
1464776354	378.520
1464776427	265.660
1464776503	330.000
1464776579	376.790
1464776656	332.820
1464776729	376.570
1464776802	382.720
1464776873	326.440
1464776949	322.270
1464777021	378.340
1464777093	376.640
1464777167	326.290
1464777240	325.000
1464777316	329.860
1464777389	320.190
1464777464	378.510
1464777535	380.600
1464777607	324.190
1464777683	320.140
1464777755	266.020
1464777827	320.700
1464777900	319.290
1464777973	381.210
1464778047	322.160
1464778119	326.400
1464778191	275.410
1464778268	323.420
1464778343	278.420
1464778418	319.840
1464778496	383.630
1464778570	323.160
1464778643	325.090
1464778716	376.750
1464778793	376.340
1464778870	381.450
1464778944	322.260
1464779016	325.090
1464779092	376.540
1464779167	326.460
1464779241	380.890
1464779314	275.720
1464779391	323.140
1464779469	378.490
1464779540	335.890
1464779612	326.490
1464779685	275.750
1464779761	376.700
1464779833	322.000
1464779906	379.380
1464779985	323.660
1464780057	378.670
1464780130	379.600
1464780206	319.250
1464780281	375.490
1464780356	332.830
1464780431	323.180
1464780506	328.800
1464780579	266.020
1464780651	379.500
1464780723	272.440
1464780799	375.690
1464780874	379.960
1464780947	379.590
1464781026	322.150
1464781100	325.260
1464781172	379.490
1464781248	319.730
1464781322	320.630
1464781399	320.190
1464781474	377.950
1464781546	319.170
1464781621	320.300
1464781698	379.590
1464781772	322.270
1464781846	379.740
1464781917	376.720
1464781991	272.240
1464782065	322.340
1464782139	322.080
1464782212	319.550
1464782284	323.170
1464782360	335.850
1464782433	376.650
1464782504	382.660
1464782577	380.700
1464782650	376.900
1464782725	326.300
1464782802	323.450
1464782877	322.930
1464782951	268.750
1464783024	323.380
1464783100	381.860
1464783172	323.470
1464783246	278.680
1464783319	379.220
1464783392	273.090
1464783465	320.900
1464783538	265.810
1464783614	320.820
1464783690	375.700
1464783761	322.310
1464783842	380.550
1464783917	322.050
1464783990	323.700
1464784065	323.650
1464784142	380.820
1464784216	332.720
1464784289	379.600
1464784363	376.510
1464784437	323.660
1464784509	334.890
1464784588	266.110
1464784660	322.980
1464784735	262.960
1464784808	380.690
1464784884	322.440
1464784958	320.060
1464785035	384.010
1464785109	338.930
1464785181	266.910
1464785252	381.810
1464785330	327.090
1464785406	323.650
1464785482	382.410
1464785557	378.080
1464785633	377.450
1464785708	380.630
1464785780	320.230
1464785857	320.370
1464785937	323.820
1464786009	336.730
1464786086	335.260
1464786160	275.480
1464786232	376.820
1464786304	319.460
1464786381	338.700
1464786457	263.970
1464786529	322.240
1464786606	325.480
1464786678	334.760
1464786751	322.030
1464786824	378.680
1464786900	409.630
1464786973	376.710
1464787048	262.880
1464787126	322.290
1464787200	381.520
1464787277	398.510
1464787353	382.420
1464787429	322.460
1464787504	321.810
1464787577	385.910
1464787649	265.890
1464787725	388.330
1464787802	331.670
1464787878	405.240
1464787957	335.880
1464788028	268.980
1464788104	412.400
1464788181	389.620
1464788255	362.140
1464788328	322.240
1464788404	325.470
1464788478	331.720
1464788551	266.420
1464788627	322.440
1464788698	376.500
1464788774	377.630
1464788849	382.670
1464788924	265.830
1464788996	377.450
1464789071	323.420
1464789143	322.210
1464789215	323.940
1464789288	272.640
1464789359	268.940
1464789433	379.780
1464789505	380.660
1464789583	264.000
1464789655	319.080
1464789728	379.800
1464789802	380.670
1464789876	323.430
1464789948	323.220
1464790024	376.720
1464790096	379.680
1464790172	323.350
1464790243	326.010
1464790323	265.870
1464790398	329.990
1464790473	379.710
1464790551	379.380
1464790626	382.740
1464790698	331.700
1464790770	326.310
1464790845	378.880
1464790921	332.040
1464790992	380.740
1464791067	320.340
1464791143	380.630
1464791218	380.650
1464791290	320.230
1464791361	322.370
1464791435	275.700
1464791507	320.380
1464791584	325.450
1464791656	262.880
1464791730	378.010
1464791806	381.810
1464791882	376.180
1464791956	380.700
1464792032	332.010
1464792109	322.250
1464792182	326.440
1464792253	383.880
1464792326	333.110
1464792398	322.260
1464792470	323.360
1464792542	377.480
1464792619	319.170
1464792695	383.770
1464792770	322.370
1464792844	322.970
1464792919	272.390
1464792991	269.030
1464793063	376.850
1464793139	331.990
1464793216	376.690
1464793288	275.480
1464793361	323.260
1464793434	269.080
