timestamp[s]	latency_value[ms]
1464774791	273.260
1464774862	313.800
1464774935	316.880
1464775004	317.690
1464775075	322.110
1464775146	321.180
1464775216	319.730
1464775291	321.380
1464775362	320.190
1464775433	322.010
1464775508	260.400
1464775579	269.570
1464775649	320.870
1464775719	275.160
1464775790	261.150
1464775862	319.160
1464775937	272.700
1464776008	269.740
1464776080	264.020
1464776150	260.570
1464776220	272.230
1464776293	317.140
1464776363	259.570
1464776437	318.090
1464776507	318.350
1464776579	263.070
1464776650	270.170
1464776720	261.370
1464776791	316.900
1464776862	322.200
1464776932	316.000
1464777004	318.550
1464777079	263.300
1464777149	316.890
1464777222	319.150
1464777292	323.040
1464777362	318.870
1464777432	321.620
1464777503	321.040
1464777573	318.000
1464777645	316.580
1464777716	265.130
1464777787	323.290
1464777862	320.910
1464777936	275.860
1464778009	261.760
1464778080	270.180
1464778154	318.590
1464778224	322.600
1464778294	312.690
1464778368	320.530
1464778439	320.630
1464778509	319.840
1464778579	317.280
1464778651	319.090
1464778721	320.820
1464778793	319.510
1464778867	265.620
1464778937	321.350
1464779008	316.160
1464779080	273.080
1464779152	260.490
1464779224	270.860
1464779296	322.630
1464779369	260.830
1464779440	320.520
1464779511	265.750
1464779584	319.160
1464779659	317.000
1464779735	266.040
1464779806	315.750
1464779876	317.090
1464779947	273.740
1464780018	319.710
1464780089	319.290
1464780163	275.530
1464780234	274.070
1464780307	319.080
1464780378	318.110
1464780448	313.310
1464780517	262.630
1464780588	319.920
1464780660	320.230
1464780731	322.290
1464780806	317.660
1464780879	321.900
1464780950	318.380
1464781026	260.990
1464781098	317.200
1464781169	266.830
1464781241	316.710
1464781311	318.510
1464781381	256.710
1464781451	319.700
1464781524	322.810
1464781597	275.600
1464781667	323.670
1464781740	273.150
1464781814	322.220
1464781884	317.640
1464781954	272.450
1464782024	320.270
1464782099	318.730
1464782173	269.680
1464782248	317.390
1464782321	317.190
1464782396	319.690
1464782471	322.670
1464782544	322.780
1464782617	319.860
1464782688	263.380
1464782758	317.570
1464782830	317.280
1464782904	273.120
1464782974	319.870
1464783046	317.980
1464783116	263.640
1464783188	318.960
