timestamp[s]	latency_value[ms]
1464774791	173.740
1464774861	170.570
1464774931	176.260
1464775001	170.930
1464775071	184.190
1464775141	167.820
1464775211	183.910
1464775281	172.410
1464775352	172.430
1464775422	168.140
1464775492	174.560
1464775562	172.840
1464775632	166.360
1464775702	172.460
1464775773	185.150
1464775843	169.890
1464775913	181.250
1464775983	171.000
1464776053	174.930
1464776123	168.040
1464776194	172.470
1464776264	181.860
1464776334	182.430
1464776404	184.630
1464776475	168.270
1464776545	171.730
1464776615	173.900
1464776685	183.770
1464776756	173.390
1464776826	169.860
1464776896	173.990
1464776966	174.340
1464777036	174.580
1464777106	178.070
1464777177	181.190
1464777247	181.630
1464777317	169.620
1464777387	177.680
1464777457	168.110
1464777528	178.420
1464777598	177.240
1464777668	172.630
1464777738	169.030
1464777808	177.550
1464777879	174.840
1464777949	173.230
1464778019	176.120
1464778089	180.850
1464778159	181.960
1464778230	166.970
1464778300	176.630
1464778370	173.310
1464778440	186.840
1464778510	176.270
1464778581	177.020
1464778651	174.000
1464778721	171.890
1464778791	183.440
1464778861	173.110
1464778932	174.900
1464779002	166.810
1464779072	168.870
1464779142	181.500
1464779212	168.930
1464779282	165.970
1464779353	173.990
1464779423	172.810
1464779493	184.660
1464779563	185.410
1464779633	173.510
1464779704	165.740
1464779774	181.380
1464779844	176.190
1464779914	171.150
1464779985	182.300
1464780055	173.200
1464780125	166.020
1464780195	167.010
1464780265	175.480
1464780335	171.800
1464780405	173.780
1464780476	169.180
1464780546	172.610
1464780616	170.940
1464780686	175.500
1464780756	166.140
1464780826	167.630
1464780896	167.880
1464780967	173.300
1464781037	167.710
1464781107	168.070
1464781177	173.620
1464781247	166.500
1464781317	167.000
1464781387	174.660
1464781458	175.880
1464781528	174.190
1464781598	173.890
1464781668	178.710
1464781739	182.040
1464781809	166.410
1464781879	176.880
1464781949	172.410
1464782019	173.900
1464782090	174.430
1464782160	175.850
1464782230	173.510
1464782300	174.420
1464782370	172.770
1464782440	171.750
1464782511	170.970
1464782581	173.210
1464782651	184.660
1464782721	173.090
1464782792	171.940
1464782862	166.220
1464782932	172.280
1464783002	165.970
1464783072	172.700
1464783142	172.500
1464783213	172.770
1464783283	176.330
1464783354	168.640
1464783424	186.440
1464783494	173.940
1464783564	175.090
1464783634	174.910
1464783704	177.310
1464783774	180.990
1464783844	170.950
1464783914	171.680
1464783985	174.640
1464784055	176.420
1464784125	183.430
1464784195	179.220
1464784265	173.100
1464784336	173.290
1464784406	184.300
1464784476	167.150
1464784546	171.250
1464784616	173.750
1464784686	174.390
1464784757	165.860
1464784827	183.870
1464784897	176.340
1464784967	174.190
1464785037	187.270
1464785107	172.040
1464785178	167.380
1464785248	182.220
1464785318	176.850
1464785388	174.830
1464785459	173.300
1464785529	171.720
1464785599	177.390
1464785669	173.410
1464785739	181.280
1464785810	175.630
1464785880	171.920
1464785950	176.140
1464786020	173.880
1464786091	167.410
1464786162	183.200
1464786232	183.890
1464786302	171.640
1464786372	182.110
1464786442	174.880
1464786512	173.770
1464786583	173.510
1464786653	172.730
1464786723	167.690
1464786794	172.800
1464786864	169.740
1464786934	172.050
1464787004	177.320
1464787074	165.910
1464787144	168.710
