timestamp[s]	latency_value[ms]
1464774787	316.110
1464774858	314.820
1464774928	318.730
1464774998	313.330
1464775067	315.220
1464775137	314.980
1464775206	315.000
1464775276	311.940
1464775346	314.200
1464775415	314.350
1464775485	320.520
1464775555	315.060
1464775624	314.870
1464775694	313.160
1464775764	315.350
1464775833	317.780
1464775903	314.040
1464775973	318.320
1464776042	314.860
1464776112	315.560
1464776182	317.530
1464776251	317.230
1464776322	316.200
1464776392	317.860
1464776462	314.490
1464776531	309.880
1464776601	315.160
1464776670	310.590
1464776740	315.010
1464776810	314.800
1464776879	314.820
1464776949	317.330
1464777019	314.500
1464777089	318.950
1464777158	314.800
1464777228	313.560
1464777297	315.190
1464777367	315.600
1464777436	313.700
1464777506	314.170
1464777575	314.640
1464777645	317.610
1464777715	315.200
1464777784	314.670
1464777854	316.700
1464777924	314.280
1464777993	315.610
1464778063	313.540
1464778132	314.950
1464778202	313.570
1464778273	316.210
1464778343	315.320
1464778413	313.300
1464778482	314.190
1464778553	314.380
1464778622	314.420
1464778692	318.640
1464778761	315.970
1464778831	314.400
1464778901	315.190
1464778970	315.430
1464779040	314.530
1464779110	315.160
1464779180	314.730
1464779250	315.550
1464779320	315.950
1464779390	316.390
1464779460	314.800
1464779529	315.690
1464779599	310.580
1464779669	311.680
1464779739	312.860
1464779809	314.320
1464779878	315.270
1464779948	316.810
1464780017	314.020
1464780087	314.290
1464780157	319.740
1464780227	317.640
1464780296	314.380
1464780366	314.410
1464780436	313.890
1464780505	310.190
1464780575	314.060
1464780645	313.780
1464780714	313.820
1464780784	315.160
1464780854	313.540
1464780924	315.600
1464780994	311.180
1464781064	314.010
1464781135	310.880
1464781205	316.580
1464781275	312.480
1464781345	315.740
1464781415	314.320
1464781484	314.080
1464781554	316.230
1464781623	318.850
1464781693	314.790
1464781763	314.700
1464781833	314.600
1464781902	316.160
1464781972	315.840
1464782042	318.650
1464782112	317.590
1464782183	315.370
1464782253	316.530
1464782323	317.090
1464782393	313.300
1464782463	315.930
1464782533	314.820
1464782602	314.280
1464782672	317.930
1464782742	316.090
1464782811	319.580
1464782881	310.410
1464782951	316.740
1464783020	315.650
1464783090	314.040
1464783160	316.610
1464783229	317.760
1464783299	314.880
1464783368	314.440
1464783439	314.750
1464783508	313.890
1464783578	313.510
1464783648	315.080
1464783717	313.450
1464783787	315.950
1464783857	314.680
1464783927	316.590
1464783996	315.570
1464784066	316.330
1464784135	316.990
1464784205	319.380
1464784275	310.550
1464784344	319.640
1464784414	316.450
1464784484	314.120
1464784554	316.030
1464784624	314.430
1464784694	315.670
1464784763	313.800
1464784833	315.150
1464784902	317.080
1464784972	313.830
1464785042	313.600
1464785112	316.470
1464785181	318.300
1464785251	314.830
1464785321	315.430
1464785391	314.890
1464785461	311.780
1464785530	314.100
1464785600	313.370
1464785669	318.130
1464785739	315.150
1464785809	315.410
1464785878	314.590
1464785948	316.210
1464786017	317.700
1464786087	314.890
1464786156	314.940
1464786226	316.080
1464786296	319.220
1464786367	317.580
1464786437	315.090
1464786507	315.230
1464786576	330.630
1464786646	310.940
1464786715	317.060
1464786785	317.800
1464786854	315.240
1464786924	313.880
1464786994	312.070
1464787064	312.970
1464787134	317.200
1464787204	311.470
1464787274	316.260
1464787344	312.810
1464787414	313.090
1464787483	314.690
1464787553	310.110
1464787623	313.800
1464787693	318.190
1464787763	315.900
1464787832	316.870
1464787902	315.970
1464787972	316.800
1464788042	315.610
1464788112	325.680
1464788181	324.400
1464788252	314.170
1464788322	315.410
1464788392	323.370
1464788462	320.230
1464788531	319.530
1464788601	323.950
1464788670	334.920
1464788740	325.500
1464788810	330.060
1464788880	318.060
1464788949	322.730
1464789019	326.030
1464789089	325.040
1464789159	318.420
1464789229	319.920
1464789299	320.360
1464789369	324.710
1464789439	323.490
1464789509	318.870
1464789578	321.210
1464789648	323.270
1464789718	319.400
1464789787	324.730
1464789857	323.340
1464789927	327.350
1464789996	323.800
1464790066	324.420
1464790135	325.070
1464790205	324.600
1464790275	321.500
1464790346	327.790
1464790415	326.630
1464790485	325.190
1464790555	326.390
1464790624	324.390
1464790694	318.060
1464790763	318.210
1464790833	324.460
1464790903	325.970
1464790972	320.110
1464791042	328.290
1464791112	342.730
1464791183	323.960
1464791253	328.010
1464791324	350.000
1464791395	319.590
1464791465	314.040
1464791535	325.610
1464791605	324.870
1464791674	324.030
1464791744	318.880
1464791813	325.580
1464791883	322.850
1464791953	323.570
1464792022	324.700
1464792092	326.060
1464792162	325.640
1464792232	318.320
1464792302	324.600
1464792371	318.500
1464792441	323.960
1464792510	319.110
1464792580	325.630
1464792650	318.880
1464792720	321.460
1464792790	324.610
1464792860	324.530
1464792929	326.100
1464793000	327.260
1464793069	324.430
1464793139	320.270
1464793209	319.280
1464793279	325.140
1464793349	317.570
1464793419	322.440
1464793489	329.790
1464793558	324.960
1464793628	324.460
1464793698	317.850
1464793768	324.330
1464793838	325.860
1464793908	323.130
1464793978	324.990
1464794047	323.110
1464794117	326.710
1464794187	325.000
1464794257	320.510
1464794327	327.020
1464794397	319.550
1464794467	323.460
1464794537	319.250
1464794607	326.900
1464794677	319.880
1464794746	324.580
1464794816	327.090
1464794886	324.400
1464794956	323.030
1464795025	325.670
1464795095	320.310
1464795165	325.020
1464795234	326.480
1464795305	317.300
1464795374	323.590
1464795444	323.750
1464795514	319.180
1464795583	325.950
1464795653	324.700
1464795723	317.610
1464795792	324.400
1464795862	318.070
1464795931	323.550
1464796001	324.040
1464796071	325.920
1464796141	324.170
1464796210	320.970
1464796280	325.390
1464796350	330.720
1464796420	324.560
1464796489	325.830
1464796559	324.770
1464796629	317.860
1464796699	317.960
1464796769	325.460
1464796838	317.980
1464796908	327.560
1464796978	318.960
1464797047	329.750
1464797117	320.440
1464797187	318.320
1464797256	318.270
1464797326	324.070
1464797395	318.430
1464797465	329.430
1464797535	317.270
1464797604	321.240
1464797674	326.250
1464797744	318.150
1464797814	324.710
1464797883	324.650
1464797953	326.120
1464798022	319.230
1464798092	317.400
1464798162	318.180
1464798231	323.710
1464798301	327.330
1464798371	319.320
1464798440	322.750
1464798510	325.070
1464798580	324.770
1464798650	325.050
1464798720	325.700
1464798789	324.190
1464798859	318.820
1464798929	319.910
1464798998	326.610
1464799068	323.730
1464799138	319.770
1464799207	318.130
1464799277	320.120
1464799346	321.730
1464799416	319.070
1464799486	322.070
1464799555	326.040
1464799625	325.110
1464799694	324.230
1464799764	328.360
1464799834	326.030
1464799903	320.030
1464799973	326.900
1464800042	325.500
1464800112	324.090
1464800182	324.360
1464800251	321.270
1464800321	324.300
1464800391	323.900
1464800461	324.400
1464800530	318.870
1464800600	324.710
1464800670	324.050
1464800740	324.530
1464800809	318.460
1464800879	318.850
1464800950	342.270
1464801021	327.680
1464801094	318.260
1464801165	324.760
1464801234	325.330
1464801304	318.250
1464801374	325.400
1464801443	323.290
1464801513	318.120
1464801582	326.410
1464801652	319.890
1464801722	318.020
1464801791	323.870
1464801861	325.350
1464801931	3318.110
1464802003	323.830
1464802073	323.800
1464802143	317.410
1464802212	325.410
1464802282	323.160
1464802352	326.130
1464802422	318.630
1464802491	321.580
1464802561	324.050
1464802630	324.590
1464802700	325.560
1464802770	325.750
1464802840	325.060
1464802909	324.390
1464802979	317.720
1464803049	323.670
1464803119	317.720
1464803189	325.040
1464803260	325.170
1464803329	326.180
1464803400	332.650
1464803470	326.940
1464803540	321.270
1464803610	326.290
1464803679	318.830
1464803749	325.580
1464803819	316.500
1464803888	324.420
1464803958	323.820
1464804027	325.200
1464804097	320.180
1464804167	318.420
1464804237	325.820
1464804306	327.390
1464804376	323.250
1464804445	324.630
1464804515	322.770
1464804585	325.630
1464804654	323.730
1464804724	319.920
1464804794	330.430
1464804864	317.910
1464804934	325.750
1464805004	320.350
1464805074	325.960
1464805144	323.590
1464805214	327.520
1464805284	317.980
1464805354	324.100
1464805424	325.880
1464805493	328.070
1464805563	318.150
1464805633	324.830
1464805703	324.750
1464805772	324.780
1464805842	324.520
1464805912	327.290
1464805982	324.080
1464806052	326.060
1464806122	325.290
1464806192	325.610
1464806261	318.350
1464806331	318.380
1464806400	324.110
1464806470	321.580
1464806539	318.370
1464806609	324.460
1464806679	317.860
1464806749	317.430
1464806819	327.840
1464806888	324.890
1464806959	326.730
1464807028	324.490
1464807098	321.130
1464807167	317.560
1464807237	325.660
1464807307	323.730
1464807376	324.400
1464807446	319.550
1464807516	318.900
1464807585	318.170
1464807656	323.660
1464807725	323.950
1464807795	323.480
1464807864	328.790
1464807934	324.850
1464808004	323.750
1464808074	329.530
1464808143	324.600
1464808213	321.330
1464808283	325.170
1464808353	324.820
1464808422	322.970
1464808492	320.100
1464808561	324.740
1464808631	324.270
1464808700	318.250
1464808770	325.010
1464808840	327.830
1464808909	323.670
1464808979	325.730
1464809049	324.980
1464809119	320.680
1464809190	324.730
1464809260	332.580
1464809331	316.470
1464809400	321.780
1464809470	320.930
1464809540	326.460
1464809610	318.800
1464809679	320.090
1464809749	325.130
1464809819	320.890
1464809889	326.600
1464809958	324.060
1464810028	327.660
1464810098	320.200
1464810167	325.740
1464810237	324.910
1464810307	318.720
1464810377	322.600
1464810446	323.910
1464810516	317.670
1464810586	324.120
1464810656	326.210
1464810725	326.630
1464810795	324.200
1464810864	317.640
1464810934	318.500
1464811004	327.580
1464811074	327.390
1464811144	324.750
1464811213	319.760
1464811283	325.440
1464811353	317.890
1464811422	324.190
1464811492	326.320
1464811561	324.130
1464811631	324.550
1464811701	328.260
1464811771	327.830
1464811840	324.110
1464811910	326.710
1464811979	317.850
1464812049	324.100
1464812119	321.280
1464812188	324.950
1464812258	328.750
1464812328	324.850
1464812398	313.960
1464812468	325.430
1464812537	324.790
1464812607	318.000
1464812676	315.170
1464812746	324.150
1464812816	317.200
1464812886	324.590
1464812956	320.970
1464813025	327.240
1464813095	327.680
1464813164	326.160
1464813234	326.100
1464813304	319.050
1464813374	324.330
1464813443	319.930
1464813513	327.270
1464813583	326.230
1464813653	324.050
1464813723	318.820
1464813793	324.550
1464813862	327.750
1464813932	325.200
1464814002	321.070
1464814072	318.980
1464814141	320.570
1464814211	319.660
1464814280	318.970
1464814350	325.120
1464814421	330.060
1464814491	321.210
1464814560	316.250
1464814630	320.690
1464814700	324.190
1464814770	325.640
1464814839	325.850
1464814909	324.930
1464814978	326.230
1464815048	326.460
1464815118	320.840
1464815187	316.380
1464815257	326.640
1464815326	324.010
1464815396	314.580
1464815466	324.750
1464815536	315.050
1464815605	314.860
1464815675	317.810
1464815745	323.860
1464815814	328.580
1464815884	314.750
1464815953	314.460
1464816023	316.130
1464816093	318.010
1464816162	317.840
1464816232	315.190
1464816303	320.110
1464816372	321.140
1464816442	324.240
1464816512	324.770
1464816581	319.660
1464816651	317.630
1464816721	316.340
1464816790	323.730
1464816860	318.700
1464816930	324.790
1464817000	316.290
1464817070	326.900
1464817139	318.460
1464817209	318.600
1464817278	317.740
1464817348	324.210
1464817418	324.240
1464817487	324.740
1464817557	453.460
1464817627	313.890
1464817697	315.740
1464817766	318.400
1464817836	317.740
1464817906	311.890
1464817975	314.870
1464818045	324.330
1464818115	324.980
1464818184	326.170
1464818254	315.700
1464818324	314.990
1464818393	324.610
1464818463	323.650
1464818533	327.080
1464818603	314.110
1464818673	323.340
1464818744	324.480
1464818814	313.890
1464818883	319.600
1464818953	324.560
1464819023	313.790
1464819093	314.090
1464819162	325.880
1464819232	317.120
1464819302	323.640
1464819372	323.810
1464819442	325.210
1464819512	318.150
1464819583	323.740
1464819653	325.190
1464819722	314.580
1464819792	324.230
1464819861	317.570
1464819931	318.270
1464820001	323.410
1464820071	315.950
1464820141	315.010
1464820210	324.240
1464820280	320.590
1464820350	314.810
1464820419	313.280
1464820489	317.430
1464820558	324.930
1464820628	323.990
1464820698	320.580
1464820767	324.540
1464820837	323.730
1464820906	314.490
1464820977	318.430
1464821047	321.830
1464821116	315.760
1464821186	315.030
1464821255	316.930
1464821325	324.820
1464821395	317.620
1464821464	313.150
1464821534	314.260
1464821604	314.460
1464821674	314.420
1464821743	316.460
1464821813	320.070
1464821883	325.440
1464821953	317.830
1464822023	318.120
1464822092	314.690
1464822162	323.880
1464822232	329.980
1464822301	313.090
1464822372	324.680
1464822442	326.390
1464822512	317.610
1464822581	323.510
1464822651	313.590
1464822721	315.770
1464822791	320.610
1464822861	318.130
1464822931	314.160
1464823001	316.030
1464823070	316.520
1464823140	326.600
1464823210	318.120
1464823279	327.280
1464823349	315.990
1464823419	315.640
1464823489	313.970
1464823559	315.340
1464823628	315.980
1464823698	313.410
1464823768	316.550
1464823837	324.370
1464823907	323.420
1464823976	324.910
1464824047	366.580
1464824117	319.350
1464824193	326.030
1464824264	318.330
1464824333	313.300
1464824403	317.920
1464824472	324.310
1464824542	314.610
1464824612	313.030
1464824682	325.640
1464824751	315.810
1464824821	317.120
1464824891	324.220
1464824960	314.430
1464825030	324.790
1464825099	324.790
1464825169	326.590
1464825239	317.200
1464825309	317.250
1464825379	317.160
1464825450	327.160
1464825520	310.760
1464825590	313.670
1464825659	314.890
1464825729	328.520
1464825798	325.070
1464825868	325.680
1464825938	323.920
1464826008	314.170
1464826078	325.800
1464826148	325.860
1464826218	316.720
1464826288	326.880
1464826358	315.110
1464826428	317.100
1464826498	314.890
1464826568	340.010
1464826639	316.690
1464826709	314.840
1464826779	316.670
1464826849	316.190
1464826918	315.450
1464826989	313.370
1464827059	311.950
1464827129	317.390
1464827199	323.540
1464827269	311.680
1464827339	324.250
1464827409	316.370
1464827479	318.580
1464827549	317.480
1464827619	325.100
1464827689	316.810
1464827759	317.430
1464827829	323.990
1464827899	316.280
1464827970	314.630
1464828040	319.920
1464828109	325.700
1464828179	324.520
1464828249	317.640
1464828318	315.610
1464828388	326.560
1464828458	314.070
1464828528	324.580
1464828598	325.190
1464828668	324.150
1464828738	316.700
1464828808	315.840
1464828878	324.710
1464828948	314.720
1464829018	315.930
1464829088	313.670
1464829158	324.040
1464829228	324.840
1464829298	316.680
1464829368	323.260
1464829438	324.840
1464829508	314.960
1464829579	330.240
1464829649	316.620
1464829719	314.220
1464829789	314.770
1464829859	324.380
1464829929	331.660
1464829999	324.230
1464830069	326.810
1464830139	323.710
1464830209	314.050
1464830279	319.320
1464830349	318.060
1464830419	319.530
1464830489	317.790
1464830559	324.390
1464830629	318.360
1464830700	320.930
1464830770	325.200
1464830840	320.870
1464830910	318.910
1464830979	324.050
1464831049	317.820
1464831119	324.390
1464831189	323.750
1464831259	326.280
1464831329	320.420
1464831399	319.620
1464831469	324.830
1464831538	325.540
1464831608	317.040
1464831678	315.750
1464831748	314.780
1464831817	315.100
1464831887	318.540
1464831958	319.820
1464832028	314.220
1464832098	327.270
1464832168	324.460
1464832238	313.800
1464832307	318.400
1464832377	325.820
1464832447	326.530
1464832517	324.590
1464832587	315.600
1464832657	317.690
1464832726	324.290
1464832796	315.340
1464832866	313.750
1464832936	315.410
1464833006	321.400
1464833076	324.050
1464833146	320.270
1464833216	311.390
1464833286	323.450
1464833356	315.540
1464833426	318.400
1464833496	312.870
1464833566	316.110
1464833637	313.820
1464833706	320.990
1464833776	325.670
1464833846	317.080
1464833917	323.860
1464833987	327.350
1464834057	313.820
1464834127	315.730
1464834197	313.700
1464834267	316.420
1464834337	319.930
1464834407	323.520
1464834477	325.800
1464834547	323.710
1464834617	324.740
1464834686	318.230
1464834756	319.270
1464834825	324.600
1464834895	325.490
1464834965	320.170
1464835035	324.490
1464835105	324.630
1464835175	328.850
1464835245	325.880
1464835315	313.840
1464835385	314.760
1464835454	323.750
1464835524	329.270
1464835594	324.130
1464835664	324.680
1464835734	318.210
1464835803	323.970
1464835873	324.620
1464835943	313.870
1464836013	318.080
1464836083	324.620
1464836153	310.180
1464836223	324.780
1464836293	326.110
1464836363	323.650
1464836433	313.210
1464836504	316.040
1464836574	325.060
1464836643	314.410
1464836713	314.340
1464836783	316.780
1464836853	323.510
1464836924	324.590
1464836994	321.100
1464837064	327.400
1464837134	321.630
1464837205	325.890
1464837275	317.880
1464837345	317.670
1464837415	314.990
1464837485	313.900
1464837555	325.580
1464837625	320.950
1464837695	314.720
1464837765	318.110
1464837835	314.160
1464837905	316.310
1464837976	314.380
1464838045	336.620
1464838115	314.990
1464838186	313.970
1464838255	328.810
1464838325	314.140
1464838395	319.340
1464838465	324.570
1464838535	318.830
1464838604	330.130
1464838674	326.530
1464838743	319.670
1464838813	323.200
1464838884	314.570
1464838954	314.170
1464839024	326.280
1464839094	312.010
1464839164	319.150
1464839234	316.990
1464839304	314.150
1464839374	313.600
1464839444	310.050
1464839514	314.330
1464839584	318.080
1464839654	315.860
1464839724	314.130
1464839794	313.800
1464839864	323.450
1464839934	325.710
1464840003	323.280
1464840074	315.910
1464840143	321.530
1464840213	326.820
1464840283	317.730
1464840352	324.830
1464840422	314.600
1464840492	314.840
1464840562	323.560
1464840632	324.880
1464840703	316.030
1464840773	328.820
1464840843	324.520
1464840913	316.990
1464840983	323.840
1464841053	324.250
1464841123	320.300
1464841193	326.660
1464841263	314.470
1464841333	324.970
1464841403	315.130
1464841473	324.480
1464841543	313.600
1464841613	324.350
1464841683	316.120
1464841753	327.910
1464841824	318.610
1464841894	315.510
1464841964	324.820
1464842034	312.760
1464842104	311.870
1464842174	328.270
1464842244	315.510
1464842314	314.810
1464842384	325.660
1464842454	313.980
1464842524	319.860
1464842594	324.420
1464842664	314.670
1464842734	315.980
1464842804	314.690
1464842874	317.440
1464842944	326.690
1464843014	317.020
1464843084	323.480
1464843154	323.810
1464843224	317.380
1464843294	326.390
1464843364	323.330
1464843434	320.550
1464843504	311.200
1464843575	314.980
1464843645	317.980
1464843715	324.270
1464843784	323.960
1464843855	321.570
1464843925	326.790
1464843995	313.920
1464844065	314.890
1464844135	323.870
1464844205	323.480
1464844275	325.330
1464844345	317.110
1464844415	314.010
1464844485	323.940
1464844556	315.080
1464844626	323.780
1464844696	318.590
1464844766	323.540
1464844836	317.850
1464844906	316.000
1464844976	316.010
1464845046	318.190
1464845116	313.640
1464845186	323.100
1464845256	313.910
1464845326	318.810
1464845396	327.110
1464845466	318.420
1464845536	323.330
1464845606	326.920
1464845676	313.560
1464845746	326.010
1464845817	324.750
1464845886	317.220
1464845956	326.360
1464846027	313.880
1464846096	316.070
1464846166	316.410
1464846236	325.280
1464846306	325.590
1464846376	328.000
1464846447	315.710
1464846517	314.740
1464846587	320.600
1464846657	325.150
1464846727	317.160
1464846797	315.900
1464846867	317.420
1464846938	317.250
1464847008	324.710
1464847078	325.980
1464847147	326.770
1464847218	325.270
1464847288	324.090
1464847357	326.510
1464847427	324.810
1464847497	324.130
1464847568	323.570
1464847637	324.110
1464847707	318.140
1464847778	318.030
1464847848	324.240
1464847918	324.330
1464847988	324.070
1464848058	317.690
1464848128	323.970
1464848198	318.290
1464848268	323.790
1464848338	323.270
1464848408	322.540
1464848478	323.970
1464848548	321.350
1464848619	324.710
1464848688	318.980
1464848758	325.470
1464848828	318.130
1464848898	314.070
1464848969	320.690
1464849038	315.430
1464849109	326.450
1464849179	318.510
1464849249	314.450
1464849319	316.260
1464849389	326.020
1464849459	324.290
1464849529	314.320
1464849599	312.630
1464849669	327.590
1464849739	317.990
1464849809	324.610
1464849879	313.180
1464849949	325.790
1464850019	313.740
1464850089	323.850
1464850160	318.710
1464850230	314.770
1464850300	325.440
1464850369	315.000
1464850440	314.460
1464850510	315.200
1464850580	321.100
1464850650	324.050
1464850720	318.950
1464850790	318.280
1464850860	324.200
1464850930	314.400
1464851000	315.910
1464851070	324.730
1464851140	314.480
1464851210	317.080
1464851280	314.830
1464851350	326.620
1464851420	314.700
1464851490	314.130
1464851560	325.200
1464851631	318.170
1464851700	317.220
1464851771	324.810
1464851841	324.730
1464851911	319.280
1464851981	326.830
1464852051	314.870
1464852121	310.480
1464852191	315.790
1464852261	314.820
1464852331	313.760
1464852401	313.780
1464852472	316.300
1464852542	314.510
1464852612	310.820
1464852681	312.680
1464852752	317.810
1464852822	323.250
1464852892	317.370
1464852962	314.810
1464853031	316.770
1464853102	324.020
1464853171	324.520
1464853241	311.810
1464853312	315.560
1464853381	314.320
1464853451	314.030
1464853521	313.120
1464853590	316.050
1464853660	315.690
1464853730	314.640
1464853800	325.960
1464853870	322.470
1464853940	315.330
1464854010	318.840
1464854080	321.020
1464854150	314.580
1464854220	317.760
1464854290	313.460
1464854360	320.590
1464854430	326.500
1464854500	326.270
1464854570	317.930
1464854640	313.770
1464854710	314.800
1464854780	313.710
1464854850	317.520
1464854920	325.830
1464854990	316.360
1464855060	313.090
1464855131	311.590
1464855200	315.620
1464855271	326.790
1464855341	318.060
1464855411	317.840
1464855481	328.060
1464855551	313.130
1464855621	313.840
1464855691	320.560
1464855760	314.020
1464855830	314.060
1464855900	315.220
1464855969	313.400
1464856039	324.240
1464856109	314.740
1464856179	316.720
1464856249	320.590
1464856319	326.430
1464856389	323.530
1464856459	319.500
1464856529	314.590
1464856599	325.960
1464856669	315.220
1464856740	317.910
1464856810	313.250
1464856880	324.160
1464856950	320.680
1464857020	323.860
1464857089	314.980
1464857159	313.840
1464857229	314.530
1464857300	329.690
1464857370	314.150
1464857439	326.410
1464857510	323.910
1464857580	317.520
1464857650	315.300
1464857720	313.360
1464857790	320.760
1464857860	318.240
1464857930	327.480
1464858000	321.280
1464858070	325.210
1464858140	326.610
1464858210	318.620
1464858280	317.900
1464858350	317.120
1464858420	324.340
1464858490	324.800
1464858561	318.260
1464858631	320.830
1464858701	319.980
1464858770	318.520
1464858840	318.340
1464858911	323.170
1464858981	324.530
1464859051	323.430
1464859121	326.070
1464859191	319.800
1464859261	317.760
1464859331	317.360
1464859402	325.340
1464859472	317.710
1464859542	325.440
1464859611	312.560
1464859681	313.960
1464859752	319.110
1464859821	316.860
1464859891	324.270
1464859962	324.650
1464860032	314.160
1464860101	315.770
1464860172	314.040
1464860242	323.340
1464860311	315.170
1464860382	314.570
1464860452	316.170
1464860522	314.520
1464860592	317.420
1464860662	320.630
1464860732	323.770
1464860802	317.980
1464860872	313.320
1464860942	313.010
1464861012	319.120
1464861082	318.820
1464861152	313.920
1464861222	318.550
1464861292	317.010
1464861363	319.210
1464861434	313.750
1464861505	321.160
1464861575	315.920
1464861645	316.510
1464861715	324.280
1464861785	318.870
1464861855	317.310
1464861925	310.510
1464861995	323.630
1464862064	319.650
1464862135	326.140
1464862205	318.900
1464862275	314.210
1464862345	323.630
1464862415	314.470
1464862485	314.980
1464862555	317.210
1464862625	322.970
1464862695	313.190
1464862765	313.150
1464862835	313.570
1464862905	325.900
1464862975	314.320
1464863045	313.040
1464863115	318.180
1464863186	317.680
1464863256	324.240
1464863326	323.880
1464863397	320.160
1464863467	383.230
1464863537	324.510
1464863607	324.000
1464863677	316.990
1464863747	324.160
1464863817	317.820
1464863887	317.530
1464863957	318.630
1464864027	318.210
1464864097	321.590
1464864167	317.700
1464864237	322.080
1464864307	323.420
1464864377	325.970
1464864447	324.210
1464864518	331.810
1464864588	324.210
1464864658	318.990
1464864728	318.150
1464864798	324.600
1464864868	315.050
1464864938	328.450
1464865008	324.970
1464865078	323.070
1464865148	323.660
1464865218	328.710
1464865288	326.600
1464865358	323.280
1464865428	317.440
1464865498	323.640
1464865568	317.530
1464865639	324.400
1464865709	317.500
1464865779	324.890
1464865849	324.560
1464865919	323.170
1464865989	324.460
1464866059	323.130
1464866129	319.370
1464866199	322.850
1464866269	325.360
1464866339	318.900
1464866409	324.420
1464866479	324.610
1464866549	324.620
1464866619	324.230
1464866689	325.780
1464866759	317.440
1464866829	325.360
1464866899	318.550
1464866970	327.530
1464867040	325.620
1464867110	317.520
1464867181	319.060
1464867250	324.890
1464867320	324.040
1464867390	317.680
1464867460	316.850
1464867530	317.660
1464867600	327.970
1464867670	324.840
1464867740	323.780
1464867810	317.770
1464867880	324.030
1464867950	326.620
1464868020	324.990
1464868090	317.370
1464868160	326.480
1464868231	326.310
1464868301	321.360
1464868371	321.990
