timestamp[s]	latency_value[ms]
1464774792	532.560
1464774865	512.030
1464774937	554.450
1464775009	526.420
1464775081	544.990
1464775153	524.780
1464775225	538.200
1464775297	525.360
1464775368	533.490
1464775440	537.910
1464775512	537.370
1464775584	527.690
1464775655	536.280
1464775728	509.570
1464775799	533.240
1464775871	536.390
1464775943	534.050
1464776015	525.450
1464776087	534.910
1464776159	525.680
1464776230	507.880
1464776302	536.370
1464776374	528.140
1464776446	533.550
1464776518	504.750
1464776590	587.120
1464776662	527.810
1464776734	538.430
1464776806	522.710
1464776877	528.600
1464776949	516.750
1464777021	512.480
1464777093	533.890
1464777164	514.300
1464777237	545.460
1464777308	550.850
1464777380	552.950
1464777452	521.330
1464777524	523.690
1464777596	513.000
1464777668	534.720
1464777740	533.960
1464777812	525.950
1464777884	529.480
1464777955	557.240
1464778027	542.060
1464778099	512.530
1464778172	505.340
1464778243	526.950
1464778315	525.950
1464778387	555.510
1464778459	533.110
1464778530	526.560
1464778602	506.870
1464778677	503.200
1464778749	523.410
1464778821	531.170
1464778892	530.660
1464778965	543.150
1464779037	550.480
1464779108	506.680
1464779180	532.740
1464779252	539.990
1464779324	537.590
1464779396	509.540
1464779468	511.070
1464779540	548.380
1464779612	536.310
1464779684	522.710
1464779755	543.640
1464779827	508.060
1464779899	503.730
1464779971	538.530
1464780043	543.350
1464780115	538.140
1464780186	514.910
1464780258	517.590
1464780330	527.010
1464780402	512.880
1464780474	534.950
1464780545	535.710
1464780617	521.090
1464780689	524.670
1464780761	548.250
1464780833	529.500
1464780905	503.710
1464780977	519.000
1464781049	523.560
1464781120	516.540
1464781192	501.730
1464781264	532.730
1464781335	532.660
1464781407	499.310
1464781479	528.690
1464781551	524.710
1464781623	525.220
1464781694	560.600
1464781767	526.860
1464781839	1342.280
1464781912	538.080
1464781984	524.110
1464782055	537.180
1464782127	509.320
1464782199	535.000
1464782271	535.940
1464782342	534.140
1464782414	522.120
1464782486	502.960
1464782558	512.020
1464782629	528.560
1464782702	561.870
1464782773	520.420
1464782845	520.460
1464782917	503.890
1464782989	499.250
1464783060	502.670
1464783133	509.110
1464783204	514.220
1464783276	522.000
1464783348	533.220
1464783420	566.480
1464783492	580.900
1464783564	527.620
1464783636	513.750
1464783707	541.480
1464783779	551.390
1464783851	518.940
1464783923	514.010
1464783995	510.380
1464784068	521.850
1464784139	516.880
1464784211	524.810
1464784284	522.520
1464784356	527.800
1464784427	547.360
1464784499	519.870
1464784571	537.400
1464784643	518.690
1464784715	542.280
1464784787	538.940
1464784859	563.370
1464784931	537.590
1464785002	511.980
1464785074	554.050
1464785146	531.710
1464785218	544.930
1464785289	518.650
1464785361	518.140
1464785433	544.550
1464785505	527.420
1464785577	560.650
1464785649	546.930
1464785720	525.540
1464785792	3551.880
1464785867	517.520
1464785939	507.760
1464786011	548.670
1464786083	547.950
1464786155	542.110
1464786227	537.600
1464786299	521.360
1464786370	566.890
1464786442	545.120
1464786514	524.130
1464786586	537.890
1464786658	542.500
1464786730	511.110
1464786801	563.040
1464786874	534.800
1464786946	522.770
1464787017	541.500
1464787089	536.780
1464787161	548.950
1464787233	539.910
1464787305	530.270
1464787377	532.330
1464787448	518.380
1464787520	564.590
1464787593	1853.290
1464787666	551.390
1464787738	538.100
1464787811	545.660
1464787886	533.320
1464787958	530.650
1464788029	541.870
1464788101	528.080
1464788173	548.820
1464788245	548.280
1464788317	533.000
1464788390	519.600
1464788461	514.900
1464788533	534.330
1464788605	534.100
1464788677	517.410
1464788749	530.510
1464788821	535.020
1464788892	536.500
1464788965	538.480
1464789037	522.630
1464789109	527.270
1464789181	544.290
1464789253	538.240
1464789325	523.410
1464789397	524.410
1464789469	531.560
1464789544	524.230
1464789616	526.710
1464789687	531.030
1464789760	531.030
1464789832	538.460
1464789904	529.760
1464789976	538.190
1464790047	535.850
1464790119	530.260
1464790192	557.460
1464790264	543.000
1464790336	539.250
1464790408	546.420
1464790480	545.820
1464790552	540.210
1464790624	548.080
1464790696	549.270
1464790768	530.020
1464790840	530.310
1464790911	539.980
1464790983	532.410
1464791055	528.180
