timestamp[s]	latency_value[ms]
1464774788	494.860
1464774859	498.650
1464774929	494.030
1464775000	499.460
1464775071	498.970
1464775141	498.490
1464775211	495.180
1464775282	496.440
1464775352	495.140
1464775422	495.200
1464775493	497.160
1464775563	496.520
1464775633	498.510
1464775703	499.780
1464775773	499.160
1464775844	498.500
1464775914	497.690
1464775984	497.000
1464776054	495.160
1464776125	496.910
1464776195	498.270
1464776265	495.660
1464776335	498.270
1464776405	493.660
1464776476	495.420
1464776546	495.940
1464776616	498.660
1464776686	498.360
1464776757	496.700
1464776827	497.270
1464776897	499.340
1464776967	496.030
1464777038	500.000
1464777108	500.690
1464777178	501.230
1464777248	499.730
1464777319	498.560
1464777389	498.200
1464777459	498.290
1464777529	499.640
1464777599	501.640
1464777670	493.850
1464777740	496.100
1464777810	502.690
1464777880	504.860
1464777951	498.230
1464778021	495.940
1464778091	498.310
1464778161	496.890
1464778231	496.620
1464778302	505.020
1464778372	500.510
1464778443	496.690
1464778513	499.960
1464778584	497.080
1464778654	498.350
1464778724	502.770
1464778794	499.150
1464778865	500.260
1464778935	500.430
1464779005	496.130
1464779076	497.880
1464779146	496.790
1464779217	499.660
1464779287	499.380
1464779358	500.770
1464779428	495.310
1464779499	498.490
1464779569	497.790
1464779639	500.740
1464779709	501.590
1464779780	498.040
1464779850	496.900
1464779920	497.820
1464779990	497.280
1464780061	501.750
1464780131	498.080
1464780201	497.950
1464780271	497.340
1464780342	500.740
1464780412	496.690
1464780482	495.830
1464780552	501.910
1464780623	500.020
1464780693	500.550
1464780764	495.260
1464780834	495.680
1464780905	497.250
1464780975	497.750
1464781045	496.960
1464781115	498.990
1464781186	498.220
1464781256	500.250
1464781326	497.760
1464781396	498.780
1464781467	499.830
1464781537	500.210
1464781607	500.200
1464781677	499.020
1464781748	498.110
1464781818	498.170
1464781888	498.520
1464781959	502.770
1464782029	501.320
1464782099	497.950
1464782169	500.120
1464782240	501.900
1464782310	499.440
1464782381	501.690
1464782451	497.880
1464782522	499.180
1464782592	497.040
1464782662	498.240
1464782732	504.020
1464782802	498.020
1464782873	497.970
1464782943	497.940
1464783013	504.870
1464783083	519.370
1464783154	497.990
1464783224	498.600
1464783294	497.780
1464783364	500.450
1464783435	502.470
1464783505	499.770
1464783575	497.000
1464783645	502.140
1464783716	501.850
1464783786	500.460
1464783856	501.370
1464783926	500.470
1464783996	499.470
1464784067	498.110
1464784137	495.670
1464784207	495.450
1464784277	497.750
1464784348	500.540
1464784419	493.700
1464784489	495.970
1464784559	502.590
1464784630	495.850
1464784700	498.500
1464784770	495.920
1464784840	497.100
1464784911	505.370
1464784981	505.460
1464785051	495.340
1464785121	501.120
1464785191	504.400
1464785262	497.460
1464785332	502.130
1464785402	496.610
1464785472	495.830
1464785543	497.040
1464785613	495.760
1464785683	503.540
1464785754	495.080
1464785824	493.410
1464785895	508.050
1464785965	496.180
1464786035	502.270
1464786105	500.850
1464786176	494.250
1464786246	500.980
1464786316	493.600
1464786387	551.430
1464786457	496.720
1464786528	500.020
1464786598	500.190
1464786668	495.620
1464786739	498.480
1464786809	493.300
1464786879	501.400
1464786949	502.180
1464787020	496.330
1464787091	508.330
1464787162	493.330
1464787232	495.480
1464787302	501.960
1464787372	500.260
1464787443	496.650
1464787513	497.480
1464787583	499.150
1464787653	496.300
1464787724	497.640
1464787794	500.600
1464787864	495.790
1464787934	499.350
1464788004	502.270
1464788075	497.380
1464788145	495.840
1464788215	500.890
1464788285	497.460
1464788356	500.680
1464788426	495.930
1464788496	499.010
1464788566	503.470
1464788637	501.960
1464788707	498.760
1464788777	495.700
1464788847	498.840
1464788918	500.420
1464788988	493.140
1464789058	498.450
1464789128	499.880
1464789198	500.090
1464789269	502.170
1464789340	503.750
1464789411	499.670
1464789482	494.600
1464789552	496.900
1464789622	494.570
1464789692	495.620
1464789762	493.880
1464789833	500.920
1464789903	501.210
1464789973	500.560
1464790043	501.810
1464790114	497.920
1464790184	498.640
1464790254	496.980
1464790324	502.300
1464790395	495.430
1464790465	493.870
1464790535	493.900
1464790605	502.600
1464790676	495.810
1464790746	494.610
1464790816	496.480
1464790886	496.640
1464790956	495.310
1464791027	493.120
1464791097	497.070
1464791168	497.980
1464791239	499.270
1464791310	495.190
1464791381	534.120
1464791452	500.690
1464791523	494.420
1464791593	495.460
1464791663	495.830
1464791733	497.000
1464791804	496.610
1464791874	493.390
1464791944	495.630
1464792014	497.490
1464792084	496.360
1464792155	493.520
1464792225	494.550
1464792295	496.660
1464792365	495.960
1464792435	494.520
1464792506	495.420
1464792576	497.580
1464792646	496.380
1464792716	495.640
1464792787	493.310
1464792857	494.560
1464792927	495.560
1464792997	494.990
1464793067	495.130
1464793138	495.850
1464793208	494.980
1464793278	495.340
1464793348	496.920
1464793419	497.270
1464793489	497.640
1464793559	494.440
1464793629	493.250
1464793699	497.660
1464793770	494.030
1464793840	497.320
1464793910	494.850
1464793980	496.020
1464794050	493.550
1464794121	494.730
1464794191	496.450
1464794261	493.210
1464794331	495.320
1464794402	496.790
1464794472	496.390
1464794542	493.960
1464794612	495.750
1464794683	493.800
1464794753	496.530
1464794824	493.050
1464794894	494.610
1464794964	495.350
1464795035	493.610
