timestamp[s]	latency_value[ms]
1464774793	20.560
1464774863	20.860
1464774933	21.830
1464775002	21.470
1464775071	20.910
1464775141	21.560
1464775210	22.230
1464775280	22.440
1464775349	20.770
1464775419	21.520
1464775489	20.580
1464775559	21.880
1464775628	20.990
1464775698	20.860
1464775768	23.300
1464775837	22.320
1464775907	21.740
1464775977	22.600
1464776046	22.800
1464776116	20.490
1464776186	20.420
1464776255	20.460
1464776324	20.800
1464776394	20.900
1464776464	20.780
1464776533	21.810
1464776603	21.080
1464776673	23.340
1464776742	20.510
1464776812	20.580
1464776881	20.190
1464776951	20.180
1464777020	20.620
1464777090	20.510
1464777159	21.250
1464777229	21.120
1464777298	21.320
1464777368	21.500
1464777437	22.870
1464777507	24.110
1464777577	20.110
1464777646	21.150
1464777716	20.990
1464777785	20.710
1464777855	21.020
1464777925	21.030
1464777995	21.040
1464778064	23.380
1464778134	20.520
1464778203	20.740
1464778273	20.430
1464778343	21.010
1464778413	20.740
1464778482	21.050
1464778552	20.660
1464778621	21.580
1464778691	21.240
1464778760	22.550
1464778830	20.710
1464778899	20.580
1464778969	21.210
1464779038	20.840
1464779108	21.800
1464779177	22.960
1464779247	21.770
1464779316	20.690
1464779386	20.490
1464779455	20.730
1464779525	20.740
1464779595	20.790
1464779665	26.690
1464779734	20.880
1464779804	20.780
1464779873	20.570
1464779943	20.740
1464780012	21.400
1464780082	20.970
1464780151	20.210
1464780220	21.250
1464780290	21.130
1464780360	20.860
1464780429	21.430
1464780499	20.880
1464780568	21.050
1464780638	21.060
1464780708	20.280
1464780777	22.340
1464780847	23.040
1464780916	21.500
1464780986	21.180
1464781055	20.500
1464781125	20.750
1464781194	21.020
1464781264	22.340
1464781333	20.720
1464781403	22.950
1464781473	22.670
1464781542	21.800
1464781612	21.860
1464781681	21.020
1464781751	22.770
1464781821	21.260
1464781891	22.230
1464781960	21.590
1464782029	24.070
1464782099	21.910
1464782168	22.370
1464782237	21.100
1464782307	20.880
1464782377	20.250
1464782446	20.280
1464782516	22.860
1464782585	20.940
1464782655	20.980
1464782725	20.960
1464782794	20.530
1464782864	21.290
1464782934	23.470
1464783003	21.540
1464783073	22.710
1464783142	20.470
1464783212	21.450
1464783281	21.590
1464783351	21.610
1464783421	20.870
1464783490	20.780
1464783559	21.240
1464783629	22.270
1464783698	22.700
1464783768	21.330
1464783837	20.700
1464783907	23.340
1464783977	20.680
1464784046	21.960
1464784116	21.720
1464784186	21.060
1464784255	20.530
1464784325	20.840
