timestamp[s]	latency_value[ms]
1464774790	350.150
1464774862	350.090
1464774933	350.900
1464775004	350.270
1464775075	359.250
1464775146	364.620
1464775218	358.700
1464775289	362.740
1464775360	345.720
1464775431	345.920
1464775502	347.760
1464775573	351.340
1464775644	351.970
1464775715	362.310
1464775786	350.000
1464775857	346.840
1464775928	350.650
1464775999	349.350
1464776070	364.460
1464776141	349.290
1464776212	363.990
1464776283	346.740
1464776354	349.980
1464776425	358.640
1464776496	347.230
1464776567	349.920
1464776638	349.380
1464776709	359.930
1464776780	351.190
1464776851	359.400
1464776922	350.080
1464776993	363.160
1464777065	351.300
1464777136	362.360
1464777207	362.690
1464777278	358.700
1464777349	349.740
1464777420	350.630
1464777491	364.050
1464777562	351.760
1464777633	349.830
1464777704	351.170
1464777775	352.090
1464777846	346.180
1464777917	351.540
1464777988	349.170
1464778059	346.140
1464778130	359.860
1464778201	362.340
1464778273	349.920
1464778344	346.580
1464778415	361.790
1464778486	349.380
1464778557	352.090
1464778628	345.340
1464778699	352.470
1464778770	364.150
1464778841	358.350
1464778912	358.910
1464778983	351.300
1464779054	351.170
1464779125	351.470
1464779197	358.470
1464779268	350.380
1464779339	346.400
1464779410	347.120
1464779481	362.470
1464779552	346.930
1464779624	358.060
1464779695	363.600
1464779766	349.790
1464779837	362.650
1464779908	349.570
1464779979	362.620
1464780050	345.880
1464780121	364.540
1464780192	350.330
1464780263	362.560
1464780334	350.780
1464780405	363.040
1464780477	352.020
1464780548	351.830
1464780620	345.500
1464780691	358.740
1464780762	350.790
1464780833	362.870
1464780905	363.850
1464780976	349.510
1464781047	349.850
1464781118	346.500
1464781189	363.040
1464781261	349.790
1464781333	359.450
1464781404	362.050
1464781474	362.760
1464781546	350.040
1464781617	351.740
1464781688	357.620
1464781759	361.430
1464781830	348.200
1464781902	349.390
1464781973	350.130
1464782044	350.950
1464782115	358.390
1464782186	362.600
1464782258	349.930
1464782329	351.040
1464782400	359.100
1464782471	363.400
1464782542	349.400
1464782613	350.700
1464782684	364.460
1464782755	350.970
1464782827	362.730
1464782898	362.940
1464782969	358.890
1464783040	350.890
1464783112	362.510
1464783183	350.070
1464783254	363.660
1464783325	361.920
1464783396	362.370
1464783467	364.160
1464783538	358.900
1464783609	351.030
1464783680	362.810
1464783752	364.600
1464783823	363.310
1464783894	349.870
1464783965	362.640
1464784036	350.400
1464784107	362.700
1464784179	365.290
1464784250	352.220
1464784320	349.910
1464784391	352.110
1464784462	362.710
1464784533	346.640
1464784605	363.300
1464784676	366.910
1464784747	363.310
1464784817	350.690
1464784889	350.290
1464784960	351.230
1464785031	349.460
1464785103	362.870
1464785173	357.780
1464785245	345.890
1464785317	350.780
1464785388	362.330
1464785459	362.000
1464785530	350.540
1464785602	358.400
1464785673	349.560
1464785744	349.330
1464785814	362.850
1464785886	358.220
1464785957	350.000
1464786029	364.100
1464786100	351.190
1464786171	350.170
1464786242	346.510
1464786313	362.230
1464786384	350.040
1464786455	346.420
1464786526	350.970
1464786597	358.650
1464786668	350.340
1464786739	347.130
1464786810	350.520
1464786881	364.460
1464786952	350.780
1464787023	349.930
1464787094	350.590
1464787165	363.590
1464787236	350.260
1464787307	350.160
1464787378	363.130
1464787449	365.330
1464787520	363.180
1464787592	350.950
1464787663	350.250
1464787734	363.900
1464787805	350.720
1464787876	363.450
1464787947	350.910
1464788018	359.790
1464788089	346.990
1464788160	348.020
1464788231	362.880
1464788303	350.020
1464788373	362.880
1464788445	362.860
1464788516	364.120
1464788587	350.150
1464788658	362.720
1464788730	350.180
1464788801	362.900
1464788872	363.030
1464788943	351.160
1464789014	363.050
1464789085	360.170
1464789157	364.370
1464789227	350.830
1464789298	351.540
1464789370	352.450
1464789441	350.420
1464789512	363.270
1464789584	361.160
1464789655	355.370
1464789726	350.960
1464789797	365.280
1464789868	350.530
1464789940	350.270
1464790011	350.360
1464790082	366.120
1464790153	362.700
