timestamp[s]	latency_value[ms]
1464774787	328.730
1464774857	316.660
1464774926	314.170
1464774996	321.070
1464775066	331.580
1464775135	326.740
1464775205	317.600
1464775274	327.590
1464775344	322.200
1464775414	320.170
1464775483	330.490
1464775553	319.170
1464775623	332.470
1464775692	331.810
1464775762	321.700
1464775832	333.450
1464775901	331.370
1464775971	331.410
1464776041	331.050
1464776111	317.960
1464776181	316.800
1464776250	316.380
1464776320	318.010
1464776390	317.770
1464776459	331.050
1464776529	319.750
1464776599	331.420
1464776668	320.660
1464776738	331.840
1464776808	313.470
1464776878	332.030
1464776947	332.710
1464777017	331.520
1464777087	320.700
1464777156	331.500
1464777226	321.660
1464777296	331.710
1464777366	321.340
1464777436	326.940
1464777505	320.490
1464777575	331.100
1464777645	320.120
1464777715	316.800
1464777784	314.830
1464777854	317.450
1464777924	326.850
1464777994	331.480
1464778064	318.180
1464778133	322.150
1464778203	314.270
1464778273	319.940
1464778342	318.190
1464778412	331.780
1464778481	317.600
1464778551	320.850
1464778621	322.290
1464778690	322.230
1464778760	318.330
1464778830	331.480
1464778900	328.370
1464778969	317.230
1464779040	331.260
1464779109	331.940
1464779179	327.450
1464779248	317.660
1464779318	317.710
1464779388	331.580
1464779457	331.980
1464779527	320.290
1464779597	327.450
1464779666	318.040
1464779736	331.850
1464779805	332.890
1464779875	317.810
1464779945	316.960
1464780015	318.870
1464780084	331.890
1464780154	332.430
1464780223	330.980
1464780293	321.160
1464780363	330.490
1464780432	321.060
1464780502	318.080
1464780572	317.300
1464780641	320.360
1464780711	320.980
1464780781	331.690
1464780851	317.990
1464780920	327.190
1464780990	332.570
1464781060	320.790
1464781129	331.110
1464781199	331.370
1464781269	321.000
1464781338	330.970
1464781408	321.320
1464781477	320.740
1464781547	320.300
1464781617	332.070
1464781686	318.150
1464781757	321.610
1464781826	318.160
1464781896	330.810
1464781966	320.740
1464782035	330.640
1464782105	331.970
1464782175	317.550
1464782245	320.840
1464782315	317.800
1464782384	333.180
1464782454	317.580
1464782524	331.010
1464782594	317.120
1464782663	328.720
1464782733	331.560
1464782803	331.840
1464782872	332.900
1464782942	313.500
1464783012	327.030
1464783082	318.500
1464783151	313.090
1464783221	327.370
1464783291	333.560
1464783361	314.040
1464783431	331.500
1464783501	323.070
1464783571	332.190
1464783641	321.000
1464783711	321.740
1464783780	320.510
1464783850	330.800
1464783920	331.680
1464783990	328.120
1464784059	331.450
1464784129	332.140
1464784198	319.920
1464784268	332.260
1464784338	319.900
1464784408	317.270
1464784477	327.780
1464784547	317.850
1464784617	333.340
1464784686	318.420
1464784756	331.580
1464784826	318.330
1464784895	322.060
1464784965	317.310
1464785035	331.830
1464785105	320.090
1464785174	333.270
1464785245	328.110
1464785315	332.230
1464785384	320.850
1464785454	332.840
1464785523	314.160
1464785593	330.340
1464785663	330.650
1464785733	321.380
1464785803	330.870
1464785873	313.370
1464785943	332.020
1464786012	328.900
1464786082	327.080
1464786151	332.630
1464786221	331.310
1464786291	318.090
1464786360	317.620
1464786430	332.430
1464786499	317.330
1464786569	317.830
1464786640	332.270
1464786710	312.910
1464786780	327.200
1464786849	316.640
1464786920	320.960
1464786990	327.160
1464787060	331.030
1464787130	319.520
1464787199	320.540
1464787269	312.660
1464787339	320.790
1464787408	330.980
1464787478	331.040
1464787548	317.160
1464787617	330.840
1464787687	319.370
1464787756	332.780
1464787827	318.120
1464787897	321.960
1464787967	322.010
1464788036	321.340
1464788106	323.050
1464788175	328.780
1464788245	331.590
1464788315	334.490
1464788385	326.990
1464788455	321.070
1464788525	326.780
1464788594	328.820
1464788664	329.190
1464788734	319.230
1464788803	317.890
1464788873	317.620
1464788943	354.650
1464789013	343.650
1464789083	352.350
1464789153	328.020
1464789222	331.600
1464789292	332.060
1464789362	316.520
1464789431	318.420
1464789501	331.430
1464789570	327.720
1464789640	326.330
1464789710	317.700
1464789780	332.490
1464789850	332.890
1464789919	317.850
1464789989	321.470
1464790059	327.500
1464790128	332.470
1464790198	332.300
1464790268	332.480
1464790337	320.080
1464790407	330.990
1464790477	331.150
1464790547	320.020
1464790617	321.120
1464790686	331.750
1464790756	331.620
1464790826	317.970
1464790895	316.710
1464790966	335.280
1464791036	313.540
1464791105	317.470
1464791176	318.000
1464791245	317.030
1464791315	317.190
1464791384	321.620
1464791454	333.050
1464791524	317.330
1464791593	327.480
1464791663	318.810
1464791733	331.540
1464791803	316.650
1464791873	320.290
1464791942	317.230
1464792012	330.680
1464792082	327.040
1464792152	332.340
1464792222	332.440
1464792292	327.760
1464792362	316.050
1464792431	331.550
1464792501	321.090
1464792571	330.750
1464792640	333.540
1464792710	330.910
1464792780	313.470
1464792849	331.210
1464792919	331.660
1464792989	327.380
1464793059	330.650
