timestamp[s]	latency_value[ms]
1464774788	385.470
1464774857	386.080
1464774927	384.250
1464774997	386.270
1464775067	389.970
1464775137	384.760
1464775207	386.610
1464775277	381.700
1464775347	386.320
1464775417	383.530
1464775487	386.500
1464775557	385.200
1464775627	385.410
1464775697	384.120
1464775767	386.770
1464775837	384.510
1464775907	387.120
1464775977	385.680
1464776046	385.690
1464776117	386.260
1464776186	384.680
1464776256	383.800
1464776327	385.620
1464776397	388.610
1464776467	387.720
1464776537	387.800
1464776607	384.870
1464776677	386.580
1464776748	381.920
1464776818	384.450
1464776888	385.780
1464776958	385.270
1464777028	387.360
1464777098	385.850
1464777168	388.230
1464777237	384.290
1464777307	386.460
1464777377	386.730
1464777447	384.720
1464777517	385.510
1464777587	385.950
1464777657	383.920
1464777727	384.470
1464777798	386.120
1464777868	387.510
1464777939	385.550
1464778008	388.630
1464778078	385.020
1464778148	384.830
1464778219	385.930
1464778288	386.740
1464778358	386.740
1464778429	381.670
1464778498	385.870
1464778569	385.400
1464778639	385.830
1464778709	384.800
1464778779	384.820
1464778850	381.240
1464778920	388.340
1464778990	388.990
1464779060	383.670
1464779130	383.300
1464779200	384.420
1464779270	387.730
1464779340	383.940
1464779410	384.900
1464779480	386.600
1464779550	384.870
1464779620	384.670
1464779690	386.460
1464779761	384.530
1464779830	384.030
1464779900	385.560
1464779970	384.300
1464780040	383.570
1464780110	383.710
1464780180	383.030
1464780250	385.170
1464780320	384.580
1464780390	386.150
1464780461	385.980
1464780531	384.580
1464780601	384.860
1464780671	387.440
1464780740	384.250
1464780810	383.670
1464780880	385.970
1464780950	383.800
1464781021	383.730
1464781091	385.980
1464781161	383.240
1464781231	386.030
1464781301	387.220
1464781371	385.620
1464781441	385.030
1464781511	384.340
1464781581	382.990
1464781651	383.420
1464781721	385.780
1464781791	387.780
1464781861	386.500
1464781932	383.910
1464782002	385.420
1464782071	385.610
1464782141	384.320
1464782211	384.290
1464782281	388.600
1464782351	385.080
1464782421	385.890
1464782491	380.700
1464782561	384.230
1464782631	381.520
1464782701	384.740
1464782771	384.240
1464782841	384.190
1464782911	384.600
1464782981	383.580
1464783051	384.400
1464783121	383.750
1464783191	383.970
1464783261	381.100
1464783331	384.730
1464783401	386.090
1464783471	383.480
1464783541	384.220
1464783611	386.830
1464783682	383.790
1464783752	385.550
1464783822	382.380
1464783892	384.380
1464783962	387.700
1464784032	385.540
1464784102	384.990
1464784171	384.360
1464784241	385.180
1464784311	384.330
1464784381	380.880
1464784451	385.180
1464784521	389.110
1464784591	386.950
1464784661	383.990
1464784731	386.360
1464784801	384.690
1464784871	384.650
1464784942	384.730
1464785012	384.350
1464785082	383.310
1464785152	383.150
1464785222	383.060
1464785292	384.940
1464785362	384.250
1464785432	383.740
1464785502	384.310
1464785572	383.380
1464785642	381.160
1464785712	384.010
1464785782	381.550
1464785853	384.450
1464785922	386.540
1464785992	386.490
1464786062	385.880
1464786132	383.970
1464786202	385.550
1464786272	383.800
1464786342	384.500
1464786412	384.240
1464786482	386.130
1464786552	381.230
1464786622	384.750
1464786693	384.010
1464786763	384.490
1464786833	389.270
1464786903	383.630
1464786973	385.910
1464787042	383.650
1464787112	383.710
1464787182	386.130
1464787252	384.520
1464787322	384.670
1464787392	384.890
1464787462	384.930
1464787532	384.970
1464787602	384.200
1464787672	384.400
1464787742	386.030
1464787812	385.340
1464787882	386.270
1464787952	385.790
1464788022	384.250
1464788092	385.400
1464788162	387.220
1464788232	394.280
1464788302	394.870
1464788372	396.060
1464788442	391.200
1464788512	394.840
1464788582	387.750
1464788652	390.080
1464788722	389.020
1464788792	390.150
1464788862	396.470
1464788932	385.830
1464789002	386.900
1464789072	386.280
1464789142	395.000
1464789212	402.450
1464789282	384.120
1464789352	385.410
1464789423	384.360
1464789493	387.170
1464789563	385.150
1464789633	397.260
1464789703	381.090
1464789773	387.620
1464789843	386.130
1464789913	388.350
1464789983	384.420
1464790053	387.690
1464790123	385.430
1464790194	399.600
1464790264	394.900
1464790334	395.780
1464790404	385.980
1464790474	388.350
1464790544	388.180
1464790615	384.700
1464790685	387.290
1464790755	384.330
1464790825	385.540
1464790896	384.790
1464790966	387.240
1464791036	385.170
1464791106	385.410
1464791176	395.030
1464791246	392.020
1464791316	396.650
1464791386	386.680
1464791456	396.520
1464791526	394.000
