timestamp[s]	latency_value[ms]
1464774792	570.910
1464774865	558.570
1464774937	592.990
1464775009	570.560
1464775081	578.230
1464775154	557.740
1464775225	568.850
1464775297	578.120
1464775369	575.090
1464775442	570.950
1464775514	585.950
1464775587	574.620
1464775659	559.820
1464775730	555.310
1464775802	559.410
1464775874	569.560
1464775947	571.110
1464776019	584.580
1464776091	567.790
1464776163	555.850
1464776235	575.750
1464776307	570.790
1464776380	577.330
1464776452	572.690
1464776524	567.660
1464776597	572.100
1464776668	572.790
1464776740	569.750
1464776812	568.110
1464776885	582.230
1464776957	589.720
1464777029	583.340
1464777101	580.450
1464777174	647.700
1464777246	574.900
1464777318	577.950
1464777390	583.910
1464777462	561.820
1464777535	562.330
1464777606	595.190
1464777678	575.430
1464777750	563.570
1464777822	566.630
1464777894	577.970
1464777966	588.790
1464778038	592.010
1464778110	583.270
1464778182	582.040
1464778254	581.560
1464778326	579.660
1464778398	565.920
1464778470	562.940
1464778542	544.210
1464778614	572.170
1464778686	563.660
1464778758	564.950
1464778830	571.130
1464778902	574.830
1464778975	590.160
1464779047	577.960
1464779119	574.240
1464779191	573.670
1464779263	573.500
1464779335	581.360
1464779408	558.450
1464779480	566.110
1464779552	573.090
1464779624	557.170
1464779697	549.540
1464779769	579.630
1464779841	580.490
1464779913	573.460
1464779985	570.490
1464780057	563.000
1464780130	609.110
1464780203	570.100
1464780275	557.800
1464780347	577.740
1464780419	586.930
1464780491	548.470
1464780563	571.880
1464780635	566.000
1464780707	566.760
1464780779	577.710
1464780852	557.650
1464780923	578.160
1464780996	559.690
1464781068	580.550
1464781140	559.240
1464781212	557.140
1464781284	570.690
1464781356	559.590
1464781428	580.610
1464781500	593.400
1464781572	571.610
1464781644	565.420
1464781716	598.110
1464781788	580.760
1464781860	576.110
1464781932	545.690
1464782004	582.790
1464782076	567.380
1464782148	585.620
1464782220	575.700
1464782292	559.970
1464782364	561.440
1464782436	567.140
1464782508	560.840
1464782580	574.350
1464782652	577.760
1464782724	571.590
1464782797	566.500
1464782869	580.190
1464782941	562.610
1464783013	558.290
1464783085	583.180
1464783158	580.250
1464783230	562.410
1464783302	589.760
1464783374	559.930
1464783446	577.070
1464783518	585.340
1464783590	566.940
1464783662	1705.920
1464783735	572.570
1464783807	542.260
1464783879	594.820
1464783951	561.580
1464784023	594.250
1464784095	586.870
1464784168	577.330
1464784240	565.790
1464784312	573.870
1464784385	575.640
1464784457	563.550
1464784529	571.400
1464784601	571.280
1464784673	578.110
1464784745	568.730
1464784817	579.740
