timestamp[s]	latency_value[ms]
1464774788	380.810
1464774858	380.030
1464774928	383.020
1464774998	382.980
1464775068	381.890
1464775138	386.140
1464775208	380.870
1464775278	384.200
1464775348	382.660
1464775418	384.110
1464775487	381.300
1464775557	384.580
1464775627	382.710
1464775697	381.890
1464775767	383.460
1464775838	382.340
1464775907	382.000
1464775977	382.100
1464776047	380.380
1464776117	382.560
1464776187	382.260
1464776257	383.440
1464776327	379.830
1464776397	383.370
1464776467	383.470
1464776537	383.330
1464776607	380.720
1464776677	383.180
1464776748	381.070
1464776818	381.640
1464776888	381.390
1464776958	384.190
1464777028	382.410
1464777098	381.040
1464777168	384.450
1464777238	383.080
1464777308	384.030
1464777378	385.030
1464777448	382.110
1464777518	384.780
1464777587	384.840
1464777657	384.630
1464777727	382.410
1464777797	382.440
1464777868	381.570
1464777939	382.290
1464778008	384.940
1464778078	382.460
1464778148	384.760
1464778219	381.830
1464778288	383.500
1464778358	386.030
1464778428	383.500
1464778498	386.170
1464778569	380.040
1464778639	384.560
1464778709	384.730
1464778779	384.810
1464778849	383.070
1464778920	382.050
1464778990	385.990
1464779060	379.330
1464779130	385.420
1464779200	382.010
1464779270	384.680
1464779340	382.600
1464779409	381.860
1464779479	381.720
1464779549	384.550
1464779619	384.630
1464779689	381.760
1464779759	385.460
1464779829	385.650
1464779899	385.570
1464779969	384.170
1464780039	383.650
1464780110	384.670
1464780180	381.080
1464780249	381.300
1464780320	384.530
1464780389	384.300
1464780459	381.800
1464780529	385.500
1464780599	390.610
1464780669	385.030
1464780739	384.500
1464780809	381.300
1464780879	383.740
1464780949	380.940
1464781019	382.020
1464781089	381.680
1464781160	381.050
1464781230	380.930
1464781300	381.230
1464781371	384.800
1464781441	384.700
1464781511	385.430
1464781580	388.060
1464781650	385.710
1464781720	384.960
1464781790	385.020
1464781860	386.880
1464781930	384.260
1464782000	385.350
1464782070	384.260
1464782140	388.460
1464782210	384.580
1464782280	382.780
1464782350	384.410
1464782420	384.270
1464782490	385.320
1464782560	384.380
1464782630	383.870
1464782699	383.820
1464782769	384.280
1464782839	384.030
1464782909	384.820
1464782979	383.140
1464783049	385.510
1464783119	385.070
1464783189	383.200
1464783259	385.600
1464783329	384.580
1464783399	383.960
1464783469	384.060
1464783539	383.670
1464783609	382.810
1464783679	383.740
1464783749	384.040
1464783820	384.540
1464783890	384.930
1464783960	383.850
1464784030	384.770
1464784100	384.780
1464784170	379.470
1464784240	384.320
1464784309	384.600
1464784379	381.280
1464784449	384.560
1464784519	385.750
1464784589	383.540
1464784659	385.720
1464784729	384.380
1464784799	385.630
1464784869	383.290
1464784939	384.840
1464785009	384.810
1464785079	384.180
1464785149	380.510
1464785220	379.830
1464785290	379.540
1464785359	385.610
1464785429	384.870
1464785499	384.980
1464785569	385.060
1464785639	383.810
1464785709	379.420
1464785779	379.350
1464785849	381.780
1464785919	379.300
1464785988	381.010
1464786058	381.780
1464786128	383.330
1464786198	381.170
1464786268	383.510
1464786338	379.610
1464786408	383.440
1464786478	378.830
1464786548	385.920
1464786618	379.460
1464786688	384.180
1464786757	383.910
1464786827	379.850
1464786898	385.310
1464786968	384.090
1464787038	379.860
1464787108	379.290
1464787178	383.680
1464787248	384.720
1464787318	383.260
1464787388	380.270
1464787459	381.210
1464787529	378.710
1464787598	381.090
1464787668	379.530
1464787738	383.020
1464787808	379.750
1464787878	382.860
1464787948	382.880
1464788018	379.960
1464788088	379.730
1464788159	379.890
1464788228	379.650
1464788298	385.750
1464788368	383.740
1464788438	380.160
1464788508	384.030
1464788578	379.140
1464788649	384.340
1464788719	380.270
1464788789	382.890
1464788859	382.390
1464788929	383.660
1464788999	379.700
1464789069	383.680
1464789140	382.560
1464789209	385.900
1464789279	389.180
1464789349	386.410
1464789419	379.610
1464789489	380.960
1464789559	379.550
1464789629	379.330
1464789699	384.390
1464789769	383.770
1464789839	380.520
1464789909	379.600
1464789979	382.700
1464790049	380.270
1464790119	379.840
1464790189	379.750
1464790259	379.760
