timestamp[s]	latency_value[ms]
1464774793	116.710
1464774864	117.140
1464774933	117.960
1464775003	117.140
1464775073	117.470
1464775144	118.600
1464775214	120.500
1464775284	117.080
1464775354	116.670
1464775424	117.640
1464775494	117.670
1464775564	117.550
1464775634	116.690
1464775704	118.620
1464775774	116.690
1464775844	117.390
1464775914	116.520
1464775984	117.050
1464776054	117.320
1464776124	116.770
1464776194	117.040
1464776264	119.540
1464776334	117.510
1464776404	118.560
1464776474	116.720
1464776545	117.290
1464776615	116.760
1464776685	117.180
1464776755	117.380
1464776826	119.380
1464776896	117.970
1464776966	117.570
1464777036	117.290
1464777106	116.620
1464777176	117.040
1464777246	117.110
1464777317	116.950
1464777386	117.080
1464777456	117.140
1464777527	116.430
1464777598	117.260
1464777668	116.530
1464777737	117.230
1464777808	116.860
1464777878	116.820
1464777948	117.540
1464778018	117.130
1464778088	117.360
1464778158	116.990
1464778228	118.750
1464778299	117.500
1464778369	118.860
1464778439	116.890
1464778509	117.360
1464778579	116.840
1464778649	117.520
1464778719	118.650
1464778790	116.840
1464778860	116.880
1464778930	117.060
1464779000	117.870
1464779070	117.720
1464779140	117.440
1464779210	116.920
1464779280	117.590
1464779350	116.760
1464779420	117.130
1464779491	116.900
1464779561	116.570
1464779632	117.810
1464779702	117.010
1464779772	116.960
1464779842	116.870
1464779913	117.440
1464779982	116.780
1464780052	117.990
1464780122	116.320
1464780192	117.450
1464780263	117.040
1464780334	118.440
1464780403	116.980
1464780473	117.200
1464780543	117.180
1464780613	116.860
1464780683	116.900
1464780753	116.760
1464780823	116.800
1464780893	117.940
1464780963	117.560
1464781034	116.820
1464781104	118.600
1464781174	117.550
1464781244	116.830
1464781313	118.280
1464781383	116.760
1464781453	116.910
1464781523	116.730
1464781593	117.480
1464781663	118.830
1464781734	116.660
1464781804	118.780
1464781874	118.850
1464781945	116.780
1464782015	116.590
1464782085	119.570
1464782155	116.850
1464782225	117.330
1464782296	117.500
1464782366	117.230
1464782436	116.610
1464782506	118.920
1464782576	121.190
1464782646	117.790
1464782716	116.970
1464782786	116.970
1464782857	116.220
1464782927	116.750
1464782997	116.980
1464783067	116.900
1464783136	117.510
1464783206	118.420
1464783276	116.800
1464783346	116.870
1464783416	116.920
1464783486	118.220
1464783556	117.260
1464783627	119.350
1464783697	117.090
1464783767	116.520
1464783837	116.870
1464783907	116.890
1464783977	116.600
1464784047	117.420
1464784117	117.660
1464784187	117.000
1464784257	119.430
1464784327	117.190
1464784397	116.760
1464784467	117.090
1464784537	117.170
1464784607	117.290
1464784678	116.810
1464784748	116.930
1464784818	117.990
1464784888	117.630
1464784958	118.160
1464785028	116.630
1464785099	116.980
1464785169	116.730
1464785239	117.220
1464785309	119.540
1464785379	119.170
1464785449	117.310
1464785519	116.500
1464785590	117.380
1464785660	119.360
1464785730	117.350
1464785800	116.800
1464785870	118.180
1464785940	116.760
1464786010	118.100
1464786081	117.520
1464786151	117.240
1464786221	116.880
1464786292	117.270
1464786362	116.810
1464786431	117.300
1464786501	116.770
1464786572	116.780
1464786642	116.640
1464786712	116.940
1464786782	116.550
1464786852	117.680
