timestamp[s]	latency_value[ms]
1464774791	647.840
1464774863	635.700
1464774935	630.770
1464775006	617.050
1464775078	628.540
1464775150	3.380
1464775221	3.710
1464775292	231.610
1464775364	669.470
1464775436	2.980
1464775507	646.220
1464775579	656.670
1464775651	2.860
1464775722	4.230
1464775793	3.180
1464775864	3.980
1464775935	646.200
1464776007	645.180
1464776079	650.440
1464776151	2.660
1464776222	224.530
1464776293	650.140
1464776365	3.160
1464776436	3.610
1464776507	3.390
1464776578	5.660
1464776651	3.440
1464776722	3.170
1464776793	3.370
1464776864	656.230
1464776936	3.490
1464777007	3.540
1464777078	3.800
1464777150	232.650
1464777221	2.870
1464777292	666.620
1464777364	3.670
1464777435	3.160
1464777506	631.240
1464777578	3.190
1464777649	2.880
1464777720	648.220
1464777792	662.470
1464777864	3.390
1464777935	648.420
1464778006	2.870
1464778078	3.460
1464778149	650.990
1464778221	654.950
1464778292	3.600
1464778363	3.350
1464778435	651.710
1464778506	633.960
1464778578	3.690
1464778649	3.150
1464778720	3.070
1464778791	3.150
1464778863	663.380
1464778934	4.370
1464779005	657.530
1464779077	658.950
1464779149	3.160
1464779220	676.300
1464779292	3.150
1464779363	651.260
1464779435	3.160
1464779506	3.730
1464779577	3.440
1464779648	3.230
1464779719	3.210
1464779790	3.380
1464779862	3.480
1464779933	3.310
1464780004	656.120
1464780076	3.170
1464780147	670.910
1464780220	2.900
1464780291	3.050
1464780362	627.340
1464780434	3.530
1464780505	3.620
1464780576	3.570
1464780647	3.030
1464780718	3.280
1464780789	3.190
1464780861	3.370
1464780932	6641.010
1464781009	3.080
1464781081	689.770
1464781152	2.930
1464781224	1073.380
1464781296	2.850
1464781367	3.550
1464781438	631.180
1464781510	3.570
1464781581	630.150
1464781653	661.830
1464781724	3.050
1464781795	3.160
1464781867	3.950
1464781938	3.080
1464782009	3.330
1464782080	3.150
1464782151	3.620
1464782222	3.250
1464782293	3.180
1464782364	662.710
1464782436	644.080
1464782508	3.080
1464782579	3.150
1464782650	648.270
1464782722	678.310
1464782794	663.260
1464782866	3.150
1464782937	3.310
1464783008	3.000
1464783079	3.670
1464783150	654.530
1464783222	4.610
1464783293	668.660
1464783365	2.400
1464783436	3.110
1464783507	3.860
1464783578	2.920
1464783650	3.540
1464783721	3.490
1464783793	3.270
1464783864	631.010
1464783935	3.930
1464784007	3.070
1464784079	629.040
1464784150	3.900
1464784221	3.320
1464784293	3.400
1464784364	666.750
1464784435	634.070
1464784507	3.270
1464784578	3.710
1464784650	664.290
1464784721	1646.770
1464784794	3.060
1464784865	634.230
1464784937	681.200
1464785009	626.890
1464785081	3.180
1464785152	626.290
1464785223	3.150
1464785295	4.070
1464785366	3.460
1464785437	673.320
1464785509	3.210
1464785580	3.150
1464785651	3.020
1464785722	3.040
1464785793	3.930
1464785864	3.430
1464785935	3.960
1464786007	642.160
1464786078	3.030
1464786150	610.320
1464786221	2.310
1464786292	3.740
1464786364	3.280
1464786435	668.860
1464786507	3.070
1464786578	666.560
1464786649	3.160
1464786721	2.870
1464786792	3.140
1464786863	3.300
1464786934	3.690
1464787005	3.450
1464787078	3.480
1464787149	3.180
1464787220	661.190
1464787292	3.060
1464787363	662.320
1464787435	3.330
1464787507	648.080
1464787579	3.280
1464787650	641.890
1464787722	3.110
1464787793	3.110
1464787864	3.560
1464787936	648.050
1464788009	646.650
1464788080	3.100
1464788152	3.270
1464788223	3.650
1464788294	682.970
1464788366	2.920
1464788437	3.070
1464788509	3.420
1464788580	3.110
1464788651	3.490
1464788722	658.640
1464788794	2.760
1464788865	631.160
1464788937	679.750
1464789009	673.270
1464789081	2.980
1464789152	3.190
1464789223	3.170
1464789294	3.020
1464789365	3.200
1464789436	3.320
1464789508	2.930
1464789579	3.030
1464789650	2.810
1464789721	3.400
1464789792	3.600
1464789863	3.450
1464789934	3.060
1464790006	3.220
1464790077	3.100
1464790148	3.340
1464790219	630.300
1464790291	2.770
1464790362	2.960
1464790433	681.170
1464790505	3.640
1464790576	666.750
1464790648	3.600
1464790719	3.300
1464790790	3.380
1464790861	3.230
1464790932	3.280
1464791004	665.000
1464791075	3.570
1464791147	3.440
1464791218	4.350
1464791289	3.320
1464791360	2.960
1464791431	649.200
1464791503	3.210
1464791579	3.210
1464791650	2.920
1464791722	2.910
1464791793	3.490
1464791864	2.780
1464791935	650.680
1464792007	3.030
1464792078	3.530
1464792149	642.940
1464792221	833.400
1464792293	665.410
1464792365	3.020
1464792436	631.080
1464792508	3.130
1464792579	3.450
1464792650	658.330
1464792722	652.930
1464792793	672.620
1464792865	3.060
1464792936	2.860
1464793008	3.620
1464793079	3.070
1464793150	666.340
1464793222	3.060
1464793293	3.990
1464793364	2.940
1464793435	13.050
1464793506	3.040
1464793577	3.360
1464793649	3.190
1464793720	3.370
1464793791	3.170
1464793862	3.290
1464793933	3.120
1464794005	2.960
1464794077	671.350
1464794149	2.300
1464794220	3.440
1464794291	666.520
1464794363	3.170
1464794434	3.250
1464794505	2.870
1464794576	3.550
1464794647	2.940
1464794718	3.600
1464794789	2.860
1464794861	2.860
1464794932	2.860
1464795003	3.230
1464795074	12.910
1464795145	666.220
1464795217	2.840
1464795288	645.010
1464795360	3.350
1464795431	3.270
1464795502	3.670
1464795573	628.760
1464795645	3.610
1464795716	668.410
1464795788	2.990
1464795859	644.810
1464795931	2.940
1464796002	3.090
1464796073	2.840
1464796144	3.230
1464796216	3.240
1464796287	207.490
1464796358	661.880
1464796430	3.170
1464796501	3.020
1464796572	3.450
1464796643	3.580
1464796714	642.300
1464796786	3.490
1464796857	3.310
1464796928	3.080
1464796999	666.880
1464797071	3.300
1464797142	2.930
1464797214	3.470
1464797285	4.300
1464797356	655.740
1464797437	4.090
1464797508	3.390
1464797579	3.180
1464797650	650.000
1464797722	2.860
1464797793	3.040
1464797864	3.250
1464797935	4.130
1464798006	661.150
1464798078	3.280
1464798149	3.450
1464798221	3.190
1464798292	3.230
1464798363	636.360
1464798435	3.150
1464798506	3.010
1464798577	2.890
1464798648	665.400
1464798720	3.730
1464798791	3.120
1464798862	2.980
1464798933	654.180
1464799006	621.250
1464799078	8.880
1464799149	2.870
1464799220	2.710
1464799291	3.440
1464799362	629.150
1464799434	3.270
1464799505	627.890
1464799577	669.010
1464799649	3.520
1464799720	3.250
1464799791	638.060
1464799863	3662.450
1464799947	650.590
1464800019	643.490
1464800091	3.430
1464800162	3.200
1464800233	3.120
1464800304	3.010
1464800375	2.830
1464800446	3.440
1464800517	652.470
1464800589	634.370
1464800661	629.160
1464800733	3.230
1464800805	2.880
1464800876	666.920
1464800948	662.370
1464801020	650.300
1464801091	3.370
1464801162	3.830
1464801234	4.170
1464801305	2.820
1464801376	667.760
1464801448	3.340
1464801519	3.090
1464801590	3.360
1464801661	3.380
1464801732	3.220
1464801803	3.200
1464801874	2.970
1464801945	2.950
1464802017	673.680
1464802088	3.340
1464802160	648.880
1464802231	660.270
1464802304	655.380
1464802376	647.680
1464802448	3.180
1464802519	3.410
1464802594	3.100
1464802665	661.620
1464802737	3.220
1464802808	630.200
1464802880	3.340
1464802951	660.550
1464803023	3.020
1464803094	671.590
1464803165	661.550
1464803237	3.180
1464803308	660.690
1464803380	3629.130
1464803455	646.450
1464803527	3.110
1464803598	3.090
1464803669	3.440
1464803740	642.110
1464803812	3.660
1464803883	641.220
1464803955	4.190
1464804026	2.820
1464804097	653.290
1464804169	3.090
1464804240	3.230
1464804311	3.060
1464804382	656.080
1464804454	3.130
1464804525	657.500
1464804597	654.120
1464804669	641.910
1464804740	3.600
1464804812	3.910
1464804883	3.260
1464804954	3.170
1464805025	3.350
1464805096	2.970
1464805167	3.080
1464805238	2.430
1464805309	2.970
1464805381	675.240
1464805452	5.880
1464805523	3.050
1464805595	3.190
1464805666	671.260
1464805738	632.860
1464805809	646.160
1464805881	3.350
1464805952	654.390
1464806024	3.250
1464806095	3628.210
1464806170	3.320
1464806241	649.250
1464806313	3.610
1464806384	3.530
1464806455	651.320
1464806527	673.680
1464806599	2.920
1464806670	2.660
1464806741	3.350
1464806812	3002.930
1464806886	3.240
1464806957	628.580
1464807029	629.160
1464807101	629.040
1464807173	648.640
1464807244	643.850
1464807316	3.090
1464807389	3.370
1464807460	3.290
1464807531	3.070
1464807602	672.910
1464807674	646.060
1464807746	639.880
1464807818	3.210
1464807889	206.800
1464807960	3.620
1464808031	654.990
1464808103	641.120
1464808175	651.140
1464808247	3.160
1464808319	3.190
1464808390	3.030
1464808461	3.110
1464808532	3.060
1464808603	2.930
1464808674	2.920
1464808746	3.390
1464808817	3.490
1464808888	2.430
1464808959	668.650
1464809031	664.710
1464809103	3.090
1464809174	3.260
1464809245	3.200
1464809316	664.140
1464809388	6.780
1464809459	2.820
1464809530	656.880
1464809602	3.040
1464809673	662.490
1464809745	650.630
1464809817	2.950
1464809888	3.080
1464809959	3.400
1464810030	2.910
1464810101	2.970
1464810172	667.210
1464810244	653.740
1464810316	630.600
1464810388	662.520
1464810459	623.350
1464810531	3.490
1464810602	3.780
1464810674	651.310
1464810745	628.600
1464810817	3.790
1464810888	3.450
1464810959	3.240
1464811030	3.120
1464811102	640.650
1464811173	3.680
1464811244	3.360
1464811316	5.750
1464811387	3.310
1464811458	3.400
1464811529	3.220
1464811600	2.900
1464811671	3.670
1464811742	3.040
1464811814	2.960
1464811886	3.360
1464811957	3002.910
1464812031	3.110
1464812102	3.340
1464812173	666.260
1464812245	3.350
1464812316	3.270
1464812387	654.440
1464812459	5.040
1464812530	666.700
1464812602	210.360
1464812676	650.550
1464812749	3.400
1464812824	644.690
1464812906	3.170
1464812988	209.940
1464813084	3.420
1464813185	648.420
1464813273	3653.430
1464813349	4.610
1464813423	661.730
1464813496	3.200
1464813567	3.400
1464813638	215.750
1464813714	208.260
1464813794	210.310
1464813867	642.170
1464813939	3665.850
1464814014	631.640
1464814086	3.130
1464814157	3.300
1464814228	2.940
1464814299	666.930
1464814371	3.160
1464814453	632.760
1464814526	3.280
1464814631	3.760
1464814702	2.810
1464814773	2.810
1464814845	3002.620
1464814919	2.790
1464815004	9316.410
1464815085	3.640
1464815156	4.050
1464815228	3.550
1464815299	3.260
1464815370	661.460
1464815442	3.210
1464815513	2.930
1464815585	3.460
1464815658	3002.770
1464815733	3.840
1464815804	3.570
1464815876	3.570
1464815947	650.600
1464816019	3.220
1464816090	206.470
1464816192	9003.170
1464816274	648.770
1464816346	3.080
1464816417	3.360
1464816488	3.470
1464816559	3.130
1464816630	3.170
1464816701	3.110
1464816807	3.630
1464816879	209.160
1464816951	665.440
1464817023	3.640
1464817095	3.290
1464817166	9002.620
1464817253	631.490
1464817326	3.500
1464817399	3.230
1464817470	672.660
1464817542	3.770
1464817613	630.600
1464817688	3.060
1464817760	3.390
1464817831	2.910
1464817902	3002.580
1464817982	667.020
1464818055	659.320
1464818134	3002.770
1464818215	646.960
1464818286	3.230
1464818357	633.920
1464818430	651.480
1464818502	3.380
1464818573	3002.760
1464818659	3652.980
1464818761	211.000
1464818834	3.700
1464818905	2.840
1464818976	662.780
1464819048	643.290
1464819120	652.560
1464819191	634.440
1464819277	3.340
1464819349	3.080
1464819453	12322.700
1464819543	652.030
1464819614	676.820
1464819700	3.190
1464819771	21325.120
1464819877	3.180
1464819949	208.650
1464820027	2.890
1464820099	3.310
1464820170	3.660
1464820241	3.170
1464820313	667.880
1464820384	208.010
1464820457	3.410
1464820531	3.730
1464820602	21317.360
1464820694	3.740
1464820767	3.670
1464820838	3672.380
1464820919	644.420
1464820997	3.010
1464821069	24325.000
1464821182	3.560
1464821254	653.150
1464821326	4.240
1464821399	624.200
1464821470	3.970
1464821542	3003.270
1464821617	3.790
1464821699	3.100
1464821772	648.270
1464821844	9325.010
1464821924	3626.230
1464822013	3.250
1464822085	9662.430
1464822183	3.230
1464822255	12323.210
1464822344	3644.800
1464822421	24648.940
1464822545	3.750
1464822621	3.600
1464822693	3.630
1464822823	207.620
1464822899	3.320
1464822970	24317.870
1464823070	2.960
1464823146	207.510
1464823261	2.970
1464823333	838.840
1464823410	668.030
1464823512	645.500
1464823588	6674.340
1464823687	3.490
1464823797	3.290
1464823868	3.070
1464823941	3.840
1464824013	633.340
1464824091	3.280
1464824164	9003.550
1464824261	3.450
1464824333	207.720
1464824405	9317.810
1464824492	3.030
1464824564	3.070
1464824635	3.150
1464824746	3.660
1464824828	221.640
1464824900	3647.510
1464825042	3002.540
1464825123	3.540
1464825194	9002.670
1464825280	204.180
1464825352	3.080
1464825479	3003.120
1464825582	3.780
1464825693	678.410
1464825792	12655.980
1464825876	3652.130
1464825984	2.890
1464826073	3663.480
1464826168	3636.050
1464826284	249.870
1464826425	660.680
1464826498	3.180
1464826594	3002.720
1464826740	3.050
1464826831	12322.800
1464826922	3.130
1464826993	3.730
1464827064	634.100
1464827136	3.150
1464827208	21317.340
1464827314	3.000
1464827391	3.240
1464827481	210.100
1464827615	631.920
1464827688	2.960
1464827759	3.510
1464827920	3.300
1464827992	3682.930
1464828080	666.180
1464828162	661.700
1464828245	647.450
1464828316	2.810
1464828388	3.310
1464828459	648.060
1464828531	3.460
1464828602	204.300
1464828696	3003.160
1464828789	2.990
1464828860	3.090
1464828931	3003.720
1464829005	8.210
1464829076	3.230
1464829147	3.660
1464829218	24323.340
1464829322	3.190
1464829393	659.740
1464829465	3.430
1464829536	2.990
1464829608	3.000
1464829679	3.310
1464829750	627.830
1464829822	3.390
1464829903	21683.950
1464830035	649.110
1464830120	2.330
1464830191	3.370
1464830262	666.600
1464830334	664.490
1464830406	21316.260
