timestamp[s]	latency_value[ms]
1464774787	634.480
1464774858	623.410
1464774928	654.550
1464774998	3.250
1464775068	619.190
1464775139	4.010
1464775210	676.250
1464775280	2.930
1464775350	3.380
1464775420	2.540
1464775490	2.980
1464775559	637.140
1464775630	3.390
1464775700	3.080
1464775769	3.370
1464775839	3.260
1464775909	3.070
1464775979	3.150
1464776048	3.720
1464776118	3.170
1464776188	3.820
1464776258	612.700
1464776328	627.260
1464776399	679.670
1464776469	666.250
1464776539	2.800
1464776609	641.190
1464776680	3.470
1464776749	650.580
1464776820	662.910
1464776890	2.770
1464776960	2.970
1464777030	3.550
1464777100	3.330
1464777169	3.180
1464777239	622.310
1464777310	3.460
1464777379	645.420
1464777450	3.130
1464777520	660.260
1464777590	3.070
1464777660	620.900
1464777731	663.050
1464777801	3.260
1464777871	3.350
1464777941	3.200
1464778011	3.540
1464778080	3.680
1464778150	3.260
1464778220	670.110
1464778290	3.320
1464778360	3.190
1464778430	2.910
1464778500	3.740
1464778569	3.140
1464778639	622.620
1464778710	2.940
1464778779	3.240
1464778849	3.470
1464778919	3.010
1464778989	3.310
1464779058	646.320
1464779129	3.030
1464779199	3.260
1464779268	619.300
1464779339	634.290
1464779409	3.530
1464779479	3.350
1464779549	2.960
1464779619	2.840
1464779690	680.430
1464779760	3.400
1464779830	3.710
1464779900	3.140
1464779969	3.570
1464780039	663.560
1464780110	635.530
1464780180	3.570
1464780250	3.370
1464780320	636.190
1464780390	3.540
1464780460	2.640
1464780530	3.140
1464780599	618.550
1464780670	3.420
1464780739	656.270
1464780810	2.890
1464780880	3.080
1464780949	3.600
1464781019	3.290
1464781089	3.170
1464781159	668.130
1464781229	3.180
1464781299	615.960
1464781370	676.800
1464781441	3.020
1464781511	612.690
1464781581	3.390
1464781651	3.610
1464781721	3.130
1464781790	3.550
1464781860	670.110
1464781931	630.320
1464782001	3.220
1464782071	3.550
1464782140	668.220
1464782211	3.270
1464782281	3.700
1464782350	3.530
1464782420	3.350
1464782490	3.920
1464782560	3.030
1464782630	3.120
1464782699	3.210
1464782769	2.820
1464782839	673.200
1464782909	3.100
1464782979	3659.740
1464783053	2.820
1464783122	633.260
1464783193	672.490
1464783263	650.480
1464783334	632.050
1464783404	2.990
1464783474	5.210
1464783544	3.280
1464783613	3.230
1464783683	3.380
1464783753	2.950
1464783823	3.240
1464783893	3.170
1464783962	4.060
1464784032	3.050
1464784102	3.170
1464784172	642.360
1464784242	3.160
1464784312	3.270
1464784382	3.430
1464784452	2.880
1464784521	678.640
1464784592	3.530
1464784662	2.690
1464784733	3.350
1464784802	642.420
1464784873	641.780
1464784943	2.980
1464785013	4.370
1464785083	662.820
1464785153	630.960
1464785225	4.150
1464785295	2.980
1464785364	3.180
1464785434	651.180
1464785505	3.250
1464785574	3.320
1464785644	660.420
1464785715	2.720
1464785784	661.150
1464785855	667.570
1464785925	681.170
1464785996	2.880
1464786066	659.340
1464786136	641.000
1464786206	3.060
1464786276	3003.530
1464786349	653.210
1464786419	3.130
1464786489	660.690
1464786560	3.280
1464786629	4.520
1464786699	3.740
1464786769	3.170
1464786839	3.020
1464786909	2.750
1464786978	3.010
1464787048	622.160
1464787119	2.960
1464787188	652.190
1464787259	2.880
1464787329	653.540
1464787399	3.200
1464787469	3.160
1464787539	3.170
1464787608	2.870
1464787678	665.870
1464787749	668.540
1464787819	3.240
1464787889	3.050
1464787959	3.040
1464788028	642.990
1464788099	3.060
1464788169	639.980
1464788239	2.820
1464788309	2.840
1464788379	3.010
1464788448	2.800
1464788518	663.990
1464788589	2.800
1464788658	3.310
1464788728	655.760
1464788799	651.490
1464788869	3.270
1464788939	621.950
1464789009	3.150
1464789079	3.160
1464789149	661.920
1464789219	661.840
1464789290	3.460
1464789360	3.390
1464789430	2.960
1464789499	3.180
1464789569	3.420
1464789639	2.810
1464789709	3.310
1464789778	669.440
1464789849	2.920
1464789919	2.900
1464789988	660.750
1464790059	3.210
1464790130	2.920
1464790199	3.010
1464790269	2.840
1464790339	3.260
1464790409	3.020
1464790479	671.210
1464790549	650.750
1464790619	2.910
1464790689	635.010
1464790760	3.040
1464790830	3659.970
1464790904	665.570
1464790974	3.090
1464791044	2.970
1464791114	3.690
1464791183	2.960
1464791253	654.170
1464791334	3.060
1464791428	3.170
1464791498	3.300
1464791567	666.360
1464791639	3.810
1464791709	3.200
1464791779	634.510
1464791849	3.020
1464791919	3.830
1464791989	3.130
1464792059	2.990
1464792129	3.320
1464792198	2.960
1464792268	3.140
1464792340	3.040
1464792410	3.450
1464792480	3.270
1464792550	627.110
1464792620	3.230
