timestamp[s]	latency_value[ms]
1464774792	712.300
1464774864	3.780
1464774936	717.090
1464775009	735.110
1464775082	717.200
1464775154	698.110
1464775226	718.270
1464775298	3002.530
1464775374	2.770
1464775445	3.210
1464775516	733.790
1464775589	3.200
1464775660	728.610
1464775732	3.370
1464775803	3.390
1464775875	750.430
1464775947	724.740
1464776019	728.020
1464776091	2.880
1464776162	2.830
1464776234	708.240
1464776307	3.260
1464776378	749.830
1464776450	3.570
1464776522	3.210
1464776593	747.520
1464776665	708.830
1464776737	3.500
1464776809	3.300
1464776880	3.570
1464776951	3.290
1464777023	701.680
1464777095	3.360
1464777166	740.250
1464777238	3.130
1464777310	3.440
1464777381	3.200
1464777452	721.280
1464777525	715.230
1464777597	2.350
1464777668	745.340
1464777740	3.210
1464777812	5.120
1464777883	710.910
1464777955	713.950
1464778027	3.460
1464778098	3.340
1464778170	3.020
1464778241	3.130
1464778313	3.140
1464778384	746.880
1464778456	2.980
1464778527	3.090
1464778599	3.130
1464778670	3.270
1464778741	3.710
1464778813	3.140
1464778884	3.050
1464778956	702.200
1464779028	714.970
1464779100	4.880
1464779171	759.290
1464779243	3.200
1464779315	3.370
1464779386	719.080
1464779458	225.500
1464779530	3.150
1464779601	725.220
1464779673	2.880
1464779744	743.590
1464779817	3.580
1464779888	2.930
1464779959	715.030
1464780031	3.660
1464780103	213.790
1464780174	3.410
1464780246	2.850
1464780317	2.970
1464780388	3.350
1464780460	3.170
1464780531	3.130
1464780602	765.000
1464780675	784.720
1464780747	3.100
1464780818	708.830
1464780890	2.720
1464780961	708.830
1464781034	717.280
1464781106	3.240
1464781177	3.110
1464781248	733.190
1464781320	3.010
1464781392	2.860
1464781465	3.400
1464781537	722.780
1464781609	3.900
1464781680	3.540
1464781752	3.390
1464781823	3.650
1464781894	3.220
1464781966	2.970
1464782037	745.120
1464782109	725.550
1464782181	3.670
1464782253	742.920
1464782325	709.780
1464782397	773.140
1464782469	734.540
1464782541	3.840
1464782613	3.680
1464782684	720.980
1464782756	3.950
1464782827	704.380
1464782899	2.920
1464782971	3.460
1464783042	706.960
1464783114	744.430
1464783186	2.860
1464783258	3.290
1464783329	3.210
1464783400	3.540
1464783472	4.130
1464783543	3.270
1464783614	3.300
1464783686	2.800
1464783758	2.660
1464783830	3.490
1464783901	761.380
1464783973	814.950
1464784046	3.040
1464784117	758.210
1464784189	715.330
1464784261	3.580
1464784332	711.130
1464784405	729.950
1464784477	708.610
1464784549	3.050
1464784620	710.310
1464784692	3.570
1464784763	4.340
1464784835	3.270
1464784906	3.500
1464784978	724.050
1464785050	3.030
1464785121	3.620
1464785192	3.190
1464785264	698.390
1464785336	2.890
1464785409	734.340
1464785481	710.680
1464785553	3.560
1464785624	3.160
1464785696	732.370
1464785768	3.050
1464785839	709.440
1464785911	749.820
1464785983	3.280
1464786055	737.550
1464786127	3.280
1464786198	2.710
1464786270	3.610
1464786341	735.820
1464786413	3.270
1464786484	2.840
1464786556	3.620
1464786627	3.320
1464786698	3.530
1464786770	2.980
1464786841	735.130
1464786913	2.590
1464786985	2.900
1464787056	3.480
1464787128	3.510
1464787199	3.300
1464787270	702.890
1464787342	829.190
1464787415	3.320
1464787487	714.180
1464787560	744.350
1464787633	8.230
1464787704	2.380
1464787775	4.540
1464787847	3.300
1464787918	3.240
1464787990	931.640
1464788062	725.320
1464788135	755.880
1464788207	3.190
1464788278	745.150
1464788350	3.160
1464788422	3.050
1464788493	740.450
1464788565	739.290
1464788638	3716.130
1464788713	3.880
1464788784	2.950
1464788855	3.040
1464788927	735.380
1464788999	3841.620
1464789074	3.790
1464789146	762.900
1464789218	700.300
1464789290	3.260
1464789361	2.970
1464789433	747.080
1464789507	740.140
1464789579	3.620
1464789650	2.960
1464789722	3.310
1464789793	744.320
1464789865	2.950
1464789936	3.210
1464790008	730.690
1464790080	731.970
1464790152	746.410
1464790224	701.410
1464790296	3.560
1464790369	2.890
1464790440	4.090
1464790511	776.010
1464790584	783.180
1464790656	755.210
1464790728	3.440
1464790799	3.800
1464790871	727.570
1464790943	3003.060
1464791017	3.130
1464791089	3.150
1464791160	2.890
1464791231	3.070
1464791303	772.080
1464791376	3.100
1464791448	3.200
1464791521	3.170
1464791592	3.040
1464791663	3.800
1464791735	3.360
1464791806	3.650
1464791878	3.290
1464791949	3.510
1464792020	2.760
1464792092	2.960
1464792163	3.500
1464792235	702.590
1464792307	2.830
1464792378	773.570
1464792450	3.340
1464792522	5.490
1464792593	3.480
1464792664	3.810
1464792736	2.950
1464792807	2.910
1464792879	2.930
1464792950	805.050
1464793022	4.460
1464793098	833.950
