timestamp[s]	latency_value[ms]
1464774788	657.060
1464774859	3.120
1464774929	677.430
1464774999	2.850
1464775069	683.140
1464775139	680.900
1464775210	666.220
1464775281	677.840
1464775351	3.360
1464775421	655.180
1464775492	2.830
1464775561	3.290
1464775631	4.670
1464775701	720.380
1464775772	689.080
1464775842	683.700
1464775913	3.210
1464775983	3.470
1464776053	3.100
1464776122	3.170
1464776192	2.300
1464776262	3.100
1464776332	3.340
1464776402	2.740
1464776472	710.250
1464776542	3.040
1464776612	688.650
1464776683	2.840
1464776753	3.110
1464776823	676.830
1464776893	3.180
1464776963	2.850
1464777033	3.080
1464777103	2.870
1464777173	4.300
1464777243	695.710
1464777313	4.300
1464777383	2.770
1464777453	691.830
1464777523	3.330
1464777593	705.190
1464777664	3.680
1464777734	3.270
1464777804	703.810
1464777874	3.000
1464777944	3.390
1464778014	3.010
1464778084	3.180
1464778154	3.030
1464778224	693.100
1464778294	3.490
1464778364	691.870
1464778435	3.300
1464778504	3.020
1464778574	3.240
1464778644	3.410
1464778714	3.270
1464778784	5.390
1464778854	691.970
1464778924	3.080
1464778994	3.010
1464779064	716.950
1464779135	655.060
1464779205	3.480
1464779275	674.740
1464779346	3.050
1464779416	3.150
1464779485	3.050
1464779555	3.130
1464779625	676.690
1464779696	700.810
1464779766	3.910
1464779836	3.300
1464779906	710.440
1464779977	3.120
1464780061	679.440
1464780132	2.210
1464780202	655.910
1464780272	3.210
1464780342	3.170
1464780412	5.110
1464780482	686.300
1464780552	3.050
1464780622	3.640
1464780692	668.060
1464780763	3.350
1464780832	3.360
1464780902	3.340
1464780972	712.570
1464781043	3.080
1464781113	2.830
1464781183	3.310
1464781252	3.590
1464781322	3.440
1464781392	4.100
1464781462	713.270
1464781533	677.160
1464781603	2.870
1464781673	695.150
1464781744	3.220
1464781813	2.920
1464781883	3.250
1464781953	3.110
1464782023	3.050
1464782093	3.040
1464782163	674.020
1464782233	3.580
1464782303	677.680
1464782374	5.870
1464782444	3.490
1464782514	2.990
1464782584	3.190
1464782653	3.290
1464782723	710.340
1464782794	3.240
1464782864	688.310
1464782934	3.210
1464783006	3.540
1464783076	3.540
1464783145	3.300
1464783215	712.020
1464783286	713.330
1464783356	2.920
1464783426	674.960
1464783497	3.500
1464783567	3.030
1464783637	692.800
1464783707	3.310
1464783777	2.990
1464783847	692.810
1464783917	656.640
1464783988	3.370
1464784058	3.290
1464784128	3.250
1464784198	3.450
1464784268	2.990
1464784337	3.120
1464784407	3.580
1464784477	707.180
1464784548	720.420
1464784618	2.950
1464784688	3.800
1464784758	689.650
1464784829	3.360
1464784899	682.420
1464784969	3.120
1464785039	3.590
1464785109	671.580
1464785179	676.360
1464785250	3.240
1464785320	692.460
1464785390	3.190
1464785460	3.240
1464785530	3.180
1464785600	712.710
1464785671	3.330
1464785740	3.410
1464785810	711.130
1464785884	3.240
1464785954	3.490
1464786024	711.080
1464786094	3.100
1464786164	2.820
1464786234	668.310
1464786305	3.020
1464786375	677.850
1464786445	3.700
1464786515	2.940
1464786585	4.740
1464786655	698.750
1464786725	695.900
1464786796	3.240
1464786866	3.150
1464786937	3.470
1464787007	707.600
1464787078	3.320
1464787148	5.650
1464787217	710.070
1464787288	3.180
1464787358	3.320
1464787428	695.140
1464787498	3.570
1464787568	696.590
1464787639	656.750
1464787709	3.260
1464787779	3.070
1464787851	685.960
1464787921	2.740
1464787991	3.550
1464788061	710.140
1464788132	3.090
1464788202	3.320
1464788272	718.270
1464788342	3.110
1464788412	2.870
1464788482	694.020
1464788553	3.330
1464788622	3.600
1464788692	3.050
1464788762	3.470
1464788832	3.430
1464788902	3.450
