timestamp[s]	latency_value[ms]
1464774793	7.920
1464774862	3.160
1464774932	3.810
1464775001	45.030
1464775070	39.400
1464775140	37.600
1464775209	2.560
1464775278	38.680
1464775347	3.200
1464775417	55.350
1464775486	3.100
1464775555	52.270
1464775625	42.860
1464775694	2.940
1464775763	39.510
1464775832	43.480
1464775902	4.010
1464775971	3.220
1464776040	3.610
1464776110	7.550
1464776179	3002.450
1464776251	2.930
1464776320	3.080
1464776390	3.400
1464776459	3.150
1464776528	7.220
1464776597	2.710
1464776667	3.170
1464776736	3.300
1464776805	4.320
1464776875	9.630
1464776944	2.910
1464777013	51.400
1464777082	2.980
1464777152	2.950
1464777221	39.000
1464777290	3.160
1464777360	3.240
1464777429	3.190
1464777498	2.920
1464777567	3.650
1464777637	57.900
1464777706	3.420
1464777775	4.190
1464777844	7.260
1464777914	37.590
1464777983	3.140
1464778052	6.870
1464778122	2.850
1464778191	2.930
1464778260	3.200
1464778329	3.620
1464778399	7.090
1464778468	57.940
1464778537	3.550
1464778606	3.430
1464778676	3.190
1464778745	3.190
1464778814	50.430
1464778884	3.220
1464778953	3.140
1464779022	53.660
1464779091	3.030
1464779161	53.230
1464779230	6.870
1464779300	3.330
1464779369	2.630
1464779438	3.100
1464779507	3.330
1464779577	7.030
1464779646	3.240
1464779715	3.610
1464779784	3.220
1464779854	3.280
1464779923	2.910
1464779992	3.580
1464780062	3.030
1464780131	2.850
1464780201	3.540
1464780270	3.800
1464780339	3.820
1464780408	3.300
1464780478	2.930
1464780547	3.130
1464780616	3.260
1464780686	3.340
1464780755	2.830
1464780824	3.390
1464780893	55.000
1464780963	39.460
1464781032	52.140
1464781101	39.430
1464781171	2.890
1464781240	37.130
1464781309	2.980
1464781378	3.120
1464781448	3.570
1464781517	3.100
1464781586	50.870
1464781656	3.200
1464781725	45.870
1464781794	2.990
1464781863	3.360
1464781933	3.470
1464782002	7.150
1464782071	3.400
1464782141	3.320
1464782210	3.700
1464782279	3.200
1464782348	2.890
1464782418	61.850
1464782487	3.410
1464782556	3.390
1464782625	3.340
1464782695	3.960
1464782764	3.240
1464782833	3.420
1464782903	3.300
1464782972	60.820
1464783041	3.440
1464783111	54.870
1464783180	3.400
1464783249	7.120
1464783319	3.040
1464783388	3.240
1464783457	54.370
1464783526	3.220
1464783596	36.290
1464783665	3.350
1464783734	35.730
1464783804	52.670
1464783873	3.150
1464783942	3.050
1464784011	66.370
1464784081	69.360
1464784150	3.270
1464784219	57.510
1464784289	7.340
1464784358	2.960
1464784427	54.050
1464784497	3.580
1464784566	4.380
1464784635	7.670
1464784704	51.600
1464784774	2.980
1464784843	3.400
1464784912	2.920
1464784982	3.150
1464785051	3.150
1464785120	3.450
1464785190	41.900
1464785259	4.620
1464785328	2.910
1464785397	7.250
1464785467	2.840
1464785536	3.180
1464785605	55.880
1464785675	3.970
1464785744	2.560
1464785813	3056.000
1464785885	7.160
1464785955	3.060
1464786024	57.330
1464786093	8.220
1464786163	3.050
1464786232	50.600
1464786301	52.070
1464786371	7.210
1464786440	2.820
1464786509	6.710
1464786578	3.390
1464786648	2.770
1464786717	3.340
1464786786	3.340
1464786856	3.030
1464786925	52.550
1464786994	3.180
1464787063	55.690
1464787133	3.460
1464787202	2.710
1464787271	63.350
1464787341	3.390
1464787410	51.990
1464787479	3.400
1464787549	43.420
1464787618	3.170
1464787687	4.210
1464787756	2.670
1464787826	54.020
1464787895	7.050
1464787964	3.060
1464788034	3.270
1464788103	3.280
1464788172	54.300
1464788241	2.910
1464788311	3.400
1464788380	3.050
1464788449	56.280
1464788519	3.470
1464788588	2.900
1464788657	3.140
1464788726	3.140
1464788796	6.870
1464788865	3.010
1464788934	54.950
1464789004	57.540
1464789073	44.350
1464789142	35.690
1464789212	3.100
1464789281	3.020
1464789350	3.210
1464789419	7.390
1464789489	6.870
1464789558	3.090
1464789627	53.790
1464789697	3.520
1464789766	3.650
1464789835	54.680
1464789905	2.910
1464789974	52.040
1464790043	3.480
1464790112	3.450
1464790182	51.140
1464790251	3.530
1464790320	3.560
1464790390	50.910
1464790459	2.820
1464790528	7.060
1464790597	3.430
1464790667	50.100
1464790736	2.960
1464790805	7.270
1464790875	3.390
1464790944	3002.620
1464791016	6.660
1464791086	3.050
1464791155	3.150
1464791224	3.090
1464791293	5.390
1464791363	3.160
1464791432	3.300
1464791501	211.370
1464791571	2.860
1464791641	2.910
1464791710	3.140
1464791779	3.280
1464791848	3.340
1464791918	51.490
1464791987	51.330
1464792056	34.920
1464792126	2.880
1464792195	34.700
1464792264	3.430
1464792334	2.940
1464792403	3.550
1464792472	63.700
1464792542	61.160
1464792611	37.970
1464792680	44.170
1464792750	7.680
1464792819	3.170
1464792888	51.060
1464792957	41.870
1464793027	42.110
1464793096	6.770
1464793165	8.730
1464793236	3.740
1464793305	3.540
1464793374	2.170
1464793444	51.010
1464793513	3.750
1464793582	3.270
1464793651	3.080
1464793721	57.020
1464793790	3.160
1464793859	51.930
1464793929	6.730
1464793998	3.970
1464794067	3.260
1464794136	2.350
1464794206	2.920
1464794275	6.850
1464794344	3.380
1464794414	3.250
1464794483	3.090
1464794552	56.140
1464794622	3.030
1464794691	62.970
1464794760	3.150
1464794829	2.460
1464794899	4.730
1464794968	70.950
1464795037	3.420
1464795107	3.190
1464795176	2.720
1464795245	36.800
1464795315	3.210
1464795384	3.290
1464795453	35.080
1464795523	65.500
1464795592	54.230
1464795661	57.350
1464795731	40.900
1464795800	7.000
1464795869	3.140
1464795938	3.440
1464796008	2.880
1464796077	35.410
1464796146	33.930
1464796216	6.530
1464796285	56.390
1464796354	53.940
1464796424	36.520
1464796493	2.900
1464796562	57.860
1464796632	53.900
1464796701	13.160
1464796770	3.100
1464796840	3.250
1464796909	3.040
1464796978	38.530
1464797047	3.260
1464797117	66.390
1464797186	3.520
1464797255	57.420
1464797325	3.200
1464797394	3.150
1464797464	52.920
1464797533	3.120
1464797602	40.180
1464797671	2.850
1464797741	2.860
1464797810	3.300
1464797879	3.440
1464797949	3.420
1464798018	8.830
1464798087	3.200
1464798156	3.190
1464798226	3.100
1464798295	49.820
1464798364	57.670
1464798434	32.180
1464798503	3.040
1464798572	3.060
1464798642	3.240
1464798711	6.880
1464798780	3.180
1464798849	3.300
1464798919	3.170
1464798988	4.700
1464799057	3.170
1464799127	2.900
1464799196	2.900
1464799265	2.840
1464799334	2.970
1464799404	3.540
1464799473	52.020
1464799542	2.970
1464799612	52.800
1464799681	7.320
1464799750	4.150
1464799819	3.000
1464799889	3057.290
1464799961	3.080
1464800030	55.640
1464800100	3.180
1464800169	51.360
1464800238	3.970
1464800308	37.780
1464800377	3.290
1464800446	3.190
1464800515	2.970
1464800586	4.070
1464800655	3.300
1464800724	39.920
1464800794	2.970
1464800863	3.050
1464800932	3.060
1464801001	2.760
1464801071	2.800
1464801140	3.430
1464801209	63.630
1464801279	6.890
1464801348	50.740
1464801417	3.030
1464801487	3.170
1464801556	2.830
1464801625	7.350
1464801694	50.850
1464801764	40.950
1464801833	3.340
1464801902	3.220
1464801972	3.100
1464802041	3.220
1464802110	3.000
1464802179	43.860
1464802249	3.330
1464802318	3.300
1464802387	3.510
1464802457	3.180
1464802526	62.230
1464802595	4.230
1464802665	34.140
1464802734	3.080
1464802803	3.500
1464802872	3.170
1464802942	3.160
1464803011	3.340
1464803080	61.920
1464803150	50.260
1464803220	3.320
1464803289	56.620
1464803358	3.150
1464803427	3.490
1464803497	3.370
1464803566	8.870
1464803635	3.440
1464803705	3.220
1464803774	58.570
1464803843	3.200
1464803913	3.630
1464803982	2.980
1464804051	3.890
1464804120	3.880
1464804190	3.320
1464804259	3.200
1464804328	3.040
