timestamp[s]	latency_value[ms]
1464774789	7.030
1464774857	3.560
1464774926	3.600
1464774994	3.190
1464775062	39.700
1464775130	10.340
1464775199	45.240
1464775267	3.680
1464775335	4.140
1464775403	2.920
1464775472	3.680
1464775540	39.620
1464775608	3.430
1464775676	3.270
1464775745	35.360
1464775813	3.140
1464775881	3.060
1464775949	3.360
1464776018	3.730
1464776086	40.540
1464776154	2.240
1464776223	3.330
1464776291	51.770
1464776359	4.050
1464776428	3.920
1464776496	3.170
1464776564	3.350
1464776632	55.840
1464776701	3.140
1464776769	3.560
1464776837	21.030
1464776905	3.170
1464776974	2.990
1464777042	3.030
1464777110	69.340
1464777179	54.270
1464777247	8.930
1464777315	38.710
1464777383	9.740
1464777452	2.880
1464777520	3.280
1464777588	3.240
1464777657	6.860
1464777725	53.990
1464777793	2.800
1464777861	3.750
1464777930	3.170
1464777998	3.270
1464778066	34.190
1464778134	4.130
1464778203	3.060
1464778271	3.620
1464778339	3.170
1464778407	3.190
1464778476	2.980
1464778544	51.470
1464778612	4.670
1464778680	3.080
1464778749	35.820
1464778817	2.900
1464778885	3.610
1464778954	2.840
1464779022	3.210
1464779090	3.170
1464779158	8.990
1464779227	3.170
1464779295	7.370
1464779363	3.420
1464779431	14.430
1464779500	3.140
1464779568	3.520
1464779636	3.170
1464779704	3.260
1464779773	2.760
1464779841	3.580
1464779909	52.550
1464779977	56.150
1464780046	3.360
1464780114	3.340
1464780182	3.050
1464780251	54.030
1464780319	3.490
1464780387	3.160
1464780456	3.250
1464780524	57.830
1464780592	3.180
1464780660	3.200
1464780729	2.870
1464780797	3.390
1464780865	3.060
1464780933	55.440
1464781002	58.880
1464781070	3.070
1464781138	8.840
1464781206	3.740
1464781275	3.160
1464781343	3.370
1464781411	57.310
1464781480	2.990
1464781548	61.250
1464781616	3.040
1464781684	3.090
1464781753	37.890
1464781821	3.700
1464781889	2.920
1464781957	4.500
1464782026	3.050
1464782094	3.120
1464782162	2.910
1464782230	51.800
1464782299	3.770
1464782367	54.620
1464782435	3.330
1464782504	3.190
1464782572	3.310
1464782640	3.050
1464782708	40.450
1464782777	55.940
1464782845	3.930
1464782913	3.390
1464782981	3.210
1464783050	8.290
1464783118	2.840
1464783186	3.340
1464783254	50.780
1464783323	2.270
1464783391	3.520
1464783459	3.670
1464783527	5.910
1464783596	3.590
1464783664	3.140
1464783732	2.860
1464783801	3.260
1464783869	3.090
1464783937	3.340
1464784005	3.170
1464784074	51.730
1464784142	3.600
1464784210	52.760
1464784279	2.770
1464784347	2.920
1464784415	3.030
1464784483	39.190
1464784552	3.880
1464784620	3.750
1464784688	4.250
