timestamp[s]	latency_value[ms]
1464774790	515.720
1464774860	3.210
1464774929	486.950
1464774999	3.100
1464775068	3.640
1464775138	3.610
1464775207	466.290
1464775277	439.600
1464775347	3.490
1464775416	3.230
1464775485	3.430
1464775555	3.560
1464775624	485.950
1464775694	2.950
1464775763	477.200
1464775833	3.280
1464775902	4.090
1464775972	3.190
1464776041	487.280
1464776111	3.830
1464776180	690.260
1464776250	458.610
1464776320	461.520
1464776390	461.270
1464776460	490.360
1464776529	2.970
1464776599	2.270
1464776668	4.080
1464776737	477.290
1464776807	499.660
1464776877	3.640
1464776946	3.110
1464777016	2.870
1464777085	3.390
1464777155	3.410
1464777224	504.730
1464777294	3.200
1464777363	3.440
1464777432	478.740
1464777502	490.880
1464777572	4.490
1464777641	3.430
1464777711	3.250
1464777780	3.490
1464777849	489.620
1464777919	503.870
1464777989	3.000
1464778058	3.610
1464778128	3.920
1464778197	3.650
1464778266	491.010
1464778336	2.900
1464778406	3.080
1464778475	473.690
1464778545	460.450
1464778614	3.020
1464778684	479.320
1464778754	3.210
1464778823	461.120
1464778893	3.350
1464778962	3.010
1464779031	506.230
1464779101	440.480
1464779171	3.210
1464779240	3.180
1464779310	3.550
1464779379	439.270
1464779449	3.140
1464779518	3.050
1464779588	3.250
1464779657	470.930
1464779727	3.250
1464779796	478.280
1464779866	508.960
1464779936	482.180
1464780006	3.260
1464780075	6.080
1464780145	3.110
1464780215	3.470
1464780284	3.590
1464780353	3.150
1464780423	3.430
1464780492	3.490
1464780561	3.160
1464780631	512.260
1464780701	3.220
1464780770	3.350
1464780839	507.440
1464780909	2.910
1464780978	3.310
1464781048	3.230
1464781117	3.170
1464781186	2.370
1464781256	227.590
1464781325	3.000
1464781395	3.210
1464781467	3.150
1464781537	483.960
1464781607	3.160
1464781676	3.420
1464781746	459.840
1464781816	454.160
1464781885	3.470
1464781955	2.440
1464782024	458.530
1464782094	471.430
1464782164	473.140
1464782233	460.300
1464782303	3.510
1464782373	3.060
1464782442	458.510
1464782512	3.090
1464782581	3.180
1464782650	3.300
1464782720	506.170
1464782790	3.420
1464782859	3.370
1464782928	503.090
1464782998	440.930
1464783068	3.510
1464783137	3.380
1464783207	232.200
1464783276	3.580
1464783346	3.320
1464783415	3.270
1464783484	3.440
1464783554	504.140
1464783623	479.880
1464783693	3.410
1464783763	479.940
1464783832	3.100
1464783902	505.000
1464783972	441.480
1464784041	3.380
1464784111	2.930
1464784180	3.160
1464784249	4.000
1464784319	3.140
1464784388	498.340
1464784458	4.400
1464784527	477.290
1464784597	488.040
1464784667	490.140
1464784737	3.290
1464784806	472.860
1464784876	485.590
1464784946	3.150
1464785015	3.050
1464785085	3.120
1464785154	868.400
1464785225	495.740
1464785295	3.050
1464785364	486.560
1464785434	3.730
1464785503	3.130
1464785572	2.990
1464785642	3.680
1464785711	494.000
1464785781	3.180
1464785850	506.830
1464785920	3.720
1464785990	3.140
1464786059	459.110
1464786129	3.190
1464786198	3.260
1464786267	496.100
1464786337	3.200
1464786407	2.890
1464786476	2.910
1464786546	2.880
1464786616	3.220
1464786685	485.280
1464786755	3.390
1464786824	3.140
1464786894	479.300
1464786963	441.750
1464787033	3500.920
1464787107	498.880
1464787177	3.520
1464787246	501.300
1464787316	2.900
1464787385	500.870
1464787455	475.130
1464787528	3.310
1464787600	3.070
1464787670	3.220
1464787739	3.050
1464787808	3.690
1464787878	2.970
1464787947	486.830
1464788017	457.000
1464788087	3.350
1464788156	3.070
1464788225	3.240
1464788295	3.600
1464788364	3.160
1464788433	3.390
1464788503	3.270
1464788572	3.620
1464788641	3.910
1464788714	2.930
1464788783	3.590
1464788852	3.820
1464788922	3.190
1464788991	3.580
1464789062	3.120
1464789131	3.760
1464789200	3.070
1464789270	3.190
1464789339	3.090
1464789408	3.160
1464789478	511.880
1464789547	3.370
1464789617	3.240
1464789686	464.910
1464789756	505.210
1464789826	3.140
1464789895	2.870
1464789965	508.010
1464790035	479.230
1464790104	3.180
1464790174	3.130
1464790243	2.980
1464790312	505.480
1464790382	475.100
1464790452	3.210
1464790521	504.420
1464790591	445.010
1464790661	3.280
1464790730	3.360
1464790800	4.270
1464790869	478.090
1464790939	3.270
1464791008	3.310
1464791078	2.990
1464791147	504.810
1464791217	494.540
1464791287	3.280
1464791356	3.070
1464791425	3.160
1464791495	488.050
1464791565	492.710
1464791634	3.990
1464791704	3.580
1464791774	3.010
1464791843	2.950
1464791913	507.320
1464791983	3.530
1464792052	3.060
1464792121	497.280
1464792191	3.060
1464792261	3.450
1464792330	503.690
1464792400	3.090
1464792469	2.970
1464792538	3.250
1464792608	2.920
1464792677	3.000
1464792746	3.210
1464792816	497.920
1464792886	3.190
1464792956	3.180
1464793025	3.010
1464793094	2.990
1464793164	3.040
1464793233	3.320
1464793302	3.430
1464793372	3.250
1464793441	503.370
1464793511	458.390
1464793581	2.980
1464793650	466.040
1464793720	3.450
1464793789	3.150
1464793859	495.480
1464793928	464.260
1464793998	2.970
1464794068	3.280
1464794137	2.820
1464794206	491.330
1464794278	3.110
1464794347	501.120
1464794417	3.240
1464794487	3.030
1464794556	495.370
1464794626	2.940
1464794695	468.660
1464794765	440.630
1464794835	460.550
1464794905	3.270
1464794974	500.770
1464795044	3.520
1464795113	502.400
1464795183	3.000
1464795252	3.070
1464795322	3.140
1464795391	3.180
1464795460	4.540
1464795530	3.310
1464795599	3.590
1464795669	2.870
1464795738	473.620
1464795808	3.080
1464795877	498.250
1464795947	3.580
1464796016	2.810
1464796086	3.840
1464796155	7.770
1464796224	2.900
1464796294	2.980
1464796363	479.650
1464796433	2.900
1464796502	2.770
1464796571	507.760
1464796641	2.920
1464796711	2.920
1464796780	3.340
1464796849	3.130
1464796919	482.770
1464796989	510.370
1464797058	4.130
1464797128	3.950
1464797197	479.070
1464797267	3.120
1464797336	461.030
1464797409	3.000
1464797478	3.250
1464797547	504.030
1464797617	478.570
1464797687	3.570
1464797756	3.560
1464797826	501.870
1464797896	3.430
1464797965	2.880
1464798034	473.410
1464798104	2.990
1464798173	3.000
1464798243	3.820
1464798312	504.730
1464798382	440.980
1464798452	3.440
1464798521	471.260
1464798592	3.100
1464798661	3.490
1464798730	4.270
1464798800	460.930
1464798870	3.020
1464798939	3.240
1464799008	498.330
1464799078	3.010
1464799147	497.770
1464799217	486.370
1464799287	2.940
1464799356	3.300
1464799426	3.470
1464799495	443.250
1464799565	3.340
1464799634	2.890
1464799704	3.400
1464799776	3.080
1464799845	3.320
1464799915	3.360
1464799984	3.220
1464800053	3.020
1464800123	3.240
1464800192	9.680
1464800262	505.010
1464800332	2.640
1464800401	3.050
1464800470	485.360
1464800540	2.760
1464800610	2.960
1464800679	468.040
1464800749	3.390
1464800818	3.130
1464800887	3.210
1464800957	491.490
1464801027	463.910
1464801097	3.220
1464801166	3.050
1464801236	3.500
1464801305	489.640
1464801375	3.080
1464801445	496.450
1464801515	2.890
1464801584	480.170
1464801654	2.910
1464801723	3.020
1464801793	3.160
1464801862	3.420
1464801931	3.090
1464802001	3.950
1464802070	3.180
1464802139	507.530
1464802209	3.200
1464802279	3.360
1464802348	2.950
1464802417	2.820
1464802487	484.620
1464802556	2.970
1464802626	471.780
1464802696	460.740
1464802765	3.180
1464802835	4.810
1464802904	3.200
1464802973	3.160
1464803043	450.830
1464803113	440.500
1464803182	459.260
1464803252	506.950
1464803322	3.160
1464803391	2.850
1464803461	483.540
1464803531	2.740
1464803600	2.950
1464803672	3.090
1464803742	482.760
1464803812	2.930
1464803881	2.870
1464803950	3.170
1464804020	3.480
1464804089	3.330
1464804158	3.250
1464804228	474.670
1464804297	3.310
1464804367	3.120
1464804436	3.490
1464804505	454.750
1464804575	3.260
1464804645	3.160
1464804714	460.960
1464804784	3.600
1464804853	454.900
1464804923	498.080
1464804994	2.960
1464805066	2.940
1464805135	3.240
1464805205	3.220
1464805274	2.870
1464805343	3.030
1464805413	505.950
1464805483	2.860
1464805552	495.060
1464805622	2.900
1464805691	3.310
1464805761	505.680
1464805830	485.560
1464805900	3.230
1464805970	3.100
1464806039	464.460
1464806109	3.330
1464806178	490.140
1464806248	494.220
1464806318	3.200
1464806387	3.200
1464806456	501.150
1464806526	3.050
1464806596	3.430
1464806665	3.440
1464806734	445.060
1464806804	3.220
1464806874	3.780
1464806943	3.400
1464807012	3.000
1464807082	484.020
1464807151	507.360
1464807221	3.140
1464807291	458.450
1464807361	3.130
1464807430	3.350
1464807499	3.680
1464807569	2.860
1464807638	3.420
1464807707	3.030
1464807777	499.120
1464807846	3.170
1464807916	3.110
1464807985	3.200
1464808055	3.340
1464808124	499.420
1464808194	2.810
1464808263	3.120
1464808333	3.230
1464808402	3.120
1464808471	473.520
1464808542	3.320
1464808611	453.450
1464808681	3.750
1464808751	501.960
1464808820	3.040
1464808891	3.330
1464808960	451.750
1464809030	2.920
1464809099	3.420
1464809169	3.000
1464809238	482.430
1464809308	3.060
1464809377	2.770
1464809446	3.890
1464809516	3.460
1464809585	3.210
1464809655	5.100
1464809724	3.460
1464809793	2.940
1464809863	460.040
1464809932	3.550
1464810002	3.360
1464810071	4.950
1464810141	3.150
1464810210	2.950
1464810279	505.800
1464810349	439.980
1464810419	3.710
1464810488	2.870
1464810558	3.160
1464810627	3.120
1464810696	478.020
1464810766	3.140
1464810835	3.720
1464810905	3.460
1464810974	3.350
1464811044	3.640
1464811114	2.750
1464811183	513.370
1464811253	488.240
1464811323	2.950
1464811392	3.580
1464811462	3.040
1464811531	2.900
1464811600	3.520
1464811670	3.460
1464811739	3.670
1464811808	3.320
1464811878	3.190
1464811947	3.370
1464812016	3.460
1464812087	3.410
1464812156	3.110
1464812225	506.150
1464812295	531.890
1464812365	3.280
1464812434	483.820
1464812504	3.390
1464812574	3.350
1464812646	486.220
1464812717	208.160
1464812827	204.110
1464812926	208.770
1464813025	3.390
1464813105	3.090
1464813234	3.260
