timestamp[s]	latency_value[ms]
1464774787	283.230
1464774856	283.860
1464774926	283.280
1464774996	303.540
1464775066	302.850
1464775135	274.010
1464775205	299.050
1464775275	294.710
1464775344	300.660
1464775414	281.040
1464775484	300.920
1464775554	280.530
1464775623	303.330
1464775693	303.430
1464775763	302.730
1464775832	282.210
1464775902	283.180
1464775972	301.950
1464776041	285.660
1464776111	279.570
1464776181	282.550
1464776251	304.020
1464776321	302.080
1464776390	299.590
1464776460	286.090
1464776530	286.050
1464776599	280.510
1464776669	282.090
1464776739	279.880
1464776809	284.520
1464776878	278.300
1464776948	281.490
1464777018	279.080
1464777087	300.300
1464777157	304.100
1464777227	302.910
1464777297	284.420
1464777366	284.500
1464777436	283.000
1464777505	305.530
1464777575	281.700
1464777645	308.950
1464777715	281.650
1464777784	309.230
1464777854	305.010
1464777924	279.930
1464777993	300.780
1464778063	282.870
1464778133	310.120
1464778202	302.870
1464778272	282.980
1464778341	285.470
1464778411	284.870
1464778481	303.260
1464778551	305.470
1464778620	281.440
1464778690	303.170
1464778760	295.860
1464778830	279.670
1464778899	277.100
1464778969	309.340
1464779039	298.380
1464779108	301.500
1464779178	280.840
1464779248	287.540
1464779317	301.040
1464779387	302.890
1464779457	308.550
1464779526	305.840
1464779596	285.320
1464779666	301.340
1464779736	303.720
1464779805	283.570
1464779875	281.880
1464779945	283.440
1464780014	282.930
1464780084	284.000
1464780154	280.220
1464780223	284.190
1464780293	281.400
1464780363	303.790
1464780433	284.190
1464780502	304.930
1464780572	296.020
1464780642	280.710
1464780712	297.990
1464780781	304.550
1464780851	280.530
1464780921	279.570
1464780991	282.180
1464781060	282.860
1464781130	283.120
1464781199	305.560
1464781269	303.150
1464781339	299.630
1464781409	281.770
1464781479	300.090
1464781548	295.600
1464781618	303.770
1464781688	303.430
1464781757	299.120
1464781827	282.390
1464781897	300.430
1464781967	281.490
1464782037	306.080
1464782106	301.140
1464782176	285.460
1464782246	281.460
1464782316	302.030
1464782386	313.150
1464782455	299.200
1464782525	288.260
1464782595	300.070
1464782665	298.430
1464782734	281.070
1464782804	279.240
1464782874	280.140
1464782944	309.660
1464783014	304.780
1464783083	301.300
1464783153	284.980
1464783223	313.370
1464783293	300.270
1464783362	284.560
1464783432	301.940
1464783502	284.450
1464783571	283.830
