timestamp[s]	latency_value[ms]
1464774793	503.280
1464774864	482.510
1464774936	491.200
1464775008	477.930
1464775080	478.470
1464775151	479.230
1464775223	506.310
1464775295	499.270
1464775367	493.410
1464775439	481.300
1464775510	475.800
1464775582	477.460
1464775654	475.830
1464775726	489.510
1464775797	476.240
1464775869	485.940
1464775941	480.980
1464776013	507.640
1464776085	487.460
1464776156	486.000
1464776228	492.330
1464776300	499.370
1464776372	497.500
1464776443	489.480
1464776515	487.430
1464776587	477.330
1464776659	474.600
1464776730	476.510
1464776802	509.770
1464776874	475.770
1464776946	469.500
1464777018	492.250
1464777089	477.670
1464777161	488.200
1464777233	478.000
1464777305	492.200
1464777376	488.990
1464777448	499.560
1464777520	477.600
1464777592	487.450
1464777664	493.180
1464777735	480.260
1464777807	501.910
1464777879	480.060
1464777951	492.140
1464778023	497.640
1464778095	495.630
1464778166	485.080
1464778238	507.920
1464778310	481.460
1464778382	478.350
1464778454	479.090
1464778526	474.250
1464778598	514.630
1464778670	486.670
1464778742	488.060
1464778813	488.860
1464778885	481.900
1464778957	478.210
1464779029	474.820
1464779101	480.570
1464779172	509.970
1464779244	486.490
1464779316	484.260
1464779388	488.600
1464779459	476.070
1464779531	487.560
1464779603	486.500
1464779675	481.390
1464779746	483.990
1464779818	508.940
1464779890	476.120
1464779962	492.770
1464780034	486.870
1464780105	482.010
1464780177	485.200
1464780249	492.990
1464780321	489.960
1464780393	487.000
1464780465	476.300
1464780536	513.020
1464780608	484.250
1464780680	506.790
1464780752	492.680
1464780824	478.370
1464780895	490.380
1464780967	488.500
1464781039	492.560
1464781110	476.520
1464781182	489.380
1464781254	498.240
1464781326	489.630
1464781397	486.250
1464781469	492.490
1464781541	477.970
1464781613	486.880
1464781685	480.200
1464781756	501.160
1464781829	482.230
1464781900	509.780
1464781972	510.540
1464782044	491.550
1464782116	496.670
1464782188	487.740
1464782260	478.790
1464782331	508.150
1464782403	473.610
1464782475	488.020
1464782547	500.620
1464782619	488.980
1464782691	485.470
1464782762	507.140
1464782834	492.580
1464782906	503.260
1464782978	473.340
1464783050	481.870
1464783121	476.500
1464783194	489.550
1464783266	482.120
1464783337	484.680
1464783409	512.900
1464783481	485.870
1464783553	498.840
1464783625	505.890
1464783697	478.970
1464783769	492.930
1464783840	485.020
1464783912	498.220
1464783984	495.650
1464784056	493.010
1464784128	489.200
1464784199	485.140
1464784271	476.920
1464784343	506.240
1464784415	486.210
1464784487	477.920
1464784558	482.820
1464784630	485.380
1464784702	484.600
1464784774	478.690
1464784845	488.620
1464784918	480.930
1464784989	486.520
1464785061	492.500
1464785133	485.860
1464785205	492.830
1464785277	508.800
1464785348	478.460
1464785420	479.520
1464785492	470.660
1464785564	473.710
1464785636	481.760
1464785707	476.540
1464785779	487.530
1464785851	473.500
1464785923	500.760
1464785995	489.930
1464786066	497.470
1464786138	486.440
1464786210	497.910
1464786282	486.550
1464786354	481.250
1464786426	507.390
1464786498	488.020
1464786570	476.420
1464786641	475.140
1464786713	509.700
1464786785	495.240
1464786857	473.520
1464786929	477.720
1464787000	482.900
1464787072	504.450
1464787144	476.450
1464787216	505.700
