timestamp[s]	latency_value[ms]
1464774789	363.550
1464774858	359.730
1464774929	363.530
1464774999	360.040
1464775069	358.280
1464775139	364.460
1464775209	359.070
1464775279	365.630
1464775349	358.320
1464775419	359.960
1464775489	358.130
1464775559	356.110
1464775629	360.640
1464775699	354.680
1464775769	363.850
1464775839	357.600
1464775909	352.890
1464775978	357.580
1464776048	359.620
1464776119	358.680
1464776188	360.130
1464776258	358.330
1464776328	355.130
1464776398	352.160
1464776468	360.680
1464776539	356.170
1464776608	361.150
1464776679	359.670
1464776749	361.110
1464776819	357.980
1464776889	356.670
1464776959	355.810
1464777029	354.880
1464777099	356.620
1464777169	357.270
1464777238	361.510
1464777308	356.260
1464777378	357.510
1464777449	358.340
1464777518	356.790
1464777588	361.000
1464777659	371.120
1464777729	355.280
1464777799	362.850
1464777869	355.150
1464777939	367.960
1464778010	356.270
1464778080	361.340
1464778150	357.920
1464778219	363.980
1464778289	359.450
1464778359	359.890
1464778430	363.560
1464778499	362.870
1464778569	362.350
1464778639	362.890
1464778709	358.970
1464778779	368.180
1464778849	363.270
1464778919	349.650
1464778989	365.230
1464779059	362.280
1464779129	359.110
1464779199	356.540
1464779270	360.100
1464779339	362.490
1464779410	351.560
1464779480	367.190
1464779550	364.740
1464779620	363.710
1464779690	363.560
1464779760	364.560
1464779830	367.240
1464779900	362.320
1464779970	365.200
1464780040	364.210
1464780110	365.140
1464780180	363.260
1464780250	362.940
1464780320	363.030
1464780390	371.840
1464780460	372.510
1464780530	365.390
1464780600	366.820
1464780670	369.140
1464780740	367.210
1464780810	362.020
1464780880	362.430
1464780950	365.240
1464781020	365.250
1464781090	363.610
1464781160	362.590
1464781230	383.250
1464781300	360.480
1464781370	363.990
1464781440	360.000
1464781510	365.440
1464781580	367.310
1464781650	350.970
1464781720	361.360
1464781790	366.830
1464781860	354.990
1464781930	363.080
1464782000	367.860
1464782070	359.100
1464782140	361.630
1464782210	368.520
1464782280	358.920
1464782350	371.790
1464782420	359.090
1464782490	364.930
1464782560	357.210
1464782630	349.480
1464782700	362.040
1464782770	357.430
1464782840	366.460
1464782910	366.500
1464782980	357.540
1464783050	364.740
1464783120	361.890
1464783190	363.390
1464783260	359.740
1464783331	357.470
1464783401	366.120
1464783471	357.860
1464783541	358.840
1464783611	356.700
1464783681	370.090
1464783751	359.050
1464783821	352.520
1464783891	370.680
1464783961	360.170
1464784031	369.110
1464784101	365.710
1464784171	359.460
