timestamp[s]	latency_value[ms]
1464774794	159.830
1464774864	159.030
1464774934	162.300
1464775004	162.540
1464775075	158.240
1464775145	158.560
1464775215	154.690
1464775286	160.290
1464775356	160.150
1464775426	157.570
1464775497	158.160
1464775567	157.810
1464775637	158.200
1464775708	155.240
1464775778	156.180
1464775848	157.930
1464775919	156.440
1464775989	158.340
1464776059	158.630
1464776130	156.140
1464776200	157.420
1464776271	159.560
1464776341	161.960
1464776411	160.950
1464776481	151.880
1464776552	161.030
1464776622	155.060
1464776692	158.890
1464776762	159.260
1464776833	167.900
1464776903	159.090
1464776973	156.840
1464777044	156.800
1464777114	157.200
1464777185	155.480
1464777255	156.210
1464777325	158.200
1464777396	158.800
1464777466	161.350
1464777536	156.400
1464777606	156.210
1464777677	160.560
1464777747	149.980
1464777817	160.170
1464777888	159.720
1464777958	157.160
1464778028	158.050
1464778099	159.440
1464778169	155.220
1464778239	157.980
1464778310	157.510
1464778380	155.970
1464778450	158.390
1464778521	155.540
1464778591	159.820
1464778661	160.460
1464778732	160.250
1464778802	158.920
1464778872	159.260
1464778943	161.070
1464779013	156.620
1464779083	160.660
1464779154	159.900
1464779224	159.600
1464779294	160.390
1464779365	155.630
1464779435	163.680
1464779505	152.110
1464779576	155.300
1464779646	160.030
1464779716	161.250
1464779787	162.270
1464779857	155.810
1464779927	157.530
1464779998	166.780
1464780068	158.460
1464780138	162.620
1464780208	159.110
1464780279	158.900
1464780349	161.400
1464780419	157.870
1464780490	157.660
1464780560	158.340
1464780630	156.500
1464780701	161.640
1464780771	154.580
1464780841	153.930
1464780912	152.060
1464780982	150.660
1464781052	156.030
1464781122	154.760
1464781193	162.680
1464781263	155.400
1464781333	158.650
1464781404	159.320
1464781474	160.940
1464781544	158.110
1464781615	156.560
1464781685	162.540
1464781755	158.300
1464781825	165.390
1464781896	160.270
1464781966	160.360
1464782037	156.220
1464782107	157.090
1464782177	159.480
1464782248	156.760
1464782318	154.810
1464782388	159.170
1464782458	158.190
1464782529	157.960
1464782599	161.450
1464782669	152.370
1464782740	158.540
1464782810	158.760
1464782881	159.810
1464782951	157.580
1464783021	156.130
1464783092	156.020
1464783163	161.960
1464783233	161.480
1464783303	160.970
1464783374	161.690
1464783444	158.300
1464783514	156.810
1464783585	161.720
1464783655	156.280
1464783725	160.470
1464783795	156.840
1464783866	162.800
1464783936	157.220
1464784006	157.000
1464784077	151.250
1464784147	157.740
1464784218	158.470
1464784288	150.520
1464784358	156.730
1464784429	156.620
1464784499	161.290
1464784569	158.550
1464784640	156.860
1464784710	158.410
1464784781	157.990
1464784851	158.420
1464784922	151.320
1464784992	156.420
1464785063	159.880
1464785133	157.780
1464785204	158.680
1464785274	155.980
1464785344	165.580
1464785415	157.520
1464785485	157.300
1464785556	156.100
1464785626	158.500
1464785696	156.070
1464785766	156.560
1464785837	159.480
1464785907	159.440
1464785978	157.480
1464786048	159.530
1464786118	160.940
1464786189	156.410
1464786259	160.540
1464786329	153.400
1464786400	159.740
1464786470	159.250
1464786540	158.710
1464786611	160.250
1464786681	155.530
1464786751	157.210
1464786822	158.980
1464786892	155.380
1464786962	157.620
1464787033	157.170
1464787103	156.080
1464787173	157.520
1464787244	158.570
1464787314	162.340
1464787385	157.570
1464787455	161.180
1464787525	160.810
1464787595	163.380
1464787666	157.860
1464787736	156.930
1464787806	164.230
1464787877	161.560
1464787947	161.960
1464788018	156.840
1464788088	157.330
1464788158	157.810
1464788229	155.350
1464788299	160.070
1464788369	157.140
1464788440	158.430
1464788510	157.420
1464788580	157.250
1464788651	155.900
1464788721	149.910
1464788791	156.270
1464788861	159.450
1464788932	155.710
1464789002	160.770
1464789072	158.200
1464789143	166.140
1464789213	155.810
1464789283	159.000
1464789353	157.790
1464789424	160.720
1464789494	157.390
1464789565	156.800
1464789635	158.440
1464789705	161.930
1464789776	160.460
1464789846	160.470
1464789917	158.390
1464789987	156.550
1464790057	166.890
1464790128	163.140
1464790198	157.460
1464790268	155.890
1464790339	162.230
1464790409	158.940
1464790479	158.390
1464790549	161.530
1464790620	156.210
1464790690	151.120
1464790760	156.770
1464790831	156.270
1464790901	157.520
1464790971	156.620
1464791042	156.450
1464791112	158.320
1464791182	159.160
1464791252	161.790
1464791323	162.330
1464791393	158.650
1464791463	162.350
1464791534	154.520
1464791604	162.480
1464791675	162.990
