timestamp[s]	latency_value[ms]
1464774786	65.870
1464774855	65.370
1464774924	66.120
1464774993	65.940
1464775062	67.260
1464775131	65.830
1464775200	66.040
1464775269	68.860
1464775338	67.260
1464775408	66.040
1464775476	65.570
1464775546	67.770
1464775614	66.070
1464775683	69.010
1464775752	65.570
1464775821	70.800
1464775890	66.270
1464775959	68.180
1464776028	66.730
1464776097	65.280
1464776166	65.650
1464776235	69.130
1464776304	67.200
1464776372	68.180
1464776441	68.220
1464776510	65.630
1464776579	68.020
1464776648	65.130
1464776717	67.950
1464776786	69.260
1464776855	66.290
1464776923	65.750
1464776992	65.700
1464777061	65.580
1464777130	67.260
1464777199	65.600
1464777268	70.940
1464777337	65.960
1464777405	68.330
1464777474	65.690
1464777543	65.700
1464777612	67.500
1464777681	66.910
1464777750	65.820
1464777818	65.490
1464777888	70.170
1464777956	65.570
1464778025	65.340
1464778094	67.150
1464778163	67.000
1464778232	65.480
1464778300	68.380
1464778369	65.500
1464778438	67.640
1464778507	66.480
1464778576	65.630
1464778645	65.610
1464778714	65.790
1464778783	66.470
1464778851	65.100
1464778921	69.130
1464778989	67.270
1464779058	66.530
1464779127	65.360
1464779196	65.910
1464779265	67.880
1464779334	65.360
1464779403	66.650
1464779471	66.460
1464779540	65.520
1464779609	66.050
1464779678	65.160
1464779747	67.260
1464779816	65.640
1464779885	65.850
1464779953	65.570
1464780022	68.110
1464780091	65.410
1464780160	65.740
1464780229	65.450
1464780298	65.920
1464780367	66.010
1464780435	67.680
1464780504	65.350
1464780573	66.190
1464780642	65.190
1464780711	67.310
1464780779	65.350
1464780848	66.170
1464780917	65.060
1464780986	69.140
1464781055	65.970
1464781124	65.760
1464781193	65.560
1464781262	65.570
1464781331	69.150
1464781400	66.010
1464781468	65.500
1464781537	68.170
1464781606	65.640
1464781675	65.510
1464781744	66.950
1464781812	65.810
1464781881	66.010
1464781950	69.260
1464782019	67.210
1464782088	65.370
1464782157	66.730
1464782225	65.720
1464782294	66.340
1464782363	66.300
1464782432	69.110
1464782501	66.700
1464782570	66.070
1464782639	67.240
1464782708	65.460
1464782777	65.590
1464782846	66.510
1464782914	66.400
1464782983	67.270
1464783052	68.330
1464783121	65.390
1464783190	66.220
1464783259	65.650
1464783328	65.280
1464783397	67.660
1464783466	65.500
1464783535	65.440
1464783603	67.320
1464783672	66.150
1464783741	69.030
1464783811	65.480
1464783879	67.200
1464783948	65.930
1464784017	66.340
1464784086	66.310
1464784155	69.250
1464784224	65.960
1464784292	68.210
1464784361	65.590
1464784430	69.030
1464784499	66.990
1464784568	67.110
1464784637	68.270
1464784706	67.300
1464784775	69.270
1464784844	65.690
1464784913	65.240
1464784981	68.280
1464785050	66.770
1464785119	66.020
1464785188	66.150
1464785257	66.180
1464785326	65.420
1464785394	66.140
1464785463	70.500
1464785532	65.570
1464785601	69.980
1464785670	65.590
1464785739	70.310
1464785807	66.330
1464785876	66.710
1464785946	65.410
1464786014	65.400
1464786083	67.160
1464786152	66.170
1464786221	65.310
1464786290	65.700
1464786359	65.800
1464786427	69.220
1464786496	65.740
1464786565	66.180
1464786634	65.630
1464786703	66.230
1464786771	66.050
1464786840	65.800
1464786909	68.610
1464786979	66.220
1464787047	66.910
1464787116	67.270
1464787185	66.550
1464787254	65.350
1464787323	67.570
1464787392	67.050
1464787461	67.210
1464787529	65.990
1464787598	69.220
1464787667	69.680
1464787736	66.050
1464787805	67.170
1464787874	65.550
1464787943	65.790
1464788012	67.300
1464788080	66.300
1464788149	65.490
1464788218	65.440
1464788287	65.600
1464788356	65.650
1464788425	65.310
1464788494	65.820
1464788563	65.310
1464788631	65.410
1464788700	68.030
1464788769	69.460
1464788838	70.020
1464788907	65.940
1464788976	65.510
1464789045	66.100
1464789114	68.960
1464789183	66.100
1464789252	69.720
1464789321	65.760
1464789390	66.060
1464789459	68.230
1464789527	65.730
1464789596	65.990
1464789665	66.730
1464789734	67.550
1464789803	65.850
1464789872	66.300
1464789941	68.300
1464790010	65.290
1464790079	65.320
1464790148	69.620
1464790217	68.320
1464790286	68.930
1464790355	70.890
1464790423	68.210
1464790492	65.560
1464790561	65.950
1464790630	67.510
1464790699	66.110
1464790767	67.760
1464790836	65.190
1464790905	67.110
1464790974	68.060
1464791043	68.010
1464791112	67.120
1464791181	68.050
1464791249	66.580
1464791318	66.230
1464791387	66.340
1464791456	69.300
1464791525	65.780
1464791594	65.290
1464791662	66.880
1464791731	66.220
1464791800	67.170
1464791869	66.510
1464791938	65.240
1464792007	65.820
1464792076	66.750
