timestamp[s]	latency_value[ms]
1464774787	407.150
1464774857	407.210
1464774927	401.270
1464774997	410.450
1464775068	411.030
1464775138	406.640
1464775208	406.620
1464775278	405.350
1464775348	404.330
1464775419	405.920
1464775489	409.000
1464775559	405.360
1464775629	405.460
1464775699	407.450
1464775769	410.190
1464775840	405.240
1464775910	410.060
1464775980	404.390
1464776050	406.460
1464776120	408.120
1464776191	406.080
1464776261	406.160
1464776331	408.210
1464776401	408.260
1464776472	408.640
1464776542	404.340
1464776612	404.140
1464776683	405.600
1464776753	401.300
1464776823	406.270
1464776893	405.350
1464776964	410.030
1464777034	406.500
1464777104	407.280
1464777174	407.400
1464777244	408.670
1464777315	408.320
1464777385	408.170
1464777455	404.260
1464777525	405.270
1464777596	406.380
1464777666	400.750
1464777736	407.280
1464777807	406.430
1464777877	405.970
1464777947	408.640
1464778017	404.540
1464778087	406.820
1464778157	409.060
1464778228	407.090
1464778298	407.600
1464778368	409.190
1464778438	408.230
1464778509	407.700
1464778579	404.260
1464778649	408.620
1464778719	405.690
1464778789	404.600
1464778859	403.420
1464778930	409.430
1464779000	404.530
1464779070	404.530
1464779140	405.720
1464779211	406.970
1464779281	408.180
1464779351	405.980
1464779422	404.170
1464779492	404.000
1464779562	409.250
1464779632	408.220
1464779702	408.670
1464779773	409.240
1464779843	406.290
1464779913	402.900
1464779983	402.400
1464780054	409.270
1464780124	408.500
1464780194	403.320
1464780264	408.370
1464780334	405.160
1464780405	403.680
1464780475	410.270
1464780545	404.500
1464780615	407.780
1464780685	404.300
1464780755	408.340
1464780826	408.280
1464780896	408.270
1464780966	407.320
1464781036	407.550
1464781107	404.480
1464781177	407.240
1464781247	406.560
1464781317	406.500
1464781388	406.370
1464781458	404.710
1464781528	407.230
1464781598	401.170
1464781668	406.830
1464781739	409.550
1464781809	405.900
1464781879	413.730
1464781949	405.860
1464782019	407.030
1464782090	404.510
1464782160	402.240
1464782230	402.840
1464782300	407.030
1464782370	402.200
1464782440	407.580
1464782511	406.360
1464782581	409.520
1464782651	404.830
1464782721	407.490
1464782792	404.080
1464782862	405.330
1464782932	410.560
1464783002	402.010
1464783073	403.200
1464783143	405.400
1464783213	405.460
1464783283	403.020
1464783353	401.290
1464783423	404.810
1464783494	409.180
1464783564	405.990
1464783634	405.260
1464783704	405.610
1464783775	407.260
1464783845	408.160
1464783915	406.490
1464783985	406.350
1464784056	407.060
1464784126	407.000
1464784196	405.550
1464784266	402.940
1464784336	408.130
1464784407	406.630
1464784477	402.180
1464784547	406.130
1464784617	403.780
1464784687	404.430
1464784758	406.800
1464784828	400.240
1464784898	406.000
1464784968	408.250
1464785038	411.300
1464785108	403.740
1464785179	410.020
1464785249	406.060
1464785319	408.980
1464785389	407.170
1464785460	407.910
1464785530	406.720
1464785600	404.790
1464785670	406.800
1464785740	406.890
1464785811	402.240
1464785881	407.940
1464785951	409.170
1464786021	406.790
1464786091	408.290
1464786162	407.130
1464786232	406.190
1464786302	408.240
1464786373	405.180
1464786443	407.160
1464786513	404.000
1464786583	407.290
1464786654	406.010
1464786724	409.680
1464786794	407.330
1464786864	408.210
1464786935	409.340
1464787005	408.450
1464787075	406.170
1464787145	407.410
1464787215	411.670
1464787285	406.290
1464787356	409.960
1464787426	405.590
1464787496	400.770
1464787567	402.650
1464787637	409.860
1464787707	404.140
1464787778	406.560
1464787848	406.170
1464787918	401.850
1464787988	406.300
1464788058	406.290
1464788128	401.090
1464788199	406.830
1464788269	405.280
1464788339	405.110
1464788409	405.510
1464788480	407.840
1464788550	401.780
1464788620	405.930
1464788690	406.830
1464788760	404.250
1464788831	406.230
1464788901	404.630
1464788971	405.440
1464789041	405.220
1464789112	403.170
1464789182	406.390
1464789252	403.760
1464789323	403.890
1464789393	409.570
1464789463	403.170
1464789533	403.390
1464789604	405.790
1464789674	409.230
1464789744	404.460
1464789814	406.420
1464789884	405.160
1464789955	406.480
1464790025	404.170
1464790096	404.920
1464790166	407.340
1464790236	407.460
1464790306	407.220
1464790377	403.940
1464790447	404.730
1464790517	404.240
1464790587	406.860
1464790657	406.560
1464790728	406.490
1464790798	407.300
1464790868	404.980
1464790938	405.160
1464791009	406.320
1464791079	405.190
1464791149	404.150
1464791219	403.650
1464791289	403.850
1464791360	407.350
1464791430	405.110
1464791500	407.170
1464791570	404.280
1464791640	405.570
1464791711	404.780
1464791781	402.470
1464791851	407.190
1464791921	406.730
1464791991	406.800
1464792062	402.940
1464792132	407.190
1464792202	408.840
1464792272	405.770
1464792342	407.780
1464792413	406.170
1464792483	405.100
1464792553	405.180
1464792623	400.420
1464792693	407.330
1464792764	404.730
1464792834	401.170
1464792904	405.430
1464792974	401.560
1464793044	407.880
1464793115	406.170
1464793185	403.970
1464793255	401.500
1464793325	406.170
1464793395	406.630
1464793466	404.600
1464793536	407.510
1464793606	411.630
1464793676	407.310
1464793746	406.190
1464793817	405.310
1464793887	408.480
1464793957	404.380
1464794027	404.320
1464794097	404.820
1464794168	407.300
1464794238	403.490
1464794308	406.310
1464794378	404.160
1464794448	407.260
1464794519	408.230
1464794589	408.250
1464794659	404.480
1464794729	408.490
1464794800	405.790
1464794870	406.260
1464794940	404.250
1464795010	404.270
1464795081	405.920
1464795151	408.230
1464795221	405.260
1464795292	405.110
1464795362	402.990
1464795432	408.230
