timestamp[s]	latency_value[ms]
1464774792	201.220
1464774863	203.570
1464774934	200.580
1464775004	204.000
1464775075	204.400
1464775145	200.160
1464775216	202.510
1464775287	204.280
1464775357	201.200
1464775428	200.420
1464775499	200.200
1464775569	200.690
1464775640	200.360
1464775710	202.490
1464775781	200.180
1464775852	203.860
1464775922	200.260
1464775993	200.300
1464776063	200.530
1464776134	200.800
1464776204	204.500
1464776275	207.300
1464776345	201.390
1464776416	201.310
1464776487	200.190
1464776557	202.040
1464776628	200.160
1464776698	201.690
1464776769	200.140
1464776839	200.260
1464776910	200.390
1464776981	200.290
1464777051	200.270
1464777122	200.610
1464777192	201.370
1464777263	201.240
1464777334	200.040
1464777404	244.260
1464777475	226.510
1464777545	201.230
1464777617	200.420
1464777688	250.260
1464777758	228.600
1464777829	225.480
1464777899	224.730
1464777970	215.110
1464778041	201.460
1464778111	200.890
1464778182	200.340
1464778253	229.160
1464778323	212.440
1464778394	200.200
1464778464	200.030
1464778535	204.200
1464778606	200.140
1464778676	200.590
1464778747	202.100
1464778817	200.470
1464778888	200.780
1464778959	202.050
1464779029	204.230
1464779100	201.260
1464779171	200.150
1464779241	202.290
1464779312	200.210
1464779383	240.710
1464779454	242.840
1464779524	224.760
1464779595	201.160
1464779665	560.540
1464779736	200.160
1464779807	222.850
1464779878	241.350
1464779948	245.840
1464780019	227.190
1464780090	224.490
1464780160	229.230
1464780231	203.080
1464780302	206.570
1464780372	201.370
1464780443	202.100
1464780513	200.370
1464780584	200.850
1464780654	203.290
1464780725	201.200
1464780795	204.260
1464780866	205.700
1464780937	232.240
1464781007	217.810
1464781079	200.420
1464781149	200.710
1464781220	202.500
1464781290	203.440
1464781361	200.360
1464781431	202.510
1464781503	200.040
1464781574	201.450
1464781644	202.230
1464781715	201.480
1464781785	203.120
1464781856	202.190
1464781926	202.790
1464781997	202.490
1464782067	202.510
1464782138	200.420
1464782209	200.270
1464782279	202.360
1464782350	200.360
1464782421	200.400
1464782491	203.220
1464782562	202.500
1464782633	200.490
1464782704	201.190
1464782774	204.190
1464782845	200.980
1464782916	201.160
1464782986	203.220
1464783057	203.270
1464783127	200.370
1464783198	201.740
1464783268	200.670
1464783339	204.710
1464783409	200.460
1464783480	201.700
1464783550	201.490
1464783621	201.220
1464783692	200.180
1464783762	201.180
1464783833	200.800
1464783903	200.190
1464783974	206.040
1464784045	202.990
1464784115	201.590
1464784186	201.610
1464784256	202.010
1464784327	201.250
1464784398	200.460
1464784468	204.180
1464784539	205.290
1464784609	200.150
1464784680	201.450
1464784750	201.940
1464784821	194.560
1464784891	202.270
1464784962	200.190
1464785033	202.440
1464785103	201.740
1464785174	201.370
1464785244	201.220
1464785315	200.560
1464785386	200.390
1464785456	200.210
1464785527	200.270
1464785597	200.320
1464785668	206.270
1464785739	204.170
1464785809	201.140
1464785880	201.370
1464785951	200.270
1464786021	201.370
1464786092	200.310
1464786162	203.520
1464786233	203.010
1464786303	202.610
1464786374	202.950
1464786444	200.340
1464786515	200.410
1464786586	200.970
1464786656	200.220
1464786727	201.330
1464786798	200.610
1464786868	200.390
1464786939	201.120
1464787009	202.150
1464787080	200.940
1464787151	200.510
1464787221	200.400
1464787291	200.270
1464787362	205.210
1464787433	200.180
1464787503	201.360
1464787574	200.900
1464787644	200.510
1464787715	200.190
1464787785	200.510
1464787856	203.210
1464787927	201.790
1464787997	200.460
1464788068	200.500
1464788138	200.260
1464788209	200.210
1464788279	200.860
1464788350	200.510
1464788420	202.280
1464788491	200.420
1464788562	200.480
1464788632	200.340
1464788703	200.270
1464788773	205.920
1464788844	200.760
1464788914	202.700
1464788985	200.220
1464789056	200.280
1464789126	200.380
1464789197	203.240
1464789268	201.490
1464789338	275.940
1464789409	261.430
1464789480	268.510
1464789550	272.030
1464789621	273.090
1464789692	279.270
1464789763	297.460
1464789834	275.300
1464789904	258.380
1464789975	276.320
1464790046	252.740
1464790120	201.180
1464790191	200.400
1464790262	204.450
1464790332	275.260
1464790403	278.210
1464790474	294.120
1464790545	271.010
1464790615	262.850
1464790686	200.660
1464790758	202.450
1464790829	275.050
1464790900	203.110
1464790970	290.260
1464791041	271.360
1464791112	263.170
1464791183	203.260
1464791253	275.870
1464791324	264.920
1464791395	204.950
1464791466	278.930
1464791536	698.150
1464791608	255.880
1464791679	253.010
1464791749	260.210
1464791820	263.150
1464791891	276.450
1464791962	295.260
1464792032	234.690
1464792103	259.120
1464792174	274.340
1464792245	264.250
1464792316	274.070
1464792387	251.140
1464792458	270.200
1464792529	276.530
1464792600	213.200
1464792671	203.490
1464792742	266.210
1464792813	201.930
1464792884	220.430
1464792955	294.060
1464793025	200.680
1464793096	269.700
1464793167	200.810
1464793237	200.660
1464793308	275.430
1464793379	279.240
1464793450	295.960
1464793520	296.740
1464793591	259.350
1464793662	279.680
1464793733	296.270
1464793804	289.460
1464793876	268.170
1464793947	273.250
1464794017	202.220
1464794088	296.450
1464794159	272.980
1464794233	278.310
1464794304	284.670
1464794375	285.560
1464794446	264.500
1464794516	283.850
1464794587	281.300
1464794658	281.910
1464794729	274.510
1464794799	277.710
1464794870	246.190
1464794941	289.680
1464795012	276.410
1464795083	276.050
1464795153	277.230
1464795224	276.250
1464795295	266.560
1464795366	276.250
1464795437	276.730
1464795508	254.690
1464795578	266.130
1464795649	201.870
1464795720	275.290
1464795791	262.240
1464795862	278.220
1464795932	276.490
1464796003	263.070
1464796074	294.220
1464796148	291.250
1464796219	288.050
1464796290	277.290
1464796361	281.550
1464796432	272.090
1464796504	265.090
1464796575	201.970
1464796646	200.630
1464796716	263.330
1464796787	272.610
1464796858	295.720
1464796929	268.220
1464797000	200.530
1464797070	268.210
1464797141	276.520
1464797215	203.260
1464797286	294.500
1464797357	205.840
1464797428	285.850
1464797499	201.990
1464797569	296.530
1464797640	215.460
1464797711	298.500
1464797782	206.250
1464797853	211.260
1464797924	218.400
1464797995	276.940
1464798066	200.220
1464798136	203.210
1464798207	298.140
1464798278	255.220
1464798349	260.520
1464798419	297.290
1464798490	276.320
1464798561	269.640
1464798632	207.280
1464798702	275.990
1464798773	285.590
1464798844	206.360
1464798915	298.980
1464798989	297.310
1464799060	275.090
1464799131	200.740
1464799202	229.190
1464799273	274.880
1464799344	200.620
1464799415	277.550
1464799486	295.420
1464799557	271.520
1464799628	276.080
1464799699	244.320
1464799770	235.350
1464799840	200.260
1464799911	277.900
1464799982	274.690
1464800053	214.200
1464800124	201.530
1464800195	748.920
1464800267	200.900
1464800338	295.450
1464800408	281.020
1464800479	276.680
1464800550	266.590
1464800622	286.080
1464800692	275.900
1464800763	292.660
1464800834	277.060
1464800905	295.410
1464800976	279.520
1464801047	296.590
1464801117	290.600
1464801189	270.010
1464801259	296.470
1464801330	282.100
1464801402	3268.840
1464801476	296.730
1464801547	200.450
1464801618	297.170
1464801689	300.260
1464801760	274.240
1464801831	202.550
1464801902	276.690
1464801973	271.620
1464802044	276.530
1464802114	257.830
1464802186	269.240
1464802257	204.300
1464802327	299.060
1464802398	264.380
1464802469	265.230
1464802540	298.710
1464802611	297.650
1464802681	266.700
1464802753	278.220
1464802823	276.180
1464802894	269.240
1464802965	201.170
1464803036	270.170
1464803107	200.660
1464803178	296.450
1464803252	310.160
1464803323	275.560
1464803394	203.200
1464803465	296.090
1464803537	271.230
1464803607	279.250
1464803678	298.850
1464803749	274.440
1464803821	295.840
1464803892	298.300
1464803963	280.980
1464804033	272.470
1464804104	280.200
1464804175	294.190
1464804246	295.090
1464804317	279.100
1464804388	278.870
1464804459	269.520
1464804531	276.260
1464804602	270.030
1464804674	295.800
1464804745	268.400
1464804815	298.350
1464804886	300.070
1464804957	275.780
1464805028	3292.270
1464805102	263.320
1464805172	203.000
1464805243	201.850
1464805314	263.230
1464805385	301.430
1464805456	297.010
1464805527	200.380
1464805598	200.730
1464805668	276.040
1464805739	270.110
1464805810	287.710
1464805881	272.730
1464805955	291.080
1464806026	3265.140
1464806100	265.050
1464806171	202.250
1464806241	275.630
1464806312	278.200
1464806383	275.360
1464806454	296.010
1464806525	273.320
1464806596	203.230
1464806667	274.380
1464806738	202.180
1464806809	286.720
1464806880	235.680
1464806950	279.280
1464807021	289.160
1464807092	262.130
1464807163	277.170
1464807234	273.150
1464807305	308.210
1464807376	285.780
1464807448	201.400
1464807518	3277.390
1464807592	275.230
1464807664	280.060
1464807735	276.280
1464807806	278.050
1464807877	278.230
1464807948	298.470
1464808019	201.280
1464808090	276.100
1464808160	297.890
1464808231	276.930
1464808302	299.230
1464808373	301.220
1464808445	297.020
1464808516	278.450
1464808587	274.390
1464808658	277.200
1464808729	272.230
1464808800	276.210
1464808871	262.490
1464808941	279.920
1464809013	275.050
1464809084	296.030
1464809155	277.830
1464809225	296.770
1464809296	200.830
1464809367	296.250
1464809438	275.060
1464809509	298.410
1464809580	200.420
1464809650	269.340
1464809723	298.640
1464809794	276.690
1464809865	295.170
1464809937	270.720
1464810008	282.100
1464810080	202.780
1464810150	276.240
1464810221	275.690
1464810292	277.650
1464810363	278.250
1464810434	277.500
1464810505	275.970
1464810576	298.810
1464810646	297.960
1464810717	270.530
1464810788	280.090
1464810859	290.910
1464810930	295.520
1464811001	298.700
1464811072	300.820
1464811143	277.310
1464811214	296.140
1464811285	300.070
1464811356	276.600
1464811427	203.440
1464811497	204.850
1464811568	277.180
1464811639	288.960
1464811710	293.160
1464811781	300.080
1464811852	277.200
1464811923	298.150
1464811994	277.180
1464812065	276.180
1464812136	274.840
1464812207	289.160
1464812278	296.810
1464812349	275.440
1464812420	295.450
1464812491	299.310
1464812562	275.840
1464812636	279.260
1464812707	282.170
1464812778	287.000
1464812849	298.180
1464812920	277.860
1464812991	202.670
1464813061	277.210
1464813132	298.380
1464813203	202.620
1464813274	200.540
1464813345	277.300
1464813419	280.250
1464813490	274.250
1464813561	275.320
1464813632	296.070
1464813703	275.630
1464813774	276.730
1464813845	699.740
1464813916	302.180
1464813987	297.820
1464814058	276.940
1464814129	299.300
1464814200	297.700
1464814271	277.000
1464814342	203.210
1464814413	284.290
1464814484	298.240
1464814555	277.040
1464814626	275.320
1464814697	296.200
1464814768	279.040
1464814838	291.550
1464814909	277.270
1464814980	299.120
1464815051	278.760
1464815122	202.410
1464815193	296.010
1464815265	283.000
1464815336	275.400
1464815406	280.470
1464815477	298.220
1464815549	276.810
1464815619	295.880
1464815691	200.620
1464815761	296.160
1464815832	280.190
1464815903	293.550
1464815974	277.970
1464816045	276.450
1464816116	202.230
1464816186	278.060
1464816258	276.280
1464816329	288.160
1464816403	277.300
1464816473	298.520
1464816544	274.670
1464816615	203.260
1464816687	294.530
1464816762	290.680
1464816833	275.380
1464816905	296.240
1464816976	828.190
1464817047	276.230
1464817118	299.870
1464817189	268.470
1464817260	283.910
1464817331	257.130
1464817402	273.890
1464817473	273.260
1464817547	276.790
1464817617	276.600
1464817688	296.310
1464817759	271.920
1464817830	300.090
1464817901	277.340
1464817972	298.310
1464818043	200.580
1464818114	200.570
1464818185	297.600
1464818256	261.400
1464818327	276.970
1464818398	296.320
1464818470	272.440
1464818541	275.290
1464818612	264.170
1464818683	296.450
1464818754	277.300
1464818825	200.750
1464818896	274.390
1464818966	298.190
1464819037	553.250
1464819108	260.180
1464819179	283.560
1464819250	273.680
1464819321	275.160
1464819392	295.090
1464819463	276.080
1464819534	277.450
1464819604	3200.510
1464819678	268.670
1464819749	279.690
1464819820	296.230
1464819891	271.260
1464819962	297.340
1464820033	276.470
1464820103	290.150
1464820174	274.880
1464820245	274.260
1464820316	292.370
1464820390	279.360
1464820461	296.280
1464820532	205.220
1464820603	275.150
1464820674	274.270
1464820745	275.260
1464820816	296.470
1464820888	284.460
1464820962	252.180
1464821033	278.200
1464821104	274.810
1464821175	270.840
1464821245	276.060
1464821317	263.080
1464821388	276.250
1464821459	276.000
1464821531	200.960
1464821602	278.950
1464821672	273.210
1464821743	265.590
1464821814	287.230
1464821885	289.360
1464821956	287.740
1464822027	276.280
1464822098	259.450
1464822169	201.150
1464822240	266.280
1464822311	295.280
1464822382	291.670
1464822453	279.370
1464822524	294.710
1464822594	276.270
1464822665	295.190
1464822736	292.530
1464822807	299.020
1464822878	205.470
1464822949	296.050
1464823020	279.090
1464823091	294.540
1464823162	250.160
1464823233	260.750
1464823304	262.260
1464823374	239.100
1464823445	294.700
1464823516	269.820
1464823587	269.120
1464823658	260.170
1464823729	235.200
1464823800	299.270
1464823870	264.590
1464823941	242.300
1464824012	268.540
1464824083	209.000
1464824153	201.210
1464824224	260.530
1464824295	263.230
1464824366	258.080
1464824436	227.540
1464824507	258.190
1464824578	251.210
1464824649	257.200
1464824720	204.240
1464824790	201.190
1464824861	204.940
1464824932	257.480
1464825002	214.460
1464825073	203.270
1464825144	239.450
1464825215	246.960
1464825285	203.280
1464825356	273.860
1464825427	201.700
1464825497	200.260
1464825568	245.510
1464825639	201.200
1464825709	224.250
1464825781	203.480
1464825851	200.340
1464825922	200.350
1464825993	201.680
1464826064	208.020
1464826134	212.200
1464826205	200.240
1464826276	236.790
1464826347	203.580
1464826417	200.280
1464826488	216.990
1464826559	254.860
1464826629	201.180
1464826700	238.530
1464826771	203.190
1464826841	267.020
1464826912	203.970
1464826983	204.130
1464827053	200.570
1464827124	236.240
1464827195	235.860
1464827265	257.630
1464827336	201.140
1464827407	228.180
1464827478	240.170
1464827548	201.210
1464827619	202.530
1464827690	235.260
1464827761	274.280
1464827832	201.220
1464827902	200.680
1464827973	240.170
1464828044	201.400
1464828114	243.180
1464828185	258.150
1464828255	232.760
1464828326	204.270
1464828397	207.520
