timestamp[s]	latency_value[ms]
1464774788	188.830
1464774858	190.160
1464774927	187.920
1464774996	188.180
1464775066	189.510
1464775135	187.840
1464775204	189.330
1464775274	191.380
1464775343	190.300
1464775412	190.270
1464775482	188.470
1464775551	189.440
1464775620	190.180
1464775690	189.190
1464775759	187.920
1464775829	189.290
1464775899	192.020
1464775968	188.650
1464776037	190.270
1464776107	188.890
1464776176	191.200
1464776246	187.600
1464776315	190.690
1464776385	191.500
1464776454	189.590
1464776523	188.230
1464776593	192.500
1464776662	187.870
1464776731	192.220
1464776801	188.770
1464776870	189.620
1464776939	187.980
1464777009	191.780
1464777078	190.450
1464777147	188.590
1464777217	189.330
1464777286	190.300
1464777356	189.440
1464777425	188.360
1464777494	188.030
1464777564	190.570
1464777633	189.160
1464777702	192.650
1464777772	187.990
1464777841	187.670
1464777910	190.280
1464777980	189.510
1464778049	187.820
1464778118	188.070
1464778188	188.540
1464778257	189.850
1464778327	193.420
1464778396	190.330
1464778465	188.250
1464778535	189.260
1464778604	189.290
1464778673	189.220
1464778743	189.000
1464778812	188.500
1464778881	187.100
1464778951	188.180
1464779020	188.120
1464779089	187.850
1464779159	188.320
1464779228	190.020
1464779297	189.030
1464779367	190.880
1464779436	193.300
1464779505	187.500
1464779575	188.480
1464779644	187.460
1464779713	189.330
1464779783	191.180
1464779852	189.710
1464779922	191.000
1464779991	188.150
1464780060	190.250
1464780130	187.550
1464780199	194.260
1464780268	188.280
1464780338	188.500
1464780407	188.660
1464780477	187.520
1464780546	188.340
1464780616	188.260
1464780685	195.070
1464780754	187.590
1464780824	192.000
1464780893	194.090
1464780963	188.570
1464781032	187.940
1464781101	191.170
1464781171	187.970
1464781240	191.440
1464781309	187.090
1464781379	189.170
1464781448	187.550
1464781517	187.960
1464781586	190.150
1464781656	192.910
1464781725	189.110
1464781795	189.060
1464781864	189.510
1464781933	189.320
1464782003	187.730
1464782072	189.690
1464782141	191.250
1464782211	188.820
1464782280	188.600
1464782350	188.170
1464782419	195.260
1464782488	188.150
1464782558	193.510
1464782627	191.080
1464782696	188.160
1464782766	193.650
1464782835	190.460
1464782904	191.120
1464782974	193.210
1464783043	188.720
1464783112	190.220
1464783181	190.490
1464783251	188.160
1464783320	187.400
1464783390	188.280
1464783459	188.270
1464783528	191.660
1464783598	188.530
1464783667	190.510
1464783736	189.280
1464783806	190.180
1464783875	191.180
1464783944	189.220
1464784014	192.290
1464784083	186.780
1464784152	188.710
1464784222	189.500
1464784291	190.290
1464784360	191.260
1464784430	191.220
1464784499	188.070
1464784569	188.220
1464784638	188.020
1464784707	191.240
1464784777	188.880
1464784846	188.270
1464784915	192.440
1464784985	188.960
1464785054	187.690
1464785123	187.160
1464785193	189.720
1464785262	188.070
1464785331	187.380
1464785401	190.070
1464785470	195.130
1464785540	194.020
1464785609	191.230
1464785678	187.820
1464785747	189.530
1464785817	187.490
1464785886	191.170
1464785956	187.610
1464786025	188.220
1464786094	191.870
1464786163	190.180
1464786233	188.590
1464786302	189.180
1464786372	190.060
1464786441	188.690
1464786510	192.190
1464786579	190.430
1464786649	190.400
1464786718	188.750
1464786787	190.980
1464786857	188.780
1464786926	190.020
1464786995	189.500
1464787065	190.870
1464787134	188.250
1464787204	187.420
1464787273	192.410
1464787343	188.960
1464787412	191.220
1464787481	191.290
