timestamp[s]	latency_value[ms]
1464774790	110.900
1464774870	144.740
1464774946	112.040
1464775026	109.300
1464775106	108.780
1464775184	157.710
1464775265	111.500
1464775342	111.450
1464775423	149.270
1464775500	118.070
1464775580	109.010
1464775659	114.580
1464775740	111.190
1464775820	111.190
1464775899	148.380
1464775978	108.730
1464776058	109.450
1464776138	108.740
1464776219	175.950
1464776300	108.760
1464776379	110.290
1464776459	109.440
1464776538	108.430
1464776618	109.220
1464776699	109.090
1464776778	135.350
1464776860	125.090
1464776942	108.770
1464777022	215.240
1464777101	138.200
1464777182	178.320
1464777260	110.800
1464777341	114.280
1464777420	110.400
1464777500	108.400
1464777581	158.240
1464777658	124.360
1464777738	113.510
1464777819	110.260
1464777897	135.130
1464777978	110.980
1464778059	180.130
1464778139	111.130
1464778219	113.280
1464778299	128.360
1464778380	108.810
1464778457	121.120
1464778536	135.520
1464778618	109.880
1464778697	108.470
1464778776	110.060
1464778853	132.450
1464778933	125.770
1464779014	108.970
1464779094	216.340
1464779172	253.200
1464779252	135.870
1464779333	110.540
1464779414	109.510
1464779490	111.880
1464779570	119.450
1464779650	127.830
1464779730	108.780
1464779809	112.380
1464779889	109.930
1464779969	155.890
1464780048	109.670
1464780128	115.810
1464780208	124.860
1464780288	108.900
1464780369	145.170
1464780449	129.370
1464780529	178.260
1464780611	142.330
1464780691	108.870
1464780773	108.600
1464780853	112.700
1464780930	110.350
1464781009	113.370
1464781090	151.920
1464781172	109.840
1464781253	145.480
1464781334	109.610
1464781413	110.430
1464781492	109.020
1464781571	112.030
1464781652	108.740
1464781731	123.990
1464781811	121.810
1464781889	108.630
1464781968	125.290
1464782047	109.000
1464782127	110.430
1464782206	109.240
1464782288	179.200
1464782365	190.240
1464782445	108.730
1464782524	109.770
1464782605	117.250
1464782683	109.840
1464782764	108.950
1464782844	112.270
1464782925	111.780
1464783005	109.030
1464783086	123.360
1464783166	210.200
1464783247	108.980
1464783326	114.380
1464783406	111.770
1464783487	108.840
1464783567	110.250
1464783646	205.490
1464783726	140.300
1464783804	108.530
1464783884	117.630
1464783965	170.830
1464784042	109.500
1464784122	128.440
1464784201	108.610
