timestamp[s]	latency_value[ms]
1464774792	459.430
1464774872	477.370
1464774953	499.170
1464775033	484.350
1464775113	459.250
1464775191	488.720
1464775272	474.140
1464775353	462.700
1464775433	486.010
1464775514	462.410
1464775594	473.130
1464775676	486.810
1464775755	487.240
1464775835	480.630
1464775915	471.930
1464775996	469.730
1464776076	492.740
1464776156	470.760
1464776237	476.190
1464776317	480.330
1464776397	478.480
1464776477	579.930
1464776558	472.940
1464776639	499.520
1464776719	484.680
1464776798	475.950
1464776878	471.820
1464776959	471.620
1464777038	751.450
1464777117	458.840
1464777198	475.660
1464777278	478.940
1464777359	461.710
1464777439	476.500
1464777520	543.390
1464777600	465.230
1464777681	480.310
1464777760	467.580
1464777841	479.690
1464777920	471.750
1464778000	469.490
1464778081	464.860
1464778161	470.420
1464778242	553.630
1464778322	523.030
1464778403	535.370
1464778484	467.070
1464778564	575.290
1464778644	461.910
1464778724	582.380
1464778806	635.560
1464778887	635.870
1464778968	471.960
1464779048	486.270
1464779129	563.020
1464779210	635.880
1464779288	457.480
1464779369	633.470
1464779450	707.480
1464779528	616.280
1464779607	605.960
1464779688	476.190
1464779769	636.600
1464779850	458.030
1464779932	644.020
1464780012	648.910
1464780091	666.880
1464780170	669.060
1464780252	587.500
1464780332	613.720
1464780412	619.030
1464780493	608.360
1464780575	629.230
1464780655	460.770
1464780737	614.450
1464780817	643.200
1464780898	625.650
1464780977	633.470
1464781058	639.690
1464781139	656.920
1464781220	466.620
1464781300	486.890
1464781382	654.930
1464781463	730.480
1464781544	632.860
1464781624	481.760
1464781706	472.480
1464781787	495.240
1464781867	466.730
1464781948	481.780
1464782029	479.220
1464782108	473.050
1464782190	485.200
1464782270	458.450
1464782351	487.670
1464782432	478.590
1464782512	458.100
1464782592	479.440
1464782672	471.650
1464782753	556.210
1464782833	474.500
1464782913	492.840
1464782994	477.070
1464783074	485.050
1464783154	501.570
1464783235	491.240
1464783315	478.640
1464783395	480.410
1464783475	463.910
1464783556	477.330
1464783636	469.820
1464783716	480.660
1464783797	483.020
1464783877	583.660
1464783957	461.990
1464784037	477.130
1464784118	490.650
1464784197	474.050
1464784277	506.680
1464784358	461.270
1464784437	523.640
1464784518	477.440
1464784598	477.270
1464784678	540.350
1464784758	480.040
1464784839	485.550
1464784918	464.780
1464785000	490.120
1464785079	477.010
1464785160	490.870
1464785238	465.070
1464785318	463.790
1464785398	523.370
1464785478	479.770
1464785559	475.810
1464785639	460.830
1464785719	465.540
1464785798	468.160
1464785878	499.480
1464785958	471.710
1464786038	709.350
1464786117	487.510
1464786196	490.380
1464786276	480.620
1464786355	479.640
1464786435	549.660
1464786514	459.770
1464786594	489.290
1464786675	590.700
1464786755	482.250
1464786833	462.270
1464786915	458.320
1464786995	480.190
1464787073	479.330
1464787154	458.260
1464787234	481.640
1464787315	479.140
1464787395	478.370
1464787475	490.730
1464787554	470.110
1464787635	460.890
1464787715	477.910
1464787796	494.510
1464787876	485.240
1464787956	489.230
1464788036	463.690
1464788116	459.370
1464788196	545.180
1464788276	476.120
1464788355	469.040
1464788435	468.750
1464788515	485.490
1464788595	461.860
1464788675	488.950
1464788755	479.770
1464788835	508.340
1464788915	539.680
1464788995	480.380
1464789076	540.480
1464789156	602.790
1464789236	462.460
1464789317	460.570
1464789397	538.290
1464789477	460.280
1464789558	457.620
1464789638	547.640
1464789719	568.470
1464789799	472.670
1464789880	542.200
1464789960	551.520
1464790038	470.160
1464790118	459.010
1464790197	459.800
1464790276	595.380
1464790356	537.050
1464790436	581.310
1464790517	463.800
1464790597	619.960
1464790678	592.880
1464790759	474.560
1464790841	616.650
1464790920	465.830
1464791002	602.130
1464791084	671.110
1464791164	529.070
1464791245	474.420
1464791328	597.520
1464791407	464.920
1464791488	476.060
1464791568	469.440
1464791650	484.390
1464791730	458.680
1464791812	475.190
1464791891	532.170
1464791970	540.440
1464792051	463.250
1464792131	459.080
1464792213	477.820
1464792294	482.590
1464792374	489.810
1464792456	462.130
1464792537	541.180
1464792617	476.410
1464792697	471.080
1464792778	479.170
1464792857	470.170
1464792937	480.790
1464793016	549.110
1464793094	496.890
1464793174	458.850
1464793255	458.240
1464793336	472.490
1464793417	470.140
1464793497	464.560
1464793578	463.270
1464793658	474.190
1464793738	479.410
1464793818	461.120
1464793899	485.100
1464793979	468.800
1464794060	475.330
1464794139	479.840
1464794219	558.000
1464794299	548.350
1464794378	468.740
1464794458	459.220
1464794538	545.100
1464794618	476.580
1464794697	474.430
1464794777	503.580
1464794856	494.760
1464794937	462.570
1464795017	510.150
1464795097	492.560
1464795177	491.310
1464795257	477.820
1464795337	545.460
1464795417	480.670
1464795496	477.900
1464795577	463.510
1464795657	491.300
1464795737	563.550
1464795817	457.930
1464795897	569.470
1464795976	549.940
1464796056	479.340
1464796135	460.510
1464796216	520.270
1464796295	460.000
1464796375	483.430
1464796454	554.070
1464796534	474.960
1464796613	462.040
1464796693	549.780
1464796773	489.260
1464796852	482.870
1464796932	497.690
1464797012	512.510
1464797092	459.450
1464797171	479.170
1464797251	481.810
1464797330	479.760
1464797410	510.210
1464797491	477.660
1464797571	459.700
1464797651	466.480
1464797731	465.620
1464797809	491.700
1464797888	548.020
1464797968	479.790
1464798048	481.170
1464798128	488.370
1464798208	463.430
1464798290	463.070
1464798371	478.680
1464798450	486.250
1464798531	464.460
1464798608	463.800
1464798688	490.260
1464798768	482.260
1464798847	480.490
1464798928	459.930
1464799009	491.280
1464799089	641.510
1464799169	466.050
1464799249	470.290
1464799330	463.620
1464799409	689.170
1464799489	470.000
1464799569	467.580
1464799647	474.980
1464799726	544.520
1464799807	679.280
1464799887	693.500
1464799967	760.040
1464800045	477.660
1464800126	498.940
1464800206	464.610
1464800284	487.620
1464800364	468.400
1464800444	467.400
1464800524	666.690
1464800604	672.870
1464800684	558.280
1464800765	679.030
1464800844	469.850
1464800923	486.070
1464801004	665.410
1464801084	651.600
1464801163	464.730
1464801243	561.120
1464801323	461.710
1464801403	461.550
1464801483	689.480
1464801563	672.690
1464801643	651.850
1464801723	662.410
1464801803	676.020
1464801883	670.460
1464801962	473.620
1464802042	643.490
1464802122	482.440
1464802201	680.270
1464802281	674.130
1464802362	618.110
1464802442	476.710
1464802521	481.550
1464802601	663.900
1464802681	527.760
1464802762	491.750
1464802842	481.330
1464802922	458.890
1464803002	459.840
1464803083	495.870
1464803164	466.750
1464803245	491.640
1464803325	503.310
1464803406	494.790
1464803486	486.880
1464803567	492.420
1464803646	556.400
1464803726	507.950
1464803806	492.660
1464803885	487.650
1464803965	464.030
1464804045	485.050
1464804125	476.270
1464804205	486.690
1464804285	496.220
1464804363	473.090
1464804440	480.350
1464804519	458.090
1464804599	492.410
1464804679	467.960
1464804759	479.500
1464804839	463.760
1464804919	485.010
1464804999	472.130
1464805079	468.590
1464805158	489.400
1464805238	499.460
1464805319	482.760
1464805399	471.610
1464805479	482.760
1464805558	458.460
1464805638	477.880
1464805719	478.270
1464805800	485.920
1464805880	472.760
1464805961	485.700
1464806042	483.500
1464806121	482.780
1464806201	459.670
1464806279	467.570
1464806358	482.330
1464806437	557.850
1464806518	470.390
1464806598	488.010
1464806679	472.270
1464806759	480.800
1464806839	507.550
1464806919	470.820
1464806998	472.140
1464807079	479.840
1464807161	491.260
1464807241	458.240
1464807321	543.280
1464807402	486.660
1464807482	483.460
1464807562	523.800
1464807642	504.540
1464807723	502.680
1464807802	496.350
1464807882	509.910
1464807962	503.480
1464808042	510.390
1464808123	492.260
1464808204	495.610
1464808283	511.870
1464808364	458.040
1464808444	475.620
1464808524	502.450
1464808605	475.030
1464808685	460.480
1464808766	494.570
1464808847	476.800
1464808928	500.010
1464809006	472.140
1464809087	491.920
1464809167	508.890
1464809247	523.820
1464809327	489.820
1464809407	496.400
1464809488	487.880
1464809567	509.360
1464809644	484.460
1464809722	488.050
1464809802	508.790
1464809882	485.860
1464809963	467.120
1464810043	485.410
1464810124	491.400
1464810202	477.570
1464810282	478.670
1464810362	495.440
1464810441	477.950
1464810521	564.010
1464810601	498.390
1464810681	480.490
1464810761	584.990
1464810841	539.600
1464810918	495.480
1464810998	508.710
1464811078	473.850
1464811159	683.650
1464811238	699.420
1464811318	487.360
1464811399	686.870
1464811479	489.150
1464811558	692.110
1464811639	704.160
1464811719	670.230
1464811799	665.430
1464811879	676.430
1464811960	468.520
1464812040	695.390
1464812120	675.430
1464812200	483.360
1464812280	473.150
1464812361	531.300
1464812440	471.110
1464812522	479.010
1464812602	680.260
1464812683	663.050
1464812764	672.000
1464812844	468.510
1464812925	676.010
1464813006	469.870
1464813088	484.220
1464813170	679.320
1464813250	494.220
1464813331	475.540
1464813410	660.150
1464813488	552.570
1464813567	477.080
1464813648	789.920
1464813727	487.800
1464813809	462.460
1464813889	623.060
1464813969	491.100
1464814049	545.490
1464814130	482.270
1464814211	483.120
1464814291	495.700
1464814372	544.090
1464814452	484.540
1464814532	555.110
1464814613	477.800
1464814692	482.160
1464814773	544.490
1464814855	467.550
1464814937	492.220
1464815019	479.310
1464815100	464.650
1464815179	500.330
1464815260	580.010
1464815340	491.740
1464815420	487.560
1464815500	496.840
1464815581	458.030
1464815662	464.950
1464815743	534.180
1464815823	469.720
1464815903	485.230
1464815984	486.500
1464816063	508.490
1464816142	483.020
1464816224	548.770
1464816304	521.160
1464816384	473.640
1464816465	458.200
1464816545	494.420
1464816627	462.020
1464816708	540.170
1464816788	489.780
1464816870	535.530
1464816951	483.290
1464817029	485.280
1464817108	465.640
1464817188	494.660
1464817269	477.690
1464817348	473.500
1464817428	479.240
1464817510	475.750
1464817591	476.260
1464817671	461.920
1464817751	499.700
1464817832	489.220
1464817913	488.530
1464817993	478.180
1464818074	478.710
1464818155	494.510
1464818237	460.520
1464818317	489.170
1464818396	479.190
1464818477	485.190
1464818558	488.840
1464818639	506.940
1464818720	496.780
1464818800	483.970
1464818881	470.640
1464818962	493.670
1464819042	486.590
1464819122	480.480
1464819203	489.610
1464819284	469.300
1464819366	500.000
1464819445	464.070
1464819526	496.620
1464819607	476.230
1464819687	486.130
1464819769	463.710
1464819849	474.120
1464819931	475.100
1464820011	475.230
1464820092	458.300
1464820173	484.910
1464820252	477.530
1464820332	473.640
1464820413	541.980
1464820493	463.720
1464820574	484.960
1464820655	478.500
1464820734	468.020
1464820816	483.520
1464820896	479.010
1464820977	461.130
1464821057	464.320
1464821137	472.160
1464821218	487.920
1464821298	533.540
1464821379	458.360
1464821460	462.660
1464821540	497.810
1464821620	475.790
1464821700	458.200
1464821780	472.780
1464821862	594.900
1464821940	477.140
1464822020	468.650
1464822100	459.750
1464822181	480.320
1464822261	464.320
1464822341	481.140
1464822422	483.800
1464822502	470.750
1464822582	633.870
1464822661	464.520
1464822743	577.540
1464822822	503.560
1464822902	540.010
1464822983	682.560
1464823063	595.640
1464823144	649.090
1464823224	540.760
1464823305	566.450
1464823385	462.640
1464823464	475.790
1464823543	819.690
1464823623	619.600
1464823704	497.330
1464823783	484.060
1464823863	469.290
1464823944	477.140
1464824025	459.720
1464824106	458.900
1464824186	465.110
1464824267	488.260
1464824346	477.350
1464824427	472.490
1464824506	458.890
1464824586	466.160
1464824667	475.560
1464824747	469.780
1464824826	463.430
1464824907	458.800
1464824987	464.870
1464825067	476.020
1464825148	510.220
1464825229	484.190
1464825310	479.880
1464825391	463.970
1464825472	493.590
1464825553	475.090
1464825633	465.450
1464825712	473.630
1464825792	475.050
1464825872	498.510
1464825952	505.740
1464826031	485.650
1464826111	485.600
1464826191	484.780
1464826271	466.930
1464826351	484.230
1464826431	488.180
1464826511	496.230
1464826592	483.040
1464826673	543.870
1464826753	458.250
1464826833	487.590
1464826911	489.150
1464826991	477.310
1464827071	491.830
1464827150	459.350
1464827231	481.720
1464827311	471.130
1464827390	478.480
1464827471	480.040
1464827551	490.660
1464827631	488.100
1464827711	476.010
1464827791	479.020
1464827871	484.760
