timestamp[s]	latency_value[ms]
1464774788	444.080
1464774865	445.870
1464774942	443.700
1464775020	442.740
1464775098	437.790
1464775176	443.840
1464775254	440.990
1464775333	441.500
1464775412	436.690
1464775489	438.800
1464775567	442.290
1464775646	444.890
1464775724	445.280
1464775802	441.980
1464775880	438.100
1464775958	444.200
1464776036	444.220
1464776114	441.190
1464776193	442.630
1464776271	443.160
1464776348	449.450
1464776426	440.820
1464776505	441.490
1464776582	458.510
1464776658	441.560
1464776736	441.480
1464776812	440.200
1464776891	440.430
1464776970	444.810
1464777049	442.260
1464777125	443.610
1464777201	443.020
1464777278	448.420
1464777356	445.010
1464777435	440.470
1464777513	442.560
1464777592	437.480
1464777670	441.750
1464777747	436.990
1464777825	441.780
1464777904	438.760
1464777983	439.530
1464778060	443.850
1464778137	443.820
1464778214	446.570
1464778293	445.270
1464778371	439.610
1464778450	444.140
1464778528	440.800
1464778606	445.190
1464778685	442.100
1464778763	442.460
1464778842	440.380
1464778920	447.200
1464778996	441.830
1464779075	440.860
1464779154	512.190
1464779231	439.120
1464779311	441.670
1464779389	699.920
1464779465	441.910
1464779544	442.210
1464779621	439.310
1464779698	441.670
1464779773	447.350
1464779853	443.560
1464779932	444.440
1464780009	440.900
1464780089	441.110
1464780166	441.320
1464780245	573.010
1464780323	441.060
1464780401	518.730
1464780481	443.650
1464780559	441.740
1464780637	439.980
1464780716	441.620
1464780793	441.210
1464780871	546.270
1464780950	442.430
1464781029	443.640
1464781108	443.370
1464781184	438.040
1464781264	442.570
1464781338	438.370
1464781415	506.020
1464781492	442.990
1464781569	440.930
1464781647	444.010
1464781726	443.920
1464781803	440.950
1464781880	441.500
1464781957	440.480
1464782036	491.260
1464782115	444.440
1464782192	443.650
1464782272	442.300
1464782351	494.050
1464782430	443.120
1464782507	443.420
1464782585	442.600
1464782663	441.660
1464782741	438.260
1464782820	441.260
1464782898	443.240
1464782976	443.290
1464783054	440.340
1464783132	446.020
1464783211	442.230
1464783288	444.240
1464783366	443.740
1464783444	442.690
1464783522	518.060
1464783601	440.660
1464783679	440.690
1464783757	514.640
1464783835	437.800
1464783913	441.240
1464783991	442.220
1464784069	438.290
1464784146	489.920
1464784222	436.960
1464784300	442.870
1464784377	441.240
1464784456	443.870
1464784534	441.850
1464784611	440.740
1464784687	440.940
1464784765	440.520
1464784843	444.520
1464784921	444.480
1464784999	442.740
1464785077	440.860
1464785155	441.600
1464785233	504.230
1464785311	440.290
1464785388	441.840
1464785465	446.560
1464785543	442.930
1464785621	441.540
1464785699	443.360
1464785776	442.260
1464785854	438.120
1464785933	442.570
1464786012	443.230
1464786089	445.210
1464786168	443.440
1464786246	442.140
1464786324	503.790
1464786401	443.600
1464786479	443.070
1464786557	439.920
1464786635	442.830
1464786713	441.550
1464786791	437.610
1464786869	441.060
1464786947	444.280
1464787026	441.240
1464787104	440.250
1464787181	442.190
1464787258	475.510
1464787336	437.610
1464787415	441.470
1464787493	441.030
1464787571	445.600
