timestamp[s]	latency_value[ms]
1464774793	659.520
1464774872	646.530
1464774953	650.170
1464775034	658.080
1464775113	674.780
1464775191	655.230
1464775272	660.530
1464775353	652.680
1464775433	652.410
1464775514	654.000
1464775594	656.640
1464775676	639.240
1464775755	633.240
1464775835	687.800
1464775915	700.090
1464775996	656.650
1464776076	654.190
1464776157	634.240
1464776237	663.980
1464776317	665.370
1464776397	645.590
1464776477	658.700
1464776558	671.250
1464776639	650.600
1464776719	621.890
1464776799	655.460
1464776881	665.160
1464776961	660.720
1464777042	635.940
1464777123	658.890
1464777204	669.720
1464777285	709.290
1464777366	676.780
1464777443	682.960
1464777524	679.040
1464777605	656.980
1464777685	653.030
1464777766	645.690
1464777845	748.470
1464777924	687.850
1464778005	693.390
1464778085	642.440
1464778166	636.920
1464778245	685.940
1464778327	649.400
1464778408	660.910
1464778487	661.610
1464778568	691.630
1464778648	650.360
1464778729	667.440
1464778810	640.350
1464778891	664.980
1464778972	667.990
1464779052	643.540
1464779134	650.120
1464779213	700.520
1464779294	693.710
1464779375	671.000
1464779456	654.660
1464779538	677.920
1464779619	628.530
1464779700	645.760
1464779780	655.030
1464779861	653.400
1464779943	827.410
1464780020	641.510
1464780100	671.230
1464780179	621.820
1464780260	677.300
1464780341	677.870
1464780422	676.550
1464780502	657.460
1464780583	677.280
1464780664	649.820
1464780745	657.350
1464780826	662.980
1464780905	656.930
1464780986	658.690
1464781065	695.870
1464781146	650.830
1464781228	758.840
1464781309	661.650
1464781390	657.320
1464781472	647.370
1464781554	648.250
1464781633	666.980
1464781713	652.460
1464781794	659.360
1464781875	662.170
1464781957	751.880
1464782038	651.590
1464782120	666.120
1464782203	654.540
1464782283	663.230
1464782365	658.350
1464782445	639.650
1464782525	685.840
1464782605	952.800
1464782686	702.260
1464782766	636.380
1464782846	645.360
1464782928	637.290
1464783007	646.140
1464783088	653.310
1464783169	628.220
1464783249	692.180
1464783328	676.190
1464783409	693.080
1464783487	645.370
1464783567	655.770
1464783648	671.490
1464783728	661.480
1464783808	651.900
1464783888	658.850
1464783969	714.570
1464784049	644.340
1464784128	650.710
1464784208	660.730
1464784289	664.020
1464784368	635.840
1464784449	661.220
1464784529	648.150
1464784609	662.680
1464784689	685.410
1464784769	669.390
1464784850	687.810
1464784927	653.560
1464785009	650.640
1464785088	695.420
1464785168	660.510
1464785248	690.120
1464785329	645.330
1464785409	698.250
1464785489	642.600
1464785570	651.050
1464785649	652.620
1464785730	674.070
1464785808	698.660
1464785888	660.640
1464785969	691.220
1464786049	662.780
1464786129	712.730
1464786210	669.660
1464786287	674.020
1464786366	626.430
1464786446	641.010
1464786526	629.230
1464786605	626.670
1464786686	666.060
1464786766	677.430
1464786847	661.750
1464786927	678.580
1464787008	640.430
1464787088	706.500
1464787170	657.170
1464787250	616.450
1464787330	661.330
1464787410	653.110
1464787490	1640.110
1464787571	648.040
1464787651	730.620
1464787731	662.120
1464787811	618.210
1464787892	683.400
1464787971	696.600
1464788051	668.450
1464788131	712.490
1464788211	681.040
1464788290	656.040
1464788371	665.140
1464788450	621.130
1464788530	642.780
1464788608	644.610
1464788685	660.430
1464788766	652.730
1464788846	640.580
1464788925	650.360
1464789006	699.560
1464789086	641.740
1464789167	659.530
1464789247	656.320
1464789328	621.830
1464789407	682.530
1464789489	665.680
1464789570	687.610
1464789648	672.450
1464789727	653.640
1464789808	643.010
1464789889	664.850
1464789969	679.760
1464790049	653.720
1464790129	631.640
1464790209	664.410
1464790290	677.320
1464790371	662.790
1464790452	647.530
1464790532	724.780
1464790613	661.100
1464790694	615.660
1464790775	649.600
1464790856	665.620
1464790936	650.450
1464791018	662.870
1464791098	669.690
1464791179	641.150
1464791260	651.440
1464791340	660.620
1464791421	673.480
1464791501	735.050
1464791582	634.550
1464791662	699.950
1464791742	675.430
1464791823	669.710
1464791903	734.530
1464791984	624.490
1464792065	667.620
1464792146	647.080
1464792230	652.140
1464792312	665.780
1464792393	650.980
1464792473	648.880
1464792553	643.260
1464792635	653.450
1464792715	674.330
1464792797	667.440
1464792878	661.400
1464792957	636.860
1464793036	665.340
1464793117	735.130
1464793196	658.300
1464793277	649.700
1464793358	646.340
1464793437	669.300
1464793517	653.900
1464793596	663.800
1464793676	644.370
1464793755	658.510
1464793836	660.670
1464793916	664.110
1464793997	654.410
1464794077	696.220
1464794157	677.140
1464794237	638.780
1464794316	651.670
1464794396	658.180
1464794476	654.990
1464794556	675.070
1464794635	773.050
1464794715	619.830
1464794795	731.580
1464794875	651.630
1464794955	658.210
1464795035	610.500
1464795115	671.850
1464795195	743.840
1464795274	685.250
1464795355	716.090
1464795432	639.030
1464795511	737.770
1464795592	701.320
1464795673	664.210
1464795753	702.110
1464795832	660.850
1464795912	674.430
1464795991	1645.580
1464796071	657.560
1464796151	661.860
1464796231	660.540
1464796310	655.730
1464796390	651.540
1464796470	694.700
1464796549	653.780
1464796629	662.900
1464796709	650.530
1464796788	651.220
1464796868	639.780
1464796948	660.750
1464797027	667.200
1464797107	729.290
1464797187	649.880
1464797264	627.570
1464797344	747.580
1464797424	645.030
1464797504	659.870
1464797584	668.540
1464797664	635.740
1464797745	657.950
1464797824	686.800
1464797903	668.240
1464797983	664.990
1464798064	666.070
1464798145	717.530
1464798224	650.750
1464798305	647.810
1464798386	661.320
1464798466	649.710
1464798546	645.860
1464798626	649.510
1464798706	656.310
1464798785	651.000
1464798866	661.370
1464798946	655.990
1464799026	591.180
1464799106	622.410
1464799189	662.400
1464799269	682.960
1464799347	685.790
1464799427	630.010
1464799507	624.880
1464799589	709.050
1464799670	660.450
1464799751	661.420
1464799831	649.900
1464799911	643.640
1464799992	646.760
1464800071	747.010
1464800153	673.210
1464800233	624.090
1464800312	673.690
1464800392	641.310
1464800470	646.760
1464800550	653.470
1464800800	608.230
1464800879	645.690
1464800959	638.200
1464801039	657.080
1464801119	663.020
1464801199	634.800
1464801279	626.050
1464801359	633.350
1464801439	655.910
1464801518	624.190
1464801598	625.470
1464801679	651.590
1464801758	618.650
1464801838	634.220
1464801918	636.590
1464801998	651.360
1464802078	651.800
1464802158	671.600
1464802237	624.680
1464802317	615.270
1464802397	614.750
1464802477	599.140
1464802555	658.190
1464802635	616.740
1464802715	603.250
1464802795	601.390
1464802875	639.070
1464802955	635.600
1464803036	585.570
1464803117	616.170
1464803198	644.600
1464803275	566.460
1464803356	570.800
1464803438	565.290
1464803517	577.310
1464803597	558.390
1464803677	566.680
1464803757	577.950
1464803836	568.960
1464803916	565.560
1464803996	585.900
1464804076	592.070
1464804156	563.140
1464804236	572.050
1464804316	568.660
1464804396	569.210
1464804475	570.450
1464804554	569.400
1464804635	590.900
1464804715	563.940
1464804795	581.500
1464804875	592.480
1464804954	582.450
1464805034	571.490
1464805115	564.540
1464805194	609.480
1464805274	575.260
1464805355	572.230
1464805434	558.410
1464805514	567.610
1464805594	566.810
1464805673	554.980
1464805755	564.400
1464805834	569.370
1464805916	595.840
1464805997	563.150
1464806077	566.680
1464806157	567.570
1464806237	576.000
1464806317	563.730
1464806397	575.120
1464806478	572.890
1464806558	574.970
1464806638	627.570
1464806719	607.420
