timestamp[s]	latency_value[ms]
1464774795	236.350
1464774872	235.760
1464774953	236.220
1464775031	235.480
1464775111	235.530
1464775189	235.370
1464775265	237.180
1464775342	235.120
1464775423	280.700
1464775503	240.200
1464775580	236.340
1464775660	237.330
1464775740	234.950
1464775817	251.250
1464775898	235.490
1464775978	236.230
1464776058	237.420
1464776138	235.970
1464776219	235.530
1464776300	235.260
1464776379	234.740
1464776459	235.080
1464776538	238.240
1464776618	235.480
1464776699	237.630
1464776777	234.990
1464776857	234.780
1464776936	237.040
1464777014	235.110
1464777094	235.140
1464777175	259.440
1464777254	236.060
1464777334	235.100
1464777415	237.680
1464777495	236.600
1464777576	618.780
1464777654	236.180
1464777734	236.060
1464777814	235.200
1464777896	235.360
1464777976	281.330
1464778056	235.390
1464778133	235.490
1464778213	235.340
1464778293	290.940
1464778373	246.850
1464778455	237.490
1464778535	236.810
1464778613	235.030
1464778694	236.190
1464778774	235.310
1464778851	236.110
1464778931	236.050
1464779012	234.850
1464779091	235.750
1464779172	235.890
1464779252	235.030
1464779333	302.360
1464779413	236.920
1464779495	236.990
1464779576	235.920
1464779657	306.240
1464779737	235.730
1464779816	235.090
1464779897	234.910
1464779978	236.800
1464780057	237.360
1464780136	236.100
1464780217	235.420
1464780296	236.630
1464780377	237.720
1464780458	235.170
1464780538	236.240
1464780619	236.220
1464780700	235.830
1464780777	237.260
1464780857	235.270
1464780937	235.240
1464781016	235.680
1464781097	237.870
1464781175	234.970
1464781254	239.240
1464781333	237.810
1464781413	235.400
1464781492	235.140
1464781572	237.900
1464781652	234.950
1464781731	235.640
1464781811	237.930
1464781891	276.280
1464781970	287.320
1464782047	236.230
1464782126	236.560
1464782206	236.890
1464782288	235.340
1464782366	235.900
1464782447	235.580
1464782528	236.420
1464782607	237.760
1464782687	238.050
1464782768	234.840
1464782847	236.030
1464782928	237.120
1464783007	238.140
1464783088	235.410
1464783169	235.820
1464783248	236.750
1464783328	234.710
1464783409	235.130
1464783488	235.220
1464783567	234.950
1464783648	235.590
1464783728	234.910
1464783808	235.150
1464783888	234.940
1464783969	235.300
1464784049	235.030
1464784128	248.030
1464784206	236.140
1464784286	238.240
1464784366	234.990
1464784447	236.130
1464784527	236.360
1464784607	496.400
1464784685	234.950
1464784765	235.950
1464784845	235.360
1464784925	236.920
1464785004	235.310
1464785084	235.950
1464785162	235.400
1464785240	235.500
1464785321	234.920
1464785400	235.360
1464785481	236.680
1464785561	238.360
1464785641	237.610
1464785721	235.230
1464785801	235.440
1464785880	247.560
1464785960	317.670
1464786041	236.730
1464786121	292.950
1464786199	236.590
1464786278	237.750
1464786357	237.830
1464786437	235.470
1464786517	235.040
1464786597	236.940
1464786677	237.290
1464786757	235.890
1464786836	235.230
1464786916	308.620
1464786997	236.170
1464787077	235.830
1464787156	307.450
1464787237	235.080
1464787317	238.290
