timestamp[s]	latency_value[ms]
1464774790	249.310
1464774868	224.730
1464774946	225.080
1464775024	226.590
1464775102	225.730
1464775180	224.910
1464775256	238.330
1464775335	225.640
1464775412	224.030
1464775489	255.220
1464775567	225.780
1464775644	225.270
1464775722	223.990
1464775800	350.350
1464775878	224.330
1464775955	227.420
1464776034	225.660
1464776112	224.120
1464776190	225.200
1464776269	224.200
1464776344	224.850
1464776421	226.730
1464776500	225.280
1464776578	306.640
1464776654	223.990
1464776732	226.570
1464776810	263.780
1464776887	226.350
1464776964	224.000
1464777040	232.050
1464777118	226.040
1464777195	224.040
1464777274	231.080
1464777352	225.430
1464777430	224.120
1464777509	226.880
1464777586	291.180
1464777665	225.400
1464777743	224.260
1464777819	224.840
1464777896	230.230
1464777974	224.680
1464778052	223.710
1464778130	227.540
1464778206	224.890
1464778284	225.370
1464778362	225.970
1464778441	224.300
1464778519	286.720
1464778597	225.170
1464778676	301.550
1464778754	224.540
1464778832	225.700
1464778911	224.520
1464778989	231.350
1464779064	230.280
1464779142	302.270
1464779220	226.400
1464779297	226.300
1464779375	225.500
1464779454	270.850
1464779530	226.320
1464779607	227.060
1464779684	228.310
1464779762	225.410
1464779841	224.490
1464779918	225.020
1464779994	225.980
1464780071	228.230
1464780147	349.180
1464780226	225.600
1464780304	226.940
1464780381	226.820
1464780458	227.130
1464780535	226.040
1464780613	226.150
1464780691	225.690
1464780771	224.500
1464780844	226.340
1464780923	225.370
1464781000	226.620
1464781080	225.970
1464781158	227.000
1464781234	229.690
1464781311	224.730
1464781388	224.980
1464781467	227.970
1464781547	224.890
1464781624	225.640
1464781701	225.490
1464781778	225.660
1464781856	224.500
1464781934	224.800
1464782009	260.480
1464782086	228.350
1464782165	299.060
1464782242	224.940
1464782319	226.370
1464782398	288.690
1464782476	226.520
1464782554	226.940
1464782631	224.810
1464782710	237.720
1464782788	227.280
1464782866	228.370
1464782943	228.490
1464783021	225.110
1464783098	225.180
1464783177	223.570
1464783253	225.150
1464783330	225.130
1464783406	224.310
1464783480	226.040
1464783558	225.340
1464783637	226.330
1464783714	227.540
1464783792	224.550
1464783870	224.770
1464783949	227.280
1464784026	228.730
1464784104	225.050
1464784182	226.410
1464784260	225.820
1464784337	226.200
1464784413	375.890
1464784491	227.780
1464784569	225.570
1464784647	225.120
1464784725	225.020
1464784803	227.190
1464784881	227.100
1464784959	228.280
1464785037	226.010
1464785115	227.280
1464785193	225.230
1464785271	225.160
1464785347	224.660
1464785423	225.890
1464785501	289.490
1464785578	223.860
1464785656	225.340
1464785734	224.180
1464785811	228.250
1464785888	226.870
1464785964	225.760
1464786043	223.850
1464786121	224.170
1464786199	226.280
1464786276	289.380
1464786353	225.890
1464786430	227.030
1464786508	224.980
1464786586	226.590
1464786664	227.930
1464786740	254.150
1464786818	224.920
1464786897	271.000
1464786975	294.220
1464787051	225.990
1464787129	227.230
1464787207	225.250
1464787286	225.100
1464787364	226.690
1464787442	226.000
1464787519	224.550
1464787598	226.570
1464787675	284.250
1464787751	228.480
1464787829	225.000
1464787907	226.290
1464787984	225.040
1464788062	224.950
1464788138	225.440
1464788216	226.070
1464788293	224.820
1464788371	225.960
1464788448	226.490
1464788523	226.450
1464788601	226.300
1464788679	225.860
1464788757	225.000
1464788834	226.040
1464788913	226.260
1464788991	226.420
1464789069	223.730
1464789146	224.040
1464789225	225.630
1464789303	225.800
1464789381	226.680
1464789459	224.390
1464789537	225.520
1464789616	226.830
1464789694	224.660
1464789772	225.230
1464789851	245.690
1464789929	224.620
1464790007	265.290
1464790085	226.110
1464790163	226.390
1464790241	292.210
1464790319	224.670
1464790397	228.340
1464790474	227.470
1464790552	225.640
1464790631	228.220
1464790709	229.550
1464790788	296.580
1464790866	225.030
1464790943	224.600
1464791020	227.640
1464791098	225.910
1464791175	303.020
1464791252	231.080
1464791328	226.590
1464791405	225.400
1464791483	225.510
1464791561	225.130
1464791637	224.810
1464791714	248.170
1464791790	226.140
1464791870	227.810
1464791948	224.730
1464792024	226.820
1464792101	228.180
1464792178	227.490
1464792255	297.680
1464792332	227.880
1464792410	225.230
1464792489	276.680
1464792568	226.300
1464792646	227.460
1464792724	224.040
1464792804	225.210
1464792882	226.290
1464792959	227.630
1464793036	230.250
1464793115	225.710
1464793192	225.930
1464793269	225.070
1464793347	224.790
1464793423	227.280
1464793501	226.430
1464793578	225.650
1464793653	224.770
1464793731	226.410
1464793810	227.930
1464793887	227.700
1464793966	225.340
1464794044	227.240
1464794122	228.310
1464794199	225.010
1464794276	226.480
1464794354	224.890
1464794431	226.400
1464794507	224.910
1464794584	234.450
1464794661	229.020
1464794739	226.160
1464794817	225.160
