timestamp[s]	latency_value[ms]
1464774784	226.190
1464774854	226.160
1464774923	225.780
1464774992	225.810
1464775061	226.710
1464775131	226.860
1464775202	226.150
1464775271	226.230
1464775340	225.960
1464775409	227.040
1464775479	226.300
1464775548	226.390
1464775617	225.910
1464775686	225.930
1464775755	226.080
1464775824	226.180
1464775894	225.870
1464775963	226.820
1464776032	226.050
1464776101	226.230
1464776170	226.470
1464776239	226.470
1464776309	226.080
1464776378	226.110
1464776447	226.160
1464776516	226.650
1464776585	226.200
1464776654	226.170
1464776723	226.260
1464776792	226.670
1464776862	226.220
1464776931	226.470
1464777001	226.550
1464777070	226.100
1464777139	226.570
1464777208	226.050
1464777277	226.320
1464777346	226.320
1464777416	226.560
1464777485	226.400
1464777554	225.890
1464777623	226.070
1464777693	226.100
1464777762	226.170
1464777831	225.770
1464777900	226.310
1464777969	226.710
1464778038	226.320
1464778108	226.090
1464778177	226.130
1464778246	226.570
1464778315	226.220
1464778384	226.620
1464778453	226.180
1464778522	226.490
1464778592	226.490
1464778661	226.640
1464778730	226.250
1464778799	227.910
1464778868	226.560
1464778937	226.080
1464779007	226.110
1464779076	226.420
1464779145	226.010
1464779214	226.390
1464779283	225.780
1464779352	225.910
1464779422	226.050
1464779491	225.930
1464779560	226.170
1464779629	225.910
1464779698	226.290
1464779767	226.210
1464779837	226.210
1464779906	229.010
1464779975	226.030
1464780044	226.750
1464780113	226.020
1464780182	225.960
1464780251	226.240
1464780320	226.280
1464780390	226.040
1464780459	226.440
1464780528	226.170
1464780597	226.380
1464780666	226.490
1464780735	226.350
1464780805	226.440
1464780874	226.370
1464780943	226.420
1464781012	226.290
1464781081	226.340
1464781152	226.450
1464781221	226.360
1464781290	226.210
1464781359	226.090
1464781428	225.960
1464781498	226.430
1464781567	226.430
1464781636	226.300
1464781705	226.420
1464781774	226.520
1464781844	226.650
1464781913	226.550
1464781982	226.170
1464782051	225.790
1464782120	226.510
1464782190	226.350
1464782259	226.510
1464782328	226.200
1464782397	226.590
1464782466	226.200
1464782535	226.070
1464782605	226.200
1464782674	226.350
1464782743	226.480
1464782812	226.030
1464782881	227.720
1464782950	226.490
1464783019	226.240
1464783089	226.400
1464783158	226.510
1464783230	226.050
1464783299	226.120
1464783368	226.490
1464783438	226.190
1464783508	225.860
1464783577	226.080
1464783647	226.270
1464783716	226.990
1464783785	226.720
1464783856	226.520
1464783925	226.550
1464783994	226.540
1464784064	226.230
1464784133	226.380
1464784202	226.610
1464784271	226.110
1464784340	226.310
1464784410	226.060
1464784479	227.960
1464784548	226.080
1464784617	226.510
1464784686	226.090
1464784755	225.860
1464784825	226.280
1464784894	226.380
1464784963	226.360
1464785032	226.520
1464785102	226.440
1464785171	226.470
1464785241	226.170
1464785310	226.330
1464785379	226.020
1464785448	225.900
1464785517	225.940
1464785586	226.430
1464785655	226.250
1464785726	227.300
1464785795	226.300
1464785864	226.140
1464785933	226.890
1464786002	226.300
1464786072	226.640
1464786141	226.660
1464786210	226.570
1464786279	226.540
1464786348	226.550
1464786417	226.140
1464786487	226.410
1464786556	226.190
1464786625	226.660
1464786694	226.330
1464786763	226.460
1464786832	226.170
1464786901	226.420
1464786971	226.340
1464787040	225.970
1464787109	247.480
1464787178	226.390
1464787247	226.570
1464787317	226.740
1464787386	226.520
1464787455	226.040
1464787526	226.180
1464787595	225.980
1464787664	226.240
1464787735	226.060
1464787804	226.000
1464787873	226.020
1464787942	225.970
1464788012	226.340
1464788081	226.090
1464788150	226.180
1464788220	226.100
1464788289	226.460
1464788358	226.020
1464788427	226.190
1464788497	227.930
1464788566	226.570
1464788635	226.660
1464788704	226.490
1464788773	225.990
1464788842	226.240
1464788912	226.350
1464788981	230.670
1464789050	226.150
1464789120	227.130
1464789189	226.090
1464789259	226.160
1464789329	226.290
1464789398	226.020
1464789468	225.960
1464789539	226.210
1464789609	226.120
1464789678	226.490
1464789748	226.330
1464789817	226.760
1464789886	226.250
1464789956	226.060
1464790025	226.540
1464790095	226.200
1464790164	225.990
1464790233	226.040
1464790302	226.100
1464790373	225.960
1464790446	226.310
1464790515	226.540
1464790585	226.270
1464790655	226.520
1464790724	226.070
1464790794	233.450
1464790869	226.090
1464790942	226.100
1464791014	226.060
1464791084	226.290
1464791154	228.880
1464791223	226.710
1464791293	229.810
1464791363	225.780
1464791432	226.300
1464791502	226.700
1464791571	226.790
1464791641	226.020
1464791710	226.030
1464791779	226.140
1464791848	225.920
1464791918	226.330
1464791988	226.110
1464792057	226.160
1464792126	226.000
1464792195	226.520
1464792264	226.150
1464792334	226.020
1464792403	226.230
1464792475	226.510
1464792544	226.070
1464792614	226.090
1464792683	226.190
1464792752	226.470
1464792821	226.860
1464792891	226.370
1464792960	226.060
1464793030	226.210
1464793102	226.170
1464793172	226.850
1464793241	227.520
1464793312	226.290
1464793381	226.000
1464793453	226.020
1464793522	226.180
1464793591	226.080
1464793661	226.380
1464793732	226.310
1464793803	226.400
1464793872	226.450
1464793942	226.050
1464794011	226.330
1464794080	226.160
1464794150	226.140
1464794219	226.270
1464794290	226.240
1464794359	226.370
1464794430	226.090
1464794502	227.330
1464794572	226.500
1464794643	225.970
1464794713	225.850
1464794782	226.200
1464794851	226.390
1464794921	226.030
1464794990	225.970
1464795060	226.270
1464795130	226.630
1464795201	226.100
1464795270	226.110
1464795339	226.020
1464795409	228.170
1464795479	226.280
1464795549	226.160
1464795618	226.330
1464795687	226.100
1464795757	225.770
1464795826	225.910
1464795895	226.700
1464795965	225.850
1464796037	226.140
1464796106	226.030
1464796176	226.280
1464796245	226.160
1464796314	1801.560
1464796385	226.240
1464796454	226.700
1464796523	233.770
1464796593	225.980
1464796662	226.080
1464796732	226.390
1464796802	226.030
1464796871	226.330
1464796941	226.100
1464797012	226.520
1464797081	226.150
1464797151	226.270
1464797220	226.940
1464797290	226.070
1464797361	226.430
1464797430	226.200
1464797500	226.180
1464797569	226.220
1464797640	225.920
1464797709	226.450
1464797779	226.400
1464797848	228.320
1464797917	226.610
1464797988	227.190
1464798060	226.150
1464798129	226.240
1464798199	225.740
1464798268	226.250
1464798337	225.890
1464798407	226.310
1464798479	226.070
1464798550	226.360
1464798619	226.450
1464798689	226.260
1464798758	226.240
1464798829	226.210
1464798898	229.070
1464798968	226.050
1464799037	226.720
1464799108	226.280
1464799177	226.190
1464799248	226.320
1464799317	226.100
1464799389	226.670
1464799459	226.200
1464799528	226.280
1464799597	226.580
1464799666	226.520
1464799737	228.070
1464799807	226.560
1464799876	226.060
1464799946	226.240
1464800016	226.160
1464800085	226.140
1464800154	226.590
1464800224	226.430
1464800293	225.940
1464800362	226.430
1464800433	226.200
1464800504	226.180
1464800573	226.230
1464800643	225.880
1464800712	225.910
1464800781	226.170
1464800852	226.230
1464800921	226.000
1464800991	226.550
1464801060	226.050
1464801130	226.400
1464801199	226.090
1464801269	226.370
1464801341	226.190
1464801410	226.470
1464801479	225.960
1464801551	226.500
1464801620	226.290
1464801690	226.450
1464801759	226.170
1464801829	225.980
1464801898	229.650
1464801967	225.880
1464802036	226.030
1464802110	226.360
1464802181	226.380
1464802250	226.110
1464802320	226.300
1464802390	226.030
1464802459	226.990
1464802528	226.630
1464802599	226.260
1464802669	226.540
1464802738	226.690
1464802807	226.050
1464802876	226.050
1464802946	226.360
1464803015	226.690
1464803084	226.200
1464803153	227.900
1464803224	225.730
1464803293	228.370
1464803364	226.060
1464803433	226.320
1464803502	225.750
1464803573	226.460
1464803642	225.970
1464803712	226.410
1464803781	225.850
1464803850	226.220
1464803919	226.560
1464803989	226.180
1464804058	225.760
1464804127	227.130
1464804196	226.370
1464804267	226.130
1464804336	225.830
1464804405	226.320
1464804475	226.180
1464804546	226.260
1464804616	226.730
