timestamp[s]	latency_value[ms]
1464774785	312.300
1464774855	318.370
1464774924	317.070
1464774994	315.770
1464775063	312.260
1464775133	317.730
1464775202	315.520
1464775272	317.160
1464775342	316.290
1464775411	314.690
1464775481	317.190
1464775550	317.480
1464775620	315.960
1464775689	316.890
1464775759	317.780
1464775828	314.720
1464775898	313.470
1464775967	315.660
1464776037	315.960
1464776106	316.030
1464776176	315.550
1464776245	316.260
1464776315	315.290
1464776384	315.200
1464776454	315.270
1464776523	317.260
1464776593	315.860
1464776662	317.910
1464776732	316.390
1464776801	317.860
1464776871	315.460
1464776940	316.070
1464777010	317.810
1464777079	315.470
1464777149	318.140
1464777218	317.920
1464777288	315.710
1464777357	316.200
1464777427	317.090
1464777496	318.520
1464777566	316.100
1464777635	311.820
1464777705	315.920
1464777774	312.630
1464777844	315.680
1464777913	315.090
1464777983	316.980
1464778053	315.400
1464778122	311.460
1464778192	315.200
1464778261	315.990
1464778331	317.300
1464778400	315.990
1464778471	315.170
1464778541	318.240
1464778611	315.570
1464778680	320.010
1464778750	318.270
1464778819	316.140
1464778889	315.520
1464778958	313.960
1464779028	315.750
1464779097	321.480
1464779167	316.090
1464779236	314.340
1464779306	317.860
1464779375	311.860
1464779445	312.320
1464779514	316.940
1464779584	317.960
1464779653	317.050
1464779723	315.620
1464779792	322.790
1464779862	312.160
1464779931	316.130
1464780001	315.080
1464780070	315.000
1464780140	315.410
1464780209	316.730
1464780279	316.760
1464780349	312.020
1464780418	318.070
1464780489	320.070
1464780559	312.040
1464780628	318.680
1464780698	317.620
1464780768	316.430
1464780837	316.230
1464780909	317.880
1464780978	315.320
1464781048	316.210
1464781117	317.030
1464781187	315.950
1464781256	317.380
1464781326	315.880
1464781395	317.910
1464781466	319.410
1464781536	317.600
1464781606	316.380
1464781675	314.580
1464781745	313.230
1464781814	317.750
1464781884	315.730
1464781953	318.160
1464782023	312.740
1464782092	314.790
1464782162	314.940
1464782232	315.050
1464782301	315.560
1464782371	315.400
1464782440	317.700
1464782510	316.790
1464782579	317.670
1464782649	315.340
1464782718	317.460
1464782788	312.640
1464782857	316.040
1464782927	317.240
1464782996	315.130
1464783066	316.770
1464783135	314.240
1464783205	316.910
1464783274	315.440
1464783344	314.260
1464783414	316.220
1464783484	316.000
1464783553	314.120
1464783623	315.460
1464783692	312.510
1464783762	317.830
1464783831	312.990
1464783901	315.850
1464783971	317.930
1464784040	319.620
1464784110	316.050
1464784179	316.450
1464784249	317.260
1464784318	318.250
1464784388	315.300
1464784457	315.400
1464784527	317.150
1464784596	312.250
1464784666	314.660
1464784736	316.090
1464784805	319.940
1464784875	315.780
1464784944	317.710
1464785014	317.400
1464785084	314.810
1464785153	315.870
1464785223	318.710
1464785292	318.460
1464785362	315.360
1464785431	314.430
1464785501	317.800
1464785570	315.680
1464785640	312.260
1464785709	311.370
1464785779	311.570
1464785848	315.310
1464785918	318.330
1464785987	311.920
1464786057	319.850
1464786126	316.000
1464786197	317.660
1464786267	314.260
1464786336	315.720
1464786406	319.350
1464786475	315.140
1464786545	317.370
1464786614	313.620
1464786684	315.000
1464786753	314.970
1464786823	314.430
1464786892	315.860
1464786962	317.620
1464787031	315.920
1464787101	315.530
1464787170	317.980
1464787241	311.760
1464787311	316.850
1464787380	317.450
1464787450	315.770
1464787519	315.990
1464787591	315.000
1464787660	311.660
1464787731	312.470
1464787801	317.650
1464787871	312.530
1464787940	317.020
1464788010	315.060
1464788079	315.270
1464788149	315.510
1464788219	317.540
1464788289	315.370
1464788358	315.780
1464788428	315.190
1464788497	314.600
1464788567	316.070
1464788636	315.850
1464788706	341.490
1464788775	314.720
1464788845	315.930
1464788914	312.780
1464788984	315.700
1464789053	315.400
1464789125	317.910
1464789194	314.950
1464789265	316.850
1464789336	317.130
1464789406	316.570
1464789476	315.970
1464789546	316.040
1464789617	317.950
1464789686	314.500
1464789757	316.390
1464789829	315.020
1464789899	318.080
1464789972	317.970
1464790042	315.140
1464790112	316.580
1464790182	318.370
1464790254	314.980
1464790324	315.790
1464790394	315.000
1464790464	315.010
1464790533	320.220
1464790603	315.360
1464790672	315.520
1464790744	314.780
1464790814	316.260
1464790883	315.010
1464790953	312.020
1464791022	315.790
1464791092	315.670
1464791162	316.730
1464791231	316.300
1464791303	314.950
1464791373	315.220
1464791442	318.080
1464791512	315.480
1464791583	317.570
1464791653	317.520
1464791724	319.110
1464791794	315.150
1464791863	314.990
1464791935	314.850
1464792005	315.610
1464792074	315.720
1464792144	314.700
1464792215	312.060
1464792285	317.230
1464792354	316.170
1464792424	317.010
1464792494	314.550
1464792565	314.980
1464792635	316.140
1464792704	320.020
1464792774	317.600
1464792845	317.400
1464792916	317.150
1464792988	318.390
1464793059	315.130
1464793129	316.320
1464793198	318.330
1464793268	318.940
1464793340	315.640
1464793411	319.930
1464793483	315.830
1464793553	317.400
1464793623	315.620
1464793695	312.180
1464793767	314.660
1464793841	316.210
1464793911	315.380
1464793981	312.010
1464794050	315.790
1464794120	316.590
1464794189	315.390
1464794259	314.630
1464794330	317.720
1464794400	318.040
1464794470	315.220
1464794540	314.820
1464794610	319.480
1464794680	315.460
1464794754	317.590
1464794824	315.700
1464794893	316.210
1464794964	312.980
1464795035	317.800
1464795105	314.990
1464795176	316.030
1464795246	316.150
1464795315	314.690
1464795385	315.510
1464795455	316.720
1464795525	316.510
1464795594	318.080
1464795664	317.920
1464795736	317.950
1464795809	316.050
1464795881	317.310
1464795950	316.080
1464796020	314.570
1464796091	316.130
1464796162	315.540
1464796232	317.290
1464796304	316.340
1464796374	318.000
1464796444	315.880
1464796515	315.520
1464796585	311.220
1464796655	313.300
1464796725	316.400
1464796794	314.740
1464796865	314.620
1464796935	316.920
1464797010	314.870
1464797079	312.000
1464797149	315.230
1464797220	318.680
1464797293	316.890
1464797364	354.750
1464797434	312.180
1464797504	316.790
1464797573	315.490
1464797644	312.850
1464797717	317.480
1464797786	315.450
1464797856	315.890
1464797925	317.310
1464797997	316.690
1464798069	317.040
1464798138	315.260
1464798208	316.850
1464798277	315.100
1464798347	317.780
1464798418	316.640
1464798489	316.240
1464798562	315.070
1464798632	315.570
1464798702	315.180
1464798775	315.380
1464798845	315.660
1464798915	315.700
1464798986	317.750
1464799056	316.080
1464799127	319.490
1464799197	315.720
1464799267	315.530
1464799336	317.910
1464799408	312.550
1464799477	319.770
