timestamp[s]	latency_value[ms]
1464774786	481.450
1464774856	478.840
1464774927	478.690
1464774997	477.920
1464775067	480.910
1464775137	480.760
1464775207	480.030
1464775278	480.210
1464775348	478.550
1464775418	478.530
1464775488	483.020
1464775558	481.450
1464775628	479.230
1464775698	477.960
1464775769	478.330
1464775839	481.500
1464775910	478.530
1464775980	481.560
1464776050	479.060
1464776121	479.000
1464776191	481.600
1464776261	480.850
1464776331	480.570
1464776401	479.420
1464776471	480.680
1464776542	478.980
1464776612	481.020
1464776682	482.130
1464776752	480.960
1464776822	478.750
1464776892	478.480
1464776964	478.600
1464777035	480.460
1464777105	478.300
1464777175	480.400
1464777245	481.510
1464777315	478.290
1464777385	478.610
1464777455	478.330
1464777526	480.820
1464777596	480.480
1464777668	482.050
1464777738	481.640
1464777808	481.850
1464777878	478.820
1464777948	482.720
1464778018	481.480
1464778089	478.930
1464778159	481.140
1464778229	480.130
1464778299	479.100
1464778369	481.920
1464778439	480.520
1464778510	481.830
1464778580	478.170
1464778650	481.340
1464778720	480.780
1464778790	480.560
1464778860	481.770
1464778931	481.740
1464779001	480.950
1464779071	482.500
1464779142	478.540
1464779212	478.150
1464779282	480.700
1464779352	479.020
1464779423	481.290
1464779493	481.640
1464779563	482.430
1464779633	482.030
1464779703	480.970
1464779773	481.740
1464779844	479.110
1464779914	478.360
1464779984	481.790
1464780054	478.460
1464780124	481.780
1464780194	482.030
1464780265	478.900
1464780335	481.020
1464780405	480.760
1464780475	481.420
1464780545	482.250
1464780615	480.590
1464780685	480.710
1464780756	481.290
1464780826	481.080
1464780896	478.640
1464780966	479.170
1464781036	481.590
1464781107	478.940
1464781177	478.250
1464781247	480.580
1464781317	481.060
1464781387	481.190
1464781457	479.400
1464781527	478.570
1464781599	479.020
1464781669	478.790
1464781739	484.490
1464781810	478.650
1464781880	478.550
1464781950	478.220
1464782020	481.730
1464782090	480.740
1464782160	481.590
1464782231	478.780
1464782301	480.710
1464782371	478.670
1464782441	478.620
1464782511	479.120
1464782581	478.790
1464782652	480.460
1464782722	478.340
1464782792	478.400
1464782862	478.320
1464782932	480.920
1464783002	479.120
