timestamp[s]	latency_value[ms]
1464774791	71.970
1464774861	72.110
1464774931	73.560
1464775000	71.960
1464775070	71.660
1464775139	71.910
1464775209	71.970
1464775279	72.030
1464775348	72.270
1464775418	71.850
1464775487	72.040
1464775557	72.360
1464775626	72.160
1464775696	71.900
1464775766	72.240
1464775835	71.960
1464775906	71.910
1464775976	71.890
1464776045	71.850
1464776115	71.940
1464776184	71.900
1464776254	71.790
1464776323	71.970
1464776393	71.930
1464776463	71.940
1464776532	71.890
1464776602	71.820
1464776672	72.260
1464776742	71.980
1464776811	72.200
1464776881	72.190
1464776951	72.050
1464777020	82.710
1464777090	72.440
1464777159	71.950
1464777229	71.990
1464777298	72.150
1464777368	71.920
1464777438	71.700
1464777507	71.860
1464777577	71.780
1464777646	71.850
1464777716	71.940
1464777786	71.850
1464777855	72.690
1464777925	71.870
1464777994	72.220
1464778064	72.370
1464778133	72.090
1464778203	72.360
1464778273	71.990
1464778342	72.440
1464778412	71.960
1464778481	72.320
1464778551	71.880
1464778621	71.980
1464778690	72.130
1464778760	72.170
1464778829	72.300
1464778899	72.300
1464778968	72.180
1464779038	72.040
1464779108	72.140
1464779177	72.420
1464779247	72.300
1464779317	72.190
1464779386	71.880
1464779456	72.140
1464779526	72.060
1464779595	72.120
1464779665	72.020
1464779734	71.990
1464779804	71.960
1464779874	71.980
1464779943	72.070
1464780013	72.450
1464780082	72.050
1464780152	71.900
1464780222	72.050
1464780291	72.060
1464780361	72.420
1464780431	74.830
1464780500	72.270
1464780570	71.990
1464780640	71.960
1464780709	71.720
1464780779	71.980
1464780850	72.210
1464780920	72.890
1464780990	72.160
1464781060	71.890
1464781129	72.070
1464781199	72.270
1464781268	72.020
1464781338	72.010
1464781408	72.070
1464781477	71.800
1464781548	72.070
1464781619	72.050
1464781689	72.070
1464781759	71.950
1464781828	71.850
1464781898	71.760
1464781967	71.940
1464782037	72.020
1464782106	71.960
1464782176	72.120
1464782246	72.180
1464782315	71.730
1464782385	71.990
1464782454	71.960
1464782524	71.980
1464782593	71.980
1464782663	72.290
1464782733	71.800
1464782802	72.270
1464782872	71.950
1464782941	72.000
1464783011	71.630
1464783081	71.990
1464783150	72.440
1464783220	72.020
1464783290	71.790
1464783359	72.230
1464783429	72.080
1464783498	71.990
1464783568	72.060
1464783638	71.900
1464783707	72.130
1464783777	72.590
1464783846	71.870
1464783916	73.910
1464783986	72.100
1464784056	72.030
1464784126	72.050
1464784197	72.310
1464784267	71.810
1464784336	72.010
1464784407	72.140
1464784476	72.260
1464784546	72.020
1464784615	72.160
1464784685	71.990
1464784755	72.200
1464784824	71.750
1464784894	72.120
1464784963	72.090
1464785033	71.750
1464785103	72.090
1464785172	71.950
1464785242	71.910
1464785311	72.320
1464785381	71.870
1464785451	71.990
1464785520	71.880
1464785590	72.130
1464785659	71.710
1464785729	71.950
1464785799	72.040
1464785869	71.970
1464785938	71.760
1464786008	72.170
1464786077	71.870
1464786147	71.950
1464786216	71.970
1464786286	71.880
1464786356	72.310
1464786425	72.050
1464786495	73.500
1464786564	72.240
1464786634	71.990
1464786703	72.210
1464786773	72.020
1464786843	72.030
1464786912	71.880
1464786982	72.020
1464787051	72.090
1464787121	71.700
1464787191	71.990
1464787261	71.880
1464787331	71.710
1464787401	71.810
1464787470	71.980
1464787540	72.180
1464787609	71.990
1464787679	72.180
1464787749	71.970
1464787819	71.930
1464787888	71.980
1464787958	72.100
1464788028	72.310
1464788097	72.430
1464788167	72.160
1464788236	71.970
1464788306	72.010
1464788376	71.820
1464788446	72.040
1464788516	71.930
1464788585	72.280
1464788655	71.830
1464788724	71.930
1464788796	71.950
1464788866	72.050
1464788936	72.050
1464789005	71.840
1464789076	72.240
1464789146	74.240
1464789217	71.820
1464789288	72.120
1464789359	71.820
1464789429	71.730
1464789499	71.960
1464789569	72.460
1464789638	78.420
1464789708	71.730
1464789778	71.760
1464789849	71.840
1464789919	71.870
1464789989	72.380
1464790059	71.390
1464790128	71.890
1464790198	71.880
1464790270	72.040
1464790340	72.160
1464790410	71.990
1464790480	71.740
1464790551	72.090
1464790621	71.860
1464790691	71.780
1464790761	71.860
1464790830	71.970
1464790900	71.880
1464790970	72.200
1464791040	72.120
1464791111	71.720
1464791184	71.740
1464791254	71.860
1464791323	71.980
1464791395	76.530
1464791465	72.000
1464791535	71.920
1464791605	71.690
1464791675	72.000
1464791745	71.840
1464791815	72.370
1464791885	71.900
1464791957	71.640
1464792027	72.090
1464792096	71.740
1464792166	71.740
1464792236	71.620
1464792306	72.160
1464792376	71.940
1464792446	71.980
1464792516	75.860
1464792586	71.750
1464792656	72.300
1464792725	71.720
1464792798	71.900
1464792868	73.060
1464792937	72.080
1464793007	71.710
1464793077	1755.240
1464793150	77.690
1464793220	72.040
1464793290	71.920
1464793360	72.340
1464793432	71.790
1464793504	74.720
1464793574	72.210
1464793645	71.740
1464793715	71.870
1464793788	71.910
1464793858	71.840
1464793928	72.050
1464793997	72.020
1464794070	72.040
1464794142	72.270
