timestamp[s]	latency_value[ms]
1464774792	597.570
1464774868	597.570
1464774943	611.220
1464775018	584.930
1464775091	584.850
1464775166	594.030
1464775240	588.410
1464775313	586.070
1464775386	651.630
1464775459	587.640
1464775533	588.700
1464775609	704.260
1464775685	587.220
1464775760	588.690
1464775834	589.590
1464775907	628.340
1464775982	588.630
1464776055	596.190
1464776130	588.480
1464776203	586.270
1464776278	588.210
1464776350	606.370
1464776423	590.990
1464776497	586.560
1464776571	587.070
1464776644	585.800
1464776718	586.760
1464776791	587.600
1464776864	588.220
1464776938	589.450
1464777011	584.920
1464777085	586.330
1464777158	586.390
1464777231	584.430
1464777306	596.930
1464777380	588.260
1464777454	588.410
1464777528	582.480
1464777603	589.590
1464777677	668.120
1464777753	589.210
1464777828	586.750
1464777902	588.150
1464777976	594.530
1464778049	603.530
1464778123	621.790
1464778197	586.530
1464778270	590.210
1464778344	590.440
1464778418	591.610
1464778492	597.380
1464778567	585.580
1464778641	585.970
1464778715	593.070
1464778789	606.920
1464778863	623.660
1464778935	587.270
1464779008	598.600
1464779082	588.680
1464779155	596.390
1464779229	596.540
1464779302	585.370
1464779376	593.770
1464779449	593.740
1464779524	600.410
1464779598	680.620
1464779672	595.980
1464779745	592.050
1464779818	591.120
1464779895	609.280
1464779973	587.080
1464780047	583.580
1464780122	583.660
1464780196	585.740
1464780270	583.410
1464780343	585.110
1464780417	588.710
1464780490	587.700
1464780563	584.890
1464780637	591.100
1464780709	589.220
1464780783	602.350
1464780857	582.380
1464780931	675.690
1464781004	592.680
1464781079	585.410
1464781153	589.390
1464781227	582.210
1464781300	583.480
1464781375	588.400
1464781448	647.400
1464781522	583.600
1464781595	584.600
1464781669	585.300
1464781742	587.690
1464781819	610.560
1464781892	583.300
1464781965	590.990
1464782039	586.360
1464782113	588.610
1464782186	591.250
1464782260	584.490
1464782335	585.970
1464782408	585.410
1464782482	584.310
1464782555	585.200
1464782629	592.650
1464782702	588.510
1464782774	583.440
1464782848	601.520
1464782921	590.270
1464782994	589.140
1464783068	592.730
1464783141	590.480
1464783214	590.600
1464783288	594.420
1464783361	598.680
1464783435	596.140
1464783509	585.540
1464783583	592.740
1464783656	585.890
1464783729	589.110
1464783803	584.900
1464783877	583.530
1464783950	585.960
1464784023	613.800
1464784096	601.240
1464784169	588.310
1464784244	599.500
1464784317	652.240
1464784391	594.320
1464784464	591.940
1464784537	587.030
1464784611	596.880
1464784684	594.180
1464784759	588.650
1464784832	610.260
1464784906	624.750
1464784980	586.630
1464785053	595.130
1464785127	606.370
1464785203	585.880
1464785278	601.730
1464785352	585.770
1464785425	589.180
1464785500	589.680
1464785573	586.680
1464785646	585.770
1464785718	589.130
1464785792	599.610
1464785867	583.660
1464785940	586.440
1464786014	583.100
1464786088	591.560
1464786162	609.260
1464786237	601.570
1464786311	589.800
1464786385	597.280
1464786459	591.660
1464786532	661.350
1464786606	597.300
1464786680	583.600
1464786754	589.410
1464786829	587.910
1464786901	602.770
1464786975	596.660
1464787048	585.300
1464787121	592.610
1464787194	588.750
1464787269	586.840
1464787342	590.280
1464787416	585.180
1464787489	584.060
1464787564	592.990
1464787638	588.100
1464787712	587.330
1464787786	586.800
1464787859	585.520
1464787934	594.900
1464788007	584.900
1464788081	588.290
1464788154	586.100
1464788228	584.370
1464788302	587.610
1464788377	597.440
1464788451	588.180
1464788525	586.880
1464788599	589.580
1464788674	585.230
1464788748	590.760
1464788823	588.930
1464788896	584.070
1464788970	619.290
1464789045	589.530
1464789120	597.430
1464789195	645.230
1464789269	584.930
1464789342	585.130
1464789416	587.080
1464789490	587.980
1464789564	589.880
1464789638	589.020
1464789711	589.570
1464789783	593.510
1464789856	592.920
1464789928	649.910
1464790003	600.570
1464790078	594.650
1464790152	601.440
1464790227	622.520
1464790302	615.180
1464790376	595.970
1464790450	684.880
1464790523	651.860
1464790597	630.430
1464790672	598.210
1464790746	613.920
1464790819	639.190
1464790892	651.760
1464790966	588.070
1464791041	590.660
1464791114	587.460
1464791189	585.250
1464791263	595.010
1464791336	589.010
1464791409	599.470
1464791482	588.870
1464791555	606.860
1464791628	625.630
1464791701	591.970
1464791774	604.210
1464791848	586.760
1464791921	596.810
1464791996	641.210
1464792070	593.100
1464792145	593.820
1464792220	612.580
1464792294	589.350
1464792368	599.360
1464792443	593.700
1464792517	603.650
1464792591	651.720
1464792664	589.460
1464792738	592.480
1464792811	592.620
1464792884	592.020
1464792958	589.180
1464793032	591.810
1464793105	588.470
1464793179	623.710
1464793252	594.820
1464793326	612.820
1464793400	585.610
1464793474	606.220
1464793548	588.580
1464793622	599.450
1464793695	599.130
1464793769	732.660
1464793843	587.580
1464793916	588.240
1464793989	599.370
1464794063	688.300
1464794137	594.200
1464794212	686.090
1464794285	647.960
1464794359	697.680
1464794432	643.250
1464794506	588.620
1464794579	600.060
1464794652	679.690
1464794725	626.020
1464794798	583.340
1464794872	628.890
1464794945	595.940
1464795017	587.630
1464795090	612.090
1464795164	588.890
1464795238	587.730
1464795312	687.690
1464795386	613.620
1464795460	641.270
1464795534	694.990
1464795608	646.120
1464795682	722.080
1464795755	673.040
1464795828	624.760
1464795903	675.310
1464795978	657.220
1464796051	591.190
1464796124	608.700
1464796202	589.800
1464796276	589.730
1464796351	590.840
1464796425	596.700
1464796499	681.100
1464796572	587.300
1464796646	645.320
1464796721	586.140
1464796794	590.050
1464796869	589.210
1464796942	629.810
1464797015	623.620
1464797090	597.680
1464797163	587.460
1464797236	587.500
1464797310	610.380
1464797383	673.910
1464797457	669.090
1464797532	649.180
1464797605	611.670
1464797678	715.470
1464797752	620.220
1464797825	615.770
1464797899	624.640
1464797972	600.490
1464798046	621.620
1464798120	763.420
1464798194	669.220
1464798269	705.830
1464798343	619.820
1464798417	586.370
1464798490	599.230
1464798563	602.870
1464798636	589.560
1464798709	595.270
1464798782	616.390
1464798857	590.860
1464798931	589.030
1464799005	587.890
1464799079	593.340
1464799153	583.050
1464799228	588.020
1464799302	592.610
1464799375	596.150
1464799449	591.930
1464799524	612.680
1464799597	584.170
1464799671	586.770
1464799745	592.450
1464799820	583.670
1464799894	602.090
1464799969	602.040
1464800042	589.080
1464800115	587.250
1464800190	589.400
1464800263	597.640
1464800336	589.850
1464800409	590.730
1464800484	585.770
1464800557	583.750
1464800630	582.610
1464800704	599.640
1464800777	591.400
1464800851	589.420
1464800925	588.300
1464800997	602.540
1464801071	584.000
1464801144	587.090
1464801219	583.780
1464801293	653.830
1464801367	668.390
1464801442	610.240
1464801516	602.830
1464801590	589.220
1464801664	587.550
1464801739	602.630
1464801812	589.090
1464801886	598.440
1464801960	598.670
1464802033	589.150
1464802107	596.050
1464802181	584.020
1464802255	599.450
1464802330	587.770
1464802404	592.700
1464802478	596.890
1464802553	593.720
1464802627	588.970
1464802702	590.070
1464802777	589.150
1464802852	590.900
1464802927	587.680
1464803001	584.660
1464803075	587.450
1464803149	595.230
1464803223	624.740
1464803296	595.910
1464803370	585.490
1464803444	589.130
1464803517	592.480
1464803591	585.360
1464803664	585.860
1464803738	600.480
1464803812	639.560
1464803887	588.980
1464803961	593.230
1464804034	585.920
1464804108	588.360
1464804181	595.410
1464804254	594.360
1464804328	587.720
1464804402	589.240
1464804475	601.930
1464804549	589.590
1464804623	588.160
1464804697	599.060
1464804771	594.930
1464804845	589.170
1464804919	595.850
1464804993	583.970
1464805067	590.930
1464805140	584.080
1464805214	582.640
1464805287	583.820
1464805360	583.760
1464805434	589.010
1464805508	584.020
1464805582	692.510
1464805656	594.820
1464805731	582.810
1464805805	584.050
1464805878	589.670
1464805951	583.990
1464806025	585.160
1464806099	589.760
1464806172	602.150
1464806246	585.630
1464806320	584.710
1464806394	595.270
1464806467	587.000
1464806541	598.740
1464806615	599.210
1464806688	602.910
1464806762	595.940
1464806834	587.870
1464806908	594.720
1464806981	586.410
1464807055	584.300
1464807130	588.600
1464807202	592.840
1464807277	589.270
1464807351	585.720
1464807424	585.700
1464807497	596.360
1464807571	594.190
1464807644	587.130
1464807717	586.060
1464807793	588.240
1464807866	593.540
1464807940	588.310
1464808014	597.430
1464808088	584.820
1464808162	593.590
1464808235	594.980
1464808309	589.850
1464808382	588.230
1464808455	596.620
1464808530	600.340
1464808604	601.340
1464808679	651.600
1464808762	595.080
1464808836	598.190
1464808910	596.590
1464808984	711.480
1464809058	646.670
1464809132	599.100
1464809205	599.870
1464809279	585.360
1464809354	590.730
1464809427	590.890
1464809500	590.080
1464809574	597.090
1464809649	601.150
1464809724	595.260
1464809796	590.120
1464809869	607.980
1464809943	590.630
1464810016	587.960
1464810089	586.130
1464810163	594.660
1464810236	586.500
1464810310	597.540
1464810384	589.300
1464810457	589.160
1464810531	650.700
1464810605	587.780
1464810679	593.910
1464810753	614.010
1464810826	583.750
1464810899	597.230
1464810972	596.130
1464811046	596.530
1464811118	588.690
1464811192	582.320
1464811265	587.300
1464811340	591.520
1464811412	594.790
1464811485	584.250
1464811559	586.290
1464811633	583.080
1464811708	587.740
1464811780	599.380
1464811854	588.070
1464811928	590.240
1464812001	592.860
1464812074	593.820
1464812147	585.320
1464812220	596.270
1464812293	587.530
1464812366	592.380
1464812438	584.180
1464812511	588.160
1464812584	587.710
1464812660	589.700
1464812733	588.430
1464812807	594.190
1464812880	592.880
1464812953	584.940
1464813027	585.360
1464813101	595.830
1464813174	595.600
1464813249	595.910
1464813323	584.690
1464813397	592.290
1464813471	602.040
1464813544	609.520
1464813617	590.420
1464813690	587.920
1464813764	589.870
1464813837	609.000
1464813912	677.370
1464813986	594.850
1464814058	588.910
1464814132	605.260
1464814206	587.650
1464814282	617.730
1464814356	633.960
1464814429	584.780
1464814502	603.450
1464814576	599.310
1464814649	586.310
1464814724	582.640
1464814797	590.970
1464814870	588.930
1464814943	584.010
1464815017	631.030
1464815092	619.680
1464815165	588.870
1464815239	584.690
1464815312	596.870
1464815387	587.220
1464815462	591.160
1464815536	593.150
1464815610	587.240
1464815685	593.220
1464815760	586.380
1464815834	583.420
1464815909	588.100
1464815984	597.470
1464816058	592.630
1464816131	588.290
1464816205	584.210
1464816278	600.230
1464816352	609.180
1464816425	591.240
1464816498	601.190
1464816572	587.480
1464816646	591.060
1464816720	585.380
1464816795	587.770
1464816869	640.620
1464816943	592.430
1464817016	595.810
1464817091	584.520
1464817164	601.050
1464817238	592.800
1464817312	591.960
1464817386	587.680
1464817459	595.610
1464817534	585.510
1464817608	592.780
1464817683	591.100
1464817757	587.670
1464817832	586.280
1464817906	586.850
1464817981	584.190
1464818054	584.000
1464818128	587.870
1464818202	590.270
1464818277	600.040
1464818352	583.320
1464818425	592.710
1464818498	589.910
1464818572	585.390
1464818645	584.500
1464818719	591.200
1464818793	583.140
1464818867	590.500
1464818941	582.730
1464819015	604.320
1464819089	584.180
1464819162	586.690
1464819235	590.280
1464819309	590.250
1464819382	591.350
1464819456	583.310
1464819530	584.100
1464819605	593.130
1464819678	589.640
1464819752	588.330
1464819827	595.740
1464819899	594.780
1464819973	586.720
1464820046	591.440
1464820121	583.290
1464820196	584.990
1464820269	583.790
1464820343	588.590
1464820417	584.950
1464820491	588.740
1464820565	583.210
1464820639	590.480
1464820713	583.230
1464820787	585.770
1464820861	586.830
1464820935	582.810
1464821009	596.580
1464821082	583.200
1464821157	589.410
1464821232	584.420
1464821306	587.440
1464821380	585.730
1464821454	583.170
1464821529	587.650
1464821603	583.690
1464821677	596.030
1464821750	588.390
1464821823	583.240
1464821897	586.470
1464821970	587.430
1464822044	587.980
1464822118	588.200
1464822192	592.940
1464822265	589.540
1464822340	588.530
1464822414	592.360
1464822487	591.280
1464822560	597.400
1464822635	590.580
1464822710	583.650
1464822784	588.120
1464822859	584.730
1464822935	587.250
1464823009	587.500
1464823082	631.490
1464823156	643.340
1464823230	586.840
1464823304	589.810
1464823379	586.510
1464823453	588.340
1464823527	589.090
1464823601	586.880
1464823675	602.490
1464823749	582.350
1464823824	585.700
