timestamp[s]	latency_value[ms]
1464774793	795.100
1464774870	822.280
1464774945	782.710
1464775020	796.170
1464775095	786.480
1464775169	798.170
1464775244	794.360
1464775318	802.380
1464775392	790.020
1464775466	783.940
1464775540	812.590
1464775615	792.720
1464775691	787.510
1464775765	801.840
1464775840	807.430
1464775916	818.430
1464775990	787.870
1464776064	799.100
1464776139	782.630
1464776213	801.820
1464776289	783.410
1464776364	796.590
1464776438	788.770
1464776513	791.520
1464776587	796.430
1464776662	807.250
1464776736	790.500
1464776810	830.840
1464776886	797.970
1464776962	779.130
1464777036	796.050
1464777112	777.540
1464777186	784.640
1464777260	791.580
1464777334	795.610
1464777408	791.410
1464777482	804.950
1464777556	792.880
1464777632	790.350
1464777706	788.260
1464777782	793.150
1464777856	828.260
1464777931	774.550
1464778004	778.330
1464778079	793.310
1464778153	790.320
1464778229	794.050
1464778303	797.360
1464778379	798.600
1464778453	806.480
1464778529	793.630
1464778603	780.330
1464778677	791.560
1464778751	793.880
1464778825	797.810
1464778899	794.630
1464778974	795.730
1464779050	800.690
1464779124	810.570
1464779199	798.170
1464779273	790.780
1464779349	774.850
1464779423	784.240
1464779498	783.430
1464779574	798.750
1464779648	786.690
1464779724	781.960
1464779798	796.550
1464779872	796.750
1464779947	790.070
1464780021	802.870
1464780095	780.540
1464780169	780.790
1464780243	809.310
1464780318	825.920
1464780393	798.890
1464780468	802.120
1464780542	789.410
1464780616	793.440
1464780691	775.810
1464780766	832.890
1464780841	787.490
1464780915	808.190
1464780990	794.140
1464781065	791.980
1464781139	788.120
1464781213	791.770
1464781287	781.170
1464781362	799.990
1464781436	782.540
1464781511	789.310
1464781585	811.900
1464781660	798.950
1464781735	962.770
1464781810	804.550
1464781885	798.140
1464781960	799.670
1464782034	788.200
1464782109	791.440
1464782185	781.730
1464782260	788.300
1464782336	782.720
1464782410	813.160
1464782484	791.240
1464782558	802.910
1464782632	779.210
1464782706	792.180
1464782781	809.340
1464782856	807.400
1464782931	811.270
1464783004	789.300
1464783078	784.990
1464783153	790.780
1464783227	784.790
1464783303	800.530
1464783377	786.410
1464783451	794.660
1464783526	801.510
1464783600	787.530
1464783675	790.890
1464783749	792.930
1464783823	798.660
1464783899	808.260
1464783973	802.170
1464784048	795.310
1464784122	789.080
1464784196	781.740
1464784271	786.730
1464784346	801.290
1464784420	806.160
1464784494	796.340
1464784569	794.400
1464784643	802.230
1464784718	851.590
1464784792	786.520
1464784866	787.730
1464784940	793.770
1464785014	788.320
1464785088	844.740
1464785161	787.260
1464785236	802.610
1464785311	803.890
1464785385	791.260
1464785461	780.750
1464785535	795.180
1464785610	793.750
1464785684	794.860
1464785759	801.050
1464785833	781.290
1464785907	792.540
1464785982	788.760
1464786055	786.310
1464786129	789.540
1464786204	790.020
1464786278	794.210
1464786352	776.130
1464786427	776.210
1464786501	878.980
1464786575	787.950
1464786650	803.140
1464786724	778.420
1464786798	800.420
1464786872	814.740
1464786946	785.540
1464787021	792.610
1464787096	804.480
1464787170	807.290
1464787244	783.170
1464787319	789.700
1464787394	784.850
1464787469	807.840
1464787544	804.420
1464787618	798.380
1464787693	791.160
1464787768	821.660
1464787844	809.150
1464787918	805.340
1464787993	789.020
1464788067	792.700
1464788141	799.560
1464788216	856.800
1464788291	830.870
1464788366	788.420
1464788441	805.320
1464788516	791.880
1464788591	780.530
1464788666	794.890
1464788740	1100.710
1464788814	786.660
1464788888	815.960
1464788962	799.660
1464789037	803.870
1464789112	789.730
1464789186	800.520
1464789260	797.870
1464789335	791.700
1464789410	798.470
1464789485	806.960
1464789559	780.600
1464789633	800.380
1464789708	792.640
1464789782	789.560
1464789856	786.470
1464789930	905.240
1464790006	888.170
1464790082	778.400
1464790156	838.250
1464790230	806.720
1464790306	859.660
1464790380	786.750
1464790454	801.730
1464790529	781.590
1464790603	791.630
1464790678	801.940
1464790752	863.100
1464790827	788.750
1464790901	787.570
1464790975	779.710
1464791051	790.070
1464791126	805.090
1464791202	792.160
1464791276	810.280
1464791351	788.940
1464791427	800.200
1464791501	882.820
1464791575	834.940
1464791649	836.480
1464791723	802.020
1464791798	854.060
1464791873	812.270
1464791947	776.730
1464792023	796.030
1464792098	822.180
1464792172	800.560
1464792247	775.850
1464792321	854.780
1464792396	796.040
1464792471	782.730
1464792545	805.470
1464792619	791.990
1464792694	793.380
1464792770	785.720
1464792844	802.790
1464792919	837.010
1464792994	797.000
1464793070	816.230
1464793145	774.420
1464793220	862.380
1464793295	821.250
1464793369	802.140
1464793443	811.380
1464793517	799.390
1464793597	795.810
1464793671	778.150
1464793746	809.070
1464793821	796.280
1464793896	870.670
1464793970	816.870
1464794044	837.630
1464794119	800.230
1464794193	853.480
1464794268	850.270
1464794342	889.460
1464794416	832.370
1464794492	807.400
1464794566	788.100
1464794641	799.350
1464794716	813.700
1464794790	804.780
1464794864	819.030
1464794939	856.120
1464795013	777.680
1464795088	836.770
1464795162	780.410
1464795238	797.410
1464795313	892.860
1464795387	809.220
1464795463	809.140
1464795537	917.380
1464795613	880.480
1464795688	815.720
1464795763	893.080
1464795838	873.250
1464795913	986.720
1464795989	901.440
1464796064	784.820
1464796139	805.400
1464796214	809.680
1464796289	796.380
1464796364	810.320
1464796439	776.870
1464796513	795.730
1464796588	800.130
1464796661	850.570
1464796736	808.200
1464796811	847.630
1464796885	804.150
1464796959	820.990
1464797034	867.600
1464797108	806.870
1464797182	783.280
1464797257	782.420
1464797332	820.550
1464797406	868.250
1464797480	800.630
1464797553	775.580
1464797627	901.940
1464797701	870.840
1464797776	879.960
1464797852	846.160
1464797927	815.430
1464798001	829.140
1464798076	956.100
1464798151	980.530
1464798225	852.790
1464798300	815.210
1464798376	798.090
1464798449	801.580
1464798523	813.410
1464798598	800.150
1464798673	816.310
1464798747	800.930
1464798822	794.930
1464798897	796.530
1464798973	784.590
1464799047	801.070
1464799121	791.040
1464799196	800.450
1464799270	852.200
1464799345	796.590
1464799420	812.500
1464799495	777.190
1464799570	784.330
1464799644	809.500
1464799720	810.830
1464799794	785.300
1464799869	827.780
1464799944	847.200
1464800019	851.380
1464800093	791.450
1464800167	804.370
1464800242	772.070
1464800316	784.090
1464800392	806.560
1464800466	797.870
1464800540	837.550
1464800615	788.160
1464800689	800.150
1464800764	800.650
1464800839	779.060
1464800913	798.100
1464800987	786.020
1464801061	786.220
1464801135	804.790
1464801210	786.860
1464801284	876.170
1464801359	798.550
1464801434	791.730
1464801509	796.040
1464801585	787.930
1464801660	789.740
1464801735	822.700
1464801809	804.110
1464801883	793.280
1464801957	881.070
1464802033	857.130
1464802108	812.820
1464802182	790.460
1464802256	795.630
1464802331	861.380
1464802405	800.520
1464802480	809.850
1464802556	795.520
1464802631	801.820
1464802706	787.970
1464802780	778.060
1464802855	775.090
1464802930	806.320
1464803005	779.120
1464803080	796.270
1464803156	809.840
1464803230	804.880
1464803305	802.360
1464803380	789.450
1464803453	788.790
1464803527	788.410
1464803603	875.530
1464803678	1129.920
1464803754	794.770
1464803829	818.160
1464803904	786.020
1464803978	807.890
1464804052	774.900
1464804127	799.920
1464804201	779.730
1464804275	784.350
1464804349	805.830
1464804424	810.300
1464804497	797.020
1464804574	789.630
1464804648	903.570
1464804723	984.680
1464804800	796.390
1464804875	817.370
1464804951	790.350
1464805028	801.130
1464805103	805.010
1464805178	787.050
1464805251	794.530
1464805325	784.770
1464805400	784.100
1464805476	778.190
1464805551	778.740
1464805625	801.140
1464805700	790.020
1464805774	792.370
1464805849	800.730
1464805922	789.870
1464805997	810.790
1464806072	791.880
1464806147	812.050
1464806222	802.080
1464806297	805.980
1464806371	772.710
1464806444	872.120
1464806519	791.710
1464806594	788.090
1464806669	779.250
1464806744	784.300
1464806819	794.550
1464806894	805.760
1464806969	803.330
1464807043	792.080
1464807119	816.710
1464807193	789.600
1464807269	780.970
1464807343	800.250
1464807417	790.340
1464807491	817.950
1464807566	793.190
1464807641	787.260
1464807714	792.640
1464807790	796.810
1464807866	787.420
1464807940	870.940
1464808014	782.950
1464808088	786.050
1464808163	788.850
1464808236	794.410
1464808312	783.120
1464808386	782.370
1464808462	788.620
1464808537	810.140
1464808612	779.120
1464808688	788.530
1464808763	785.300
1464808838	790.610
1464808916	785.630
1464808990	791.720
1464809065	803.970
1464809139	789.030
1464809214	791.960
1464809288	773.670
1464809363	791.940
1464809436	782.380
1464809510	805.280
1464809585	796.910
1464809660	845.920
1464809735	784.750
1464809810	798.540
1464809884	799.580
1464809958	786.470
1464810033	789.110
1464810107	776.000
1464810181	785.330
1464810256	803.900
1464810330	804.160
1464810404	786.600
1464810478	912.440
1464810553	791.750
1464810627	795.400
1464810702	780.180
1464810776	820.490
1464810850	787.120
1464810925	780.110
1464810999	879.040
1464811074	790.700
1464811148	819.020
1464811222	788.190
1464811297	811.060
1464811372	787.960
1464811445	793.600
1464811520	785.810
1464811594	788.480
1464811669	795.090
1464811745	812.870
1464811819	798.380
1464811893	792.630
1464811967	943.010
1464812041	780.090
1464812116	792.670
1464812191	790.870
1464812265	794.020
1464812339	789.560
1464812413	790.630
1464812488	790.740
1464812562	804.420
1464812639	796.430
1464812713	792.200
1464812787	893.070
1464812862	779.910
1464812936	785.260
1464813010	775.130
1464813084	872.930
1464813159	780.840
1464813233	799.370
1464813308	822.440
1464813383	794.850
1464813457	787.580
1464813532	789.720
1464813606	803.300
1464813681	786.750
1464813756	788.370
1464813831	794.100
1464813906	795.600
1464813981	796.220
1464814055	784.670
1464814129	791.850
1464814204	843.200
1464814278	796.840
1464814354	780.140
1464814428	778.140
1464814502	784.890
1464814576	791.460
1464814652	782.260
1464814727	801.090
1464814800	793.450
1464814875	793.000
1464814949	786.530
1464815024	792.210
1464815099	773.200
1464815173	791.480
1464815249	784.210
1464815324	798.250
1464815398	779.480
1464815473	778.500
1464815550	790.730
1464815624	797.360
1464815698	803.790
1464815772	803.570
1464815847	788.740
1464815922	794.940
1464815995	803.620
1464816070	793.390
1464816144	793.650
1464816219	800.670
1464816293	861.540
1464816367	788.570
1464816442	885.760
1464816517	802.250
1464816591	806.730
1464816665	777.210
1464816740	780.510
1464816814	782.900
1464816890	801.670
