timestamp[s]	latency_value[ms]
1464774796	100.170
1464774869	145.230
1464774941	79.890
1464775014	98.060
1464775086	118.560
1464775159	82.170
1464775231	75.250
1464775303	72.630
1464775375	75.170
1464775447	74.120
1464775519	78.670
1464775591	75.450
1464775663	73.890
1464775735	74.970
1464775806	73.300
1464775877	77.240
1464775950	78.640
1464776024	73.390
1464776096	72.310
1464776167	74.630
1464776239	76.690
1464776310	76.370
1464776381	76.370
1464776453	75.130
1464776524	75.000
1464776596	75.690
1464776668	80.810
1464776740	80.650
1464776811	75.950
1464776883	103.720
1464776954	74.030
1464777026	72.870
1464777098	73.910
1464777169	81.240
1464777241	74.680
1464777313	73.470
1464777385	74.730
1464777457	73.590
1464777528	134.740
1464777601	75.880
1464777673	74.030
1464777744	75.720
1464777817	82.170
1464777888	75.670
1464777960	107.660
1464778032	74.360
1464778103	76.330
1464778175	75.220
1464778246	73.860
1464778317	73.390
1464778388	73.140
1464778459	72.340
1464778531	76.700
1464778602	73.760
1464778673	79.250
1464778744	76.710
1464778815	80.580
1464778886	73.200
1464778958	75.300
1464779029	88.110
1464779100	73.520
1464779172	75.140
1464779243	73.600
1464779315	72.870
1464779386	76.460
1464779457	76.020
1464779529	75.560
1464779600	75.400
1464779672	76.260
1464779743	77.480
1464779814	73.980
1464779886	74.360
1464779968	74.480
1464780040	276.210
1464780112	99.540
1464780184	80.560
1464780255	77.480
1464780326	74.430
1464780397	75.340
1464780468	75.460
1464780539	80.810
1464780611	75.910
1464780683	77.460
1464780754	77.140
1464780824	76.640
1464780896	80.300
1464780967	72.500
1464781038	77.480
1464781110	74.570
1464781181	80.270
1464781251	73.420
1464781324	80.220
1464781395	78.250
1464781467	82.720
1464781539	73.900
1464781610	82.330
1464781681	77.830
1464781752	72.820
1464781825	77.190
1464781897	76.940
1464781968	75.480
1464782040	81.020
1464782111	75.710
1464782184	78.870
1464782256	78.020
1464782328	78.600
1464782399	86.180
1464782471	72.970
1464782543	74.980
1464782614	73.440
1464782685	74.220
1464782755	73.260
1464782826	78.780
1464782897	74.890
1464782968	75.960
1464783039	75.310
1464783111	76.880
1464783182	83.400
1464783253	75.790
1464783324	74.310
1464783396	73.730
1464783467	76.930
1464783538	74.410
1464783609	74.130
1464783681	73.860
1464783752	79.150
1464783823	73.310
1464783894	72.910
1464783965	94.960
1464784036	79.960
1464784107	102.980
1464784179	74.180
1464784251	73.750
1464784323	75.180
1464784395	74.170
1464784466	73.290
1464784537	74.920
1464784608	135.720
1464784679	79.670
1464784751	102.080
1464784823	78.690
1464784895	74.660
1464784966	74.600
1464785038	76.860
1464785109	74.310
1464785180	73.600
1464785251	75.410
1464785322	75.060
1464785394	84.230
1464785466	74.130
1464785538	73.370
1464785609	116.320
1464785681	202.660
1464785752	73.630
1464785823	75.410
1464785895	72.670
1464785966	76.290
1464786037	74.390
1464786109	75.700
1464786180	75.050
1464786253	73.100
1464786325	74.580
1464786397	73.510
1464786468	72.960
1464786539	75.630
1464786612	73.040
1464786684	75.700
1464786756	72.730
1464786829	77.360
1464786900	74.300
1464786971	75.100
1464787043	73.210
1464787114	73.260
1464787187	74.500
1464787259	76.110
1464787330	80.920
1464787403	81.300
1464787474	81.720
1464787545	77.090
1464787616	74.870
1464787687	74.440
1464787759	78.800
1464787831	78.620
1464787904	73.260
1464787974	75.610
1464788046	74.020
1464788117	73.400
1464788188	75.360
1464788260	75.520
1464788332	94.570
1464788404	83.590
1464788476	74.960
1464788549	73.380
1464788621	77.720
1464788692	83.480
1464788765	75.500
1464788836	76.600
1464788908	73.200
1464788979	75.080
1464789050	79.490
