timestamp[s]	latency_value[ms]
1464774791	515.580
1464774864	513.150
1464774937	546.280
1464775010	518.270
1464775082	521.390
1464775155	521.870
1464775228	518.440
1464775300	520.110
1464775374	520.920
1464775448	516.210
1464775520	519.560
1464775593	520.190
1464775665	531.530
1464775739	515.550
1464775810	518.580
1464775882	520.400
1464775955	522.670
1464776027	520.370
1464776099	523.600
1464776173	517.620
1464776245	515.820
1464776317	516.250
1464776388	517.240
1464776460	516.050
1464776532	519.510
1464776605	518.180
1464776677	533.550
1464776749	514.110
1464776821	515.540
1464776893	515.990
1464776965	518.820
1464777036	516.430
1464777109	531.620
1464777180	516.620
1464777253	525.380
1464777325	520.710
1464777397	522.080
1464777469	527.500
1464777540	517.570
1464777613	518.710
1464777686	517.460
1464777759	526.480
1464777832	517.690
1464777903	516.910
1464777975	516.350
1464778046	523.840
1464778118	517.570
1464778191	520.950
1464778262	527.970
1464778335	515.770
1464778408	525.190
1464778481	515.960
1464778554	517.700
1464778627	515.530
1464778698	515.890
1464778770	517.540
1464778843	513.070
1464778915	515.360
1464778987	517.460
1464779059	520.900
1464779131	522.420
1464779203	519.670
1464779276	516.390
1464779348	516.620
1464779421	518.300
1464779493	523.860
1464779567	527.620
1464779638	518.750
1464779713	520.370
1464779785	517.270
1464779857	518.130
1464779929	520.720
1464780001	515.500
1464780075	520.690
1464780146	515.160
1464780217	515.830
1464780289	521.080
1464780361	517.800
1464780432	515.430
1464780504	515.050
1464780576	518.160
1464780648	514.730
1464780720	520.860
1464780791	517.500
1464780863	518.490
1464780934	518.630
1464781006	519.450
1464781079	514.180
1464781150	515.790
1464781223	625.170
1464781295	517.090
1464781366	520.130
1464781439	517.050
1464781511	534.490
1464781583	516.700
1464781655	515.220
1464781727	519.120
1464781798	518.570
1464781869	516.210
1464781940	514.680
1464782012	528.710
1464782083	519.320
1464782155	518.710
1464782227	520.750
1464782298	516.490
1464782370	516.540
1464782443	518.120
1464782515	514.780
1464782587	516.930
1464782658	514.340
1464782729	523.790
1464782801	515.820
1464782874	514.440
1464782945	515.260
1464783018	526.710
1464783089	514.460
1464783161	520.460
1464783232	517.790
1464783305	525.760
1464783379	522.400
1464783450	522.760
1464783523	521.320
1464783594	523.580
1464783666	524.690
1464783737	524.610
1464783808	526.980
1464783880	521.060
1464783952	525.520
1464784023	522.990
1464784095	525.050
1464784166	529.270
1464784237	521.930
1464784309	526.800
1464784380	524.660
1464784451	522.280
1464784524	526.480
1464784596	523.410
1464784667	521.740
1464784738	535.730
1464784810	559.600
1464784882	523.940
1464784954	521.500
1464785025	516.650
1464785096	515.280
1464785168	519.490
1464785239	518.110
1464785311	515.970
1464785382	561.330
1464785454	517.190
1464785526	517.280
1464785598	517.280
1464785669	519.690
1464785740	518.820
1464785812	516.530
1464785884	513.900
1464785955	521.520
1464786026	516.410
1464786098	513.910
1464786171	519.270
1464786243	517.260
1464786315	515.780
1464786388	515.380
1464786459	529.400
1464786531	560.710
1464786605	520.270
1464786677	515.230
1464786749	516.740
1464786821	517.230
1464786893	519.340
1464786964	518.140
1464787036	537.400
1464787108	516.230
1464787180	514.580
1464787253	517.050
1464787325	519.020
1464787399	524.640
1464787469	516.960
1464787541	516.070
1464787613	515.580
1464787686	520.540
1464787759	516.070
1464787832	516.360
1464787904	516.390
1464787976	546.440
1464788047	519.250
1464788119	516.230
1464788191	517.770
1464788263	519.960
1464788334	520.470
1464788408	518.430
1464788480	521.220
1464788552	518.550
1464788624	524.300
1464788696	518.290
1464788769	598.040
1464788841	519.190
1464788915	516.730
1464788988	521.850
1464789061	515.610
1464789133	521.190
1464789205	516.330
1464789277	514.890
1464789350	517.220
1464789423	520.380
1464789495	517.390
1464789567	523.120
1464789638	521.580
1464789710	530.710
1464789782	515.230
1464789853	515.230
1464789925	517.070
1464789997	567.590
1464790069	516.120
1464790142	515.520
1464790214	514.790
1464790285	615.400
1464790357	518.890
1464790429	574.990
1464790501	521.380
1464790573	547.440
1464790645	515.310
1464790717	517.210
1464790789	518.890
1464790860	516.060
1464790932	513.420
