timestamp[s]	latency_value[ms]
1464774789	181.460
1464774860	181.490
1464774930	181.080
1464775001	181.310
1464775071	181.270
1464775141	181.370
1464775212	181.470
1464775282	181.460
1464775352	181.480
1464775423	181.490
1464775493	181.330
1464775563	181.290
1464775634	182.240
1464775704	182.050
1464775774	181.390
1464775848	182.480
1464775937	181.330
1464776007	181.480
1464776077	182.330
1464776147	181.230
1464776218	181.540
1464776288	181.840
1464776359	181.280
1464776429	181.220
1464776499	181.020
1464776570	181.100
1464776640	182.060
1464776710	182.840
1464776780	181.250
1464776851	181.930
1464776921	181.480
1464776991	181.910
1464777062	182.210
1464777132	181.590
1464777202	182.630
1464777272	181.270
1464777343	184.150
1464777413	181.440
1464777483	181.460
1464777553	181.230
1464777624	212.540
1464777694	181.230
1464777764	181.270
1464777834	181.330
1464777905	181.620
1464777976	182.170
1464778046	181.590
1464778116	181.370
1464778186	181.790
1464778257	181.350
1464778327	182.200
1464778397	182.200
1464778468	182.240
1464778538	182.080
1464778608	181.140
1464778678	181.330
1464778749	181.480
1464778819	182.460
1464778889	181.380
1464778960	181.410
1464779030	182.200
1464779100	186.090
1464779171	181.220
1464779241	181.740
1464779311	181.310
1464779381	181.350
1464779452	182.040
1464779522	181.300
1464779592	181.870
1464779662	181.460
1464779733	181.380
1464779808	182.140
1464779878	181.290
1464779948	181.410
1464780018	182.000
1464780089	182.010
1464780159	182.010
1464780229	181.210
1464780300	182.460
1464780370	181.360
1464780440	181.500
1464780511	181.400
1464780581	181.380
1464780651	182.220
1464780721	181.160
1464780792	181.480
1464780862	182.240
1464780932	181.200
1464781002	181.270
1464781073	182.120
1464781143	181.570
1464781213	182.030
1464781283	181.310
1464781354	181.520
1464781424	181.340
1464781494	182.500
1464781565	181.190
1464781635	182.050
1464781705	181.540
1464781776	181.300
1464781846	182.770
1464781916	185.030
1464781986	181.330
1464782057	181.390
1464782127	182.450
1464782197	181.470
1464782268	181.360
1464782338	181.910
1464782408	181.660
1464782478	181.310
1464782549	181.520
1464782619	182.230
1464782689	181.360
1464782759	181.390
1464782830	181.580
1464782901	181.400
1464782972	182.430
1464783042	182.000
1464783112	182.130
1464783182	181.260
1464783253	181.490
1464783323	181.780
1464783393	181.380
1464783463	181.350
1464783534	181.290
1464783604	181.940
1464783674	181.260
1464783745	181.740
1464783815	181.220
1464783885	182.030
1464783955	184.550
1464784026	181.190
1464784096	182.160
1464784166	182.100
1464784237	181.280
1464784307	181.490
1464784377	181.430
1464784448	182.320
1464784518	182.010
1464784589	181.270
1464784659	182.060
1464784729	181.400
1464784799	185.090
1464784870	181.530
1464784940	181.770
1464785010	181.440
1464785080	181.190
1464785151	186.660
1464785221	181.430
1464785291	182.100
1464785362	181.450
1464785432	181.740
1464785502	181.190
1464785573	181.470
1464785643	181.960
1464785713	181.260
1464785784	181.700
1464785854	181.450
1464785924	182.310
1464785994	181.220
1464786065	181.160
1464786135	182.200
1464786205	181.320
1464786276	181.330
1464786346	181.440
1464786416	182.580
1464786486	181.200
1464786557	181.270
1464786627	181.210
1464786697	181.320
1464786768	181.300
1464786838	181.650
1464786908	181.400
1464786979	181.660
1464787049	182.030
1464787119	181.280
1464787189	181.450
1464787260	181.240
1464787330	183.640
1464787400	181.700
1464787471	181.220
1464787541	181.330
1464787611	181.900
1464787682	181.360
1464787752	181.110
1464787822	181.550
1464787892	181.040
1464787963	182.100
1464788033	181.910
1464788103	181.370
1464788174	181.210
1464788244	181.430
1464788314	181.200
1464788385	182.190
1464788455	181.380
1464788525	182.280
1464788595	181.390
1464788666	181.390
1464788736	182.680
1464788806	181.260
1464788876	181.210
1464788947	181.370
1464789017	181.470
1464789087	181.430
1464789158	181.230
1464789228	181.970
1464789298	181.570
1464789369	181.890
1464789439	181.680
1464789509	181.420
1464789580	181.280
1464789650	182.500
1464789720	181.140
1464789791	181.160
1464789861	181.980
1464789931	181.100
1464790002	181.410
1464790072	181.300
1464790142	181.380
1464790213	181.990
1464790291	181.530
1464790361	181.430
1464790431	181.500
1464790502	182.660
1464790572	181.110
1464790642	182.100
1464790714	181.210
1464790785	181.260
1464790855	181.570
1464790925	181.190
1464790996	182.170
1464791066	182.280
1464791136	182.220
1464791207	182.040
1464791277	181.320
1464791347	181.480
1464791417	181.270
1464791488	181.310
1464791558	181.540
1464791628	181.170
1464791698	181.200
1464791769	181.310
1464791839	181.420
1464791909	187.780
1464791980	181.880
1464792050	181.160
1464792120	182.060
1464792190	181.390
1464792261	181.490
1464792331	181.460
1464792403	181.330
1464792473	181.220
1464792544	183.140
1464792614	181.250
1464792684	181.350
1464792754	181.420
1464792825	181.900
1464792895	181.400
1464792965	181.280
1464793035	181.760
1464793106	181.400
1464793176	181.190
1464793246	181.290
1464793317	181.450
1464793387	181.530
1464793457	181.340
1464793528	181.570
1464793603	181.570
1464793673	182.270
1464793744	181.500
1464793814	182.080
1464793884	182.550
1464793954	182.110
1464794025	181.640
1464794095	182.430
1464794166	181.950
1464794236	182.120
1464794306	182.590
1464794376	181.320
