timestamp[s]	latency_value[ms]
1464774790	553.960
1464774862	562.200
1464774934	550.550
1464775006	554.040
1464775078	556.830
1464775150	546.690
1464775222	544.750
1464775294	556.350
1464775367	543.650
1464775439	543.600
1464775511	543.270
1464775584	551.770
1464775667	542.560
1464775739	558.590
1464775811	554.980
1464775884	544.440
1464775955	552.310
1464776027	569.110
1464776099	563.970
1464776171	537.450
1464776243	568.220
1464776315	548.620
1464776387	550.000
1464776459	543.070
1464776532	548.280
1464776604	543.640
1464776675	558.730
1464776747	563.710
1464776819	546.890
1464776891	549.870
1464776963	541.280
1464777035	546.560
1464777107	542.870
1464777179	561.730
1464777251	541.740
1464777323	560.350
1464777395	547.550
1464777467	537.330
1464777539	548.380
1464777610	552.990
1464777682	543.990
1464777754	537.930
1464777826	543.480
1464777898	552.510
1464777971	560.980
1464778043	545.160
1464778114	549.690
1464778187	565.050
1464778259	550.070
1464778331	543.540
1464778403	550.470
1464778474	549.360
1464778546	556.380
1464778618	541.660
1464778690	564.580
1464778762	564.590
1464778834	543.470
1464778906	550.430
1464778978	543.550
1464779050	564.560
1464779122	548.790
1464779194	542.050
1464779266	541.840
1464779338	551.120
1464779410	549.390
1464779482	553.650
1464779553	542.850
1464779625	541.520
1464779697	549.890
1464779769	550.230
1464779841	543.710
1464779913	561.300
1464779985	556.780
1464780057	569.050
1464780129	547.060
1464780201	553.520
1464780273	560.930
1464780345	554.590
1464780416	548.570
1464780488	545.470
1464780560	552.890
1464780632	558.500
1464780704	560.060
1464780776	546.110
1464780848	539.310
1464780920	548.410
1464780992	555.210
1464781064	560.380
1464781136	555.720
1464781208	557.200
1464781280	559.970
1464781352	559.720
1464781424	548.530
1464781496	545.660
1464781568	547.520
1464781640	554.170
1464781712	546.710
1464781784	554.330
1464781856	565.110
1464781928	561.150
1464782000	543.230
1464782072	553.670
1464782144	560.420
1464782215	542.580
1464782287	558.780
1464782359	552.870
1464782432	568.080
1464782504	541.780
1464782576	561.020
1464782648	549.960
1464782720	566.220
1464782792	547.230
1464782864	545.470
1464782935	569.060
1464783007	567.250
1464783079	560.130
1464783151	547.180
1464783223	571.400
1464783295	570.280
1464783367	544.780
