timestamp[s]	latency_value[ms]
1464774786	487.130
1464774857	487.370
1464774927	489.840
1464774998	489.200
1464775068	486.710
1464775139	492.690
1464775209	485.800
1464775279	491.210
1464775350	485.190
1464775420	490.500
1464775490	491.420
1464775561	491.950
1464775631	479.450
1464775702	492.010
1464775772	487.240
1464775848	484.850
1464775930	491.210
1464776000	494.920
1464776070	485.820
1464776141	490.740
1464776211	489.910
1464776282	490.100
1464776352	488.500
1464776422	486.990
1464776493	483.480
1464776563	483.250
1464776634	483.360
1464776704	491.240
1464776775	490.320
1464776845	491.090
1464776915	486.120
1464776986	489.730
1464777058	489.630
1464777128	488.760
1464777198	485.500
1464777269	485.460
1464777339	493.520
1464777409	484.870
1464777480	486.000
1464777550	488.340
1464777620	493.870
1464777691	483.230
1464777761	487.140
1464777832	487.320
1464777902	480.380
1464777973	487.370
1464778043	491.590
1464778113	490.960
1464778184	488.740
1464778255	484.320
1464778325	492.890
1464778395	487.790
1464778466	494.410
1464778536	487.120
1464778606	484.360
1464778677	483.390
1464778747	486.120
1464778817	492.800
1464778888	490.900
1464778958	485.570
1464779029	492.710
1464779099	486.420
1464779170	489.570
1464779240	488.480
1464779310	490.780
1464779381	489.270
1464779451	483.600
1464779521	489.570
1464779592	488.360
1464779662	485.880
1464779732	492.590
1464779803	493.500
1464779873	481.330
1464779943	490.130
1464780014	489.350
1464780084	489.250
1464780154	488.240
1464780225	484.170
1464780295	489.590
1464780366	492.410
1464780436	490.020
1464780506	492.010
1464780577	490.360
1464780647	490.060
1464780717	483.540
1464780788	485.410
1464780858	488.250
1464780928	486.370
1464780999	486.420
1464781069	482.970
1464781139	479.850
1464781210	481.090
1464781280	486.860
1464781350	491.980
1464781421	494.660
1464781492	486.290
1464781562	492.050
1464781632	486.820
1464781703	500.330
1464781773	491.640
1464781844	487.330
1464781914	492.650
1464781984	486.670
1464782055	482.590
1464782125	487.730
1464782196	483.090
1464782266	486.090
1464782336	486.910
1464782407	484.800
1464782477	489.770
1464782547	488.080
1464782618	482.610
1464782688	488.980
1464782758	487.400
1464782829	491.120
1464782900	483.650
1464782970	490.710
1464783040	482.470
1464783111	490.980
1464783181	494.590
1464783251	489.440
1464783322	489.310
1464783392	486.930
1464783462	483.350
1464783533	490.510
1464783603	488.630
1464783674	483.470
1464783744	489.190
1464783815	485.810
1464783885	493.110
1464783955	489.210
1464784026	490.770
1464784096	493.510
1464784167	490.450
1464784237	489.240
1464784307	484.580
1464784378	484.750
1464784448	490.250
1464784519	491.230
1464784589	485.530
1464784659	489.380
1464784730	483.050
1464784800	485.960
1464784871	490.590
1464784941	487.090
1464785012	490.910
1464785082	483.150
1464785152	486.330
1464785223	487.450
1464785293	492.200
1464785364	491.520
1464785434	489.890
1464785504	488.620
1464785575	496.230
1464785645	486.220
1464785715	490.040
1464785786	487.800
1464785856	490.430
1464785927	478.780
1464785997	487.030
1464786068	490.200
1464786138	483.200
1464786208	491.350
1464786279	491.390
1464786349	484.710
1464786420	483.060
1464786490	480.650
1464786560	489.150
1464786631	492.760
1464786701	494.820
1464786771	484.450
1464786842	485.520
1464786912	485.510
1464786982	490.740
1464787053	489.070
1464787123	485.730
1464787194	491.200
1464787264	488.640
1464787334	494.160
1464787405	491.660
1464787475	491.430
1464787546	488.670
1464787616	488.210
1464787686	479.550
1464787757	487.600
1464787827	488.810
1464787898	492.830
1464787968	494.780
1464788038	487.130
1464788109	488.710
1464788180	483.420
1464788250	488.230
1464788321	489.070
1464788391	482.600
1464788461	489.620
1464788532	491.310
1464788602	484.180
1464788673	482.640
1464788744	487.760
1464788814	483.560
1464788884	482.390
1464788955	491.380
1464789025	486.510
1464789095	489.520
1464789166	485.860
1464789236	490.910
1464789307	496.710
1464789378	490.790
1464789448	490.240
1464789519	486.380
1464789589	487.290
1464789660	487.260
1464789730	492.350
1464789800	486.650
1464789871	489.580
1464789942	485.840
1464790012	484.300
1464790082	490.410
1464790153	492.400
1464790223	489.080
1464790294	483.470
1464790364	487.710
1464790435	487.350
1464790505	493.390
1464790575	492.970
1464790647	486.390
1464790717	491.900
1464790788	488.980
1464790858	483.800
1464790928	492.440
1464790999	486.350
1464791069	490.300
1464791140	490.860
1464791210	487.170
1464791280	490.050
1464791351	488.380
1464791421	483.990
1464791491	491.710
1464791562	496.130
1464791632	488.610
1464791702	487.340
1464791773	488.320
1464791843	485.830
1464791914	492.600
1464791984	487.380
1464792054	487.830
1464792125	486.860
1464792195	487.150
1464792266	486.990
1464792336	487.910
1464792406	482.810
1464792477	490.500
1464792547	486.420
1464792618	489.880
1464792688	489.290
1464792758	473.170
1464792829	475.590
1464792899	474.250
1464792969	468.430
1464793040	471.290
1464793110	482.940
1464793180	472.930
1464793251	482.560
1464793321	475.220
1464793391	474.120
1464793462	484.300
1464793536	480.380
1464793606	470.830
1464793677	476.200
1464793747	471.600
1464793817	481.870
1464793888	479.480
1464793959	473.780
1464794029	480.660
1464794099	477.410
1464794170	476.500
1464794240	470.190
1464794311	476.700
1464794381	477.830
1464794451	473.140
1464794522	474.220
1464794592	478.540
1464794662	470.420
1464794732	471.560
1464794803	469.840
1464794873	479.170
1464794943	474.730
1464795014	473.170
1464795084	464.530
1464795154	480.320
1464795225	478.990
1464795295	468.710
1464795366	475.170
1464795436	474.800
1464795507	477.100
1464795577	481.390
1464795648	475.670
1464795718	480.380
1464795789	468.690
1464795859	474.290
1464795929	474.100
1464795999	476.010
1464796070	467.660
1464796140	474.660
1464796210	476.310
1464796281	468.190
1464796351	466.230
1464796421	480.300
1464796491	470.960
1464796562	474.190
1464796632	475.130
1464796703	497.390
1464796773	477.430
1464796843	511.350
1464796914	469.470
1464796984	474.520
1464797054	481.630
1464797125	476.800
1464797195	467.110
1464797265	467.130
1464797336	475.700
1464797406	474.090
1464797476	479.600
1464797547	473.120
1464797617	476.640
1464797687	476.700
1464797758	475.510
1464797828	467.850
1464797898	470.480
1464797969	477.760
1464798039	468.480
1464798109	480.890
1464798180	476.620
1464798250	467.800
1464798320	480.590
1464798390	474.510
1464798461	475.110
1464798531	476.000
1464798601	477.030
1464798672	482.450
1464798742	469.530
1464798812	473.950
1464798883	471.950
1464798953	473.830
1464799023	474.820
1464799094	475.300
1464799164	480.080
1464799234	469.560
1464799305	473.880
1464799376	482.660
1464799446	474.020
1464799516	476.690
1464799586	483.530
1464799657	471.660
1464799727	477.450
1464799797	470.900
1464799868	473.220
1464799938	474.090
1464800008	474.370
1464800079	474.220
1464800149	477.110
1464800220	475.650
1464800290	475.080
1464800360	476.590
1464800430	467.320
1464800501	479.750
1464800571	467.840
1464800641	483.250
1464800712	479.740
1464800782	475.060
1464800852	472.490
1464800922	475.080
1464800993	477.020
1464801063	468.760
1464801133	483.610
1464801204	468.110
1464801274	469.350
1464801344	472.770
1464801415	474.940
1464801485	476.890
1464801555	469.020
1464801626	480.690
1464801696	477.650
1464801766	480.320
1464801837	468.700
1464801907	475.050
1464801978	480.200
1464802048	480.950
1464802118	477.580
1464802189	474.770
1464802259	471.290
1464802329	475.140
1464802399	479.220
1464802470	471.000
1464802540	468.360
1464802610	471.480
1464802681	471.720
1464802751	482.250
1464802821	476.090
1464802892	479.900
1464802962	471.020
1464803032	476.100
