timestamp[s]	latency_value[ms]
1464774792	281.310
1464774863	269.310
1464774934	278.560
1464775004	284.740
1464775075	280.960
1464775146	271.220
1464775217	270.760
1464775287	281.370
1464775358	269.550
1464775429	268.450
1464775499	276.500
1464775570	269.140
1464775641	277.960
1464775712	273.960
1464775782	273.530
1464775853	288.550
1464775930	282.330
1464776001	285.440
1464776071	279.840
1464776142	275.850
1464776213	282.010
1464776284	287.930
1464776354	275.650
1464776425	271.700
1464776496	333.420
1464776567	273.990
1464776637	281.280
1464776708	268.060
1464776779	270.410
1464776849	279.930
1464776920	283.520
1464776991	278.690
1464777062	287.890
1464777132	284.990
1464777203	272.270
1464777274	264.280
1464777344	267.950
1464777415	272.080
1464777486	270.960
1464777556	266.130
1464777627	268.720
1464777698	285.180
1464777768	269.040
1464777839	273.410
1464777910	278.050
1464777981	271.610
1464778051	285.730
1464778122	271.410
1464778193	268.240
1464778264	288.000
1464778334	278.150
1464778405	287.770
1464778476	271.490
1464778546	285.910
1464778617	275.520
1464778688	278.780
1464778759	278.130
1464778829	276.840
1464778900	278.050
1464778971	288.520
1464779041	277.030
1464779112	278.190
1464779183	273.770
1464779253	285.110
1464779324	285.270
1464779395	278.970
1464779466	270.830
1464779536	268.000
1464779607	279.180
1464779677	279.170
1464779748	264.400
1464779819	276.340
1464779889	271.410
1464779960	268.590
1464780031	281.970
1464780101	278.080
1464780172	276.440
1464780243	268.290
1464780313	285.280
1464780384	278.430
1464780455	268.890
1464780526	280.460
1464780596	285.580
1464780667	280.460
1464780738	287.590
1464780809	263.450
1464780879	279.250
1464780950	269.040
1464781021	273.460
1464781091	286.770
1464781162	285.400
1464781233	277.800
1464781303	280.750
1464781374	284.020
1464781445	282.840
1464781516	270.330
1464781588	277.350
1464781658	269.550
1464781729	286.450
1464781800	279.340
1464781871	280.570
1464781941	275.800
1464782012	280.930
1464782083	286.990
1464782154	273.920
1464782224	271.370
1464782295	271.260
1464782366	282.870
1464782436	278.300
1464782507	263.730
1464782578	278.160
1464782648	278.880
1464782719	277.210
1464782790	286.180
1464782860	277.570
1464782931	269.850
1464783002	275.380
1464783073	276.020
1464783143	264.090
1464783214	263.700
1464783285	288.620
1464783355	281.250
1464783426	273.200
1464783497	285.360
1464783567	264.250
1464783638	270.860
1464783709	271.930
1464783780	285.400
1464783850	284.260
1464783921	268.680
1464783992	285.340
1464784062	275.460
1464784133	280.750
1464784204	278.000
1464784275	278.200
1464784345	268.200
1464784416	279.000
1464784487	272.400
1464784557	278.570
1464784628	285.560
1464784699	286.190
1464784769	279.830
1464784840	276.060
1464784911	264.030
1464784982	286.190
1464785052	267.930
1464785123	281.520
1464785194	271.030
1464785264	263.700
1464785335	277.880
1464785406	272.220
1464785477	277.980
1464785548	286.160
1464785618	268.670
1464785689	285.510
1464785769	274.830
1464785840	271.180
1464785910	269.300
1464785981	281.070
1464786055	283.660
1464786125	270.910
1464786196	271.710
1464786267	281.310
1464786337	278.190
1464786408	278.720
1464786479	277.800
1464786550	270.860
1464786620	272.130
1464786691	277.550
1464786762	283.570
1464786832	269.170
1464786903	270.160
1464786974	281.560
1464787045	278.710
1464787116	283.440
1464787188	321.930
1464787259	265.200
1464787329	276.380
1464787400	271.130
1464787471	275.190
1464787542	277.240
1464787612	272.280
1464787683	275.160
1464787754	276.560
1464787825	286.380
1464787895	274.800
1464787966	286.140
1464788037	271.800
1464788108	284.640
1464788179	284.190
1464788250	288.880
1464788321	281.400
1464788392	287.960
1464788462	285.830
1464788533	279.430
1464788607	285.950
1464788677	282.210
1464788753	270.800
1464788823	280.340
1464788894	273.530
1464788965	276.020
1464789035	272.880
1464789106	286.310
1464789177	272.010
1464789247	273.290
1464789318	282.790
1464789389	281.270
1464789459	272.640
1464789530	288.810
1464789601	287.020
1464789679	273.560
1464789750	276.970
1464789820	273.600
1464789891	288.420
1464789962	280.600
1464790033	275.530
1464790104	278.240
1464790174	285.660
1464790245	281.880
1464790324	280.050
1464790394	279.140
1464790465	273.050
1464790536	289.440
1464790606	280.690
1464790677	272.010
1464790748	276.660
1464790819	272.150
1464790890	286.030
1464790960	275.760
1464791031	273.770
1464791102	283.280
1464791175	274.070
1464791245	285.950
1464791316	280.340
1464791387	285.210
1464791457	273.710
1464791528	276.200
1464791604	271.770
1464791675	277.270
1464791745	278.060
1464791816	285.730
1464791887	273.550
1464791957	271.820
1464792028	276.050
1464792099	269.230
1464792169	285.100
1464792240	264.310
1464792311	278.500
1464792386	268.560
1464792457	269.710
1464792528	272.420
1464792598	271.820
1464792669	281.310
1464792740	268.550
1464792810	275.870
1464792881	283.600
1464792952	273.480
1464793022	269.410
1464793093	271.370
1464793167	268.950
1464793238	280.950
1464793308	264.390
1464793379	280.400
1464793450	279.900
1464793520	277.180
1464793600	276.870
1464793671	276.700
1464793741	287.590
1464793812	283.110
1464793883	269.150
1464793953	274.310
1464794024	274.050
1464794095	294.090
1464794166	286.640
1464794237	278.820
1464794307	273.750
1464794378	274.470
1464794449	276.510
1464794519	277.320
1464794590	282.260
1464794661	284.080
1464794731	271.350
1464794802	293.310
1464794873	278.290
1464794944	281.320
1464795014	280.430
1464795085	281.740
1464795156	279.270
1464795226	285.380
1464795297	269.320
1464795368	280.210
1464795439	287.050
1464795516	271.670
1464795587	289.270
1464795657	286.490
1464795728	270.090
1464795799	271.640
1464795869	278.530
1464795940	275.350
1464796011	279.290
1464796081	288.720
1464796152	281.630
1464796223	271.720
1464796293	288.890
1464796364	277.150
1464796435	281.840
1464796505	277.940
1464796576	272.230
1464796647	271.800
1464796718	278.250
1464796788	271.730
1464796859	286.790
1464796930	269.020
1464797000	283.010
1464797071	281.120
1464797142	275.820
1464797212	278.640
1464797284	279.280
1464797355	278.850
1464797425	281.200
1464797496	278.650
1464797567	276.790
1464797637	285.760
1464797708	286.130
1464797779	284.880
1464797850	280.010
1464797920	289.530
1464797991	279.090
1464798062	274.020
1464798132	275.850
1464798203	278.930
1464798274	271.010
1464798345	275.090
1464798415	282.180
1464798486	279.540
1464798557	281.600
1464798627	281.730
1464798698	267.800
1464798769	287.680
1464798840	290.390
1464798911	279.440
1464798981	271.530
1464799052	280.520
1464799123	278.230
1464799193	288.780
1464799264	274.080
1464799335	283.470
1464799406	275.970
1464799476	286.440
1464799547	271.290
1464799618	287.200
1464799688	270.300
1464799759	271.200
1464799832	271.610
1464799903	276.860
1464799974	3282.010
1464800047	264.560
1464800118	278.140
1464800189	275.840
1464800260	286.070
1464800331	269.090
1464800402	285.390
1464800473	281.040
1464800543	278.430
1464800614	286.200
1464800685	280.950
1464800755	276.250
1464800826	278.640
1464800897	278.770
1464800968	271.270
1464801038	288.200
1464801109	277.050
1464801190	278.420
1464801260	276.330
1464801331	279.410
1464801402	271.280
1464801472	285.690
1464801543	271.530
1464801614	278.670
1464801684	284.980
1464801755	271.100
1464801826	286.180
1464801896	290.670
1464801967	284.850
1464802038	282.560
1464802109	282.280
1464802179	278.210
1464802250	263.670
1464802321	270.940
1464802391	280.920
1464802462	283.800
1464802533	277.980
1464802604	272.660
1464802674	288.650
1464802745	273.690
1464802816	279.080
1464802886	283.680
1464802957	271.420
1464803028	286.260
1464803098	276.360
1464803169	271.530
1464803240	279.020
1464803311	286.230
1464803382	279.480
1464803452	268.380
1464803523	278.190
1464803594	276.420
1464803665	277.990
1464803735	276.140
1464803806	281.010
1464803877	281.650
1464803947	273.280
1464804018	286.400
1464804090	283.490
1464804160	268.600
1464804231	271.330
1464804302	287.540
1464804373	300.570
1464804443	268.620
1464804514	273.220
1464804585	283.380
1464804655	289.560
1464804726	268.650
1464804797	280.890
1464804867	281.140
1464804938	274.070
1464805009	273.390
1464805079	268.300
1464805150	280.320
1464805221	278.890
1464805292	280.900
1464805362	285.970
1464805433	275.960
1464805504	280.960
1464805575	278.100
1464805646	283.000
1464805716	285.090
1464805787	278.970
1464805858	277.020
1464805928	267.730
1464805999	263.610
1464806071	274.070
1464806141	281.180
1464806212	277.040
1464806283	281.570
1464806354	263.730
1464806424	282.340
1464806495	277.760
1464806566	273.510
1464806636	271.250
1464806710	277.440
1464806780	285.810
1464806851	270.870
1464806922	263.980
1464806992	276.100
1464807063	275.630
1464807134	268.790
1464807204	278.260
1464807278	268.500
1464807349	268.530
1464807420	284.680
1464807490	286.530
1464807561	285.520
1464807632	268.820
1464807702	268.160
1464807773	263.770
1464807844	285.560
1464807915	273.630
1464807985	282.690
1464808056	284.960
1464808127	277.830
1464808197	275.120
1464808268	281.610
1464808339	276.320
1464808410	283.080
1464808481	273.550
1464808551	274.030
1464808622	280.270
1464808693	277.750
1464808763	279.030
1464808834	271.330
1464808905	273.600
1464808975	278.370
1464809046	285.480
1464809117	271.020
1464809188	285.260
1464809258	283.770
1464809329	276.590
1464809400	285.570
1464809471	276.350
1464809541	285.960
1464809612	282.840
1464809683	275.850
1464809753	270.860
1464809824	285.230
1464809895	277.460
1464809965	271.870
1464810036	286.650
1464810107	286.720
1464810186	353.590
1464810257	287.410
1464810328	279.180
1464810398	272.750
1464810469	280.210
1464810540	271.100
1464810611	269.530
1464810681	271.230
1464810752	264.300
1464810823	280.620
1464810893	278.720
1464810964	273.770
1464811035	279.160
1464811106	278.750
1464811176	274.010
1464811247	273.220
1464811318	277.800
1464811388	285.020
1464811459	276.960
1464811530	276.150
1464811600	308.180
1464811671	268.660
1464811742	285.920
1464811812	273.890
1464811885	271.760
1464811956	268.430
1464812027	271.930
1464812097	290.400
1464812168	277.170
1464812239	276.010
1464812310	271.520
1464812381	279.430
1464812456	340.980
1464812527	278.200
1464812598	280.480
1464812669	268.780
1464812740	278.880
1464812811	279.260
1464812881	281.510
1464812952	283.810
1464813028	281.650
1464813098	283.570
1464813169	285.870
1464813240	285.600
1464813311	276.690
1464813382	268.310
1464813453	271.500
1464813523	285.040
1464813594	283.380
1464813670	287.240
1464813740	288.040
1464813811	286.440
1464813882	263.390
1464813953	278.880
1464814023	278.470
1464814094	285.670
1464814165	274.800
1464814235	271.030
1464814306	279.030
1464814377	286.260
1464814448	276.060
1464814518	276.360
1464814589	278.410
1464814660	264.500
1464814730	278.410
1464814801	276.040
1464814872	271.080
1464814943	285.160
1464815014	278.290
1464815084	280.840
1464815155	279.020
1464815226	286.860
1464815296	271.080
1464815367	280.830
1464815438	288.040
1464815509	270.670
1464815580	277.960
1464815650	274.730
1464815721	283.100
1464815802	271.210
1464815873	274.110
1464815944	275.960
1464816014	269.550
1464816085	285.970
1464816156	272.900
1464816226	287.730
1464816297	281.340
1464816368	275.390
1464816439	269.060
1464816509	282.660
1464816580	277.900
1464816651	275.880
1464816722	283.580
1464816792	273.300
1464816863	281.510
1464816938	276.450
1464817008	285.890
1464817079	280.980
1464817154	278.630
1464817225	288.680
1464817309	269.510
1464817380	271.910
1464817451	279.130
1464817522	283.270
1464817597	271.610
1464817668	283.900
1464817739	276.970
1464817820	273.000
1464817891	279.060
1464817962	264.850
1464818033	278.350
1464818108	272.360
1464818179	286.470
1464818249	292.160
1464818320	273.860
1464818399	281.940
1464818470	278.170
1464818541	278.040
1464818611	289.250
1464818682	279.050
1464818753	275.630
1464818824	274.220
1464818895	271.840
1464818966	285.710
1464819036	265.160
1464819107	281.050
1464819178	272.330
1464819248	277.690
1464819319	264.690
1464819390	288.220
1464819463	268.760
1464819534	273.850
1464819605	265.810
1464819676	276.640
1464819746	282.130
1464819823	281.480
1464819894	279.880
1464819965	288.440
1464820035	269.030
1464820106	282.760
1464820177	272.970
1464820248	287.360
1464820318	288.870
1464820389	281.590
1464820460	279.290
1464820531	277.650
1464820601	279.820
1464820672	264.300
1464820743	268.100
1464820814	275.310
1464820884	285.940
1464820955	269.730
1464821026	269.400
1464821097	276.260
1464821168	279.350
1464821238	275.830
1464821309	274.770
1464821380	276.080
1464821450	268.880
1464821521	289.320
1464821592	278.780
1464821665	269.340
1464821751	280.940
1464821822	283.860
1464821904	281.320
1464821975	282.820
1464822045	273.030
1464822116	274.930
1464822187	271.430
1464822257	277.290
1464822328	272.880
1464822399	273.590
1464822469	278.600
1464822540	288.070
1464822611	286.840
1464822682	278.950
1464822752	275.360
1464822823	284.990
1464822894	272.850
1464822965	278.530
1464823036	263.710
1464823106	288.870
1464823177	264.530
1464823248	286.950
1464823318	288.020
1464823389	288.830
1464823460	274.110
1464823531	280.160
1464823601	273.900
1464823672	278.710
1464823743	274.570
1464823815	275.090
1464823886	273.950
1464823972	289.630
1464824043	278.380
1464824114	285.930
1464824185	273.320
1464824255	272.290
1464824326	285.800
1464824397	275.690
1464824468	275.900
1464824539	270.970
1464824609	286.260
1464824680	265.030
1464824751	268.760
1464824822	273.210
1464824893	277.420
1464824964	281.170
1464825036	278.470
1464825107	281.230
1464825177	275.730
1464825248	274.060
1464825319	276.680
1464825389	285.910
1464825460	280.720
1464825531	279.150
1464825602	278.880
1464825672	268.900
1464825743	283.000
1464825814	286.510
1464825885	285.220
1464825955	272.580
1464826026	272.370
1464826097	282.250
1464826168	278.010
1464826239	279.490
1464826309	287.080
1464826380	287.390
1464826451	269.260
1464826521	272.080
1464826592	271.310
1464826663	290.080
1464826734	279.590
1464826805	271.480
1464826875	276.520
1464826946	271.870
1464827017	284.310
1464827088	278.210
1464827158	271.400
1464827229	279.800
1464827300	282.270
1464827371	283.710
1464827442	285.870
1464827513	274.130
1464827583	276.130
1464827654	288.300
1464827725	269.010
1464827796	263.740
1464827866	263.890
1464827937	274.420
1464828008	278.180
1464828078	287.560
1464828149	275.920
1464828220	286.390
1464828291	283.910
1464828362	280.730
1464828432	283.400
1464828503	264.570
1464828574	264.260
1464828644	271.900
1464828715	285.990
1464828786	281.520
1464828856	278.910
1464828927	270.100
1464828998	289.410
1464829069	264.160
1464829139	282.910
1464829210	269.060
1464829281	281.910
1464829352	275.680
1464829422	277.150
1464829493	273.010
1464829564	269.090
1464829634	272.380
1464829705	286.740
1464829776	282.220
1464829846	285.250
1464829917	283.350
1464829988	284.730
1464830059	3284.580
1464830132	279.170
1464830203	276.910
1464830274	275.910
1464830344	292.920
1464830415	278.570
1464830486	271.980
1464830557	271.660
1464830627	292.330
1464830698	283.170
1464830769	272.950
1464830840	274.890
1464830910	279.930
1464830981	278.200
1464831052	265.100
