timestamp[s]	latency_value[ms]
1464774788	275.500
1464774858	270.610
1464774927	275.320
1464774997	270.710
1464775066	270.360
1464775136	276.030
1464775205	271.710
1464775275	275.160
1464775345	265.910
1464775414	275.210
1464775484	269.540
1464775553	266.360
1464775622	271.390
1464775692	274.870
1464775761	267.660
1464775831	271.550
1464775928	271.080
1464775997	267.220
1464776067	272.240
1464776136	267.890
1464776206	270.790
1464776275	271.270
1464776345	276.370
1464776414	273.360
1464776484	271.520
1464776553	270.670
1464776623	275.870
1464776692	272.170
1464776762	272.010
1464776831	275.340
1464776901	271.730
1464776970	272.110
1464777040	272.210
1464777109	267.570
1464777179	266.200
1464777248	275.080
1464777318	272.860
1464777387	276.140
1464777457	270.690
1464777526	271.390
1464777596	270.240
1464777665	271.450
1464777735	270.460
1464777804	276.720
1464777874	271.860
1464777943	271.080
1464778013	276.380
1464778083	270.520
1464778152	267.420
1464778222	270.740
1464778292	270.760
1464778362	271.430
1464778431	271.570
1464778501	271.240
1464778571	267.090
1464778640	270.700
1464778709	272.010
1464778779	274.270
1464778848	267.570
1464778918	271.030
1464778987	271.430
1464779057	272.310
1464779126	271.650
1464779196	276.200
1464779265	267.960
1464779335	268.670
1464779404	271.230
1464779474	272.320
1464779544	268.090
1464779613	267.370
1464779683	266.210
1464779752	271.180
1464779822	267.880
1464779891	272.700
1464779961	267.060
1464780030	275.960
1464780100	276.270
1464780169	275.170
1464780239	267.270
1464780308	271.940
1464780378	267.530
1464780448	267.390
1464780517	271.590
1464780587	271.030
1464780656	270.650
1464780726	276.170
1464780795	275.500
1464780865	271.810
1464780934	274.580
1464781004	267.240
1464781073	267.730
1464781143	272.010
1464781212	267.430
1464781282	270.470
1464781351	270.970
1464781421	275.260
1464781491	275.360
1464781560	274.290
1464781630	271.580
1464781699	271.690
1464781769	272.420
1464781838	270.610
1464781908	267.010
1464781977	271.830
1464782047	275.900
1464782116	271.870
1464782186	276.490
1464782255	274.670
1464782325	272.230
1464782394	271.720
1464782464	270.720
1464782533	271.390
1464782602	275.310
1464782672	275.370
1464782741	274.960
1464782811	275.760
1464782880	271.930
1464782950	270.840
1464783020	272.210
1464783089	271.640
1464783159	271.920
1464783228	272.800
1464783298	276.540
1464783367	275.380
1464783437	271.070
1464783506	274.500
1464783576	271.530
1464783645	271.290
1464783715	265.830
1464783784	271.580
1464783854	267.170
1464783923	276.190
1464783993	271.210
1464784062	266.790
1464784132	271.920
1464784201	276.710
1464784271	267.540
1464784340	275.640
1464784410	270.760
1464784479	267.650
1464784549	275.490
1464784618	276.540
1464784689	267.290
1464784758	276.760
1464784828	267.190
1464784897	267.720
1464784967	267.340
1464785036	272.020
1464785106	271.790
1464785178	275.160
1464785248	270.820
1464785317	271.400
1464785387	266.850
1464785456	275.920
1464785526	270.610
1464785595	267.300
1464785665	270.590
1464785734	270.930
1464785804	271.380
1464785873	277.050
1464785943	266.070
1464786012	271.460
1464786082	271.760
1464786151	270.860
1464786221	276.030
1464786290	267.480
1464786360	276.050
1464786429	266.480
1464786499	275.030
1464786568	267.220
1464786638	271.480
1464786707	273.030
1464786777	276.080
1464786846	271.660
