id,time-taken
80,1041
188,829
295,807
306,129
392,830
448,724
676,766
882,684
909,674
981,921
1014,828
1037,859
1054,1171
1069,968
1097,937
1142,906
1183,1000
1237,953
1251,828
1255,875
1259,953
1319,875
1323,953
1409,875
1410,797
1415,894
1445,953
1469,1031
1491,859
1517,796
1528,796
1577,954
1653,875
1705,844
1803,1025
1815,802
1818,756
1829,710
1833,769
1873,864
1887,821
1899,740
2015,856
2048,1819
2118,803
2205,749
2252,689
2301,871
2463,872
2469,1602
2473,741
2526,763
2573,815
2617,701
2835,859
2854,922
2860,874
2866,921
2894,859
2951,843
3042,984
3044,1078
3091,1000
3101,984
3202,953
3218,796
3245,796
3278,1203
3481,968
3488,906
3607,984
3674,921
3707,812
3830,1015
3842,937
3907,890
3911,781
3957,890
4024,1156
4035,890
4038,1171
4110,833
4123,906
4136,1191
4166,1015
4199,906
4231,906
4241,968
4365,875
4376,937
4411,1593
4435,1015
4524,1781
4538,890
4543,921
4567,828
4680,796
4687,1343
4786,703
4859,78
4861,531
4862,781
4895,765
4956,1877
5007,862
5028,765
5103,859
5294,734
5412,751
5480,777
5555,906
5573,906
5596,812
5599,921
5622,953
5651,1188
5742,1015
5765,796
5822,843
5866,890
5874,781
5916,937
5994,765
6031,1019
6120,953
6187,796
6193,844
6202,812
6221,125
6279,828
6297,812
6299,797
6329,783
6346,765
6414,769
6422,734
6647,820
6779,713
6882,783
6926,756
7208,1218
7274,921
7324,1078
7372,2227
7501,1015
7536,921
7569,875
7579,1002
7608,984
7613,937
7653,890
7687,125
7688,843
7817,828
7827,937
7828,906
7829,843
7830,937
7855,796
7874,921
7908,812
7994,1093
8026,741
8060,851
8082,675
8146,657
8231,692
8375,292
8440,786
8542,805
8554,767
8564,754
8592,711
8641,1181
8773,750
8784,762
8794,661
8830,953
8899,1015
8950,937
8976,953
9118,1531
9164,921
9193,2268
9219,968
9224,1109
9295,1219
9352,812
9360,819
9440,1359
9483,906
9491,953
9535,859
9558,752
9575,724
9591,744
9646,707
9678,834
9709,711
9886,718
9924,731
9972,1067
9983,921
9998,1031
10044,1000
10080,937
10245,3343
10357,828
10451,2733
10501,812
10618,813
10699,894
10718,891
10797,843
10818,921
10837,796
10946,828
10959,859
10983,828
10997,781
11005,890
11013,750
11054,796
11088,843
11175,796
11241,828
11312,921
11581,843
11651,875
11762,281
12032,890
12172,812
12292,859
12389,812
12458,906
12472,124
12512,859
12669,859
12702,984
12722,859
12737,906
12787,817
12877,772
12903,701
12962,815
12972,756
13025,829
13113,676
13127,762
13170,681
13185,739
13251,857
13584,843
13801,985
13803,1788
13851,894
13874,812
13921,1625
13930,843
14058,796
14142,801
14210,883
14216,757
14220,723
14237,784
14242,797
14253,989
14331,801
14427,856
14454,782
14610,874
14614,935
14626,845
14686,963
18413,985
18425,859
18450,922
18509,968
18562,859
18566,828
18576,890
18651,859
18799,921
18803,828
18830,859
18950,859
18953,812
18972,843
18999,1046
19090,859
19136,1000
19150,828
19186,875
19197,796
19198,828
19219,781
19272,890
19339,1109
19372,843
19413,1015
19459,796
19464,843
19496,726
19506,1118
19511,766
19517,866
19521,708
19573,783
19576,702
19643,752
19825,718
19895,766
19986,901
22864,1015
22926,990
22978,906
23035,812
23103,812
23158,984
23160,921
23173,953
23175,828
23349,921
23351,921
23364,1046
23409,906
23427,812
23446,1125
23452,765
23475,1015
23987,828
24071,843
24084,734
24088,765
24238,1171
24260,906
24303,922
24367,808
24586,733
24629,741
24678,743
24692,757
24728,1234
24740,830
24747,837
24896,793
24919,801
25039,713
28743,986
28885,937
28920,875
28971,1194
29222,906
29252,875
29269,828
29275,862
29276,890
29372,865
29504,756
29526,742
32511,1093
32527,1000
32546,1156
32561,968
32600,890
32686,890
32695,812
32719,953
32737,828
32739,828
32748,828
32775,1125
32945,1312
33205,796
33212,937
33238,1093
33239,859
33274,125
33356,1055
33496,763
33522,725
33679,732
36045,906
36076,1109
36459,906
36487,859
36509,921
36534,828
36716,859
36722,906
36743,875
36762,812
36820,937
36824,859
36862,421
36904,859
36920,859
36945,953
36960,859
36978,968
37014,875
37038,922
37068,859
37096,813
37226,714
37256,820
37269,789
37423,704
37428,786
37432,723
37480,1271
37616,774
37629,853
39326,1203
39460,953
39549,890
39550,970
39592,968
39617,875
39667,984
39682,781
39879,878
39940,937
40083,970
40136,2078
40188,797
40197,922
40206,844
40207,800
40253,765
40299,718
40374,731
40392,766
40420,765
40459,709
40471,787
40488,811
40510,707
42654,1953
42662,1046
42683,843
42854,891
42861,883
42863,906
42868,890
43124,1031
43159,953
43184,890
43198,844
43242,1031
43384,955
43423,710
43486,864
43495,888
43603,891
43706,707
43774,1200
43861,824
43895,822
43918,797
43931,809
43938,804
43988,825
44143,801
46837,922
46907,1269
46954,923
46987,1065
47355,890
47370,921
47551,844
47574,890
47586,828
47652,797
47698,1531
47723,1015
47754,745
47793,789
47799,918
47988,910
47999,833
48065,772
50015,921
50037,859
50039,890
50083,844
50154,817
50159,829
50228,937
50232,1000
50235,999
50340,843
50374,781
50473,828
50484,906
50513,2319
50540,875
50577,843
50628,968
50811,929
50824,830
50862,896
50881,832
50934,813
51092,1156
51113,1140
51168,953
51173,890
51197,859
51276,953
51295,890
51313,890
51339,921
51377,843
51427,765
51457,765
51481,843
51646,828
51658,828
51660,781
51680,875
51727,718
51751,812
51824,1421
51834,1783
51862,116
51865,922
51892,763
51910,832
51960,759
51993,923
52075,769
52133,918
52136,1016
55188,812
55201,859
55209,921
55245,906
55299,2265
55321,953
55345,906
55383,891
55416,911
55435,868
55439,828
55460,923
55528,880
55532,828
55571,1239
55595,859
55601,750
55679,859
55697,859
55720,875
55799,843
55811,1031
55821,875
55826,1093
55967,718
56049,783
56075,956
56158,772
56200,916
56210,806
56245,917
56314,776
56318,761
56328,842
56348,955
56446,842
56530,1042
56559,861
56596,1002
58315,1085
58346,1140
58348,843
58361,937
58392,828
58434,843
58439,828
58464,750
58468,921
58537,878
58555,984
58559,875
58599,1109
58638,921
58648,921
58658,1140
58880,921
58935,859
58956,861
58968,894
59022,859
59057,906
59066,828
59284,848
59314,969
59397,812
59422,775
59431,918
59494,795
59610,866
59631,803
59637,760
59692,853
61817,1609
61864,890
61866,843
61937,1187
61946,890
61959,968
62015,812
62017,906
62053,796
62104,859
62107,750
62158,828
62167,828
62233,812
62296,921
62357,1000
62405,828
62491,851
62525,1109
62560,813
62691,1125
62705,925
62716,828
62765,796
62782,1234
62891,921
62940,875
62974,937
63084,953
63103,843
63170,718
63258,789
63295,859
63332,804
63375,828
63402,833
63444,1031
63453,829
63559,841
63602,815
63699,835
63795,776
66648,1000
66665,921
66739,812
66754,895
66815,894
66988,984
66996,125
67065,1109
67095,828
67108,859
67125,968
67151,843
67164,890
67210,676
67352,1062
67393,875
67404,93
67438,906
67468,786
67519,735
67530,765
67565,874
67566,782
67608,656
67765,828
67817,750
67833,921
67952,843
68101,812
68110,750
68205,952
68212,803
68291,737
68395,1185
69912,955
69915,875
69943,125
69962,906
69986,969
70041,1093
70269,796
70295,843
70335,953
70378,937
70399,828
70415,921
70458,906
70535,718
70556,765
70560,1015
70572,890
70669,796
70706,812
70796,796
70824,765
70828,750
70858,953
70866,125
70925,878
70927,47
70954,837
71109,813
71177,806
71186,987
71305,763
71324,790
71331,842
71338,806
71593,741
71605,768
71622,49
71663,729
71714,800
71924,939
72014,143
73685,843
73874,875
73896,968
73951,844
73954,971
74038,78
74193,812
74198,812
74205,781
74213,640
74251,859
74316,767
74566,1253
74879,820
74893,744
74992,689
75013,927
75030,751
75080,875
75138,746
77099,859
77146,798
77157,850
77190,1176
77196,938
77253,875
77285,1187
77349,890
77361,843
77386,937
77461,875
77463,876
77502,1000
77639,843
77691,781
77705,859
77721,875
77864,796
77934,830
78026,875
78029,812
78150,921
78158,906
78176,890
78274,937
78288,890
78310,843
78344,843
78449,890
78511,906
78518,953
78612,796
78623,765
78751,825
78768,873
78793,858
78814,875
79046,739
79078,862
79142,753
81433,969
81467,1796
81550,828
81578,796
81604,109
81612,812
81788,859
81892,838
82108,860
82114,797
82130,968
82142,796
82169,781
82176,719
82212,656
82219,875
82223,835
82270,922
82316,742
82333,783
82423,796
82438,859
82469,859
82528,746
82569,1418
82572,753
82589,880
82634,764
82716,731
82756,792
82760,924
82765,801
82803,785
84298,1349
84413,843
84417,1031
84418,843
84432,843
84596,875
84642,1062
84644,812
84697,812
84850,859
84887,656
84932,828
85216,635
87364,843
87379,1000
87424,906
87496,968
87547,890
87554,859
87555,828
87644,906
87694,821
87714,859
87716,125
87719,843
87786,937
87937,859
87938,812
87940,953
87953,890
87959,781
87967,765
88075,734
88202,781
88234,875
88270,781
88300,921
88369,750
88376,890
88385,685
88480,718
88485,767
88514,789
88525,722
88548,745
88564,778
88567,1222
88604,785
88640,888
88713,679
88760,654
88807,739
90040,843
90065,829
90124,1234
90230,875
90351,1468
90363,1625
90400,1171
90508,750
90520,765
90559,734
90594,810
90761,938
90805,808
90823,682
90856,837
90878,711
91091,729
91127,862
91149,704
91272,776
93540,812
93588,921
93640,906
93723,859
93730,906
93734,1046
93815,843
93887,921
93995,796
94033,765
94037,656
94059,828
94077,781
94155,858
94254,781
94321,905
94351,787
94369,706
94423,120
94475,672
95889,1187
96450,954
96465,843
96495,847
96613,1000
96620,984
96631,1046
96692,859
96709,922
96715,953
96741,859
96742,906
96751,843
96755,892
96776,812
96900,812
96950,1000
96964,828
97134,879
97140,697
97220,681
97254,737
97346,700
97352,643
97407,823
97476,656
97568,705
97636,728
97845,758
97903,747
97917,722
97953,666
98055,854
99145,906
99676,828
99684,859
99693,890
99696,937
99731,937
99766,1187
99769,812
99780,843
99832,812
99912,937
100006,828
100024,781
100241,765
100275,812
100293,961
100306,781
100366,687
100527,931
100547,730
100574,838
100639,988
102744,906
102783,865
102849,875
102850,844
102908,859
103034,890
103118,926
103128,781
103344,2483
103351,766
103366,875
103410,718
103433,890
103462,765
103466,781
103471,796
103475,859
103616,828
103690,812
103842,9
103844,530
103858,767
103870,853
104092,774
104146,671
104172,759
104198,746
106491,1078
106683,937
106720,843
106807,937
106812,875
106834,859
106877,765
106962,921
106966,827
106997,1374
107000,812
107036,925
107157,859
107196,859
107204,890
107256,781
107345,625
107348,1046
107447,859
107468,1046
107485,984
107615,781
107625,765
107631,750
107670,765
107679,765
107741,703
107744,796
107745,781
107777,781
107791,985
107892,767
107954,875
107987,669
107988,694
108014,826
108029,867
108046,758
108070,1715
108209,826
108221,829
108399,756
108566,877
108573,740
108602,784
108634,712
108711,842
108715,732
108743,818
108783,832
108916,791
108919,698
109001,679
109041,764
109148,702
109168,691
109191,705
109197,823
109242,663
109275,742
111168,859
111177,890
111248,1078
111290,844
111311,875
111320,1031
111369,752
111418,941
111513,749
111521,749
111533,718
111534,1718
111542,765
111553,796
111614,1046
111643,828
111660,859
111735,1046
111762,733
111818,835
111843,804
111864,769
111919,828
111920,672
111937,712
111987,893
111989,807
112069,781
112073,741
112171,736
112208,832
112232,717
114520,5166
114529,1625
114601,921
114652,890
114677,1015
114679,957
114681,859
114750,1000
114759,968
114789,718
114829,813
114858,865
114915,781
114921,890
114977,812
115026,890
115037,718
115082,765
115145,1296
115172,796
115223,937
115226,812
115240,796
115338,749
115570,860
115645,831
115648,844
115673,843
115707,782
115754,1156
115837,859
115866,812
115870,750
115887,984
115977,812
116040,859
116060,859
116081,781
116095,781
116149,781
116166,875
116237,750
116271,781
116388,907
116529,734
116553,765
116591,1533
116646,1009
116650,1037
116814,734
116879,688
116901,799
116910,829
116946,690
116952,713
117124,666
117159,753
117189,731
117221,674
117260,754
117298,764
117436,707
117468,653
119352,1000
119431,703
119433,890
119467,875
119484,828
119586,797
119615,790
119624,812
119665,843
119803,1109
119830,671
119836,765
119846,734
119862,921
119871,812
119875,750
119981,829
120003,1176
120170,732
120207,1237
120243,783
120355,1026
120364,744
120373,777
120386,1898
120393,875
120404,1064
120433,1072
120463,930
121589,968
121596,921
121627,828
121673,796
121699,953
121752,921
121818,865
121855,844
121878,1125
121943,843
121951,859
121976,953
121993,812
122083,1187
122124,874
122129,859
122158,890
122180,1156
122265,843
122358,921
122380,859
122412,875
122482,953
122486,828
122500,843
122514,923
122628,757
122649,828
122692,859
122733,781
122747,828
122764,765
122769,843
122781,843
122876,796
122902,750
122952,718
122976,750
122987,750
123078,750
123111,894
123134,796
123201,859
123235,812
123239,1028
123300,974
123309,839
123452,1358
123583,934
123587,841
123596,737
123605,683
123620,877
123741,889
123763,730
123868,749
123920,846
123934,804
123942,726
123954,760
124055,751
124106,757
124155,714
124271,693
124361,875
124477,692
124485,747
124498,678
124532,726
124547,728
124559,865
124571,742
124668,625
124777,730
124860,666
124958,748
124963,729
125822,843
125841,1234
125960,937
125962,1031
125971,812
126014,890
126018,937
126043,890
126059,921
126097,828
126191,787
126218,734
126261,812
126315,923
126316,812
126344,783
126363,782
126466,781
126579,720
126584,797
126850,760
126868,720
126889,691
126891,739
126919,913
126928,704
126933,745
126969,798
127174,805
127259,770
127269,863
128100,1562
128155,859
128168,906
128185,859
128195,890
128196,812
128225,859
128275,1632
128312,955
128320,1035
128393,906
128445,859
128451,813
128595,968
128611,843
128622,1140
128651,781
128654,891
128731,843
128772,62
128773,46
128777,640
128803,765
128809,781
128818,796
128861,1062
128867,750
128893,953
128987,765
129005,796
129072,781
129084,781
129111,843
129146,750
129183,828
129206,750
129236,750
129309,812
129324,843
129437,765
129439,890
129459,673
129461,844
129503,875
129587,781
129635,756
129733,689
129818,1056
129901,696
129932,759
129957,758
130466,921
130470,859
130483,906
130605,1968
130636,875
130670,828
130719,2154
130732,859
130745,890
130855,875
131012,2109
131099,937
131105,921
131136,937
131241,781
131348,797
131517,1015
131552,929
131564,782
131627,828
131680,781
132017,707
132027,674
132518,1046
132640,921
132684,921
132687,875
132721,921
132791,890
132794,828
132806,875
132833,828
132858,687
132899,828
132922,813
132926,796
133043,781
133063,796
133074,765
133083,721
133098,743
133118,672
133219,689
133244,783
133350,707
133357,756
133365,766
133383,704
133435,733
133445,692
133452,675
134333,843
134350,937
134437,875
134460,906
134478,1453
134491,931
134561,843
134666,828
134678,875
134759,1084
134769,688
134770,739
134807,877
134809,812
134839,718
134874,828
134886,203
134896,765
134909,843
135001,124
135007,823
135017,759
135417,754
135779,939
135815,1203
135874,906
135890,843
135988,843
135995,813
136007,828
136055,859
136060,812
136086,828
136151,1109
136283,109
136284,859
136300,890
136336,1203
136480,1468
136570,2078
136607,1240
136609,2081
136617,1171
136653,1031
