id,time-taken
148057,281
148059,31
151722,31
151723,15
152576,46
181369,87
193532,37
193535,1428
202579,31
205378,340
205388,71
205389,73
205390,75
206309,73
206314,573
206441,965
214375,312
214382,12406
220711,94
250111,93
305839,1078
305849,312
305850,359
305855,578
337775,796
372192,689
372203,47
372204,56
372205,61
377500,171
377503,765
377504,171
377505,390
377507,486
377510,171
377514,390
377520,171
380143,31
384466,159
393690,321
393693,1909
394354,527
394357,48
407739,358
407744,1246
410010,281
410018,31
414824,479
414829,1563
443716,851
467300,2977
467304,98
467306,94
467310,89
499422,156
499428,3890
500070,187
500086,10265
518046,328
518047,1625
525351,2659
525370,179
525372,180
582290,7399
582291,78
582293,46
607740,31
607744,375
615149,2656
631538,562
631551,218
631553,234
640553,479
655959,218
655967,5265
687276,140
696248,580
717772,31
717773,62
717774,78
717779,46
717785,2345
717789,62
717794,78
722716,786
722728,444
722746,329
722747,339
722748,339
723329,6828
730380,2625
730384,62
733153,1756
734747,509
734760,6569
736437,314
747304,289
747310,2839
747329,1084
761047,328
761050,78
761051,62
761052,62
761522,46
761523,1453
766222,71
766223,688
766256,83
766258,772
766265,83
766268,2167
766273,146
766281,972
771205,1830
783139,170
783184,275
783227,174
787915,193
798059,156
798061,796
803714,1046
835171,156
835172,171
859589,1468
868362,563
868373,160
868374,160
868375,160
874349,109
874352,1062
886489,790
886532,293
886533,301
886534,310
903988,230
903995,34
903996,73
903999,33
904039,1022
906055,2891
906057,31
913685,296
913686,46
913687,46
913688,46
914851,1127
918132,392
930356,166
964840,2953
968232,2609
993533,635
993556,274
993557,276
993559,570
993595,527
1014611,750
1014628,11875
1014657,187
1014659,453
1014893,1062
1031116,1796
1036689,703
1037164,49
1037165,1747
1037166,1344
1037172,39
1043414,748
1043433,241
1043434,244
1043441,237
1044093,219
1050886,10556
1050934,207
1056608,7093
1056612,140
1056615,124
1057207,45611
1057285,208
1057292,1188
1057335,207
1057361,9654
1057500,205
1057516,215
1057524,6741
1057534,6895
1057588,204
1057649,24370
1057962,208
1057974,3734
1064259,2998
1066351,46
1066354,422
1066385,359
1066387,46
1066388,46
1066389,46
1076773,433
1077144,1968
1077146,31
1077147,46
1077149,31
1078602,31
1084440,46
1084604,78
1089111,328
1089117,31
1089118,281
1100274,1854
1100280,127
1129420,712
1129437,234
1129438,234
1151823,250
1151831,2703
1156146,234
1156151,890
1164234,703
1164237,125
1164238,265
1169118,1139
1169131,982
1170778,2546
1170782,421
1180171,250
1180179,3368
1180207,218
1180214,3658
1180298,249
1183395,1875
1183396,31
1183397,31
1185005,1296
1185044,234
1185054,5484
1185371,265
1185389,5548
1185506,312
1185513,4973
1185834,5437
1209946,1781
1209952,234
1209956,187
1217018,694
1217037,222
1217038,367
1217039,215
1223700,279
1223710,5330
1225316,1767
1225323,2100
1225331,718
1225339,3421
1240220,373
1240231,36
1240233,43
1240234,80
1242631,2281
1242632,109
1242633,109
1242634,93
1252480,610
1252490,184
1252492,201
1252493,347
1253988,46
1256508,328
1256511,78
1256512,31
1256513,62
1256724,106
1256734,1303
1256767,44
1256768,268
1256947,870
1258135,31
1258136,1390
1258137,15
1258138,31
1264627,46
1264628,562
1269180,4594
1305286,312
1305287,62
1313043,1046
1320033,109
1320035,2359
1325983,144
1325996,2591
1327264,1709
1331090,921
1331092,218
1331093,218
1331095,453
1338435,302
1338442,125
1339867,70
1347751,1727
1347757,218
1347758,140
1347759,93
1347990,56
1348032,1348
1352951,78
