id,time-taken
2943,156
2944,187
2946,156
5911,78
5913,124
19062,359
24633,122
24653,225
28794,2046
29286,234
29288,593
37560,555
62755,1609
68281,293
74041,437
74445,461
77585,140
77621,359
82689,374
87809,1739
88030,375
88117,187
96703,187
108092,88
128959,62
128964,1437
134835,343
139743,406
142857,463
144935,388
148877,328
148880,140
153159,431
155700,125
155710,62
160537,62
165357,453
165522,266
171121,437
171967,375
173982,343
174936,1859
176084,1640
178349,406
178422,281
179036,124
179041,450
186524,367
187059,471
190594,1944
191541,414
191542,167
191545,161
192504,309
192508,133
195010,593
196440,312
197348,171
200523,354
200730,444
205137,227
212898,484
216879,657
218544,359
219380,359
228142,3842
229143,377
232290,140
236279,593
249631,515
253301,359
256592,1781
257371,1109
258190,363
266131,390
268654,359
269169,265
269745,1593
269916,2031
271051,343
271660,545
271762,190
273180,171
276077,383
277344,203
284046,210
290555,593
293607,437
294916,406
294951,328
306148,375
309967,218
313020,437
315998,386
319235,1696
321150,765
321199,265
323640,1644
336340,62
338998,124
338999,140
339001,145
342316,361
347500,125
351579,319
352541,419
353009,1787
353675,187
358914,198
360419,321
364818,142
366249,195
371258,506
371343,375
372631,281
378310,218
378828,296
380893,359
386530,119
386532,405
392408,142
392409,200
395216,389
396929,124
396930,468
400668,125
407728,480
413493,312
415459,2578
418601,197
430091,415
430187,491
430818,2191
444584,369
450587,273
458210,233
458315,1132
458483,348
461903,1813
473287,93
473289,140
473290,93
481164,116
481168,488
490473,1578
491436,296
491439,62
491660,437
498096,140
498583,338
505567,210
510551,500
510589,390
511016,416
511389,218
511976,440
514722,421
517318,392
520069,1531
521492,573
528269,200
528948,296
531543,424
532842,1656
534121,109
534125,343
539211,1809
539977,390
540259,263
545695,312
549110,187
568366,372
573341,406
578282,119
578285,333
580156,213
587767,1971
587818,62
589562,382
602588,119
611177,421
622974,640
629151,171
629535,2187
631424,402
647022,343
654301,1671
654329,562
656981,97
662795,531
665915,1722
689142,360
693733,34
695201,1890
698164,343
700943,593
710409,484
710793,125
712718,521
722963,312
734018,1814
757698,368
759479,230
760070,187
761933,307
761940,877
768702,407
780172,312
784380,129
784381,369
785009,609
789523,421
795932,7109
797361,123
797368,360
798458,374
799406,124
812759,1453
814215,208
814219,65
839155,250
841824,566
841934,291
841981,313
844325,202
844537,345
855925,421
860056,184
860058,451
886605,467
886625,183
917989,480
919062,2494
923735,427
933560,125
933950,484
934721,2359
934747,359
934891,141
938683,635
942948,906
943889,609
949844,413
956420,421
957526,552
962557,320
970741,407
981396,69
984071,406
995703,1859
1004787,640
1011404,1781
1020829,125
1028345,187
1040693,640
1040858,125
1040861,312
1049951,118
1050453,109
1066518,187
1077040,187
1077041,234
1077044,234
1077048,234
1077289,1703
1083383,62
1090360,43
1090362,372
1098342,2437
1112167,515
1120435,421
1126256,1390
1141672,515
1154029,140
1154031,156
1165284,366
1166576,354
1183210,1757
1185209,359
1190239,7984
1194976,78
1195840,546
1203180,62
1203185,265
1208244,2140
1210385,3276
1210875,387
1213753,579
1213768,219
1213771,406
1217909,62
1237879,1656
1241204,370
1244229,31
1247805,62
1249375,390
1250870,2749
1252603,466
1253181,109
1253274,562
1263462,841
1269072,59
1270077,171
1270093,109
1270099,93
1309496,119
1317491,380
1323101,529
1326596,46
1334642,453
1340695,124
1345355,468
1355023,343
1361022,140
1370191,406
1375071,687
1383631,437
1399636,1607
1400744,390
1405970,1707
1407795,131
1414274,374
1422151,734
1427064,125
1431175,1363
1433350,1890
1457319,676
1457537,366
1478378,218
1479144,781
1481783,421
1485829,453
1486535,218
1486536,218
1509640,1531
1511699,390
1522217,506
1522223,135
1526667,1953
1567452,120
1568682,2174
1572616,593
1575520,31
1578574,890
1578703,156
1586239,328
1586242,343
1586608,468
1586872,546
1586890,312
1587025,640
1587210,406
1591007,1718
1591893,78
1591896,140
1592845,546
1592868,343
1596538,343
1605631,3031
1609591,593
1617681,125
1625605,2375
1642581,2222
1661024,171
1661026,546
1680709,437
1685323,421
1687356,156
1692845,5442
1701595,184
1712194,62
1732353,62
1739446,2624
1742484,399
1766043,130
1770552,562
1771293,158
1771357,105
1771511,240
1775239,610
1775554,328
1775587,359
1775833,343
1776888,262
1776917,273
1789504,231
1796090,453
1796366,161
1796561,167
1796704,112
1801415,62
1801423,312
1819581,187
1823847,390
1832201,125
1846083,750
1856698,355
1861417,375
1875799,426
1876599,1703
1890272,390
1902533,205
1902538,488
1909224,406
1923274,421
1937421,515
1946917,125
1949269,312
1960392,484
1960743,1627
1967165,609
1989770,1624
1995418,437
1997833,125
2000590,546
2001935,890
2016863,406
2017078,406
2024554,44
2029389,421
2039371,374
2053765,2287
2055857,421
2062233,1757
2062314,2187
2065541,293
2066305,500
2067781,62
2082604,2262
2090108,304
2098223,359
2098631,296
2115428,1671
2123438,1737
2137472,1710
2169329,109
2169338,140
2169559,828
2169683,554
2169691,719
2187515,1531
2215031,390
2219064,437
2223083,405
2228574,531
2228575,109
2248470,316
2253289,296
2255574,406
2262062,312
2262063,187
2262093,187
2262114,2198
2262145,234
2265472,1593
2279812,421
2284532,750
2290292,2362
2290293,2316
2303553,3843
2308671,430
2313960,125
2313986,468
2318188,1268
2319766,281
2328003,3407
2329411,125
2329417,484
2337085,124
2337087,453
2359303,546
2366434,343
2372578,430
2393625,438
2400896,1766
2405894,531
2407961,519
2408232,1718
2408233,281
2410031,125
2411562,500
2434731,709
2434753,559
2434766,138
2434801,198
2447283,1609
2448244,118
2448245,296
2453285,1890
2469015,596
2476129,473
2476217,203
2476260,196
2479395,109
2494579,187
2502336,2234
2505120,437
2517140,312
2525669,125
2529987,499
2529993,312
2529994,109
2529997,109
2529999,109
2530000,109
2530001,109
2530002,2578
2530005,109
2530010,1296
2555875,296
2563459,1703
2590485,452
2600219,282
2605876,115
2605884,512
2624171,312
2644640,2201
2650790,154
2651018,273
2651137,866
2660867,125
2663203,453
2681827,125
2681830,390
2683126,3358
2702326,125
2714695,67
2714697,162
2717726,2890
2717884,136
2717915,637
2731503,421
2731552,203
2732121,125
2735257,171
2746533,1664
2746536,1746
2749799,62
2752211,203
2754625,136
2755699,765
2759270,238
2782063,843
2782419,41
2784075,1000
2785364,265
2793800,1671
2816141,1671
2830593,437
2868718,265
2882048,640
2882054,296
2885601,406
2885623,109
2888949,125
2902539,1781
2914773,515
2924955,406
2925758,219
2925761,625
2938239,62
2961557,112
2967404,412
2974557,463
2975291,378
2990866,168
2990964,439
2991330,562
2991930,124
3001635,365
3001668,219
3001693,207
3004952,234
3005832,199
3006096,243
3010407,378
3010667,195
3010678,1523
3011860,384
3012778,140
3012817,138
3022139,121
3044347,484
3044348,640
3049552,250
3055856,125
3066803,484
3072412,187
3072418,1977
3076742,471
3077220,593
3084617,218
3139865,123
3139890,483
3151029,67
3151034,114
3164433,265
3166820,1548
3184688,328
3202693,562
3208332,411
3216613,732
3220035,328
3236802,171
3236805,171
3238600,531
3252656,296
3257776,406
3258290,60
3262802,296
3282917,986
3299908,312
3299909,375
3304429,310
3316060,984
3318941,328
3321856,46
3321859,46
3323760,500
3324487,453
3374197,375
3374696,874
3406585,1859
3408366,347
3415431,265
3430111,137
3438083,243
3439425,687
3440114,62
3440116,203
3448125,478
3448160,388
3454919,1765
3455523,476
3455551,538
3459431,323
3459699,1181
3460325,263
3460677,274
3460695,424
3461006,321
3461210,171
3461481,455
3461822,593
3461879,361
3462041,204
3462657,1864
3466243,316
3466280,250
3471113,178
3472057,273
3480993,1074
3481177,204
3481219,215
3495804,390
3500972,1671
3501300,154
3501672,275
3505625,645
3505779,196
3507999,390
3512814,119
3516538,381
3516726,247
3525096,541
3541957,270
3542187,3942
3543422,593
3564975,546
3572620,182
3574256,171
3595917,343
3600522,125
3600524,468
3632632,281
3632637,187
3632644,421
3635537,351
3636311,312
3636355,187
3636371,171
3636373,187
3636387,312
3636389,171
3636422,265
3636436,187
3636461,359
3636465,187
3636483,312
3636485,187
3636528,312
3636584,625
3636592,203
3639805,500
3644822,125
3645625,375
3648763,145
3651009,125
3653952,1667
3662307,669
3669377,625
3678021,296
3686723,122
3686727,217
3692588,359
3694725,323
3698180,437
3699607,656
3706945,359
3722015,1576
3733291,390
3741627,328
3747391,390
3774958,303
3796781,469
3804014,109
3804015,281
3806306,232
3848915,390
3857257,46
3857259,140
3864555,1301
3867798,203
3868233,500
3873831,649
3878089,718
3878090,109
3878094,109
3894048,468
3898030,462
3905229,847
3910313,589
3911110,197
3914817,78
3915001,1574
3915003,630
3915010,281
3919899,215
3919907,308
3935293,405
3942574,578
3960020,1609
3960216,675
3962439,1921
3979765,187
3990631,453
3991788,375
3993773,218
3998376,703
4000917,120
4003201,520
4014264,2215
4014405,1232
4018761,170
4022279,406
4029644,190
4029665,54
4029725,459
4029726,42
4029732,41
4029744,104
4029752,142
4029753,105
4029764,21
4029776,22
4029805,884
4029807,22
4029831,439
4033390,968
4033393,203
4043729,51
4043733,160
4048286,124
4048291,375
4051673,297
4052207,663
4056559,281
4060725,201
4071899,117
4083126,181
4083287,435
4083399,270
4083478,139
4083494,195
4103428,374
4106911,385
4108894,504
4114230,118
4118592,1007
4118594,327
4123500,375
4135473,515
4149108,707
4151533,109
4158440,460
4161238,500
4181507,384
4185067,125
4185069,453
4188478,484
4190693,546
4190817,406
4193897,312
4208253,532
4219864,404
4229743,338
4232468,390
4251852,2278
4265660,201
4265696,93
4270940,296
4287449,296
4287451,125
4290489,221
4299841,470
4300155,1671
4312080,1617
4328762,439
4333589,881
4365608,62
4380523,231
4388791,125
4408838,469
4412915,2080
4413700,373
4436050,1835
4440476,126
4446317,545
4492434,44
4492438,145
4513843,352
4555339,1929
4555341,1983
4580007,3908
4582991,430
4620457,366
4625757,220
4641790,122
4658028,434
4672855,435
4680029,495
4702546,406
4702628,116
4702648,607
4708201,197
4708983,45
4714382,704
4724021,2383
4804574,120
4804591,293
4832113,405
4846908,345
4862678,530
4862680,116
4910039,356
4922779,395
4927237,1625
4946747,366
4947328,1925
5009369,1966
5013938,117
5013950,261
5040785,259
5051705,114
5051706,322
5052846,477
5055035,701
5065611,62
5068056,359
5081635,357
5081785,536
5103378,1982
5116792,400
5121953,197
5130543,2769
5155557,331
5172668,46
5183690,114
5183700,392
5183716,311
5183722,157
5183728,289
5183736,419
5183741,177
5183743,170
5183775,392
5200685,403
5211185,397
5212612,395
5219931,713
5245470,603
5250385,314
5250451,279
5250554,330
5255507,502
5271959,123
5295684,342
5309853,356
5331660,784
5338308,551
5374675,960
5376806,599
5388365,117
5392020,429
5394421,118
5394448,396
5430229,554
5430250,416
5430262,363
5430344,166
5468972,451
5489688,185
5491025,441
5502845,235
5503269,240
5504869,4241
5515272,401
5527600,491
5527685,262
5554498,186
5615536,49
5632856,2338
5637929,456
5637978,332
5645276,262
5645348,151
5645411,179
5647528,397
5647555,321
5652663,184
5656461,236
5658780,313
5694260,637
5703881,363
5711817,216
5711819,128
5769138,185
5769181,445
5770023,269
5771555,186
5771593,313
5771607,187
5771635,329
5771649,190
5773660,277
5773662,204
5773685,244
5773690,182
5775406,326
5775421,195
5776082,499
5777390,430
5777443,189
5778635,193
5778652,420
5778725,433
5803103,252
5811291,400
5812717,404
5825914,261
5833381,220
5833504,258
5843889,380
5859575,279
5886334,199
5898813,375
5911512,528
5916317,146
5916360,128
5918664,209
5926793,171
5932764,395
5959742,382
5970746,187
5981707,477
5988841,42
5988845,330
5989970,66
5991137,368
6012841,370
6026488,1784
6027289,392
6029032,421
6057354,437
6057501,278
6064315,437
6064364,160
6064998,184
6065145,217
6065991,317
6066590,75
6066642,167
6067480,209
6067693,263
6068564,428
6069079,223
6070511,550
6092941,66
6097356,457
6097629,453
6107998,142
6114358,389
6122906,472
6133548,124
6153748,366
6177569,417
6200047,436
6202293,653
