aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
41355.85304781265,116527.49032230786,1185.0471682214363,4525.8941426788615,152643,0.1498816518615466
41600.246929641675,116539.1011467778,1202.5377433074807,5341.812659580417,152631,0.1514135601701276
41080.57655159118,115935.49978845973,1175.3084070482234,4599.848035060766,153172,0.15019640043496593
40829.309375656645,115365.49921033722,1220.1616390410193,4781.29361853007,152223,0.1493070302894825
41307.425224586485,116260.02786847515,1184.9047056825837,4718.405378864314,152771,0.14947193782394957
42753.04609136674,118795.17672203062,1223.7742388332322,4864.426267729324,152146,0.152734542498037
40256.692425159024,114144.0185536964,1172.344901861572,4920.260098374339,152908,0.14979315866731907
41687.739995657525,116825.22741126665,1210.2355937780103,5310.136121843757,152611,0.15037217251880347
41662.92715061129,117190.15081936186,1149.4906952140502,4946.032797578278,153747,0.15061129557093847
42727.12583428926,118929.40228181952,1165.5451409508294,4392.953477078962,153001,0.15212825500268767
42681.11254609654,119123.55402959259,1178.9941480517323,4171.476024463493,153179,0.1515743997341383
41285.10534005529,116533.39512502332,1202.4247867478207,4708.249396037531,152572,0.149599803803536
41802.40969766025,117332.32733456983,1172.7070880243666,4829.901897293788,153330,0.15087913609303613
41261.05701811736,116124.02707579879,1197.308306794707,4874.02738848964,152227,0.15009212215956674
40524.190580489325,114880.87750398854,1199.7705854426856,5162.237341983267,152803,0.1495636590306997
40438.54345881077,114397.18292765111,1196.0673770163532,5219.3308622445775,153010,0.14890421626432307
41133.94918615801,115987.77939092311,1158.691096152354,4468.671818139701,153456,0.14946070878274267
42334.19075875009,118312.8485011465,1179.6392241038022,4177.887675548103,152248,0.15106974980623505
40587.78726625559,114665.2910845914,1187.5834457684082,4644.593651027546,152990,0.15012637835735912
40367.67775094858,114699.17316347074,1188.429567405712,4740.800848252104,153333,0.14818312621175844
40899.07041360192,115785.50665644203,1183.1704652674384,4688.759737157094,153182,0.1490077998266705
41590.532146558864,116808.40719649776,1165.1921094423346,4470.741565540827,152751,0.15062361334304572
40176.595134558935,114000.78915402226,1230.9327623913189,5168.682399924329,153108,0.14885148206622045
40599.66934217161,114975.63898427723,1158.6952182417642,4086.574793645905,153349,0.15025628238162525
39590.252273099184,112879.89288635786,1183.9405125793164,4223.850658280445,152913,0.14887565401313593
41214.66531154787,115836.59778286048,1205.6492059379518,5362.060120443769,152828,0.15029467363504947
41822.04333863668,117627.84922155229,1206.2072924614745,4885.879874991135,153213,0.14917117867555185
41101.66598457846,115863.98057384967,1173.466455650593,4599.3483219993595,153520,0.14898806521172747
41248.07703505109,116031.40897016547,1176.0411913471978,4323.678432840231,152510,0.15081154820568501
40404.3810183638,114583.09172834146,1209.3614878675676,4964.490300574085,153303,0.14896439931829664
