aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
36161.28846180836,109274.22274587263,1184.2124078416084,5023.887284221515,155581,0.13351897747208377
34912.263939836695,106738.96893008826,1185.7617191265772,5029.814137674926,156131,0.13096888028008305
37485.71018848046,111087.08491274812,1165.756483583513,4468.350066109246,155405,0.13825227213494734
36301.16231216067,109140.55764421858,1156.6237826038782,4997.093991774994,156268,0.13424930747922437
35508.43763307089,107739.44190276173,1294.7105227519407,5347.7705714650165,157515,0.13215354185376388
35238.52111505883,107301.19517366972,1148.6154337033277,3980.0235612627866,156553,0.13157821748126453
37256.09391827429,110920.13619496982,1150.7335400825668,4600.136107997315,155926,0.13710971654989984
36078.04620818967,108708.95136070687,1241.080873734742,5962.34237247345,156078,0.13481302453464009
36934.175779632926,110286.9263974871,1122.6140697564842,4359.56847456746,155868,0.13598190677331914
36816.00177721467,110194.26163873012,1197.4390932152473,4860.375672654446,155330,0.13588419858029774
35382.979870475385,107699.01012599104,1192.3073974550523,4729.90393285437,156307,0.1318351727087418
35639.010442087194,108034.69171158702,1155.7312953806877,4315.677509003678,155484,0.13330620572021026
36637.649683945856,109982.5880835042,1114.5562052874536,4201.040449942575,155180,0.13485125551937915
35730.21654680438,108294.06991719779,1205.8747441449354,5682.484123387625,156001,0.1327833584416884
35860.41198402588,108288.40689896306,1214.6209930099367,4716.1197941435685,156388,0.1337860442445525
38270.97489669295,112532.29895804182,1216.0881539394682,5121.4125228913,154752,0.13886493013627738
35940.40120009006,108884.37684617724,1206.0131390306549,5358.168888170012,156007,0.13268732557234508
36098.21646021133,109200.74230148214,1170.3891174644357,4733.015366420339,156324,0.1333532914213485
36751.97528521268,109877.6899664237,1215.5648493667504,4670.750070457871,155311,0.1357591203507913
35140.11267544764,107015.32934535801,1215.3884530291293,4849.345401928972,155784,0.1318372055438835
35507.68746973,107984.78888409471,1197.6317083123706,4802.630176229461,155187,0.13250041925205433
37875.450333627305,112038.84986236918,1156.7935362830092,4370.347609448592,155382,0.13815997470755612
37006.25009058032,110628.14131721524,1166.4411287015057,5729.193077199405,155174,0.13529929675571456
36670.471058763505,109889.93562012125,1155.2790274107033,4787.361991401815,155058,0.13542537887658493
36298.993656340856,109124.91735584699,1153.418333666245,4898.202017432084,155937,0.1347792795791997
37718.59939406157,111656.02843173366,1200.342065546237,4898.87957781477,154969,0.13816096812226103
35619.23380470686,107887.39431086613,1201.848540481827,4879.486147949176,155639,0.1330511070881493
36224.14032889944,108785.04490198691,1160.2453094362916,4873.204779801084,155538,0.13506870492195278
35483.00943123925,107871.27776279883,1192.39871788019,4790.030890699287,155893,0.13200371935568286
37387.96636895102,110867.81597163166,1286.3440948894195,5093.830216699655,155736,0.13742128088530964
