label,aoi_mean,aoi_calculate_margin_error,total_latency_mean,total_latency_calculate_margin_error,number_of_requests_to_provider_mean,number_of_requests_to_provider_calculate_margin_error,hit_rate_mean,hit_rate_calculate_margin_error
accuracy-0-N0-standard-cache-mode-id,34567.80269434753,339.4582851654802,1187.6640808135242,12.134593567705183,156096.93333333332,234.5967178663317,0.1319049712028241,0.0008597663786597243
accuracy-0-N0-standard-cache-mode-location,40322.89494190319,201.30693576470344,1176.30302517913,27.086047323439914,154458.46666666667,181.06280017454864,0.14189309483384768,0.0005518180316569161
accuracy-0-N0-standard-cache-mode-mix,36477.980700627166,392.2032846723197,1184.6085711269552,14.867444187207537,155633.57142857142,240.3040199324367,0.13486858573772187,0.0009653315566060356
accuracy-0-N0-standard-cache-mode-type,38364.01213052481,398.7167097294065,1195.329685562718,28.174951808314844,155155.96666666667,285.58341052096927,0.13788404413204167,0.0010597392229405452
accuracy-0-N1-standard-cache-mode-id,39240.07098769073,319.1242099759878,1186.4518681928014,11.369685759132203,154099.06666666668,162.1274537592451,0.14425482916184806,0.0006607198855758299
accuracy-0-N1-standard-cache-mode-location,42654.95671696386,220.5276540528855,1171.209194113272,20.855062406121693,153218.76666666666,183.85258010582814,0.14901338378964324,0.0005680993731738682
accuracy-0-N1-standard-cache-mode-mix,40360.053998749885,279.2234525025063,1178.0953234995015,15.389078359579665,153708.43333333332,243.80106500683436,0.14558500618659292,0.000696556183295283
accuracy-0-N1-standard-cache-mode-type,41494.65002823886,280.09205184112835,1199.7517853444172,41.34370187094348,153649.3,235.0176276871129,0.14672923317557782,0.0007824518139004416
accuracy-0-N2-standard-cache-mode-id,41210.79727426275,392.7908382803127,1188.1207520211112,10.18962806501216,152922.6,208.44147943171313,0.15004026672527535,0.0005322404153024998
accuracy-0-N2-standard-cache-mode-location,43572.19100321255,276.950263322151,1182.3355695628404,34.76297312257693,152542.66666666666,284.014290296157,0.1522960507368815,0.0006602028174268048
accuracy-0-N2-standard-cache-mode-mix,41955.86840359075,265.09525158811357,1186.4051545769087,17.378372542218713,152939.53333333333,220.46297620702154,0.15022599358465272,0.0005531984647978679
accuracy-0-N2-standard-cache-mode-type,42932.100718261805,261.9802558769546,1185.9853139216425,27.203932788808626,152747.1,212.05352499166347,0.15137783361725657,0.0006238579046144252
accuracy-20-N0-standard-mix,175745.71475372987,2888.4614942573844,448.62777059538973,12.65107761924874,71342.43333333333,1772.492556579883,0.6829350038442521,0.007766615598895936
accuracy-20-N1-standard-mix,205402.84238964188,2333.8402040841083,312.0422341519121,9.35624090300237,52658.46666666667,1397.070753821812,0.7860445041762023,0.006657204779356834
accuracy-20-N2-standard-mix,222980.36614844314,1993.3720676462879,230.6689044076606,9.571242549272256,41545.8,1227.0421666779155,0.848147744057228,0.006015564065833534
accuracy-40-N0-standard-mix,210344.848802127,2344.6940797768048,244.08147199535287,7.120959064001645,50192.566666666666,1412.363957189694,0.8328543398139956,0.004703121475568026
accuracy-40-N1-standard-mix,230924.78179807786,1948.6615608184889,152.1277107642117,5.877797992525342,37238.36666666667,1152.486540885363,0.9023359113432051,0.003973852004981207
accuracy-40.0-N2-cooperative-cache-mode-id,311960.8701432725,5505.17502904424,109.26541109962649,4.702951463757901,21991.566666666666,421.7392539992746,0.9401604288524931,0.0033130693488733556
accuracy-40.0-N2-cooperative-cache-mode-location,361691.97571164375,6679.886854811143,101.62479677970865,3.227082788026336,20174.766666666666,619.0328275749312,0.9449520913578769,0.0021031989132559003
accuracy-40.0-N2-cooperative-cache-mode-mix,329615.8766802627,4051.194340546055,110.5456671437932,4.244586626172987,21532.666666666668,427.7632656414377,0.939255227738285,0.0028413638492370188
accuracy-40.0-N2-cooperative-cache-mode-type,375666.33302426565,9490.346761092209,109.97461201231236,4.333078328628923,20685.966666666667,738.6308102058063,0.9399677315695961,0.0027665976428726275
accuracy-20.0-N0-cooperative-cache-mode-id,239037.15049445632,3104.440714236902,336.2671432317832,10.316743399554268,49610.26666666667,1181.450482538413,0.7709422525599327,0.006775970958769024
accuracy-20.0-N0-cooperative-cache-mode-location,322012.0876809254,6531.704803437957,226.2347861140623,6.421362693862647,33646.36666666667,696.8328304069237,0.8509432149461914,0.003830887435431222
accuracy-20.0-N0-cooperative-cache-mode-mix,269686.0946770108,3977.132265398932,295.0131674522081,9.963726779274968,43578.76666666667,1115.067778911947,0.8001041028865691,0.006306665684246732
accuracy-20.0-N0-cooperative-cache-mode-type,317170.30763034994,7012.344832062159,257.33092188856887,7.712575869360205,37272.13333333333,1019.0272780278923,0.8295131071748095,0.005697578362908613
accuracy-20.0-N1-cooperative-cache-mode-id,252906.5343169815,4017.6884385954136,283.5123088662478,11.780463535400933,42725.53333333333,1374.8276982217358,0.809444811793526,0.007986133354367871
accuracy-20.0-N1-cooperative-cache-mode-location,329721.9423382482,5325.00693903042,203.3828625160975,4.145366022154949,30608.9,493.2414256766139,0.8684940123613907,0.0024664265778731502
accuracy-20.0-N1-cooperative-cache-mode-mix,278588.7154796022,3589.9374302147585,263.62637376849517,9.971312228565909,38871.46666666667,1134.47117639592,0.8264502775999442,0.006451228347353592
accuracy-20.0-N1-cooperative-cache-mode-type,314666.9808823435,8119.381169814787,236.3524179461021,7.196428162581667,33888.26666666667,836.7628202503847,0.846766857642717,0.0050883491950902875
accuracy-20.0-N2-cooperative-cache-mode-id,262132.60014052907,3367.2977462422227,243.0963667553741,8.27512601159648,36710.433333333334,1003.7949990788219,0.8425520906733333,0.00608519974920745
accuracy-20.0-N2-cooperative-cache-mode-location,332928.8391929931,4606.010101092091,183.144595675962,5.823871327020561,27501.666666666668,529.3498941719516,0.8855698176109578,0.003156254437779384
accuracy-20.0-N2-cooperative-cache-mode-mix,288033.3978110473,3681.9187565672623,225.7858837676991,8.50497756438589,33797.8,1050.5909105043113,0.8548745303011198,0.005734739439771021
accuracy-20.0-N2-cooperative-cache-mode-type,321297.30496533413,7649.203792868541,208.79579881383214,6.648459443360714,30291.3,736.2804780853523,0.8680346206166136,0.003991347674512557
accuracy-40.0-N0-cooperative-cache-mode-id,304311.17561899364,6015.562112312916,148.03336946490379,5.515101987780226,27200.633333333335,479.6776666708779,0.9110498139579112,0.003681283992905954
accuracy-40.0-N0-cooperative-cache-mode-location,351658.939160722,5573.0100385853575,125.98791877386252,4.198839994192697,23001.3,521.8982177238508,0.9254007591506717,0.0024996594673519705
accuracy-40.0-N0-cooperative-cache-mode-mix,324508.9048241815,5373.947893784946,145.5937082986807,5.26038708655085,26609.766666666666,594.4806172811369,0.9116382678514156,0.0038714090496679006
accuracy-40.0-N0-cooperative-cache-mode-type,361293.5682089777,8275.241909828346,137.34931403316645,5.127709251164526,24096.666666666668,601.3963130738388,0.9177788598586328,0.00335412888719427
accuracy-40.0-N1-cooperative-cache-mode-id,308343.9608648817,5425.10242289138,127.39856212441029,5.8835818906862425,24545.4,523.584801315989,0.9265771190625377,0.004043370353087767
accuracy-40.0-N1-cooperative-cache-mode-location,356181.9540195332,5793.453896767195,111.98484724546309,3.118659562268468,21207.933333333334,523.6327738959625,0.9370787624896637,0.0017892657165633462
accuracy-40.0-N1-cooperative-cache-mode-mix,330212.1783509281,6090.541678366121,124.51783988913385,4.521363000601711,24171.266666666666,455.0044769575506,0.9264607833058599,0.003175217546577671
accuracy-40.0-N1-cooperative-cache-mode-type,368331.3609305196,10023.401283356274,124.06598536747393,3.8489889287480508,22267.266666666666,620.4756209423431,0.9290448309575794,0.0028090711439618444
accuracy-40.0-N2-cooperative-cache-mode-id,316591.7028156548,5533.466081451264,105.76836270224665,5.092345377552877,21874.166666666668,427.77465216371235,0.9425489597994579,0.0033675713136865674
accuracy-40.0-N2-cooperative-cache-mode-location,362887.1372949957,5814.685483663883,101.80519086589047,3.1076508143447725,19969.166666666668,571.7725536671794,0.9452070603955388,0.0019646483038265237
accuracy-40.0-N2-cooperative-cache-mode-mix,333737.1139433493,5515.790284447126,109.79688233971385,5.594949280241088,21708.066666666666,683.5295979735105,0.9397458657593104,0.0035827499615060914
accuracy-40.0-N2-cooperative-cache-mode-type,373172.8967289614,7384.408926488326,109.49793740667126,3.731360277229549,19987.033333333333,621.4587066535117,0.9408470605065914,0.0025312153338875243
