aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
40427.38703264004,116651.03297917894,1162.3750403059692,4643.127844040068,153902,0.14320866689677442
38359.78193147978,113407.26280083951,1181.7891979070996,4929.447309926498,154852,0.1380590576382511
39003.4168662644,114267.29373012828,1164.4819702822185,5157.632553055962,154095,0.1398644726265964
37975.43162293246,112759.18383096963,1162.6935052214978,4649.4516788995425,155727,0.1368065717706532
39776.535091384605,116074.04825729979,1143.5452133869073,5303.486734607054,155846,0.14101779739956236
38825.77873601827,114307.92359216794,1211.367899008467,4911.343736246711,154642,0.1385806595365419
37736.41370714931,112625.66645639025,1151.7864130958912,4488.7647447354575,155962,0.13557584121758312
38933.21041959395,114355.84092593419,1119.5160453367089,4658.586920270707,155678,0.13948693570942938
37906.57016637337,112430.53419359181,1266.1090154160445,4416.209561877148,155442,0.13709010364333812
37298.8139409074,111758.86898932948,1203.669367004079,5113.920133686048,155561,0.13433425523508494
37905.07733867738,112571.9258292011,1196.9293588260164,4887.39260829682,155084,0.13729111501746735
40407.58480909035,116550.20506228354,1167.5387207883728,5101.985739154079,153737,0.1435694032054103
38332.60485110639,113434.74190471793,1350.1303058671438,4992.092942813584,154739,0.13773773104420559
38520.845382627056,113502.37065540998,1210.2800737494183,4410.990034822027,155462,0.13860014627983777
38548.8081505107,113795.78369575548,1101.0481414217547,4941.608953842563,155435,0.13857314660356132
38610.69629521256,113715.5728244588,1219.6865928282953,4465.307174332949,154815,0.13877793972029684
37876.50108388885,113010.40586906823,1197.3807741745218,4697.089266760144,155318,0.13574902344836795
38003.7457767324,112726.58212822063,1244.213997926496,5237.515781699744,155642,0.13710075344706188
38536.06662495194,113631.42916583801,1185.7626065202007,5396.609643370614,154675,0.1381712012391836
38092.55148377254,113008.59856873791,1149.9329698278982,4851.3303846701865,154924,0.1374086178961376
37609.22006150923,112284.88161083896,1159.0266495529886,4374.093347696206,155631,0.13525362137653982
38162.92506445191,112934.90772146404,1196.4832909400302,4607.833873546555,155084,0.13757896610018686
38461.25385976252,113691.7054948767,1317.5797165495605,4871.255024009346,154844,0.1372007109942218
39109.31332049166,114558.66456422747,1098.8157110096824,4614.625522429455,155255,0.14001395874415615
38353.94198918496,113364.15180216213,1275.7942149801345,4478.746750471372,155468,0.13730495194548642
37998.7335640174,112957.4677417071,1190.3723747134877,5542.57781844116,155104,0.13710305538865522
37530.35524974237,111950.76965547877,1204.9968873415958,5461.957986827901,155006,0.13657707840133687
37299.828669111965,111592.6747859763,1217.8040558172647,5141.288618187529,155371,0.13587243674951752
37716.398318891246,112129.53931352063,1196.6070206320799,4950.738410495321,155364,0.13645408361772848
37600.57250726724,112352.92150827155,1212.1734364497106,5631.848223034922,156014,0.13615902106807673
