aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
38704.02134877892,112197.04236029861,1180.4829758569797,4505.259233552191,153907,0.14284202612013033
39423.95892313534,113637.56377372834,1146.9051665668928,4808.544455273133,154377,0.14428961021684183
39494.668296221775,113492.92249995128,1170.5876096717332,4783.514378301322,154392,0.14417800246117005
39593.779260035204,113509.42680045043,1160.8694102864988,4252.395203765042,154410,0.1453194881105256
39981.86412121279,114303.63640717587,1193.6096162557037,4303.206341185856,153884,0.14578175479888536
38728.33834037761,112296.64159683815,1151.943681950894,4248.414787372483,154130,0.14284125351055252
39920.61520466253,114014.3546288557,1166.022427707647,4304.574093930244,154495,0.14611566776468507
40703.794744634775,115634.15225837905,1171.1849318415282,5198.385084843301,153619,0.14701129959188206
39839.799645210434,114178.3213518496,1185.209354088935,4454.03159888939,153811,0.1447294524546956
39238.40578946493,112812.11738755894,1211.576200930511,5019.192242201671,154307,0.1443124033028154
38537.669103707245,111765.26281991099,1210.9077617557298,5228.213599607093,154216,0.14272531699751517
39309.71376032439,113230.21614512561,1141.285938805283,4662.838470937226,154377,0.14366780010761218
38882.17398441151,112312.36314054848,1174.5368868638316,4563.420970408264,154000,0.14324498742684202
39482.081039444274,113256.77845086205,1200.7020404346672,4808.6701117449475,154432,0.14553824362606232
40062.41682405929,114276.54767178139,1200.9213243124448,4756.7980230262965,153435,0.14630753737529975
39719.47823642183,113676.59698529576,1200.396410995899,4992.609086525376,153734,0.1457228908967648
38449.49882287874,111646.65017842008,1178.063752369306,5075.9719250799535,154225,0.14274200272365972
39952.84069653211,114380.17032644051,1167.511846454059,4314.510566508236,153355,0.14498773416592328
38850.30596043436,111942.90007051743,1210.490748433802,4898.4815254340965,153716,0.14400111374077684
39435.22907208444,113339.67854020932,1217.2992607579176,4591.096463508652,153930,0.1444245584001245
38601.484290012166,112099.16785379976,1191.5617497735973,5189.862294044093,154440,0.14194756346221157
39419.82844371559,113238.4139997893,1191.1554737916083,5105.700380394465,154251,0.1446798600444708
39737.18658500258,113767.74314601965,1218.5811238635165,4921.898690855689,154039,0.1455142535405029
37981.21451397564,110483.98107125972,1163.4634308914071,4143.110338509307,153790,0.14233291692692068
39009.84959951113,112559.66340984344,1170.5034480121053,4587.491785820949,154420,0.14409396010353792
39133.26374141946,112663.2895681369,1204.5338744663154,5703.717833725893,154271,0.14460216246187968
38745.38644918928,111926.68779504228,1199.1105190703252,5094.323224369309,154283,0.14358114671743946
39280.84787304275,113150.62445407908,1186.0309120488616,4832.90964669415,154139,0.14414769572459746
39105.51694265675,112665.98472869859,1197.4459181699956,4778.249355281481,154029,0.14396945546700457
37876.89801816405,110285.05624746309,1230.6622493560421,5376.589497602736,154558,0.14199271661411378
