aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
40488.657124636746,116122.97303957804,1164.5066605613886,4843.780558352771,153612,0.1448231325086569
39177.41146444469,113772.52088014464,1172.2564835855776,5525.530799724574,154134,0.14236590251502337
40078.22986650209,115391.44218861178,1133.8323250214962,4775.234360702081,154257,0.14427648184617092
39255.213673125574,113993.63292230283,1180.569015317895,4907.1683813954005,154235,0.1424480831781157
40496.35066310362,115578.3788977331,1207.8223689804254,4524.298603204446,153884,0.1459571657703557
40446.72882022659,115763.60225123829,1171.1968518261276,4850.329291229616,153711,0.145912396997294
39892.81854381045,115098.0143602973,1144.537804674734,4562.759820903337,155109,0.14372543390893433
40356.70897942531,115508.93504439878,1174.5204529327564,4881.03056907206,153345,0.14590539208314535
40132.20801298665,115239.65009313037,1111.788611512792,3932.5217785624395,153744,0.144916573971079
40350.08059508961,115766.27734249618,1143.9187990110481,4988.292359985129,154209,0.14514975636526917
40113.94597443184,115189.47440433079,1140.9597515472688,3935.4040080129366,153698,0.1453292777187724
40522.38863360205,115823.29265350579,1127.0999744483806,4711.218867547354,153037,0.14621328349465815
40313.92754010412,115553.01084714764,1251.9746935733276,5385.489796114992,153662,0.14528706989576265
41360.9917981533,117402.0283385069,1173.940493469519,5100.438885824019,153858,0.1477805226600494
39618.61125491231,114423.827401625,1167.5341078902754,4657.641652183614,153930,0.14438175703843695
39091.48510643853,113585.46430784762,1204.4619606688518,4820.541341793882,154379,0.14238653408143992
40353.93677604601,115604.45079609519,1133.4739923320553,4816.335505523162,153688,0.14603545035283658
40863.3721682345,115913.71397452989,1166.4742490267172,4765.137748406669,152945,0.14816176265824546
40272.927560015065,115413.4887674126,1183.90443612979,4526.585764935578,154204,0.1458640286255525
39958.1178812664,114897.12465969913,1227.4816850340287,4401.856436088501,153876,0.14441083581691205
39772.678407011306,114287.22981961754,1176.6968554682076,4786.202460379424,153855,0.1452262562848968
40972.00369487905,116829.7132516928,1166.4480586995119,5192.396912998225,153808,0.14664891256102974
41049.28387080742,116705.95605744174,1152.5133894935584,4147.653795973908,153467,0.14778431808085296
40986.35944606154,116848.51761638219,1151.360134107308,4299.290750070135,153036,0.14664257753688648
40518.32825746984,115971.45992380628,1137.5173631887533,4277.012890153768,154659,0.14534623482407813
40146.233092460374,115299.63261097668,1159.56344833325,4735.224684197146,154079,0.14524495037750818
40424.86715087102,115462.99087519484,1161.3006297534057,4823.0869761962085,153780,0.146302197253156
39511.9593350251,114381.21686878028,1167.69497273761,4467.166711957063,154451,0.14329533793715507
39100.253287675805,113416.56513997323,1210.461405791697,4660.746690604364,154156,0.1420095619215121
39958.284181785406,115026.39041891482,1200.2271871100143,4694.251204922295,154386,0.14370337502426578
