aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
237359.09086419203,193723.23451517482,218.15737874188966,2242.874853435624,35455,0.8558881679708168
239300.6371935799,192841.21008869313,193.73093154152303,1903.0196365632692,32963,0.8738183655004358
238409.49372628855,193536.09425796143,202.516519338551,1739.4006702913298,34746,0.8611057107466019
241808.51445523745,192995.63122728266,209.85749752923277,2263.4139721041306,33040,0.8688383507490034
240569.14740136554,193489.42863304104,203.30804365714795,1966.1449291562624,33719,0.8667934347477982
237215.93797114235,193481.61307077613,217.64468885487688,2059.8635194179974,35264,0.8587282593571727
241184.74206495914,193227.16735590954,200.4802361444178,1901.507419159155,33397,0.8653799182875922
234333.60942226966,193983.32264930464,229.12717091363172,2634.089052316321,36943,0.8528065647246394
239369.03189776125,193653.18526080836,204.7305549276484,1627.3610338386381,34345,0.8644388644221614
238079.8042052187,192936.24495195755,195.63651508920137,1684.0067877923461,33970,0.8668037570166176
236914.8415131397,193291.3025222408,216.3542451859799,1932.2736911473387,35475,0.8578854810702001
236125.50049427807,193604.27338055862,218.8929981585228,2341.7679538876587,35249,0.8610324511674743
234340.30824312972,193880.23849990615,218.00790565198042,1963.5457121761237,36333,0.8559857587894971
236715.78724615736,193641.4478968156,204.77450270624715,1909.3296298855541,35100,0.8630316636473766
239427.83936858957,193499.30746836239,205.6087594158425,2256.3276361498365,33843,0.8674082598133231
239921.8636223602,193195.79543276085,198.4065493597916,1809.4037426675206,33594,0.8660218391441716
238313.5688644769,193361.50653370415,207.180626332741,1805.9271057204332,34780,0.8578798311861395
237123.18541932726,193150.87637830022,199.74929643860565,1593.556376810808,34914,0.8629634976512788
233075.46005410445,193930.60400203124,213.24354102223364,1753.9032249749118,36963,0.8526170029816078
238166.47093137418,193638.2436705302,196.2604403364893,1338.8594047490928,34448,0.8650320042672356
240891.57390301657,192427.39099035406,186.63510613817138,1547.807835035405,32729,0.8718004302222815
236066.62609390257,193557.3998407418,219.26181718819353,2607.2001116317365,35328,0.8610630270750111
242605.42378205058,192301.62469683055,182.75374145411152,1867.7813380831997,31612,0.8800508570982456
238951.50615453298,192754.77858545,204.20095860614927,2056.4560089869847,34062,0.8652599840899862
235166.23783903182,193606.39677401743,216.23355654654338,1940.66464340164,36224,0.8540838397935977
242104.76547192354,192032.75192070066,198.95138612430887,2376.085721296342,31957,0.8747464643938763
234889.9209068771,194229.40494240483,228.74091005344079,2212.7463765361404,36518,0.853101960980992
236813.07670336368,193549.27347773671,210.1149717154144,1837.3790396884688,35078,0.86243884601107
237097.47049931742,193872.58359137064,215.93544096428334,2125.000502196893,35990,0.854425181469067
236064.1363888072,193822.480009564,212.39202837595644,1905.801475085293,35892,0.8560949490353618
