aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
153067.92593726155,193261.67377589218,669.7169908384617,3357.3471031739605,86650,0.5349280164851995
146527.39260274314,191374.3863227754,720.0697169853145,3786.9158059368197,90916,0.5130396231643114
143252.75813599583,190760.23788769945,732.9223580046842,4130.4949455477545,93135,0.5008491414236717
147531.08079888875,191634.56809647492,674.4244154009381,3405.395812956562,89809,0.5161994639267367
144568.12601431788,190610.22525693418,731.8112203842197,4227.663282305707,91778,0.5080763991214657
135392.44128764412,187870.50468697265,737.3067936532655,3592.5995998896933,97316,0.47630541296598056
144411.12870283867,190541.83040540878,703.046663423533,3279.9817948309624,92065,0.5084938776638381
133372.02214891196,187046.15730446804,771.5873994222426,4241.019318549266,98165,0.4705767536277145
139526.09828286443,188689.61561399951,741.4897431885023,3956.7471098568635,94461,0.49338549470062704
137342.5575410375,188524.97859929188,738.5025464520727,3996.5771561111246,96678,0.48281425248490273
131796.7590396045,186919.18501747347,764.5515422921599,3826.673695031997,99575,0.46275449101796406
141741.57751906084,190395.0762328576,729.8755276465685,4000.3143494316314,93901,0.49586551819949987
151320.00597826872,192395.41889035472,672.2826410508266,3849.2404879914366,87754,0.5316896132651872
134895.87913045168,187302.97246194514,748.9175592482823,3899.663763201955,97436,0.4766947506299466
147470.36322017602,191816.42964424944,698.6092824841223,4026.1114343030013,90647,0.515578413008058
138750.8424930176,188772.18229175496,728.3947929112128,3546.4140986376183,95595,0.48808560630409964
121069.65899310252,182375.25902733573,842.2224904944025,4299.136172587562,106011,0.4268917948461012
157348.63696846945,194611.90374526614,660.5351099355082,4137.540546798254,84723,0.5482801262109542
125544.87413788597,184551.5188166761,813.1295927322477,3851.16584059004,103810,0.44018063712404343
133649.2776272961,187520.90862264537,753.443027389423,3727.466121413257,98516,0.470036048946582
140150.44141874358,189700.05007266562,731.6498654107971,3927.130823521615,94878,0.4902225556389097
126232.91036412152,184900.54518521423,792.5934877838619,4237.5248116020075,103178,0.4434444228256942
138756.4688842249,189224.22165737054,714.2994748282421,3237.951157742896,95492,0.4881474539899413
133971.36733332035,187327.87130242723,772.3042082995119,3967.1800716034995,98070,0.4724795125259916
149033.79331402664,192207.01551940938,698.8931494670798,3960.1132235240484,89665,0.521513571036631
137296.4522092507,188463.89570135114,739.5474205988104,3609.929718631097,96228,0.48326526988636365
121321.696770177,182685.21161298905,813.3488609784174,3969.380442104305,105863,0.4283815572152307
163072.9060139833,195325.12759870518,637.1899016297248,3898.7533301816475,81222,0.5691581231593632
126391.93794991823,184416.8901191646,806.5298969771815,4121.7490308237875,102744,0.44557925302893764
129939.26252199944,186214.00648041698,791.85508280014,4109.826997930542,101036,0.4551811930557949
