aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
140010.8146868215,189150.69383384645,726.6572701613352,3547.6424522345624,94802,0.4890216338391992
150364.74058975696,191420.5678808381,690.1542135557318,3829.702496890755,87706,0.5300465240078298
128453.74556020406,185286.06737631827,809.3545428852776,4758.222442052387,101565,0.4505666297629446
176235.2254275155,196158.65507809405,550.0509578198074,3372.057655307704,71581,0.6178531413568789
120624.55855659276,181647.39010751783,799.310891648608,4003.2607702682135,106134,0.4263710618436406
130398.51747795464,185897.40842431685,746.1446467749986,3306.0139925769477,100505,0.4588541955521047
134957.44475713882,187103.54165434718,735.5096984693226,4096.634139864899,96947,0.4778831270423364
123871.78188524772,183132.72479249618,811.0103603105745,4213.703095833861,104571,0.4378160316100688
165806.63175989932,194788.62642381073,586.4811866445665,3054.9460349626893,78355,0.5824181915949244
164322.99316093518,194721.33037994313,597.7841891028668,3682.6518540054853,79523,0.5748407201062051
126404.44575355687,184434.95607414466,841.7867414371689,4013.242202087977,103326,0.4425271098538425
135335.0789297253,187031.73004842678,759.6794443642581,3374.622058202764,97105,0.47702291601900787
113664.00960617955,178632.34266777994,853.2929980793319,4137.42345315206,110098,0.40282811412665276
165148.9446653126,194477.78992759757,623.1476657855931,3816.1440647972836,78818,0.5783923652652959
133086.3151907668,186284.65358589063,759.740546951785,4451.917078688505,98102,0.47131140713758196
140098.93601566198,188465.7694264827,692.1064122779179,3555.880053297188,93865,0.49365559248804336
127521.54947379684,184688.5988983858,758.831763662941,3908.3377748699495,102048,0.44891924789213045
115545.03157318103,179427.70256914757,869.6887934463754,4674.074141398078,108996,0.41002933463709496
153995.65175694242,192163.78719768862,674.1557886894045,3569.646698094962,85557,0.5421529905107993
124332.24192107606,183507.83431980226,772.0787570800645,3641.786380475004,103912,0.437767762755244
117630.58812553283,180450.75850693166,804.1408350402462,3610.920122837567,108438,0.4158759507966209
155500.4360022392,192419.30689668297,625.3047098730192,3644.441202058972,84626,0.5476413499537194
151646.89714147872,191838.04369926697,667.1625862996378,3565.3060881457573,86724,0.535260160482668
174550.31079319486,196102.00904082728,596.2114441536261,3588.0134505123397,73367,0.6102454334734437
143476.60974964083,189290.26671148636,723.161883819091,3730.0089363437296,91530,0.5070441358265305
124349.03522426503,183489.9238944635,808.1370532462919,3575.0951106344987,104008,0.43867128519406695
153999.2757367278,192132.28116423634,692.5131545892375,3744.8062870092936,85088,0.5429804292753543
110310.66164556821,177185.0778985914,842.6670093078147,4012.72225021114,112290,0.39080574946836344
166410.22211411482,195133.22751349007,637.1150727436162,3935.9115701513297,78332,0.5817047863190954
172470.13485908325,195781.72149509995,550.4007353145666,3179.3694299181757,74131,0.6047656393398856
