aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
129777.94914405057,186698.28912079713,765.5171309626577,3377.8108154388874,101716,0.45078109771379243
134511.39958579734,187896.4651541538,765.1518204743087,4325.081299377822,98746,0.4700578060311144
131984.60538321157,186806.55044109546,762.7914250715257,3990.3944926615427,99928,0.4622816032887975
146239.4564125292,190868.0974172618,653.9279208858819,3668.08183256907,90526,0.5135674359245863
113109.5995111659,178349.3519006669,905.9253989961244,5005.9484544432835,110818,0.40153357541837403
122164.58275643208,182967.4994359537,785.9945640584791,3458.155456603786,105378,0.4291312429873675
132740.56240491712,186761.1672948657,688.3488925414365,3284.3812356699673,99612,0.46676243093922654
121071.69312813309,182322.1159898283,805.73308849139,4094.381730267991,106142,0.4265668901438229
122832.58450157077,183036.70833706914,837.8512657076719,4048.695097391894,106241,0.43174603174603177
137097.90099549512,188609.2007466369,698.4634789911293,4017.7979598374686,96895,0.47882428186090487
127395.61320828903,184824.5277553571,820.190193824207,4300.182750912604,102790,0.44802742335637075
128962.6154265057,185835.34472705438,830.6795265056898,4150.699138104837,101864,0.4519067443796836
160103.58726735972,194579.1107024519,660.1835280199045,3422.1927468004574,83170,0.5575165825302975
125419.90919463926,184370.85953481647,776.1322386402128,3530.802664503643,103912,0.44020390144763366
116189.95095957743,179761.09283954563,861.0105276619405,4461.912768499302,108791,0.41212677231025857
108009.49030040202,176344.56512633382,904.0918331741555,3988.41269063788,114582,0.3808942096261911
154831.15074069556,193349.1571875442,625.6493973945884,3635.7894847595617,86235,0.5404814853840736
134934.36334165075,187569.97868894585,802.9890925510159,4241.221421018783,98019,0.47281376428222116
123313.86372776517,183273.3229797165,777.6615652212522,4609.919228843301,105008,0.4347232474372707
138046.6771152733,188814.5938828354,688.0914628405449,3702.089961906043,96000,0.4834234775641026
124158.19944518538,184232.81756209623,789.8847133680092,3341.8452229673712,104948,0.433987952342847
106210.73351843697,175296.66981352394,872.4802218010535,3557.9257853347285,115107,0.37527801778198944
147150.27889303426,191735.65574004178,675.5122708115562,4077.202832642283,90932,0.5125214064897805
126316.58716417993,184809.32883999834,754.3566396281037,3815.6970215186875,103497,0.44133726756485914
109960.28411535572,177942.30612025814,855.1452279012826,3671.745392233974,113704,0.3843966500653849
158077.41993898374,194411.27293396546,580.3629095615273,2822.5465017890638,84359,0.5497905951098125
128211.74335485701,185582.02419523415,763.5288100243602,3539.6277437285494,102353,0.4482819990878856
122876.28938169492,183420.99926610343,867.3345037638613,4377.916487760515,105648,0.4315709475389284
124616.42659743172,184564.14279075706,838.2823920587033,3846.8959612424205,105252,0.4354728199007614
121565.48811594243,182713.44904652078,840.5270257064418,4191.664108052778,106508,0.42676021186323176
