timestamp,edge_node,edge_node_location,provider,bytes,user_id,user_location,execution_time,subarea
164654,1,"(3617, 9475)",dwvuenmgxoclebjqxuolmboggnkcragj,82744,9,"(1873, 9333)",1171,6
224187,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,84641,43,"(9629, 2616)",838,2
472646,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,76094,74,"(8910, 5205)",609,5
479046,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,77355,81,"(7930, 2161)",1015,2
480702,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,74775,87,"(5853, 9130)",1406,7
567305,2,"(1345, 2173)",dwvuenmgxoclebjqxuolmboggnkcragj,71753,99,"(994, 2625)",828,0
662209,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,75205,6,"(9957, 9204)",750,8
794024,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,80385,21,"(6211, 7622)",1671,7
818222,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,76357,27,"(3861, 1433)",906,1
943151,2,"(1345, 2173)",dwvuenmgxoclebjqxuolmboggnkcragj,86732,15,"(1593, 2284)",1055,0
974860,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,80433,13,"(7469, 7560)",828,8
987312,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,79717,65,"(5163, 5756)",798,4
1045046,3,"(411, 5602)",dwvuenmgxoclebjqxuolmboggnkcragj,75582,33,"(2223, 7870)",740,6
1121058,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,69425,37,"(6974, 8162)",906,8
1331584,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,74358,49,"(3627, 2726)",734,1
1357161,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,77383,47,"(3203, 5561)",765,3
1401894,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,56948,56,"(5484, 5385)",671,4
1432654,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,72979,57,"(2774, 4166)",859,3
1504898,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,76312,83,"(1254, 7286)",753,6
1542549,3,"(411, 5602)",dwvuenmgxoclebjqxuolmboggnkcragj,61638,59,"(247, 6371)",713,3
1593130,1,"(3617, 9475)",dwvuenmgxoclebjqxuolmboggnkcragj,79393,96,"(3972, 8498)",890,7
1597298,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,74368,67,"(1824, 5822)",798,3
1606669,2,"(1345, 2173)",dwvuenmgxoclebjqxuolmboggnkcragj,89926,29,"(4656, 3147)",1438,1
1741243,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,69013,30,"(3465, 6669)",1328,7
1748389,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,78963,92,"(4459, 9427)",1171,7
1762446,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,83111,75,"(2591, 7463)",984,6
1822840,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,74261,20,"(5072, 3181)",726,1
1891975,4,"(3934, 7933)",dwvuenmgxoclebjqxuolmboggnkcragj,74051,4,"(1798, 6611)",2081,3
1994669,2,"(1345, 2173)",dwvuenmgxoclebjqxuolmboggnkcragj,84712,58,"(2116, 1164)",750,0
2031761,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,73897,76,"(9406, 3321)",702,2
2094057,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,72529,16,"(1871, 6039)",1031,3
2186564,0,"(3050, 4648)",dwvuenmgxoclebjqxuolmboggnkcragj,73473,54,"(9177, 797)",968,2
2233603,2,"(1345, 2173)",dwvuenmgxoclebjqxuolmboggnkcragj,439,69,"(2092, 1432)",122,0
