timestamp,edge_node,edge_node_location,provider,bytes,user_id,user_location,execution_time,subarea
10290,1,"(8980, 9162)",dwvuenmgxoclebjqxuolmboggnkcragj,75205,6,"(9957, 9204)",750,3
12045,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,82117,77,"(4637, 8761)",765,2
13174,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,73609,73,"(1518, 9646)",781,2
14011,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,76357,27,"(3861, 1433)",906,0
27878,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,85146,82,"(7832, 4764)",1078,1
29540,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,77383,47,"(3203, 5561)",765,2
29940,4,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,71315,52,"(6005, 50)",735,1
30043,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,72979,57,"(2774, 4166)",859,0
35456,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,74368,67,"(1824, 5822)",798,2
41388,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,74051,4,"(1798, 6611)",2081,2
43063,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,80355,71,"(5555, 8779)",990,3
49626,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,72529,16,"(1871, 6039)",1031,2
51138,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,74261,20,"(5072, 3181)",726,1
58946,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,71374,10,"(631, 3521)",777,0
60928,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,79611,8,"(9367, 2657)",765,1
61707,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,68354,41,"(3274, 9753)",775,2
63177,1,"(8980, 9162)",dwvuenmgxoclebjqxuolmboggnkcragj,71498,78,"(8488, 9390)",810,3
65315,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,76272,23,"(8605, 6418)",728,3
69552,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,73689,72,"(9975, 4157)",758,1
70066,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,68616,25,"(1817, 8933)",843,2
70653,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,80579,97,"(1257, 4635)",812,0
71270,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,71753,99,"(994, 2625)",828,0
83224,4,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,90098,31,"(5213, 1487)",843,1
84822,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,89926,29,"(4656, 3147)",1438,0
87618,4,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,76336,35,"(9099, 52)",794,1
89540,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,76173,36,"(2344, 4543)",741,0
89590,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,69986,79,"(1511, 3694)",898,0
89976,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,68791,93,"(4217, 9402)",791,2
94056,4,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,73473,54,"(9177, 797)",968,1
96409,4,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,72272,38,"(6284, 2063)",809,1
97628,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,91218,68,"(1198, 4139)",953,0
99570,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,79651,64,"(1738, 9125)",1266,2
99831,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,84641,43,"(9629, 2616)",838,1
100416,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,80385,21,"(6211, 7622)",1671,3
102985,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,65886,89,"(9836, 4142)",786,1
108827,4,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,58795,22,"(6791, 1110)",916,1
109274,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,72249,61,"(7292, 4294)",671,1
110152,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,72473,48,"(1717, 3552)",747,0
113927,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,86732,15,"(1593, 2284)",1055,0
115198,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,75326,88,"(2208, 7019)",2450,2
115355,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,79152,91,"(387, 5935)",1140,2
115768,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,72938,70,"(1370, 40)",854,0
118248,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,66752,2,"(3359, 1654)",779,0
124666,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,69425,37,"(6974, 8162)",906,3
125009,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,80718,98,"(3248, 9760)",707,2
125913,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,83111,75,"(2591, 7463)",984,2
126985,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,74358,49,"(3627, 2726)",734,0
129453,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,78963,92,"(4459, 9427)",1171,2
130878,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,69009,11,"(9857, 3418)",781,1
136660,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,72291,34,"(7250, 8300)",859,3
138318,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,79393,96,"(3972, 8498)",890,2
139600,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,75263,45,"(197, 5395)",781,2
139915,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,56948,56,"(5484, 5385)",671,3
140944,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,82744,9,"(1873, 9333)",1171,2
144432,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,84712,58,"(2116, 1164)",750,0
147632,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,79717,65,"(5163, 5756)",798,3
148739,0,"(4270, 2228)",dwvuenmgxoclebjqxuolmboggnkcragj,439,69,"(2092, 1432)",122,0
152696,4,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,61426,95,"(5000, 1951)",728,1
154673,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,77355,81,"(7930, 2161)",1015,1
159789,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,65508,28,"(2004, 9339)",1125,2
162395,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,70000,17,"(4532, 5787)",724,2
164081,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,68576,85,"(2649, 7435)",782,2
171042,4,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,75591,1,"(5511, 1508)",843,1
172909,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,69221,86,"(7622, 9406)",1546,3
173669,4,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,70923,51,"(6461, 965)",796,1
175050,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,75319,14,"(7382, 2729)",958,1
178238,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,75335,66,"(8560, 3320)",812,1
179267,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,76094,74,"(8910, 5205)",609,3
182900,3,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,70785,90,"(3440, 5998)",765,2
188218,2,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,56868,26,"(6085, 9463)",640,3
